Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,70.4,83793.8922,18.9757,2.1897
2014-01-03,70.55,83972.4303,19.0162,2.1943
2014-01-06,69.31,82496.5152,18.6819,2.1558
2014-01-07,69.67,82925.0067,18.779,2.167
2014-01-08,69.77,83044.0321,18.8059,2.1701
2014-01-09,69.92,83222.5702,18.8464,2.1747
2014-01-10,69.51,82734.566,18.7358,2.162
2014-01-13,68.55,81591.922,18.4771,2.1321
2014-01-14,68.49,81520.5068,18.4609,2.1303
2014-01-15,68.29,81282.4559,18.407,2.124
2014-01-16,68.13,81092.0153,18.3639,2.1191
2014-01-17,67.97,80901.5746,18.3208,2.1141
2014-01-21,68.32,81318.1636,18.4151,2.125
2014-01-22,69.17,82329.8796,18.6442,2.1514
2014-01-23,68.47,81496.7017,18.4555,2.1296
2014-01-24,67.63,80496.8882,18.2291,2.1035
2014-01-27,67.53,80377.8628,18.2022,2.1004
2014-01-28,68.52,81556.2144,18.469,2.1312
2014-01-29,67.35,80163.617,18.1536,2.0948
2014-01-30,67.65,80520.6933,18.2345,2.1041
2014-01-31,67.72,80604.0111,18.2534,2.1063
2014-02-03,65.79,78306.8206,17.7332,2.0463
2014-02-04,66.11,78687.7019,17.8194,2.0562
2014-02-05,65.44,77890.2316,17.6388,2.0354
2014-02-06,66.11,78687.7019,17.8194,2.0562
2014-02-07,66.44,79080.4858,17.9084,2.0665
2014-02-10,66.94,79675.6128,18.0431,2.0821
2014-02-11,68.77,81315.5133,18.5364,2.139
2014-02-12,68.54,81043.5551,18.4744,2.1318
2014-02-13,69.48,82155.0366,18.7278,2.1611
2014-02-14,69.9,82651.656,18.841,2.1741
2014-02-18,70.32,83148.2754,18.9542,2.1872
2014-02-19,70.1,82888.1414,18.8949,2.1803
2014-02-20,71.31,84318.8782,19.221,2.218
2014-02-21,71.2,84188.8112,19.1914,2.2146
2014-02-24,71.37,84389.8238,19.2372,2.2198
2014-02-25,72.16,85323.9413,19.4501,2.2444
2014-02-26,72.2,85371.2384,19.4609,2.2457
2014-02-27,72.16,85323.9413,19.4501,2.2444
2014-02-28,73.14,86482.7199,19.7143,2.2749
2014-03-03,72.59,85832.3849,19.566,2.2578
2014-03-04,73.1,86435.4228,19.7035,2.2737
2014-03-05,73.18,86530.0169,19.7251,2.2761
2014-03-06,73.22,86577.314,19.7358,2.2774
2014-03-07,73.48,86884.7451,19.8059,2.2855
2014-03-10,73.57,86991.1635,19.8302,2.2883
2014-03-11,72.7,85962.4519,19.5957,2.2612
2014-03-12,72.88,86175.2888,19.6442,2.2668
2014-03-13,72.5,85725.9665,19.5418,2.255
2014-03-14,72.75,86021.5733,19.6092,2.2628
2014-03-17,74.36,87925.2809,20.0431,2.3128
2014-03-18,73.69,87133.0548,19.8625,2.292
2014-03-19,73.51,86920.2179,19.814,2.2864
2014-03-20,73.99,87487.7829,19.9434,2.3013
2014-03-21,74.95,88622.9129,20.2022,2.3312
2014-03-24,74.35,87913.4567,20.0404,2.3125
2014-03-25,74.95,88622.9129,20.2022,2.3312
2014-03-26,75.3,89036.7624,20.2965,2.3421
2014-03-27,74.13,87653.3227,19.9811,2.3057
2014-03-28,74.26,88259.4241,20.0162,2.3097
2014-03-31,74.86,88972.5356,19.2065,2.2981
2014-04-01,74.29,88295.0797,19.0602,2.2806
2014-04-02,74.77,88865.5688,19.1834,2.2953
2014-04-03,75.24,89424.1728,19.304,2.3098
2014-04-04,74.69,88770.4873,19.1628,2.2929
2014-04-07,73.83,87748.3609,18.9422,2.2665
2014-04-08,73.18,86975.8236,18.7754,2.2465
2014-04-09,74.45,88485.2427,19.1013,2.2855
2014-04-10,72.93,86678.6938,18.7113,2.2389
2014-04-11,72.58,86262.7121,18.6215,2.2281
2014-04-14,73.37,87201.6422,18.8242,2.2524
2014-04-15,73.44,87284.8385,18.8421,2.2545
2014-04-16,73.91,87843.4425,18.9627,2.2689
2014-04-17,73.74,87641.3942,18.9191,2.2637
2014-04-21,73.67,87558.1979,18.9011,2.2616
2014-04-22,73.24,87047.1347,18.7908,2.2484
2014-04-23,73.09,86868.8569,18.7523,2.2438
2014-04-24,73.07,86845.0865,18.7472,2.2432
2014-04-25,73.24,87047.1347,18.7908,2.2484
2014-04-28,73.61,87486.8868,18.8858,2.2597
2014-04-29,73.47,87320.4941,18.8498,2.2554
2014-04-30,72.72,86429.1048,18.6574,2.2324
2014-05-01,73.09,86868.8569,18.7523,2.2438
2014-05-02,73.86,86359.3354,18.9499,2.2674
2014-05-05,74.98,87668.8731,19.2372,2.3018
2014-05-06,74.44,87037.4888,19.0987,2.2852
2014-05-07,75.9,88744.5648,19.4733,2.33
2014-05-08,75.86,88697.7956,19.463,2.3288
2014-05-09,76.28,89188.8722,19.5708,2.3417
2014-05-12,76.82,89820.2565,19.7093,2.3583
2014-05-13,76.55,89504.5643,19.6401,2.35
2014-05-14,76.0,88861.4878,19.4989,2.3331
2014-05-15,75.56,88347.0265,19.3861,2.3196
2014-05-16,76.57,89527.949,19.6452,2.3506
2014-05-19,76.27,89177.1799,19.5682,2.3414
2014-05-20,75.93,88779.6417,19.481,2.331
2014-05-21,76.7,89679.9489,19.6785,2.3546
2014-05-22,77.21,90276.2562,19.8094,2.3703
2014-05-23,77.12,90171.0255,19.7863,2.3675
2014-05-27,77.17,90229.487,19.7991,2.369
2014-05-28,77.25,90323.0254,19.8197,2.3715
2014-05-29,77.66,90802.4098,19.9248,2.3841
2014-05-30,78.32,91574.1016,20.0942,2.4043
2014-06-02,78.3,91550.717,20.089,2.4037
2014-06-03,77.71,90860.8713,19.9377,2.3856
2014-06-04,78.16,91387.0248,20.0531,2.3994
2014-06-05,78.62,91924.8707,20.1711,2.4135
2014-06-06,78.92,92275.6397,20.2481,2.4227
2014-06-09,78.55,91843.0246,20.1532,2.4114
2014-06-10,78.02,91223.3326,20.0172,2.3951
2014-06-11,77.32,90404.8715,19.8376,2.3736
2014-06-12,75.98,88838.1032,19.4938,2.3325
2014-06-13,75.86,88697.7956,19.463,2.3288
2014-06-16,76.14,89025.18,19.5349,2.3374
2014-06-17,76.2,89095.3338,19.5503,2.3392
2014-06-18,77.36,90451.6407,19.8479,2.3749
2014-06-19,77.45,90556.8714,19.871,2.3776
2014-06-20,76.79,89785.1796,19.7016,2.3574
2014-06-23,76.32,89235.6414,19.581,2.3429
2014-06-24,75.48,88253.4881,19.3655,2.3171
2014-06-25,75.46,88230.1035,19.3604,2.3165
2014-06-26,75.54,88323.6419,19.3809,2.319
2014-06-27,75.72,88534.1034,19.4271,2.3245
2014-06-30,75.37,88124.8728,18.6207,2.2929
2014-07-01,76.04,88908.257,18.7862,2.3133
2014-07-02,76.25,89153.7953,18.8381,2.3197
2014-07-03,76.83,89831.9488,18.9814,2.3373
2014-07-07,76.67,89644.872,18.9419,2.3325
2014-07-08,76.53,89481.1797,18.9073,2.3282
2014-07-09,76.84,89843.6411,18.9839,2.3376
2014-07-10,76.61,89574.7182,18.927,2.3306
2014-07-11,76.9,89913.7949,18.9987,2.3395
2014-07-14,77.29,90369.7946,19.095,2.3513
2014-07-15,77.41,90510.1022,19.1247,2.355
2014-07-16,77.03,90065.7948,19.0308,2.3434
2014-07-17,76.11,88990.1031,18.8035,2.3154
2014-07-18,77.47,90580.256,19.1395,2.3568
2014-07-21,77.04,90077.4871,19.0333,2.3437
2014-07-22,77.87,91047.9481,19.2383,2.369
2014-07-23,78.13,91351.9479,19.3026,2.3769
2014-07-24,78.89,92240.5628,19.4903,2.4
2014-07-25,79.12,92509.4857,19.5472,2.407
2014-07-28,78.38,91644.2554,19.3643,2.3845
2014-07-29,77.81,90977.7943,19.2235,2.3672
2014-07-30,77.74,90895.9482,19.2062,2.365
2014-07-31,76.36,89282.4106,18.8653,2.323
2014-08-01,76.49,89434.4105,18.8974,2.327
2014-08-04,77.37,90463.333,19.1148,2.3538
2014-08-05,77.27,89488.4036,19.0901,2.3507
2014-08-06,77.03,89210.4534,19.0308,2.3434
2014-08-07,76.11,88144.9774,18.8035,2.3154
2014-08-08,77.81,90113.7917,19.2235,2.3672
2014-08-11,78.36,90750.7611,19.3594,2.3839
2014-08-12,78.67,91109.7802,19.436,2.3933
2014-08-13,78.91,91387.7304,19.4953,2.4006
2014-08-14,79.3,91839.3996,19.5916,2.4125
2014-08-15,78.91,91387.7304,19.4953,2.4006
2014-08-18,79.15,91665.6807,19.5546,2.4079
2014-08-19,79.53,92105.7686,19.6485,2.4195
2014-08-20,79.61,92198.4187,19.6682,2.4219
2014-08-21,78.98,91468.7993,19.5126,2.4027
2014-08-22,79.24,91769.9121,19.5768,2.4107
2014-08-25,79.21,91735.1683,19.5694,2.4097
2014-08-26,79.35,91897.3059,19.604,2.414
2014-08-27,79.43,91989.956,19.6237,2.4164
2014-08-28,79.43,91989.956,19.6237,2.4164
2014-08-29,79.45,92013.1185,19.6287,2.417
2014-09-02,79.73,92337.3938,19.6979,2.4256
2014-09-03,80.36,93067.0133,19.8535,2.4447
2014-09-04,80.31,93009.107,19.8412,2.4432
2014-09-05,81.64,94549.4147,20.1697,2.4837
2014-09-08,81.4,94271.4644,20.1104,2.4764
2014-09-09,80.86,93646.0763,19.977,2.4599
2014-09-10,80.91,93703.9826,19.9894,2.4615
2014-09-11,81.09,93912.4453,20.0339,2.4669
2014-09-12,80.57,93310.2198,19.9054,2.4511
2014-09-15,81.24,94086.1643,20.0709,2.4715
2014-09-16,82.22,95221.1278,20.313,2.5013
2014-09-17,82.24,95244.2904,20.318,2.5019
2014-09-18,81.18,94016.6767,20.0561,2.4697
2014-09-19,81.37,94236.7206,20.103,2.4755
2014-09-22,80.6,93344.9635,19.9128,2.452
2014-09-23,79.99,92638.5066,19.7621,2.4335
2014-09-24,80.82,93599.7513,19.9672,2.4587
2014-09-25,79.84,92464.7877,19.725,2.4289
2014-09-26,80.29,92985.9445,19.8362,2.4426
2014-09-29,80.03,92684.8317,19.772,2.4347
2014-09-30,79.59,92175.2562,19.1892,2.4083
2014-10-01,79.14,91654.0994,19.0807,2.3947
2014-10-02,80.06,92719.5755,19.3025,2.4226
2014-10-03,81.33,94190.3956,19.6087,2.461
2014-10-06,81.34,94201.9769,19.6111,2.4613
2014-10-07,81.03,93842.9578,19.5364,2.4519
2014-10-08,82.52,95568.5657,19.8956,2.497
2014-10-09,81.95,94908.4338,19.7582,2.4797
2014-10-10,82.48,95522.2406,19.886,2.4958
2014-10-13,80.12,92789.063,19.317,2.4244
2014-10-14,80.68,93437.6136,19.452,2.4413
2014-10-15,78.99,91480.3805,19.0445,2.3902
2014-10-16,78.81,91271.9178,19.0011,2.3847
2014-10-17,79.96,92603.7628,19.2784,2.4195
2014-10-20,81.76,94688.3898,19.7124,2.474
2014-10-21,82.92,96031.8161,19.9921,2.5091
2014-10-22,83.25,96413.9977,20.0716,2.5191
2014-10-23,83.6,96819.3418,20.156,2.5297
2014-10-24,84.29,97618.4489,20.3224,2.5506
2014-10-27,84.84,98255.4182,20.455,2.5672
2014-10-28,85.2,98672.3436,20.5418,2.5781
2014-10-29,85.19,98660.7623,20.5394,2.5778
2014-10-30,85.55,99077.6877,20.6262,2.5887
2014-10-31,85.81,99378.8005,20.6888,2.5965
2014-11-03,86.12,99737.8196,20.7636,2.6059
2014-11-04,85.47,97981.3912,20.6069,2.5863
2014-11-05,87.5,100308.5495,21.0963,2.6477
2014-11-06,88.43,101374.6861,21.3205,2.6758
2014-11-07,88.38,101317.3669,21.3085,2.6743
2014-11-10,89.19,102245.9375,21.5038,2.6988
2014-11-11,89.76,102899.376,21.6412,2.7161
2014-11-12,89.29,102360.5758,21.5279,2.7019
2014-11-13,90.13,103323.5379,21.7304,2.7273
2014-11-14,89.13,102177.1545,21.4893,2.697
2014-11-17,90.12,103312.0741,21.728,2.727
2014-11-18,90.12,103312.0741,21.728,2.727
2014-11-19,89.59,102704.4909,21.6002,2.7109
2014-11-20,89.25,102314.7205,21.5182,2.7006
2014-11-21,89.33,102406.4312,21.5375,2.7031
2014-11-24,90.87,104171.8616,21.9088,2.7497
2014-11-25,90.29,103506.9592,21.769,2.7321
2014-11-26,90.89,104194.7893,21.9136,2.7503
2014-11-28,91.36,104733.5895,22.0269,2.7645
2014-12-01,90.16,103357.9294,21.7376,2.7282
2014-12-02,90.09,103277.6826,21.7207,2.7261
2014-12-03,89.14,102188.6183,21.4917,2.6973
2014-12-04,89.84,102991.0867,21.6605,2.7185
2014-12-05,90.7,103976.9765,21.8678,2.7445
2014-12-08,90.76,104045.7595,21.8823,2.7463
2014-12-09,91.25,104607.4873,22.0004,2.7612
2014-12-10,90.11,103300.6102,21.7256,2.7267
2014-12-11,90.93,104240.6446,21.9233,2.7515
2014-12-12,89.94,103105.7251,21.6846,2.7215
2014-12-15,89.87,103025.4782,21.6677,2.7194
2014-12-16,92.31,105822.6538,22.256,2.7932
2014-12-17,94.17,107954.9269,22.7044,2.8495
2014-12-18,95.52,109502.5446,23.0299,2.8904
2014-12-19,95.7,109708.8936,23.0733,2.8958
2014-12-22,97.11,111325.2942,23.4133,2.9385
2014-12-23,97.87,112196.5456,23.5965,2.9615
2014-12-24,97.89,112219.4733,23.6013,2.9621
2014-12-26,98.25,112632.1713,23.6881,2.973
2014-12-29,97.55,111829.7029,23.5194,2.9518
2014-12-30,97.53,111806.7752,23.5145,2.9512
2014-12-31,96.31,110408.1875,22.7272,2.8925
2015-01-02,95.1,109021.0635,22.4417,2.8562
2015-01-05,94.16,107943.4631,22.2199,2.8279
2015-01-06,94.23,108023.7099,22.2364,2.83
2015-01-07,95.93,109972.5618,22.6376,2.8811
2015-01-08,97.97,112311.1839,23.119,2.9424
2015-01-09,97.92,112253.8648,23.1072,2.9409
2015-01-12,97.2,111428.4687,22.9373,2.9192
2015-01-13,97.24,111474.324,22.9467,2.9204
2015-01-14,97.33,111577.4985,22.9679,2.9231
2015-01-15,97.17,111394.0772,22.9302,2.9183
2015-01-16,98.74,113193.8992,23.3007,2.9655
2015-01-20,98.37,112769.7373,23.2134,2.9544
2015-01-21,99.5,114065.1506,23.48,2.9883
2015-01-22,100.28,114959.3296,23.6641,3.0117
2015-01-23,100.62,115349.1,23.7443,3.0219
2015-01-26,101.01,115796.1895,23.8363,3.0337
2015-01-27,100.82,115578.3767,23.7915,3.0279
2015-01-28,99.6,114179.7889,23.5036,2.9913
2015-01-29,100.11,114764.4445,23.624,3.0066
2015-01-30,98.16,112528.9968,23.1638,2.9481
2015-02-02,99.11,113618.061,23.388,2.9766
2015-02-03,100.13,114787.3721,23.6287,3.0072
2015-02-04,100.46,115165.6787,23.7066,3.0171
2015-02-05,100.76,115509.5937,23.7773,3.0261
2015-02-06,100.61,115337.6362,23.7419,3.0216
2015-02-09,99.56,114133.9336,23.4942,2.9901
2015-02-10,101.68,114415.6931,23.9944,3.0538
2015-02-11,102.59,115439.673,24.2092,3.0811
2015-02-12,103.0,115901.0266,24.3059,3.0934
2015-02-13,102.63,115484.6831,24.2186,3.0823
2015-02-17,103.55,116519.9156,24.4357,3.1099
2015-02-18,104.1,117138.8046,24.5655,3.1265
2015-02-19,102.62,115473.4306,24.2163,3.082
2015-02-20,102.7,115563.4508,24.2351,3.0844
2015-02-23,103.26,116193.5923,24.3673,3.1012
2015-02-24,103.36,116306.1176,24.3909,3.1042
2015-02-25,103.44,116396.1378,24.4098,3.1066
2015-02-26,104.17,117217.5723,24.582,3.1286
2015-02-27,103.87,116879.9964,24.5112,3.1195
2015-03-02,104.19,117240.0773,24.5868,3.1292
2015-03-03,103.45,116407.3903,24.4121,3.1069
2015-03-04,103.08,115991.0468,24.3248,3.0958
2015-03-05,103.36,116306.1176,24.3909,3.1042
2015-03-06,101.9,114663.2487,24.0464,3.0604
2015-03-09,102.5,115338.4003,24.188,3.0784
2015-03-10,101.53,114246.9052,23.9591,3.0493
2015-03-11,101.56,114280.6627,23.9661,3.0502
