Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,27.7,23698.6214,8.8626,2.0257
2014-01-03,29.23,25007.6066,9.3521,2.1376
2014-01-06,29.29,25058.9394,9.3713,2.142
2014-01-07,28.78,24622.611,9.2081,2.1047
2014-01-08,29.8,25495.2678,9.5345,2.1792
2014-01-09,31.06,26573.2556,9.9376,2.2714
2014-01-10,31.47,26924.0294,10.0688,2.3014
2014-01-13,30.92,26453.4792,9.8928,2.2612
2014-01-14,32.01,27386.0242,10.2416,2.3409
2014-01-15,31.5,26949.6958,10.0784,2.3036
2014-01-16,31.58,27018.1395,10.104,2.3094
2014-01-17,31.07,26581.8111,9.9408,2.2721
2014-01-21,32.08,27445.9124,10.264,2.346
2014-01-22,32.84,28096.1273,10.5071,2.4016
2014-01-23,32.5,27805.2417,10.3983,2.3767
2014-01-24,31.11,26616.0329,9.9536,2.275
2014-01-27,30.59,26171.149,9.7872,2.237
2014-01-28,30.9,26436.3683,9.8864,2.2597
2014-01-29,29.92,25597.9333,9.5729,2.188
2014-01-30,30.58,26162.5936,9.784,2.2363
2014-01-31,30.61,26188.26,9.7936,2.2385
2014-02-03,29.38,25135.9385,9.4001,2.1485
2014-02-04,29.94,25615.0442,9.5793,2.1895
2014-02-05,30.02,25683.4879,9.6049,2.1953
2014-02-06,30.89,26427.8128,9.8832,2.259
2014-02-07,31.65,27078.0277,10.1264,2.3145
2014-02-10,31.21,26701.5875,9.9856,2.2824
2014-02-11,31.41,26872.6967,10.0496,2.297
2014-02-12,31.13,26633.1438,9.96,2.2765
2014-02-13,31.35,26821.3639,10.0304,2.2926
2014-02-14,31.34,26812.8085,10.0272,2.2919
2014-02-18,30.92,26453.4792,9.8928,2.2612
2014-02-19,30.57,26154.0381,9.7808,2.2356
2014-02-20,31.84,27240.5814,10.1872,2.3284
2014-02-21,31.76,27172.1377,10.1616,2.3226
2014-02-24,32.45,27562.3455,10.3823,2.373
2014-02-25,33.24,28233.3548,10.6351,2.4308
2014-02-26,33.51,28462.6871,10.7215,2.4506
2014-02-27,33.32,28301.3052,10.6607,2.4367
2014-02-28,33.21,28207.8735,10.6255,2.4286
2014-03-03,32.59,27681.2586,10.4271,2.3833
