Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,62.4185,53208.43,,
2014-01-03,62.1339,52965.8568,,
2014-01-06,62.0201,52868.8275,,
2014-01-07,61.3371,52286.6518,,
2014-01-08,61.4083,52347.2951,,
2014-01-09,60.6115,51668.0902,,
2014-01-10,60.768,51801.5054,,
2014-01-13,59.6013,50806.9553,,
2014-01-14,60.6827,51728.7335,,
2014-01-15,61.2518,52213.8799,,
2014-01-16,61.3087,52262.3945,,
2014-01-17,61.2802,52238.1372,,
2014-01-21,65.3495,55706.9339,,
2014-01-22,64.9938,55403.7174,,
2014-01-23,63.6279,54239.366,,
2014-01-24,61.764,52650.5116,,
2014-01-27,61.3229,52274.5232,,
2014-01-28,61.266,52226.0085,,
2014-01-29,63.6421,54251.4947,,
2014-01-30,64.4673,54954.957,,
2014-01-31,64.7519,55197.5301,,
2014-02-03,63.5852,54202.9801,,
2014-02-04,63.9693,54530.4539,,
2014-02-05,63.8128,54397.0386,,
2014-02-06,64.8657,55294.5594,,
2014-02-07,64.8799,55306.6881,,
2014-02-10,65.2214,55597.7759,,
2014-02-11,66.6442,56810.6419,,
2014-02-12,65.9755,56240.5949,,
2014-02-13,65.8759,56155.6943,,
2014-02-14,66.4592,56791.383,,
2014-02-18,66.5588,56876.4911,,
2014-02-19,66.0751,56463.1091,,
2014-02-20,67.0711,57314.1896,,
2014-02-21,66.8149,57095.3403,,
2014-02-24,66.8007,57083.182,,
2014-02-25,67.1849,57411.4559,,
2014-02-26,68.0528,58153.1118,,
2014-02-27,69.0203,58979.8756,,
2014-02-28,69.3049,59223.0415,,
2014-03-03,68.9207,58894.7676,,
2014-03-04,70.372,60134.9134,,
2014-03-05,71.0122,60682.0366,,
2014-03-06,70.8273,60523.9788,,
2014-03-07,70.4431,60195.7049,,
2014-03-10,70.8984,60584.7702,,
2014-03-11,70.0874,59891.7476,,
2014-03-12,69.7602,59612.1068,,
2014-03-13,69.3475,59259.5164,,
2014-03-14,69.2195,59150.0917,,
2014-03-17,69.7175,59575.632,,
2014-03-18,70.6708,60390.2375,,
2014-03-19,70.5854,60317.2878,,
2014-03-20,71.4818,61083.2602,,
2014-03-21,71.4391,61046.7853,,
2014-03-24,71.3679,60985.9939,,
2014-03-25,72.0509,61569.5919,,
2014-03-26,70.3293,60098.4385,,
2014-03-27,68.2804,58347.6444,,
2014-03-28,68.5792,58602.9686,,
2014-03-31,69.1341,58768.8754,,
2014-04-01,70.7277,60123.4986,,
2014-04-02,70.998,60353.3008,,
2014-04-03,70.5142,59942.0759,,
2014-04-04,69.2764,58889.8239,,
2014-04-07,68.1951,57970.6153,,
2014-04-08,68.3943,58139.9432,,
2014-04-09,69.6748,59228.4797,,
2014-04-10,67.8678,57692.4338,,
2014-04-11,66.8007,56785.3201,,
2014-04-14,67.5833,57450.5368,,
2014-04-15,67.6829,57535.2008,,
2014-04-16,69.0061,58660.0218,,
2014-04-17,69.3191,58926.1085,,
2014-04-21,69.3618,58962.393,,
2014-04-22,69.6321,59192.1952,,
2014-04-23,70.2439,59712.2737,,
2014-04-24,70.0589,59555.0407,,
2014-04-25,69.0061,58660.0218,,
2014-04-28,67.2845,57196.545,,
2014-04-29,69.2906,58637.6357,,
2014-04-30,70.998,60082.5056,,
2014-05-01,69.3049,58649.6763,,
2014-05-02,69.2764,58625.5951,,
2014-05-05,70.2297,59432.3141,,
2014-05-06,69.874,59131.2996,,
2014-05-07,70.4573,59624.9634,,
2014-05-08,70.0163,59251.7054,,
2014-05-09,70.1016,59323.9489,,
2014-05-12,71.311,60347.3984,,
2014-05-13,71.2114,60263.1143,,
2014-05-14,71.4248,60443.723,,
2014-05-15,69.1626,58529.2704,,
2014-05-16,69.689,58974.772,,
2014-05-19,70.2012,59408.2329,,
2014-05-20,70.7703,59889.8562,,
2014-05-21,71.0549,60130.6679,,
2014-05-22,70.8273,59938.0186,,
2014-05-23,72.1078,61021.671,,
2014-05-27,72.4635,61322.6855,,
2014-05-28,73.6586,62334.0944,,
2014-05-29,74.6546,63176.9352,,
2014-05-30,74.1566,62755.5148,,
2014-06-02,74.7115,63225.0975,,
2014-06-03,74.8538,63345.5034,,
2014-06-04,74.6688,63188.9758,,
2014-06-05,74.868,63357.5439,,
2014-06-06,75.5937,63971.6136,,
2014-06-09,75.3945,63803.0455,,
2014-06-10,75.6221,63995.6948,,
2014-06-11,75.2095,63646.5179,,
2014-06-12,73.9859,62611.0278,,
2014-06-13,74.555,63092.6511,,
2014-06-16,74.4127,62972.2453,,
2014-06-17,73.9859,62611.0278,,
2014-06-18,74.7257,63237.1381,,
2014-06-19,74.0855,62695.3119,,
2014-06-20,74.6546,63176.9352,,
2014-06-23,75.2522,63682.6397,,
2014-06-24,74.4412,62996.3265,,
2014-06-25,74.8538,63345.5034,,
2014-06-26,74.1566,62755.5148,,
2014-06-27,73.431,62141.4451,,
2014-06-30,73.2176,61960.8364,,
2014-07-01,73.3314,62057.161,,
2014-07-02,73.3029,62033.0799,,
2014-07-03,74.057,62671.2307,,
2014-07-07,72.8903,61683.903,,
2014-07-08,72.5489,61394.929,,
2014-07-09,72.8476,61647.7813,,
2014-07-10,72.7338,61551.4566,,
2014-07-11,73.4168,62129.4045,,
2014-07-14,73.2745,62008.9987,,
2014-07-15,73.3314,62057.161,,
2014-07-16,74.0855,62695.3119,,
2014-07-17,73.4879,62189.6075,,
2014-07-18,73.5448,62237.7698,,
2014-07-21,73.7867,62442.4597,,
2014-07-22,74.4127,62972.2453,,
2014-07-23,76.675,64886.6979,,
2014-07-24,76.6039,64826.495,,
2014-07-25,76.4189,64669.9674,,
2014-07-28,76.4047,64657.9268,,
2014-07-29,76.049,63824.2783,,
2014-07-30,74.6688,62666.008,,
2014-07-31,72.6627,60982.3366,,
2014-08-01,72.5204,60862.9273,,
2014-08-04,73.5306,61710.7335,,
2014-08-05,72.7054,61018.1594,,
2014-08-06,73.2603,61483.8558,,
2014-08-07,73.0184,61280.8599,,
2014-08-08,74.3843,62427.1893,,
2014-08-11,73.7013,61854.0246,,
2014-08-12,73.7013,61854.0246,,
2014-08-13,74.6973,62689.8898,,
2014-08-14,74.1709,62248.0754,,
2014-08-15,74.0143,62116.7251,,
2014-08-18,75.238,63143.6452,,
2014-08-19,75.5225,63382.4639,,
2014-08-20,75.8355,63645.1643,,
2014-08-21,75.5083,63370.5229,,
2014-08-22,75.5652,63418.2866,,
2014-08-25,75.5937,63442.1685,,
2014-08-26,75.551,63406.3457,,
2014-08-27,76.3193,64051.156,,
2014-08-28,76.3193,64051.156,,
2014-08-29,76.1912,63943.6876,,
2014-09-02,76.1912,63943.6876,,
2014-09-03,76.6892,64361.6202,,
2014-09-04,77.2441,64827.3166,,
2014-09-05,77.9697,65436.3041,,
2014-09-08,77.2726,64851.1984,,
2014-09-09,76.0632,63836.2192,,
2014-09-10,75.9209,63716.8099,,
2014-09-11,75.238,63143.6452,,
2014-09-12,74.9392,62892.8857,,
2014-09-15,75.4656,63334.7001,,
2014-09-16,76.0916,63860.1011,,
2014-09-17,77.0449,64660.1435,,
2014-09-18,76.2482,63991.4514,,
2014-09-19,76.1059,63872.042,,
2014-09-22,75.2095,63119.7634,,
2014-09-23,75.1099,63036.1768,,
2014-09-24,76.1486,63907.8648,,
2014-09-25,75.5937,63442.1685,,
2014-09-26,76.2197,63967.5695,,
2014-09-29,76.0063,63788.4555,,
2014-09-30,74.6119,62618.2442,,
2014-10-01,71.7805,60241.9989,,
2014-10-02,71.7379,60206.1761,,
2014-10-03,72.0224,60444.9947,,
2014-10-06,71.8517,60301.7036,,
2014-10-07,70.4289,59107.6104,,
2014-10-08,71.1403,59704.657,,
2014-10-09,68.6219,57591.1121,,
2014-10-10,67.6829,56803.0107,,
2014-10-13,63.8697,53602.841,,
2014-10-14,62.5038,52456.5116,,
