Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,13.985,2897.9775,,3.2707
2014-01-03,14.2883,2960.8343,,3.3417
2014-01-06,14.665,3038.8874,,3.4298
2014-01-07,14.4883,3002.2784,,3.3884
2014-01-08,14.3167,2966.7056,,3.3483
2014-01-09,14.685,3043.0318,,3.4344
2014-01-10,14.76,3058.5733,,3.452
2014-01-13,14.2133,2945.2928,,3.3241
2014-01-14,13.765,2852.389,,3.2193
2014-01-15,13.84,2867.9305,,3.2368
2014-01-16,12.6083,2612.704,,2.9488
2014-01-17,12.5033,2590.9459,,2.9242
2014-01-21,12.705,2632.7353,,2.9714
2014-01-22,12.4117,2571.9507,,2.9028
2014-01-23,12.2917,2547.0842,,2.8747
2014-01-24,12.4483,2579.5488,,2.9113
2014-01-27,12.7417,2640.3334,,2.9799
2014-01-28,13.0217,2698.3551,,3.0454
2014-01-29,12.4533,2580.5849,,2.9125
2014-01-30,13.105,2715.6235,,3.0649
2014-01-31,12.9917,2692.1385,,3.0384
2014-02-03,12.5583,2602.343,,2.9371
2014-02-04,12.625,2616.1577,,2.9527
2014-02-05,13.0567,2705.6079,,3.0536
2014-02-06,13.0433,2702.8449,,3.0505
2014-02-07,13.535,2804.7283,,3.1655
2014-02-10,13.575,2813.0171,,3.1748
2014-02-11,13.6783,2834.4299,,3.199
2014-02-12,13.7433,2847.8992,,3.2142
2014-02-13,14.1217,2926.2976,,3.3027
2014-02-14,14.03,2907.3024,,3.2813
2014-02-18,14.375,2978.7934,,3.3619
2014-02-19,14.25,2952.8909,,3.3327
2014-02-20,14.26,2954.9631,,3.335
2014-02-21,13.9333,2887.2711,,3.2586
2014-02-24,14.0417,2909.72,,3.284
2014-02-25,14.0183,2904.8848,,3.2785
2014-02-26,13.7233,2843.7548,,3.2095
2014-02-27,14.1117,2924.2254,,3.3004
2014-02-28,12.3917,2567.8063,,2.8981
2014-03-03,12.145,2522.8021,,2.8404
2014-03-04,12.38,2571.6172,,2.8954
2014-03-05,12.5017,2596.8902,,2.9238
2014-03-06,12.6783,2633.588,,2.9651
2014-03-07,12.7117,2640.5121,,2.9729
2014-03-10,12.685,2634.9728,,2.9667
2014-03-11,12.5083,2598.275,,2.9254
2014-03-12,12.3083,2556.7303,,2.8786
2014-03-13,12.1433,2522.4559,,2.84
2014-03-14,12.2667,2548.0752,,2.8689
2014-03-17,12.2767,2550.1524,,2.8712
2014-03-18,12.575,2612.1232,,2.941
2014-03-19,12.5717,2611.4308,,2.9402
2014-03-20,12.7867,2656.0914,,2.9905
2014-03-21,12.555,2607.9688,,2.9363
2014-03-24,12.9783,2695.9051,,3.0353
2014-03-25,12.855,2670.2858,,3.0065
2014-03-26,12.78,2654.7066,,2.9889
2014-03-27,12.9767,2695.5589,,3.0349
2014-03-28,13.1633,2734.3339,,3.0786
2014-03-31,13.2883,2760.2994,19.4675,3.1058
2014-04-01,13.515,2807.3834,19.7995,3.1588
2014-04-02,13.315,2765.8386,19.5065,3.112
2014-04-03,13.2067,2743.3353,19.3478,3.0867
2014-04-04,13.33,2768.9545,19.5285,3.1155
2014-04-07,13.07,2714.9464,19.1476,3.0548
2014-04-08,13.0383,2708.3685,19.1012,3.0474
2014-04-09,13.3467,2772.4166,19.5529,3.1194
2014-04-10,13.1067,2722.5629,19.2013,3.0633
2014-04-11,12.685,2634.9728,18.5836,2.9648
