Date,Price,Market Cap,PE Ratio,PB Ratio
2018-12-21,21.3343,7249.9698,,1.6914
2018-12-24,,7249.9698,,
2018-12-26,22.7187,7720.4332,,1.8012
2018-12-27,22.5619,7667.1414,,1.7887
2018-12-28,22.9818,32638.4841,,1.822
2018-12-31,24.722,35109.8991,,1.96
2019-01-02,23.8367,33852.6386,,1.8898
2019-01-03,22.83,32422.9537,,1.81
2019-01-04,23.2802,33062.3605,,1.8457
2019-01-07,23.432,33277.8909,,1.8577
2019-01-08,23.7102,33673.0299,,1.8798
2019-01-09,23.7456,33723.3204,,1.8826
2019-01-10,22.8604,32466.0598,,1.8124
2019-01-11,22.4961,31948.7869,,1.7835
2019-01-14,21.6513,30749.0011,,1.7165
2019-01-15,21.7576,30899.8724,,1.725
2019-01-16,21.5603,30619.6829,,1.7093
2019-01-17,22.1117,31402.7766,,1.753
2019-01-18,21.9296,31144.1401,,1.7386
2019-01-22,22.2887,31654.2287,,1.7671
2019-01-23,22.572,32056.5521,,1.7895
2019-01-24,22.744,32300.8198,,1.8032
2019-01-25,23.2246,32983.3327,,1.8413
2019-01-28,23.7254,33694.583,,1.881
2019-01-29,23.7001,33658.6612,,1.879
2019-01-30,24.2819,34484.861,,1.9251
2019-01-31,24.5803,34908.7375,,1.9488
2019-02-01,25.1165,35670.2781,,
2019-02-04,25.7135,36518.031,,
2019-02-05,25.8349,36690.4553,,
2019-02-06,25.7691,36597.0588,,
2019-02-07,25.5162,36237.8415,,
2019-02-08,26.0473,36992.1978,,
2019-02-11,26.3155,37372.9682,,
2019-02-12,27.1147,38508.0948,,
2019-02-13,27.2918,38759.5469,,
2019-02-14,27.5093,39068.4738,,
2019-02-15,27.823,39513.9033,,
2019-02-19,27.8432,39542.6407,,
2019-02-20,28.0961,39901.858,,
2019-02-21,28.0961,39901.858,,
2019-02-22,28.4199,40361.6561,,
2019-02-25,28.6526,40692.136,,
2019-02-26,28.6981,40756.7951,,
2019-02-27,28.4553,40411.9465,,
2019-02-28,28.2378,40103.0197,,
2019-03-01,28.6576,40699.3204,,
2019-03-04,27.995,39758.171,,
2019-03-05,27.8837,39600.1154,,
2019-03-06,27.1805,38601.4913,,
2019-03-07,26.877,38170.4306,,
2019-03-08,26.4824,37610.0516,,
2019-03-11,27.393,38903.2339,,
2019-03-12,27.6712,39298.3729,,
2019-03-13,27.7977,39477.9815,,
2019-03-14,28.9258,41080.0907,,
2019-03-15,30.4687,43271.3163,,
2019-03-18,30.6002,43458.1093,,
2019-03-19,30.5749,43422.1875,,
2019-03-20,30.1651,42840.2555,,
2019-03-21,30.7115,43616.1649,,
2019-03-22,30.1247,42782.7807,,
2019-03-25,28.9814,41159.1185,,
2019-03-26,29.7908,42308.6139,,
2019-03-27,29.1079,41338.7272,,
2019-03-28,28.7942,40893.2977,,
2019-03-29,29.6896,42106.9596,,
2019-04-01,30.5698,43420.7192,,
2019-04-02,30.9948,44024.2837,,
2019-04-03,31.1567,44254.2131,,
2019-04-04,30.5243,43356.0516,,
2019-04-05,31.4652,44692.5159,,
2019-04-08,31.6119,44900.8893,,
2019-04-09,31.2275,44354.8071,,
2019-04-10,32.0166,45475.7127,,
2019-04-11,32.305,45885.2743,,
2019-04-12,32.1279,45633.7891,,
2019-04-15,32.3151,45899.6449,,
2019-04-16,31.7637,45116.4481,,
2019-04-17,31.7435,45087.7069,,
2019-04-18,31.7941,45159.5598,,
2019-04-22,31.9964,45446.9715,,
2019-04-23,32.8817,46704.3976,,
2019-04-24,33.514,47602.5591,,
2019-04-25,33.8934,48141.456,,
2019-04-26,33.0638,46963.0681,,
2019-04-29,33.1599,47099.5887,,
2019-04-30,34.1008,48436.053,,
2019-05-01,34.6927,49276.7321,,
2019-05-02,34.4701,48960.5793,,
2019-05-03,34.7534,49362.9556,,
2019-05-06,34.4954,48996.5057,,
2019-05-07,34.1413,48493.5353,,
2019-05-08,33.944,48213.3089,,
2019-05-09,33.939,48206.1236,,
2019-05-10,33.9744,48256.4207,,
2019-05-13,32.396,46014.6096,,
2019-05-14,33.4634,47530.7062,,
2019-05-15,34.3487,48788.1323,,
2019-05-16,35.3099,50153.3377,,
2019-05-17,35.1227,49887.4819,,
2019-05-20,34.3993,48859.9852,,
2019-05-21,35.234,50045.5584,,
2019-05-22,34.9052,49578.5144,,
2019-05-23,33.2358,47207.368,,
2019-05-24,33.4483,47509.1503,,
2019-05-28,33.595,47717.5238,,
2019-05-29,33.4887,47568.9071,,
2019-05-30,33.595,47719.8054,,
2019-05-31,30.1247,42790.4595,,
2019-06-03,28.258,40138.96,,
2019-06-04,29.1787,41446.7456,,
2019-06-05,27.57,39161.7135,,
2019-06-06,26.9276,38249.1378,,
2019-06-07,27.4688,39018.0008,,
2019-06-10,27.4183,38945.4041,,
2019-06-11,27.4891,39046.0011,,
2019-06-12,26.8264,38104.7008,,
2019-06-13,27.2311,38679.5407,,
2019-06-14,25.9614,36875.9805,,
2019-06-17,25.6123,36380.181,,
2019-06-18,26.0575,37012.5049,,
2019-06-19,27.0237,38384.9352,,
2019-06-20,27.5245,39096.2996,,
2019-06-21,27.312,38794.5087,,
2019-06-24,26.963,38298.7092,,
2019-06-25,26.4622,37587.3449,,
2019-06-26,26.9276,38248.4108,,
2019-06-27,26.4116,37515.4899,,
2019-06-28,25.6983,36502.3345,,
2019-07-01,26.0828,37048.4324,,
2019-07-02,26.3964,37493.9334,,
2019-07-03,26.7707,38025.6603,,
2019-07-05,26.4925,37630.4578,,
2019-07-08,25.9462,36854.424,,
2019-07-09,25.8501,36717.8995,,
2019-07-10,26.452,37572.9739,,
2019-07-11,27.054,38428.0482,,
2019-07-12,27.2058,38643.6132,,
2019-07-15,27.9343,39678.325,,
2019-07-16,28.3339,40245.9795,,
2019-07-17,28.5818,40598.0689,,
2019-07-18,29.032,41237.5783,,
2019-07-19,28.7335,40813.6339,,
2019-07-22,28.5413,40540.5849,,
2019-07-23,28.0557,39850.777,,
2019-07-24,28.4401,40396.8749,,
2019-07-25,27.8584,39570.5426,,
2019-07-26,27.9646,39721.438,,
2019-07-29,28.3137,40217.2375,,
2019-07-30,28.9511,41122.6103,,
2019-07-31,29.209,41489.0708,,
2019-08-01,29.1838,41453.1433,,
2019-08-02,26.5128,37659.1998,,
2019-08-05,25.5061,36229.2856,,
2019-08-06,25.6831,36480.778,,
2019-08-07,25.4858,36200.5436,,
2019-08-08,25.9664,36883.166,,
2019-08-09,25.5111,36236.4711,,
2019-08-12,25.0457,35575.4052,,
2019-08-13,25.0508,35582.5907,,
2019-08-14,24.5854,34921.5248,,
2019-08-15,23.7254,33699.9899,,
2019-08-16,24.4994,34799.3713,,
2019-08-19,24.813,35244.8722,,
2019-08-20,24.5196,34828.1133,,
2019-08-21,24.7776,35194.5737,,
2019-08-22,24.808,35237.6867,,
2019-08-23,23.174,32916.7706,,
2019-08-26,23.4775,33347.9005,,
2019-08-27,23.0678,32765.8751,,
2019-08-28,22.916,32550.3101,,
2019-08-29,23.6596,33606.5784,,
2019-08-30,26.0676,37026.8759,,
2019-09-03,25.8349,36696.343,,
2019-09-04,25.9006,36789.7378,,
2019-09-05,26.7707,38025.643,,
2019-09-06,26.9933,38341.8048,,
2019-09-09,27.4638,39010.0559,,
2019-09-10,28.0658,40203.5352,,
2019-09-11,27.9747,40073.0983,,
2019-09-12,27.393,39239.7518,,
2019-09-13,27.0692,38775.9763,,
2019-09-16,27.3677,39203.5193,,
2019-09-17,27.2412,39022.3571,,
2019-09-18,26.71,38261.4754,,
2019-09-19,26.8315,38435.3912,,
2019-09-20,26.2295,37573.0587,,
2019-09-23,26.7809,38362.9263,,
2019-09-24,26.4065,37826.6859,,
2019-09-25,27.1856,38942.6456,,
2019-09-26,26.3812,37790.4535,,
2019-09-27,25.7742,36920.8745,,
2019-09-30,26.2345,37580.3052,,
2019-10-01,26.1232,37420.8824,,
2019-10-02,25.6882,36797.6841,,
2019-10-03,25.8298,37000.5859,,
2019-10-04,25.4302,36428.1131,,
2019-10-07,25.5567,36609.2754,,
2019-10-08,24.6916,35370.1253,,
2019-10-09,25.0204,35841.1473,,
2019-10-10,24.7877,35507.8086,,
2019-10-11,25.4454,36449.8525,,
2019-10-14,25.6376,36725.2192,,
2019-10-15,25.8652,37051.3113,,
2019-10-16,25.5668,36623.7683,,
2019-10-17,25.4808,36500.578,,
2019-10-18,25.2278,36138.2534,,
2019-10-21,25.2885,36225.2113,,
2019-10-22,25.2835,36217.9648,,
2019-10-23,25.4454,36449.8525,,
2019-10-24,25.8045,36964.3534,,
2019-10-25,26.1435,37449.8684,,
2019-10-28,26.0979,37384.65,,
2019-10-29,26.9377,38587.5676,,
2019-10-30,27.1906,38949.8921,,
2019-10-31,26.7556,38326.6939,,
2019-11-01,26.9326,38580.3211,34.2381,
2019-11-04,27.2361,39015.1106,34.624,
2019-11-05,27.5346,39442.6536,35.0034,
2019-11-06,27.484,39370.1886,34.9391,
2019-11-07,27.4739,39355.6957,34.9262,
2019-11-08,27.4739,39355.6957,34.9262,
2019-11-11,27.5801,39507.872,35.0613,
2019-11-12,28.0405,40167.3027,35.6465,
2019-11-13,27.7117,39696.2808,35.2285,
2019-11-14,27.8483,39891.936,35.4021,
2019-11-15,28.1467,40319.479,35.7815,
2019-11-18,28.1113,40268.7536,35.7365,
2019-11-19,28.4351,40732.5291,36.1481,
2019-11-20,27.9595,40051.3589,35.5436,
2019-11-21,27.1704,38920.9062,34.5404,
2019-11-22,27.1198,38848.4413,34.4761,
2019-11-25,27.8533,39899.1825,35.4085,
2019-11-26,26.9073,38544.0886,34.206,
2019-11-27,25.4555,36464.3455,32.3603,
2019-11-29,24.5297,35138.2376,31.1834,
2019-12-02,24.1402,34580.2577,30.6883,
2019-12-03,23.9783,34348.37,30.4825,
2019-12-04,24.12,34551.2718,30.6625,
2019-12-05,23.948,34304.891,30.4439,
2019-12-06,23.8367,34145.4682,30.3024,
