Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,52.85,7685.8146,13.2008,1.9277
2014-01-03,52.72,7666.9091,13.1683,1.9229
2014-01-06,52.19,7589.8328,13.0359,1.9036
2014-01-07,53.47,7775.9793,13.3557,1.9503
2014-01-08,53.19,7735.2598,13.2857,1.9401
2014-01-09,53.73,7813.7904,13.4206,1.9598
2014-01-10,53.87,7834.1501,13.4556,1.9649
2014-01-13,53.75,7816.6989,13.4256,1.9605
2014-01-14,53.93,7842.8757,13.4706,1.9671
2014-01-15,54.49,7924.3148,13.6104,1.9875
2014-01-16,54.63,7944.6746,13.6454,1.9926
2014-01-17,54.68,7951.946,13.6579,1.9944
2014-01-21,54.53,7930.1319,13.6204,1.9889
2014-01-22,55.09,8011.571,13.7603,2.0094
2014-01-23,54.45,7918.4978,13.6004,1.986
2014-01-24,53.71,7810.8818,13.4156,1.959
2014-01-27,53.76,7818.1532,13.4281,1.9609
2014-01-28,53.36,7759.9824,13.3282,1.9463
2014-01-29,53.82,7826.8788,13.4431,1.963
2014-01-30,52.38,7617.464,13.0834,1.9105
2014-01-31,52.5,7634.9152,13.1134,1.9149
2014-02-03,51.08,7428.4089,12.7587,1.8631
2014-02-04,51.22,7448.7687,12.7937,1.8682
2014-02-05,51.1,7431.3175,12.7637,1.8638
2014-02-06,51.06,7425.5004,12.7537,1.8624
2014-02-07,50.8,7387.6894,12.6888,1.8529
2014-02-10,51.74,7524.3907,12.9235,1.8872
2014-02-11,52.34,7611.6469,13.0734,1.9091
2014-02-12,52.06,7570.9273,13.0035,1.8988
2014-02-13,52.2,7591.2871,13.0384,1.904
2014-02-14,52.6,7649.4579,13.1384,1.9185
2014-02-18,52.91,7635.291,13.2158,1.9298
2014-02-19,52.77,7615.088,13.1808,1.9247
2014-02-20,52.97,7643.9494,13.2308,1.932
2014-02-21,53.05,7655.494,13.2508,1.935
2014-02-24,53.81,7765.1674,13.4406,1.9627
2014-02-25,53.16,7671.3678,13.2782,1.939
2014-02-26,53.04,7654.0509,13.2483,1.9346
2014-02-27,52.76,7613.6449,13.1783,1.9244
2014-02-28,53.0,7648.2786,13.2383,1.9331
2014-03-03,52.38,7558.8082,13.0834,1.9105
2014-03-04,52.26,7541.4914,13.0534,1.9061
2014-03-05,52.1,7518.4022,13.0135,1.9003
2014-03-06,52.4,7561.6944,13.0884,1.9112
2014-03-07,52.58,7587.6696,13.1334,1.9178
2014-03-10,52.66,7599.2142,13.1533,1.9207
2014-03-11,54.13,7811.3457,13.5205,1.9743
2014-03-12,53.91,7779.5981,13.4656,1.9663
2014-03-13,54.04,7798.3581,13.498,1.9711
2014-03-14,53.59,7733.4199,13.3856,1.9547
2014-03-17,54.08,7804.1304,13.508,1.9725
2014-03-18,55.15,7958.539,13.7753,2.0116
2014-03-19,55.81,8053.7817,13.9401,2.0356
2014-03-20,55.68,8035.0218,13.9077,2.0309
2014-03-21,55.77,8048.0094,13.9302,2.0342
2014-03-24,55.52,8011.9326,13.8677,2.025
2014-03-25,54.94,7928.2345,13.7228,2.0039
2014-03-26,57.99,8368.3713,14.4847,2.1151
2014-03-27,57.88,8352.4975,14.4572,2.1111
2014-03-28,57.8,8340.9529,14.4372,2.1082
2014-03-31,57.92,8358.2698,14.5392,2.0893
2014-04-01,59.98,8655.5425,15.0563,2.1636
2014-04-02,61.15,8824.3819,15.35,2.2058
2014-04-03,60.62,8747.8991,15.2169,2.1867
2014-04-04,59.61,8602.1489,14.9634,2.1503
2014-04-07,58.78,8482.3739,14.755,2.1203
2014-04-08,59.84,8635.3395,15.0211,2.1586
2014-04-09,59.81,8628.3646,15.0136,2.1575
2014-04-10,59.16,8534.5937,14.8504,2.134
2014-04-11,58.68,8465.3475,14.7299,2.1167
2014-04-14,60.14,8675.9713,15.0964,2.1694
2014-04-15,60.08,8667.3156,15.0814,2.1672
2014-04-16,59.98,8652.8893,15.0563,2.1636
2014-04-17,59.48,8580.7578,14.9307,2.1456
2014-04-21,59.3,8554.7905,14.8856,2.1391
2014-04-22,58.4,8424.9539,14.6596,2.1066
2014-04-23,58.35,8417.7407,14.6471,2.1048
2014-04-24,57.57,8305.2157,14.4513,2.0767
2014-04-25,55.88,8061.4114,14.0271,2.0157
2014-04-28,55.9,8064.2966,14.0321,2.0164
2014-04-29,55.65,8028.2309,13.9693,2.0074
2014-04-30,55.93,8068.6245,14.0396,2.0175
2014-05-01,55.97,8086.8417,14.0497,2.019
2014-05-02,55.71,8049.2755,13.9844,2.0096
2014-05-05,55.5,8018.9336,13.9317,2.002
2014-05-06,55.57,8029.0476,13.9493,2.0045
2014-05-07,55.9,8076.7277,14.0321,2.0164
2014-05-08,57.27,8274.6726,14.376,2.0659
2014-05-09,57.18,8261.6689,14.3534,2.0626
2014-05-12,57.2,8264.5586,14.3584,2.0633
2014-05-13,57.27,8274.6726,14.376,2.0659
2014-05-14,57.14,8255.8895,14.3434,2.0612
2014-05-15,57.51,8309.3491,14.4362,2.0745
2014-05-16,57.9,8365.6983,14.5341,2.0886
2014-05-19,57.4,8293.4557,14.4086,2.0705
2014-05-20,57.21,8266.0035,14.3609,2.0637
2014-05-21,57.42,8296.3454,14.4136,2.0713
2014-05-22,57.34,8284.7866,14.3936,2.0684
2014-05-23,57.44,8299.2351,14.4187,2.072
2014-05-27,57.72,8339.691,14.4889,2.0821
2014-05-28,58.07,8390.2608,14.5768,2.0947
2014-05-29,59.6,8611.3233,14.9609,2.1499
2014-05-30,59.89,8653.224,15.0337,2.1604
2014-06-02,60.03,8673.452,15.0688,2.1654
2014-06-03,60.93,8803.4888,15.2947,2.1979
2014-06-04,61.64,8906.0733,15.473,2.2235
2014-06-05,61.34,8862.7277,15.3976,2.2127
2014-06-06,61.75,8921.9667,15.5006,2.2275
2014-06-09,61.7,8914.7424,15.488,2.2257
2014-06-10,61.06,8822.2718,15.3274,2.2026
2014-06-11,59.62,8614.213,14.9659,2.1506
2014-06-12,59.71,8627.2167,14.9885,2.1539
2014-06-13,59.21,8554.9741,14.863,2.1358
2014-06-16,58.55,8459.6138,14.6973,2.112
2014-06-17,58.57,8462.5035,14.7023,2.1127
2014-06-18,58.54,8458.1689,14.6948,2.1117
2014-06-19,58.64,8472.6174,14.7199,2.1153
2014-06-20,59.08,8536.191,14.8303,2.1311
2014-06-23,59.22,8556.4189,14.8655,2.1362
2014-06-24,58.95,8517.4079,14.7977,2.1265
2014-06-25,58.53,8456.7241,14.6923,2.1113
