Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,76.27,134027.7199,20.9844,2.9253
2014-01-03,76.11,133746.5552,20.9403,2.9191
2014-01-06,75.82,133236.9441,20.8606,2.908
2014-01-07,76.34,134150.7295,21.0036,2.9279
2014-01-08,75.22,132182.5763,20.6955,2.885
2014-01-09,74.9,131620.2468,20.6074,2.8727
2014-01-10,75.39,132481.3138,20.7423,2.8915
2014-01-13,73.27,128755.8809,20.159,2.8102
2014-01-14,74.45,130829.4709,20.4836,2.8555
2014-01-15,74.28,130530.7334,20.4369,2.8489
2014-01-16,74.21,130407.7238,20.4176,2.8462
2014-01-17,73.98,130003.5495,20.3543,2.8374
2014-01-21,74.2,130390.151,20.4148,2.8459
2014-01-22,75.31,132340.7314,20.7202,2.8884
2014-01-23,74.79,131426.946,20.5772,2.8685
2014-01-24,72.72,127789.3771,20.0076,2.7891
2014-01-27,72.25,126427.1899,19.8783,2.7711
2014-01-28,72.88,127529.6,20.0517,2.7952
2014-01-29,71.33,124817.3212,19.6252,2.7358
2014-01-30,73.22,128124.5515,20.1452,2.8083
2014-01-31,72.61,127057.1385,19.9774,2.7849
2014-02-03,69.99,122472.5124,19.2565,2.6844
2014-02-04,71.05,124327.3612,19.5482,2.725
2014-02-05,71.76,125727.7597,19.7435,2.7523
2014-02-06,75.56,132385.5842,20.789,2.898
2014-02-07,75.67,132578.3107,20.8193,2.9022
2014-02-10,77.06,135013.6729,21.2017,2.9556
2014-02-11,77.79,136292.676,21.4026,2.9836
2014-02-12,77.91,136502.9231,21.4356,2.9882
2014-02-13,77.9,136485.4025,21.4328,2.9878
2014-02-14,79.23,138815.6411,21.7988,3.0388
2014-02-18,79.58,139428.8617,21.8951,3.0522
2014-02-19,78.87,138184.8998,21.6997,3.025
2014-02-20,79.19,138745.5587,21.7878,3.0372
2014-02-21,80.13,140392.4942,22.0464,3.0733
2014-02-24,80.73,141443.7297,22.2115,3.0963
2014-02-25,80.21,140532.659,22.0684,3.0764
2014-02-26,80.08,140304.8913,22.0326,3.0714
2014-02-27,80.48,141005.7149,22.1427,3.0867
2014-02-28,80.81,141583.8944,22.2335,3.0994
2014-03-03,79.46,139218.6147,21.862,3.0476
2014-03-04,81.71,143160.7476,22.4811,3.1339
2014-03-05,82.68,144860.2449,22.748,3.1711
2014-03-06,83.34,146016.6039,22.9296,3.1964
