Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,49.47,6501.3136,23.9352,2.1985
2014-01-03,49.83,6548.6246,24.1093,2.2145
2014-01-06,49.73,6535.4827,24.061,2.21
2014-01-07,49.86,6552.5672,24.1239,2.2158
2014-01-08,49.48,6502.6278,23.94,2.1989
2014-01-09,49.7,6531.5401,24.0464,2.2087
2014-01-10,50.0,6570.9659,24.1916,2.222
2014-01-13,50.21,6598.5639,24.2932,2.2313
2014-01-14,51.2,6728.6691,24.7722,2.2753
2014-01-15,52.51,6900.8284,25.406,2.3336
2014-01-16,52.83,6942.8825,25.5608,2.3478
2014-01-17,51.77,6803.5781,25.048,2.3007
2014-01-21,53.03,6969.1664,25.6576,2.3567
2014-01-22,52.26,6867.9735,25.285,2.3224
2014-01-23,52.45,6892.9432,25.377,2.3309
2014-01-24,52.35,6879.8013,25.3286,2.3264
2014-01-27,51.51,6769.409,24.9222,2.2891
2014-01-28,52.12,6849.5748,25.2173,2.3162
2014-01-29,50.3,6610.3917,24.3367,2.2353
2014-01-30,49.95,6564.3949,24.1674,2.2198
2014-01-31,50.99,6701.071,24.6706,2.266
2014-02-03,50.11,6585.422,24.2448,2.2269
2014-02-04,51.85,6814.0916,25.0867,2.3042
2014-02-05,51.93,6824.6052,25.1254,2.3078
2014-02-06,51.45,6761.5239,24.8931,2.2865
2014-02-07,51.86,6815.4058,25.0915,2.3047
2014-02-10,52.86,6946.8251,25.5753,2.3491
2014-02-11,52.11,6848.2606,25.2125,2.3158
2014-02-12,52.91,6953.3961,25.5995,2.3513
2014-02-13,53.57,7040.1328,25.9189,2.3807
2014-02-14,53.39,7016.4774,25.8318,2.3727
2014-02-18,53.52,7033.5619,25.8947,2.3784
2014-02-19,52.64,6917.9129,25.4689,2.3393
2014-02-20,52.09,6845.6322,25.2028,2.3149
2014-02-21,53.48,7028.3051,25.8753,2.3767
2014-02-24,54.14,7115.0418,26.1947,2.406
2014-02-25,53.55,7037.5045,25.9092,2.3798
2014-02-26,53.59,7042.7612,25.9285,2.3816
2014-02-27,53.71,7058.5315,25.9866,2.3869
2014-02-28,54.16,7117.6702,26.2043,2.4069
2014-03-03,54.35,7142.0978,26.2963,2.4153
2014-03-04,54.94,7219.6293,26.5817,2.4415
2014-03-05,54.76,7195.9756,26.4946,2.4335
2014-03-06,54.3,7135.5273,26.2721,2.4131
