Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,56.4,11736.4995,20.5732,12.2386
2014-01-03,56.57,11771.8755,20.6352,12.2755
2014-01-06,56.76,11811.4134,20.7045,12.3167
2014-01-07,56.59,11776.0374,20.6425,12.2799
2014-01-08,56.64,11786.4421,20.6607,12.2907
2014-01-09,56.43,11742.7424,20.5841,12.2451
2014-01-10,55.89,11630.3716,20.3872,12.128
2014-01-13,55.13,11472.2202,20.1099,11.963
2014-01-14,55.27,11501.3534,20.161,11.9934
2014-01-15,55.19,11484.7059,20.1318,11.9761
2014-01-16,54.61,11364.0114,19.9203,11.8502
2014-01-17,54.32,11303.6641,19.8145,11.7873
2014-01-21,53.55,11143.4318,19.5336,11.6202
2014-01-22,53.14,11058.1132,19.384,11.5312
2014-01-23,52.56,10937.4187,19.1725,11.4054
2014-01-24,51.67,10752.2151,18.8478,11.2122
2014-01-27,51.07,10627.3587,18.629,11.082
2014-01-28,51.11,10635.6825,18.6435,11.0907
2014-01-29,50.57,10523.3117,18.4466,10.9735
2014-01-30,51.06,10625.2778,18.6253,11.0799
2014-01-31,50.52,10512.907,18.3605,8.9816
2014-02-03,49.68,10338.1081,18.0553,8.8323
2014-02-04,50.01,10406.7791,18.1752,8.891
2014-02-05,49.81,10365.1603,18.1025,8.8554
2014-02-06,50.89,10589.9018,18.495,9.0474
2014-02-07,51.39,10693.9488,18.6767,9.1363
2014-02-10,51.33,10681.4632,18.6549,9.1257
2014-02-11,51.58,10733.4866,18.7458,9.1701
2014-02-12,51.93,10806.3195,18.873,9.2323
2014-02-13,51.84,10787.5911,18.8403,9.2163
2014-02-14,51.92,10804.2386,18.8693,9.2305
2014-02-18,52.29,10881.2334,19.0038,9.2963
2014-02-19,52.19,10860.424,18.9675,9.2785
2014-02-20,51.52,10721.001,18.724,9.1594
2014-02-21,51.97,10814.6433,18.8875,9.2394
2014-02-24,52.33,10889.5571,19.0184,9.3034
2014-02-25,52.68,10962.39,19.1456,9.3657
2014-02-26,55.29,11505.5152,20.0941,9.8297
2014-02-27,54.66,11374.4161,19.8651,9.7177
2014-02-28,54.77,11397.3064,19.9051,9.7372
2014-03-03,54.72,11386.9017,19.887,9.7283
2014-03-04,54.63,11368.1732,19.8542,9.7123
2014-03-05,54.01,11239.155,19.6289,9.6021
2014-03-06,54.11,11259.9644,19.6653,9.6199
2014-03-07,54.33,11305.745,19.7452,9.659
2014-03-10,54.29,11297.4213,19.7307,9.6519
2014-03-11,54.43,11326.5544,19.7816,9.6768
2014-03-12,54.96,11436.8442,19.9742,9.771
2014-03-13,54.21,11280.7738,19.7016,9.6377
2014-03-14,53.92,11119.6515,19.5962,9.5861
2014-03-17,53.68,11070.1575,19.509,9.5434
2014-03-18,53.66,11066.033,19.5017,9.5399
2014-03-19,53.27,10985.6053,19.36,9.4706
2014-03-20,53.32,10995.9165,19.3781,9.4794
2014-03-21,52.75,10878.3683,19.171,9.3781
2014-03-24,52.29,10783.5048,19.0038,9.2963
2014-03-25,51.91,10705.1393,18.8657,9.2288
2014-03-26,52.03,10729.8863,18.9093,9.2501
2014-03-27,51.83,10688.6413,18.8366,9.2145
2014-03-28,52.15,10754.6333,18.9529,9.2714
2014-03-31,52.18,10760.82,18.9638,9.2768
2014-04-01,52.47,10820.6253,19.0692,9.3283
2014-04-02,52.82,10892.804,19.1964,9.3905
2014-04-03,52.76,10880.4305,19.1746,9.3799
2014-04-04,52.11,10746.3843,18.9384,9.2643
2014-04-07,50.94,10505.101,18.5132,9.0563
2014-04-08,50.89,10494.7898,18.495,9.0474
2014-04-09,52.13,10750.5088,18.9457,9.2679
2014-04-10,50.81,10478.2918,18.4659,9.0332
2014-04-11,50.74,10463.856,18.4405,9.0208
2014-04-14,50.94,10505.101,18.5132,9.0563
2014-04-15,50.73,10461.7938,18.4369,9.019
2014-04-16,50.69,10453.5448,18.4223,9.0119
2014-04-17,51.09,10536.0348,18.5677,9.083
2014-04-21,50.67,10449.4203,18.4151,9.0083
2014-04-22,51.36,10591.7155,18.6658,9.131
2014-04-23,51.51,10622.6493,18.7203,9.1577
2014-04-24,51.42,10604.089,18.6876,9.1417
2014-04-25,51.36,10591.7155,18.6658,9.131
2014-04-28,51.89,10701.0148,18.8584,9.2252
2014-04-29,51.51,10622.6493,18.7203,9.1577
2014-04-30,52.07,10738.1353,18.9239,9.2572
2014-05-01,51.64,10649.4585,18.7676,9.1808
2014-05-02,52.5,10826.812,18.5411,8.2387
2014-05-05,52.01,10725.7618,18.368,8.1618
2014-05-06,51.59,10639.1473,18.2197,8.0959
2014-05-07,51.92,10707.2015,18.3362,8.1477
2014-05-08,52.04,10731.9485,18.3786,8.1665
2014-05-09,52.77,10882.4928,18.6364,8.2811
2014-05-12,53.31,11023.2498,18.8271,8.3658
2014-05-13,52.19,10791.6602,18.4316,8.1901
2014-05-14,51.74,10698.6108,18.2727,8.1195
2014-05-15,51.01,10547.664,18.0148,8.0049
2014-05-16,51.79,10708.9496,18.2903,8.1273
2014-05-19,52.02,10756.5082,18.3715,8.1634
2014-05-20,51.12,10570.4095,18.0537,8.0222
2014-05-21,50.0,10338.8199,17.6582,7.8464
2014-05-22,53.31,11025.3167,18.8271,8.3658
2014-05-23,52.68,10895.0232,18.6046,8.267
2014-05-27,53.17,10996.3626,18.7777,8.3439
2014-05-28,52.78,10915.7047,18.6399,8.2827
2014-05-29,53.26,11014.976,18.8095,8.358
2014-05-30,53.03,10967.4085,18.7282,8.3219
