Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,63.7776,16227.3394,12.3843,2.0152
2014-01-03,63.7576,16222.2285,12.3804,2.0145
2014-01-06,63.3357,16114.898,12.2985,2.0012
2014-01-07,63.4496,16143.8602,12.3206,2.0048
2014-01-08,63.0746,16048.4554,12.2478,1.9929
2014-01-09,62.9875,16026.3078,12.2309,1.9902
2014-01-10,63.2353,16089.3432,12.279,1.998
2014-01-13,62.3715,15869.5713,12.1113,1.9707
2014-01-14,63.8915,16256.3016,12.4064,2.0187
2014-01-15,64.5209,16416.4454,12.5287,2.0386
2014-01-16,64.3468,16372.1503,12.4949,2.0331
2014-01-17,63.6839,16203.4882,12.3661,2.0122
2014-01-21,64.2932,16358.5211,12.4845,2.0314
2014-01-22,64.2062,16336.3735,12.4675,2.0287
2014-01-23,62.9942,16028.0115,12.2322,1.9904
2014-01-24,60.4833,15389.1399,11.7446,1.9111
2014-01-27,59.961,15256.2546,11.6432,1.8946
2014-01-28,60.5904,15416.3984,11.7654,1.9144
2014-01-29,60.0481,15278.4021,11.6601,1.8973
2014-01-30,59.7736,15208.5521,11.6068,1.8886
2014-01-31,57.959,14746.8609,11.2545,1.8313
2014-02-03,55.5485,14133.5441,10.7864,1.7551
2014-02-04,55.9904,14245.9856,10.8722,1.7691
2014-02-05,55.428,14102.8783,10.763,1.7513
2014-02-06,55.3342,14079.0271,10.7448,1.7484
2014-02-07,57.2091,14556.0513,11.1088,1.8076
2014-02-10,56.5462,14387.3891,10.9801,1.7867
2014-02-11,56.7537,14440.2025,11.0204,1.7932
2014-02-12,57.1689,14545.8293,11.101,1.8063
2014-02-13,57.1153,14532.2,11.0906,1.8046
2014-02-14,57.6242,14631.7495,11.1895,1.8207
2014-02-18,58.3206,14808.5683,11.3247,1.8427
2014-02-19,57.9724,14720.1589,11.2571,1.8317
2014-02-20,59.3115,15060.1949,11.5171,1.874
2014-02-21,59.5861,15129.9023,11.5704,1.8827
2014-02-24,59.9075,15211.5109,11.6328,1.8929
2014-02-25,60.2623,15301.6205,11.7017,1.9041
2014-02-26,60.9185,15468.2381,11.8292,1.9248
2014-02-27,61.4408,15600.8522,11.9306,1.9413
2014-02-28,63.1415,16032.6979,12.2608,1.9951
2014-03-03,63.8479,13448.4242,12.398,2.0174
2014-03-04,64.1546,13513.0311,12.4575,2.0271
2014-03-05,64.4694,13579.3381,12.5187,2.037
2014-03-06,65.8497,13870.0689,12.7867,2.0806
2014-03-07,66.4066,13987.3813,12.8948,2.0982
2014-03-10,66.6003,14028.1856,12.9324,2.1043
2014-03-11,66.1241,13927.875,12.84,2.0893
2014-03-12,65.6317,13824.164,12.7444,2.0737
