Date,Price,Market Cap,PE Ratio,PB Ratio
2019-03-20,49.8,37175.7,9.6026,1.1394
2019-03-21,48.98,36563.57,9.4445,1.1207
2019-03-22,48.6,36279.9,9.3712,1.112
2019-03-25,49.15,36690.475,9.4772,1.1246
2019-03-26,48.85,36466.525,9.4194,1.1177
2019-03-27,50.1,37399.65,9.6604,1.1463
2019-03-28,50.85,37959.525,9.805,1.1634
2019-03-29,51.63,38541.795,11.4182,
2019-04-01,53.5,39937.75,11.8317,
2019-04-02,56.25,41990.625,12.4399,
2019-04-03,56.88,42460.92,12.5792,
2019-04-04,59.71,44573.515,13.2051,
2019-04-05,57.24,42729.66,12.6588,
2019-04-08,57.15,42662.475,12.6389,
2019-04-09,56.27,42005.555,12.4443,
2019-04-10,55.71,41587.515,12.3205,
2019-04-11,54.89,40975.385,12.1391,
2019-04-12,58.3,43520.95,12.8932,
2019-04-15,57.78,43132.77,12.7782,
2019-04-16,58.5,43670.25,12.9375,
2019-04-17,58.32,43535.88,12.8977,
2019-04-18,57.77,43125.305,12.776,
2019-04-22,57.89,43214.885,12.8026,
2019-04-23,57.64,43028.26,12.7473,
2019-04-24,55.98,41789.07,12.3802,
2019-04-25,55.33,41303.845,12.2364,
2019-04-26,55.25,41244.125,12.2187,
2019-04-29,55.5,41430.75,12.274,
2019-04-30,56.73,42348.945,12.546,
2019-05-01,56.13,41901.045,12.4133,
2019-05-02,52.7,39340.55,11.6548,
2019-05-03,53.3,39912.3279,11.7875,
2019-05-06,53.46,40032.1398,11.8229,
2019-05-07,52.95,39650.2395,11.7101,
2019-05-08,52.48,39298.2921,11.6061,
2019-05-09,52.93,39635.263,11.7057,
2019-05-10,53.07,39740.0984,11.7366,
2019-05-13,50.95,38152.5912,11.2678,
2019-05-14,52.48,39298.2921,11.6061,
2019-05-15,52.95,39650.2395,11.7101,
2019-05-16,52.98,39672.7042,11.7167,
2019-05-17,50.8,38040.2675,11.2346,
2019-05-20,50.08,37501.1141,11.0754,
2019-05-21,50.63,37912.9674,11.197,
2019-05-22,50.21,37598.4613,11.1041,
2019-05-23,48.71,36475.225,10.7724,
2019-05-24,49.2,36842.1489,10.8808,
2019-05-28,48.56,36362.9014,10.7392,
2019-05-29,48.71,36475.225,10.7724,
2019-05-30,48.47,36295.5072,10.7193,
2019-05-31,46.76,35015.0179,10.3411,
2019-06-03,47.96,35913.6069,10.6065,
2019-06-04,49.93,37388.7905,11.0422,
2019-06-05,50.34,37695.8084,11.1329,
2019-06-06,51.06,38234.9618,11.2921,
2019-06-07,51.3,38414.6796,11.3452,
2019-06-10,51.62,38654.3033,11.4159,
2019-06-11,52.04,38968.8095,11.5088,
2019-06-12,52.49,39305.7804,11.6083,
2019-06-13,52.88,39597.8218,11.6946,
2019-06-14,51.15,38302.356,11.312,
2019-06-17,49.35,36954.4725,10.9139,
2019-06-18,49.61,37149.1668,10.9714,
2019-06-19,48.5,36317.972,10.7259,
2019-06-20,48.93,36639.9663,10.821,
2019-06-21,48.36,36213.1366,10.695,
2019-06-24,49.58,37126.7021,10.9648,
2019-06-25,49.69,37209.0727,10.9891,
2019-06-26,50.45,37778.1791,11.1572,
2019-06-27,50.91,38122.6382,11.2589,
2019-06-28,49.31,36924.5195,12.301,2.0461
2019-07-01,50.16,37279.5142,12.513,2.0814
2019-07-02,49.4,36714.6731,12.3234,2.0498
2019-07-03,49.33,36662.6483,12.306,2.0469
