Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,47.7441,6961.9009,23.6633,3.0435
2014-01-03,47.4665,6958.3245,23.5257,3.0258
2014-01-06,46.5711,6827.0601,23.0819,2.9687
2014-01-07,47.0815,6901.8808,23.3348,3.0012
2014-01-08,46.2129,6774.5543,22.9044,2.9459
2014-01-09,45.9712,6739.1129,22.7845,2.9304
2014-01-10,46.6696,6841.4992,23.1307,2.975
2014-01-13,45.5145,6672.1681,22.5582,2.9013
2014-01-14,45.81,6715.4854,22.7047,2.9202
2014-01-15,46.4457,6808.6831,23.0197,2.9607
2014-01-16,46.7771,6857.2509,23.184,2.9818
2014-01-17,45.6309,6689.2325,22.6159,2.9088
2014-01-21,45.4608,6664.2923,22.5316,2.8979
2014-01-22,45.5593,6678.7313,22.5804,2.9042
2014-01-23,45.7473,6706.2969,22.6736,2.9162
2014-01-24,44.8608,6576.3451,22.2342,2.8597
2014-01-27,44.9772,6593.4095,22.2919,2.8671
2014-01-28,44.9146,6584.221,22.2609,2.8631
2014-01-29,44.0281,6454.2693,21.8215,2.8066
2014-01-30,44.3236,6497.5865,21.9679,2.8254
2014-01-31,44.2699,6489.7106,21.9413,2.822
2014-02-03,42.3716,6211.4302,21.0005,2.701
2014-02-04,42.7208,6262.6233,21.1736,2.7232
2014-02-05,42.3716,6211.4302,21.0005,2.701
2014-02-06,42.8193,6277.0624,21.2224,2.7295
2014-02-07,43.2133,6334.8187,21.4176,2.7546
2014-02-10,43.3476,6354.5083,21.4842,2.7632
2014-02-11,43.7237,6409.6394,21.6706,2.7872
2014-02-12,43.4192,6365.0095,21.5197,2.7678
2014-02-13,43.1327,6323.0049,21.3777,2.7495
2014-02-14,43.3207,6350.5704,21.4709,2.7615
2014-02-18,43.8848,6433.267,21.7505,2.7975
2014-02-19,43.8401,6426.7037,21.7283,2.7946
2014-02-20,45.219,6628.8509,22.4117,2.8825
2014-02-21,45.6757,6695.7957,28.1227,2.8402
2014-02-24,45.6757,6695.7957,28.1227,2.8402
2014-02-25,45.2996,6640.6647,27.8912,2.8168
2014-02-26,44.7713,6563.2187,27.5659,2.7839
2014-02-27,44.5922,6536.9658,27.4556,2.7728
2014-02-28,45.7205,6702.3589,28.1503,2.843
2014-03-03,43.2759,6344.0072,26.6452,2.6909
2014-03-04,43.5356,6382.0739,26.8051,2.7071
2014-03-05,42.9267,6292.8141,26.4302,2.6692
2014-03-06,43.7953,6420.1405,26.965,2.7232
2014-03-07,44.7265,6556.6555,27.5383,2.7811
2014-03-10,44.8429,6573.7198,27.61,2.7884
2014-03-11,44.9056,6582.9083,27.6486,2.7923
2014-03-12,45.0668,6606.5359,27.7478,2.8023
2014-03-13,43.8848,6433.267,27.0201,2.7288
2014-03-14,44.0729,6460.8325,27.1359,2.7405
2014-03-17,44.5027,6523.8394,27.4005,2.7672
2014-03-18,44.2967,6493.6486,27.2737,2.7544
2014-03-19,43.9475,6442.4555,27.0587,2.7327
2014-03-20,44.1445,6471.3336,27.18,2.745
2014-03-21,45.3623,6649.8532,27.9298,2.8207
2014-03-24,45.3802,6652.4785,27.9408,2.8218
2014-03-25,45.4071,6656.4164,27.9573,2.8235
2014-03-26,45.4966,6669.5428,28.0125,2.829
2014-03-27,44.9414,6588.1589,27.6706,2.7945
2014-03-28,45.3265,6644.6026,27.9077,2.8185
2014-03-31,45.4518,6696.7556,27.9849,2.8262
2014-04-01,46.0965,6791.745,28.3818,2.8663
2014-04-02,46.6427,6872.2222,28.7181,2.9003
2014-04-03,46.5353,6856.3906,28.652,2.8936
2014-04-04,45.8816,6760.0819,28.2495,2.853
2014-04-07,45.1922,6658.4959,27.825,2.8101
2014-04-08,44.4758,6552.9521,27.384,2.7656
2014-04-09,45.031,6634.7486,27.7258,2.8001
2014-04-10,44.2609,6521.289,27.2516,2.7522
2014-04-11,43.3923,6393.3171,26.7169,2.6982
2014-04-14,44.1624,6506.7767,27.191,2.7461
2014-04-15,43.3386,6385.4013,26.6838,2.6948
2014-04-16,44.0012,6483.0293,27.0918,2.736
2014-04-17,43.4013,6394.6364,26.7224,2.6987
2014-04-21,43.1506,6357.6961,26.568,2.6832
2014-04-22,44.6549,6579.3381,27.4942,2.7767
2014-04-23,45.0399,6636.0679,27.7313,2.8006
2014-04-24,44.8698,6611.0012,27.6265,2.7901
2014-04-25,44.6997,6585.9346,27.5218,2.7795
2014-04-28,44.6459,6578.0188,27.4887,2.7761
2014-04-29,44.9593,6624.1942,27.6817,2.7956
2014-04-30,44.5116,6558.2293,27.406,2.7678
2014-05-01,44.44,6547.6749,27.3619,2.7633
2014-05-02,44.4758,6552.9521,27.384,2.7656
2014-05-05,43.9744,6479.0714,27.0752,2.7344
2014-05-06,44.0818,6494.903,27.1414,2.7411
2014-05-07,44.055,6490.9451,27.1248,2.7394
2014-05-08,44.2161,6514.6925,27.2241,2.7494
2014-05-09,44.5295,6560.8679,27.417,2.7689
2014-05-12,45.3086,6675.6468,27.8967,2.8173
2014-05-13,45.5414,6709.9486,28.04,2.8318
2014-05-14,45.1922,6658.4959,27.825,2.8101
2014-05-15,45.3891,6687.5205,27.9463,2.8223
2014-05-16,43.4192,6397.275,26.7334,2.6999
2014-05-19,43.858,6461.9206,27.0035,2.7271
2014-05-20,42.9625,6329.9908,26.4522,2.6715
2014-05-21,43.5983,6423.6609,26.8437,2.711
2014-05-22,44.3325,6531.8434,27.2957,2.7566
2014-05-23,44.3684,6537.1206,28.6847,2.7215
2014-05-27,44.5474,6563.5065,28.8005,2.7325
2014-05-28,44.9325,6620.2363,29.0495,2.7561
2014-05-29,44.6638,6580.6574,28.8758,2.7396
2014-05-30,44.8788,6612.3205,29.0147,2.7528
2014-06-02,45.3444,6680.924,29.3158,2.7813
2014-06-03,44.9862,6628.1521,29.0842,2.7594
2014-06-04,44.8519,6608.3626,28.9974,2.7511
2014-06-05,45.4071,6690.1591,29.3563,2.7852
2014-06-06,45.7473,6740.2924,29.5763,2.8061
2014-06-09,45.5861,6716.5451,29.4721,2.7962
2014-06-10,45.0937,6643.9837,29.1537,2.766
2014-06-11,45.1205,6647.9416,29.171,2.7676
2014-06-12,44.1714,6508.096,28.5574,2.7094
2014-06-13,44.4848,6554.2714,28.76,2.7286
2014-06-16,44.7355,6591.2118,28.9221,2.744
2014-06-17,44.4042,6542.3977,28.7079,2.7237
2014-06-18,44.5206,6559.5486,28.7832,2.7308
2014-06-19,44.3415,6533.1627,28.6674,2.7198
2014-06-20,42.6044,6277.2189,27.5443,2.6133
2014-06-23,42.7655,6300.9662,27.6485,2.6232
2014-06-24,41.8791,6170.3558,27.0754,2.5688
2014-06-25,41.7,6143.9698,26.9596,2.5578
2014-06-26,41.9865,6186.1873,27.1449,2.5754
2014-06-27,41.7806,6155.8435,27.0117,2.5627
2014-06-30,41.4314,6104.3909,26.7859,2.5413
2014-07-01,41.3866,6097.7944,26.757,2.5386
2014-07-02,41.4224,6103.0716,26.7801,2.5408
2014-07-03,41.4761,6110.9874,26.8149,2.5441
2014-07-07,41.2881,6083.2821,26.6933,2.5325
2014-07-08,40.6076,5983.0155,26.2533,2.4908
2014-07-09,40.8583,6019.9558,26.4154,2.5062
2014-07-10,40.0793,5905.1769,25.9118,2.4584
2014-07-11,39.7927,5862.9594,25.7265,2.4408
2014-07-14,39.7301,5853.7243,25.686,2.437
2014-07-15,39.4704,5815.4647,25.5181,2.421
2014-07-16,39.3002,5790.398,25.4081,2.4106
2014-07-17,39.1838,5773.2471,25.3329,2.4035
2014-07-18,39.739,5872.1175,25.6918,2.4375
2014-07-21,39.4167,5824.4842,25.4834,2.4177
2014-07-22,39.5957,5850.9471,25.5992,2.4287
2014-07-23,39.8375,5886.6721,25.7555,2.4436
2014-07-24,40.5538,5992.5237,26.2186,2.4875
2014-07-25,39.9897,5909.1655,25.8539,2.4529
2014-07-28,40.2225,5943.5673,26.0044,2.4672
2014-07-29,41.9776,6202.9037,27.1391,2.5748
2014-07-30,41.4672,6127.4844,26.8091,2.5435
2014-07-31,41.8612,6185.7028,27.0638,2.5677
2014-08-01,41.7806,6173.7945,27.0117,2.5627
2014-08-04,42.8551,6332.5719,27.7064,2.6286
2014-08-05,42.3447,6257.1527,27.3764,2.5973
2014-08-06,42.0134,6208.1963,27.1622,2.577
2014-08-07,41.897,6190.9954,27.087,2.5699
2014-08-08,42.2731,6246.5675,27.3301,2.5929
2014-08-11,41.9507,6198.9343,27.1217,2.5732
2014-08-12,41.5119,6134.1002,26.838,2.5463
2014-08-13,41.897,6190.9954,27.087,2.5699
2014-08-14,42.1656,6230.6898,27.2606,2.5864
2014-08-15,41.5209,6135.4233,26.8438,2.5468
2014-08-18,42.2731,6246.5675,27.3301,2.5929
2014-08-19,42.5596,6288.9081,27.5154,2.6105
2014-08-20,42.4701,6275.6767,27.4575,2.605
2014-08-21,42.488,6278.323,27.469,2.6061
2014-08-22,42.5954,6294.2007,27.1173,2.6553
2014-08-25,42.5775,6291.5544,27.1059,2.6542
