Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,55.5264,11537.788,13.703,1.2414
2014-01-03,55.4158,11514.8043,13.6757,1.2389
2014-01-06,55.4668,11525.4122,13.6883,1.2401
2014-01-07,55.9518,11626.1866,13.808,1.2509
2014-01-08,55.3903,11509.5004,13.6694,1.2383
2014-01-09,55.8838,11612.0428,13.7912,1.2494
2014-01-10,56.7261,11787.0721,13.9991,1.2682
2014-01-13,56.1986,11677.4578,13.8689,1.2564
2014-01-14,56.3007,11698.6735,13.8941,1.2587
2014-01-15,55.8753,11610.2748,13.7891,1.2492
2014-01-16,56.0795,11652.7062,13.8395,1.2538
2014-01-17,56.0284,11642.0983,13.8269,1.2526
2014-01-21,56.6751,11776.4642,13.9865,1.2671
2014-01-22,56.8963,11822.4315,14.0411,1.272
2014-01-23,56.5474,11749.9447,13.955,1.2642
2014-01-24,55.7051,11574.9154,13.7471,1.2454
2014-01-27,56.122,11661.546,13.85,1.2547
2014-01-28,56.4708,11734.0329,13.9361,1.2625
2014-01-29,56.4368,11726.961,13.9277,1.2617
2014-01-30,57.2451,11894.9184,14.1272,1.2798
2014-01-31,58.0449,12061.1078,14.3246,1.2977
2014-02-03,57.8322,12016.9085,14.2721,1.2929
2014-02-04,57.3983,11926.7419,14.165,1.2832
2014-02-05,57.0494,11854.255,14.0789,1.2754
2014-02-06,57.5004,11947.9576,14.1902,1.2855
2014-02-07,57.7641,12002.7647,14.2553,1.2914
2014-02-10,58.0534,12062.8758,14.3267,1.2979
2014-02-11,58.7937,12216.6894,14.5093,1.3144
2014-02-12,58.6235,12181.3299,14.4674,1.3106
2014-02-13,59.1936,12299.7841,14.608,1.3234
2014-02-14,61.0314,12702.3962,15.0616,1.3645
2014-02-18,61.3632,12771.4598,15.1435,1.3719
2014-02-19,60.8102,12656.3538,15.007,1.3595
2014-02-20,61.5419,12808.6479,15.1876,1.3759
2014-02-21,61.5079,12801.5645,15.1792,1.3751
2014-02-24,61.142,12725.4174,15.0889,1.3669
2014-02-25,61.1165,12720.1048,15.0826,1.3664
2014-02-26,60.8442,12663.4372,15.0154,1.3603
2014-02-27,60.6145,12615.6239,14.9587,1.3551
2014-02-28,61.0569,12707.7088,15.0679,1.365
2014-03-03,60.3252,12555.4146,14.8873,1.3487
2014-03-04,60.8102,12656.3538,15.007,1.3595
2014-03-05,60.3252,12555.4146,14.8873,1.3487
2014-03-06,59.8572,12458.0172,14.7718,1.3382
2014-03-07,59.8402,12454.4754,14.7676,1.3378
2014-03-10,59.8742,12461.5589,14.776,1.3386
2014-03-11,59.5084,12380.7215,14.6857,1.3304
2014-03-12,60.5549,12598.4551,14.944,1.3538
2014-03-13,60.7421,12637.3993,14.9902,1.358
2014-03-14,60.9633,12683.4243,15.0448,1.3629
2014-03-17,61.2441,12741.8406,15.1141,1.3692
2014-03-18,61.091,12709.9771,15.0763,1.3658
2014-03-19,60.1125,12506.4051,14.8348,1.3439
2014-03-20,60.2146,12527.6474,14.86,1.3462
2014-03-21,60.8527,12660.4118,15.0175,1.3605
2014-03-24,61.2101,12734.7598,15.1057,1.3685
2014-03-25,61.4228,12779.0146,15.1582,1.3732
2014-03-26,61.4994,12794.9464,15.1771,1.3749
2014-03-27,62.0439,12908.2386,15.3115,1.3871
2014-03-28,62.2736,12956.0338,15.3682,1.3922
2014-03-31,63.2096,13150.7549,13.7977,1.3785
2014-04-01,63.4223,13195.0097,13.8442,1.3831
2014-04-02,63.3117,13171.9972,13.82,1.3807
2014-04-03,63.5159,13214.4818,13.8646,1.3852
2014-04-04,63.5925,13230.4135,13.8813,1.3868
2014-04-07,63.2181,13152.5251,13.7996,1.3787
2014-04-08,63.9583,13306.5318,13.9612,1.3948
2014-04-09,64.0349,13322.4635,13.9779,1.3965
2014-04-10,63.9583,13306.5318,13.9612,1.3948
2014-04-11,63.6946,13251.6558,13.9036,1.3891
2014-04-14,64.2561,13368.4885,14.0262,1.4013
2014-04-15,65.3792,13602.1538,14.2713,1.4258
2014-04-16,65.6685,13662.3403,14.3345,1.4321
2014-04-17,65.1921,13563.2096,14.2305,1.4217
2014-04-21,64.8177,13485.3212,14.1488,1.4136
2014-04-22,65.0899,13541.9673,14.2082,1.4195
2014-04-23,65.4218,13611.0048,14.2806,1.4267
2014-04-24,65.643,13657.0298,14.3289,1.4316
2014-04-25,66.6895,13874.7634,14.5574,1.4544
2014-04-28,66.3747,13809.2663,14.4886,1.4475
2014-04-29,66.0854,13749.0797,14.4255,1.4412
2014-04-30,66.4853,13832.2787,14.5128,1.4499
2014-05-01,66.5279,13841.1297,14.5221,1.4509
2014-05-02,65.5154,13630.4769,14.3011,1.4288
2014-05-05,66.3067,13795.1047,14.4738,1.446
2014-05-06,66.1875,13770.322,14.4478,1.4434
2014-05-07,67.4893,14041.1614,14.7319,1.4718
2014-05-08,66.3407,13802.1855,14.4812,1.4468
2014-05-09,65.2006,13564.9798,14.2323,1.4219
2014-05-12,64.6475,13449.9173,14.1116,1.4098
2014-05-13,64.7836,13478.2404,14.1413,1.4128
2014-05-14,64.7922,13480.0106,14.1432,1.413
2014-05-15,64.5369,13426.9048,14.0875,1.4074
2014-05-16,65.0389,13531.3461,14.1971,1.4184
2014-05-19,63.5584,13223.3328,13.8739,1.3861
2014-05-20,63.3542,13180.8482,13.8293,1.3816
2014-05-21,63.2691,13163.1462,13.8107,1.3798
2014-05-22,63.9413,13302.9914,13.9575,1.3944
2014-05-23,63.7116,13255.1962,13.9073,1.3894
2014-05-27,64.0519,13326.0039,13.9816,1.3969
2014-05-28,64.12,13340.1654,13.9965,1.3983
2014-05-29,64.1285,13341.9356,13.9983,1.3985
2014-05-30,64.7666,13474.7,14.1376,1.4124
2014-06-02,64.8177,13485.3212,14.1488,1.4136
2014-06-03,64.8517,13492.4019,14.1562,1.4143
2014-06-04,64.8517,13492.4019,14.1562,1.4143
2014-06-05,65.124,13549.0481,14.2156,1.4202
2014-06-06,64.8687,13495.9423,14.1599,1.4147
2014-06-09,64.2561,13368.4885,14.0262,1.4013
2014-06-10,63.8988,13294.1404,13.9482,1.3935
2014-06-11,63.1415,13136.5934,13.7829,1.377
2014-06-12,63.116,13131.2828,13.7773,1.3764
2014-06-13,63.3627,13182.6184,13.8312,1.3818
2014-06-16,64.0264,13320.6933,13.976,1.3963
2014-06-17,63.7881,13271.1279,13.924,1.3911
2014-06-18,65.3792,13602.1538,14.2713,1.4258
2014-06-19,66.0854,13749.0797,14.4255,1.4412
2014-06-20,66.0514,13741.999,14.4181,1.4405
2014-06-23,65.9153,13713.6759,14.3884,1.4375
2014-06-24,66.1195,13756.1605,14.4329,1.4419
2014-06-25,66.4003,13814.5768,14.4942,1.4481
2014-06-26,66.145,13761.4711,14.4385,1.4425
2014-06-27,66.145,13761.4711,14.4385,1.4425
2014-06-30,66.2556,13784.4836,14.4342,1.4644
2014-07-01,65.677,13664.1105,14.3082,1.4516
2014-07-02,64.3923,13396.8116,14.0283,1.4232
2014-07-03,63.9073,13295.9106,13.9226,1.4125
2014-07-07,64.154,13347.2462,13.9764,1.4179
2014-07-08,64.639,13448.1471,14.082,1.4287
2014-07-09,64.171,13350.7866,13.9801,1.4183
2014-07-10,64.9708,13517.1846,14.1543,1.436
2014-07-11,64.5879,13437.526,14.0709,1.4275
2014-07-14,64.154,13347.2462,13.9764,1.4179
2014-07-15,64.7156,13464.0789,14.0987,1.4303
2014-07-16,64.8262,13487.0913,14.1228,1.4328
2014-07-17,64.5284,13425.1346,14.0579,1.4262
2014-07-18,65.1495,13554.3586,14.1932,1.4399
2014-07-21,64.5965,13439.2962,14.0728,1.4277
2014-07-22,64.7411,13469.3894,14.1043,1.4309
