Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,68.14,48106.84,16.415,1.164
2014-01-03,67.92,47951.52,16.362,1.1602
2014-01-06,67.96,47979.76,16.3716,1.1609
2014-01-07,68.49,48353.94,16.4993,1.1699
2014-01-08,67.85,47902.1,16.3451,1.159
2014-01-09,67.87,47916.22,16.35,1.1594
2014-01-10,68.59,48424.54,16.5234,1.1717
2014-01-13,67.77,47845.62,16.3259,1.1576
2014-01-14,67.57,47704.42,16.2777,1.1542
2014-01-15,67.13,47393.78,16.1717,1.1467
2014-01-16,67.36,47556.16,16.2271,1.1506
2014-01-17,67.57,47704.42,16.2777,1.1542
2014-01-21,68.51,48368.06,16.5041,1.1703
2014-01-22,68.65,48466.9,16.5379,1.1727
2014-01-23,68.53,48382.18,16.5089,1.1706
2014-01-24,68.26,48191.56,16.4439,1.166
2014-01-27,68.73,48523.38,16.5571,1.174
2014-01-28,68.82,48586.92,16.5788,1.1756
2014-01-29,68.99,48706.94,16.6198,1.1785
2014-01-30,69.89,49342.34,16.8366,1.1939
2014-01-31,70.62,49857.72,17.0124,1.2063
2014-02-03,70.46,49744.76,16.9739,1.2036
2014-02-04,69.94,49377.64,16.8486,1.1947
2014-02-05,69.62,49151.72,16.7715,1.1893
2014-02-06,70.01,49427.06,16.8655,1.1959
2014-02-07,69.99,49412.94,16.8607,1.1956
2014-02-10,70.74,49942.44,17.0413,1.2084
2014-02-11,71.3,50337.8,17.1762,1.2179
2014-02-12,70.87,50034.22,17.0727,1.2106
2014-02-13,71.43,50429.58,17.2076,1.2202
2014-02-14,71.45,50443.7,17.2124,1.2205
2014-02-18,71.5,50479.0,17.2244,1.2214
2014-02-19,71.72,50634.32,17.2774,1.2251
2014-02-20,71.74,50647.9627,17.2822,1.2255
2014-02-21,71.49,50471.4644,17.222,1.2212
2014-02-24,71.11,50203.1869,17.1305,1.2147
2014-02-25,71.03,50146.7074,17.1112,1.2133
2014-02-26,70.88,50040.8084,17.0751,1.2108
2014-02-27,70.43,49723.1114,16.9667,1.2031
2014-02-28,70.88,50040.8084,17.0751,1.2108
2014-03-03,70.05,49487.1953,16.8751,1.1966
2014-03-04,70.12,49536.6472,16.892,1.1978
2014-03-05,70.11,49529.5826,16.8896,1.1976
2014-03-06,70.03,49473.0662,16.8703,1.1963
2014-03-07,70.06,49494.2599,16.8775,1.1968
2014-03-10,69.62,49183.4195,16.7715,1.1893
2014-03-11,69.47,49077.4512,16.7354,1.1867
2014-03-12,70.36,49706.1965,16.9498,1.2019
2014-03-13,70.57,49854.5521,17.0004,1.2055
2014-03-14,70.7,49946.3913,17.0317,1.2077
2014-03-17,71.1,50228.9734,17.1281,1.2145
2014-03-18,70.24,49621.4218,16.9209,1.1998
2014-03-19,68.71,48540.5452,16.5523,1.1737
2014-03-20,69.17,48900.0701,16.6631,1.1816
2014-03-21,69.08,48836.4441,16.6414,1.18
2014-03-24,69.32,49006.1133,16.6993,1.1841
2014-03-25,69.92,49430.2863,16.8438,1.1944
2014-03-26,69.5,49133.3652,16.7426,1.1872
2014-03-27,70.42,49783.7637,16.9643,1.2029
2014-03-28,70.44,49797.9028,16.9691,1.2033
2014-03-31,71.22,50349.3276,16.4417,1.2369
2014-04-01,70.67,49960.5024,16.3147,1.2273
2014-04-02,70.26,49670.6509,16.2201,1.2202
2014-04-03,70.45,49804.9724,16.2639,1.2235
2014-04-04,70.49,49833.2505,16.2732,1.2242
2014-04-07,71.14,50292.7712,16.4232,1.2355
2014-04-08,72.51,51261.2994,16.7395,1.2593
2014-04-09,71.82,50773.5006,16.5802,1.2473
2014-04-10,71.59,50610.9009,16.5271,1.2433
2014-04-11,71.84,50787.6397,16.5848,1.2477
