Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,61.16,24830.96,15.3173,1.2113
2014-01-03,61.03,24778.18,15.2847,1.2088
2014-01-06,60.25,24461.5,15.0894,1.1933
2014-01-07,61.48,24960.88,15.3974,1.2177
2014-01-08,61.31,24891.86,15.3548,1.2143
2014-01-09,60.78,24676.68,15.2221,1.2038
2014-01-10,60.53,24575.18,15.1595,1.1988
2014-01-13,59.18,24027.08,14.8214,1.1721
2014-01-14,59.78,24270.68,14.9716,1.184
2014-01-15,59.21,24039.26,14.8289,1.1727
2014-01-16,59.37,24104.22,14.869,1.1759
2014-01-17,59.01,23958.06,14.7788,1.1687
2014-01-21,59.68,24230.08,14.9466,1.182
2014-01-22,60.41,24526.46,15.1294,1.1965
2014-01-23,60.12,24408.72,15.0568,1.1907
2014-01-24,59.52,24165.12,14.9065,1.1788
2014-01-27,58.67,23820.02,14.6937,1.162
2014-01-28,59.29,24071.74,14.8489,1.1743
2014-01-29,59.01,23958.06,14.7788,1.1687
2014-01-30,59.67,24226.02,14.9441,1.1818
2014-01-31,59.22,24043.32,14.8314,1.1729
2014-02-03,57.85,23487.1,14.4883,1.1458
2014-02-04,59.32,24083.92,14.8564,1.1749
2014-02-05,59.08,23986.48,14.7963,1.1701
2014-02-06,60.45,24542.7,15.1394,1.1973
2014-02-07,61.02,24774.12,15.2822,1.2086
2014-02-10,60.8,24684.8,15.2271,1.2042
2014-02-11,61.54,24985.24,15.4124,1.2189
2014-02-12,61.18,24839.08,15.3223,1.2117
2014-02-13,62.27,25281.62,15.5953,1.2333
2014-02-14,62.05,25192.3,15.5402,1.229
2014-02-18,62.91,25541.46,15.7555,1.246
2014-02-19,64.25,26085.5,16.0911,1.2725
2014-02-20,64.56,26211.36,16.1688,1.2787
2014-02-21,63.67,25850.02,15.9459,1.261
2014-02-24,64.37,26134.22,16.1212,1.2749
2014-02-25,63.91,25947.46,16.006,1.2658
2014-02-26,63.73,25874.38,15.9609,1.2622
2014-02-27,64.31,26109.86,16.1062,1.2737
2014-02-28,64.42,26154.52,16.1337,1.2759
2014-03-03,63.78,25983.9716,15.9734,1.2632
2014-03-04,64.64,26334.3356,16.1888,1.2802
2014-03-05,64.47,26265.0776,16.1462,1.2769
2014-03-06,64.52,26285.4476,16.1588,1.2779
2014-03-07,65.13,26533.9616,16.3115,1.29
2014-03-10,64.53,26289.5216,16.1613,1.2781
2014-03-11,63.55,25890.2696,15.9158,1.2587
2014-03-12,63.08,25698.7916,15.7981,1.2494
2014-03-13,62.59,25499.1656,15.6754,1.2396
2014-03-14,62.74,25560.2756,15.713,1.2426
2014-03-17,62.8,25584.7196,15.728,1.2438
2014-03-18,63.49,25865.8256,15.9008,1.2575
2014-03-19,63.46,25853.6036,15.8933,1.2569
2014-03-20,63.29,25784.3456,15.8507,1.2535
2014-03-21,64.09,26110.2656,16.0511,1.2694
2014-03-24,63.91,26036.9336,16.006,1.2658
2014-03-25,63.96,26057.3036,16.0185,1.2668
2014-03-26,64.0,26073.5996,16.0285,1.2676
2014-03-27,64.69,26354.7056,16.2013,1.2812
2014-03-28,65.79,26802.8456,16.4768,1.303
2014-03-31,66.93,27267.2816,14.2455,1.3325
2014-04-01,67.68,27572.8316,14.4052,1.3474
2014-04-02,67.89,27658.3856,14.4499,1.3516
2014-04-03,68.51,27910.9736,14.5818,1.3639
2014-04-04,68.01,27707.2736,14.4754,1.354
2014-04-07,67.55,27519.8696,14.3775,1.3448
2014-04-08,67.85,27642.0896,14.4413,1.3508
2014-04-09,68.38,27858.0116,14.5541,1.3613
2014-04-10,68.61,27951.7136,14.6031,1.3659
2014-04-11,67.55,27519.8696,14.3775,1.3448
