Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,8.6875,2494.4838,,29.9569
2014-01-03,8.7,2498.073,,30.0
2014-01-06,8.7513,2512.7887,,30.1767
2014-01-07,8.8675,2546.1681,,30.5776
2014-01-08,8.87,2546.8859,,30.5862
2014-01-09,9.16,2630.155,,31.5862
2014-01-10,9.2625,2659.5863,,31.9397
2014-01-13,9.3125,2673.9431,,32.1121
2014-01-14,9.23,2650.2545,,31.8276
2014-01-15,9.2675,2661.022,,31.9569
2014-01-16,9.4075,2701.2209,,32.4397
2014-01-17,9.34,2681.8393,,32.2069
2014-01-21,9.42,2704.8101,,32.4828
2014-01-22,9.3,2670.3539,,32.069
2014-01-23,9.1925,2639.4869,,31.6983
2014-01-24,9.17,2633.0264,,31.6207
2014-01-27,9.0375,2594.981,,31.1638
2014-01-28,9.275,2663.1755,,31.9828
2014-01-29,9.39,2696.196,,32.3793
2014-01-30,9.8125,2817.5105,,33.8362
2014-01-31,10.115,2904.3688,,34.8793
2014-02-03,9.745,2798.1289,,33.6034
2014-02-04,9.715,2789.5148,,33.5
2014-02-05,10.0,2871.3483,,34.4828
2014-02-06,9.68,2779.4651,,33.3793
2014-02-07,9.4275,2706.9636,,32.5086
2014-02-10,9.9325,2851.9667,,34.25
2014-02-11,10.0625,2889.2942,,34.6983
2014-02-12,10.275,2950.3103,,35.431
2014-02-13,10.64,3055.1146,,36.6897
2014-02-14,10.855,3116.8485,,37.431
2014-02-18,10.9825,3153.4582,,37.8707
2014-02-19,11.1325,3196.5285,,38.3879
2014-02-20,10.8575,3162.1554,,37.4397
2014-02-21,10.7775,3138.8561,,37.1638
2014-02-24,11.24,3273.5553,,38.7586
2014-02-25,11.25,3276.4677,,38.7931
2014-02-26,11.365,3309.9605,,39.1897
2014-02-27,11.56,3366.7526,,39.8621
2014-02-28,11.275,3283.7488,,38.8793
2014-03-03,11.27,3282.2926,,38.8621
2014-03-04,11.7225,3414.0794,,40.4224
2014-03-05,12.2825,3577.1747,,42.3534
2014-03-06,11.885,3461.4061,,40.9828
2014-03-07,11.855,3452.6689,,40.8793
2014-03-10,11.535,3359.4716,,39.7759
2014-03-11,11.43,3328.8912,,39.4138
2014-03-12,11.455,3336.1723,,39.5
2014-03-13,11.2625,3280.1083,,38.8362
2014-03-14,11.175,3254.6246,,38.5345
2014-03-17,11.41,3323.0664,,39.3448
2014-03-18,11.855,3452.6689,,40.8793
2014-03-19,11.65,3392.9644,,40.1724
2014-03-20,11.6075,3380.5866,,40.0259
2014-03-21,11.1225,3239.3344,,38.3534
2014-03-24,10.7725,3137.3999,,37.1466
2014-03-25,10.7625,3134.4875,,37.1121
2014-03-26,10.5775,3080.6078,,36.4741
2014-03-27,10.125,2948.821,,34.9138
2014-03-28,10.01,2915.3282,,34.5172
2014-03-31,10.34,3011.4379,,34.5126
2014-04-01,10.3225,3006.3412,,34.4542
2014-04-02,10.4875,3054.396,,35.0049
2014-04-03,10.195,2969.2079,,34.0286
2014-04-04,9.4975,2766.0669,,31.7005
2014-04-07,8.92,2597.8749,,29.773
2014-04-08,9.18,2673.5977,,30.6408
2014-04-09,9.57,2787.1819,,31.9425
2014-04-10,9.0125,2624.8147,,30.0817
2014-04-11,8.905,2593.5062,,29.7229
2014-04-14,8.8225,2569.4788,,29.4475
2014-04-15,8.54,2487.2031,,28.5046
2014-04-16,9.0075,2695.446,,30.065
2014-04-17,9.145,2736.5921,,30.524
2014-04-21,9.0175,2698.4384,,30.0984
2014-04-22,9.03,2702.179,,30.1401
2014-04-23,9.0025,2693.9498,,30.0483
2014-04-24,8.67,2594.4509,,28.9385
2014-04-25,8.345,2497.1964,,27.8538
2014-04-28,8.165,2443.3324,,27.253
2014-04-29,8.115,2428.3702,,27.0861
2014-04-30,8.11,2426.8739,,27.0694
2014-05-01,8.1875,2453.5597,,27.3281
2014-05-02,7.9613,2385.7591,,26.5729
2014-05-05,7.8725,2359.1632,,26.2767
2014-05-06,7.625,2284.9946,,25.4506
2014-05-07,7.42,2223.5619,,24.7663
2014-05-08,7.525,2255.0274,,25.1168
2014-05-09,7.88,2361.4108,,26.3017
2014-05-12,8.0225,2404.1139,,26.7773
2014-05-13,7.965,2386.8828,,26.5854
2014-05-14,7.9525,2383.1369,,26.5437
2014-05-15,7.9375,2378.6419,,26.4936
2014-05-16,8.105,2428.8368,,27.0527
2014-05-19,8.14,2439.3253,,27.1695
2014-05-20,7.825,2344.9288,,26.1181
2014-05-21,7.9825,2392.1271,,26.6438
2014-05-22,8.0875,2423.5926,,26.9943
2014-05-23,8.295,2485.7744,,27.6869
2014-05-27,8.64,2589.161,,28.8384
2014-05-28,8.545,2560.6923,,28.5213
2014-05-29,8.605,2578.6725,,28.7216
2014-05-30,8.44,2529.2268,,28.1708
2014-06-02,8.31,2490.2695,,27.7369
2014-06-03,8.145,2440.8237,,27.1862
2014-06-04,8.72,2613.1348,,29.1054
2014-06-05,9.0325,2706.7821,,30.1485
2014-06-06,9.18,2750.9836,,30.6408
2014-06-09,9.345,2800.4294,,31.1915
2014-06-10,9.27,2777.954,,30.9412
2014-06-11,9.0575,2714.2739,,30.2319
2014-06-12,9.0025,2697.7919,,30.0483
2014-06-13,9.0,2697.0428,,30.04
2014-06-16,9.4575,2834.1424,,31.567
2014-06-17,9.8038,2937.9037,,32.7227
2014-06-18,9.9725,2988.4732,,33.286
2014-06-19,9.9975,2995.965,,33.3694
2014-06-20,10.25,3071.632,,34.2122
2014-06-23,10.2275,3064.8894,,34.1371
2014-06-24,10.185,3052.1534,,33.9953
2014-06-25,10.2025,3057.3976,,34.0537
2014-06-26,10.1,3026.6813,,33.7116
2014-06-27,9.9125,2970.4929,,33.0857
2014-06-30,9.915,2971.2421,,30.0237
2014-07-01,9.92,2972.7405,,30.0389
2014-07-02,9.9325,2976.4864,,30.0767
2014-07-03,9.9575,2983.9781,,30.1524
2014-07-07,9.4825,2841.6342,,28.7141
2014-07-08,8.8375,2648.3461,,26.7609
2014-07-09,9.0425,2709.7788,,27.3817
2014-07-10,8.9825,2691.7985,,27.2
2014-07-11,9.1525,2742.7426,,27.7148
2014-07-14,9.25,2771.9606,,28.01
2014-07-15,9.1025,2727.7591,,27.5634
2014-07-16,9.1325,2736.7492,,27.6542
2014-07-17,8.97,2688.0526,,27.1622
2014-07-18,9.18,2750.9836,,27.7981
2014-07-21,9.2375,2768.2147,,27.9722
2014-07-22,9.4575,2834.1424,,28.6384
2014-07-23,9.625,2884.3374,,29.1456
2014-07-24,9.6075,2879.0931,,29.0926
2014-07-25,9.7625,2925.5422,,29.5619
2014-07-28,9.8275,2945.0209,,29.7588
2014-07-29,9.97,2987.724,,30.1903
2014-07-30,10.0275,3004.9551,,30.3644
2014-07-31,9.42,2822.9048,,28.5248
2014-08-01,9.3075,2789.1917,,28.1842
2014-08-04,9.605,2878.344,,29.085
2014-08-05,9.775,2929.2881,,29.5998
2014-08-06,9.5525,2883.9393,,28.926
2014-08-07,10.8525,3276.4147,,32.8626
2014-08-08,11.0625,3339.8146,,33.4985
2014-08-11,10.9625,3309.6242,,33.1957
2014-08-12,10.7225,3237.1672,,32.4689
2014-08-13,10.9725,3312.6432,,33.226
2014-08-14,10.9825,3315.6623,,33.2562
2014-08-15,10.905,3292.2647,,33.0216
2014-08-18,11.1025,3351.8908,,33.6196
2014-08-19,11.23,3390.3835,,34.0057
2014-08-20,11.035,3331.5122,,33.4152
2014-08-21,10.885,3286.2266,,32.961
2014-08-22,11.02,3326.9837,,33.3698
2014-08-25,10.9775,3314.1527,,33.2411
2014-08-26,11.4725,3463.5953,,34.74
2014-08-27,11.295,3410.0073,,34.2025
2014-08-28,11.07,3342.0789,,33.5212
2014-08-29,11.05,3336.0408,,33.4606
2014-09-02,11.205,3382.8359,,33.93
2014-09-03,10.895,3289.2457,,32.9913
2014-09-04,10.67,3221.3172,,32.31
2014-09-05,10.7125,3234.1481,,32.4387
2014-09-08,10.7975,3259.81,,32.696
2014-09-09,10.625,3207.7315,,32.1737
2014-09-10,10.825,3268.1124,,32.7793
2014-09-11,10.9225,3297.548,,33.0746
2014-09-12,10.6275,3208.4863,,32.1813
2014-09-15,10.2075,3081.6866,,30.9095
2014-09-16,10.2675,3099.8008,,31.0911
2014-09-17,10.39,3136.7841,,31.4621
2014-09-18,10.5625,3188.8625,,31.9844
2014-09-19,10.445,3153.3888,,31.6286
2014-09-22,10.1125,3053.0057,,30.6218
2014-09-23,10.085,3044.7033,,30.5385
2014-09-24,10.345,3123.1984,,31.3258
2014-09-25,10.1475,3063.5723,,30.7278
2014-09-26,10.25,3094.5175,,31.0382
2014-09-29,10.3475,3123.9531,,31.3334
2014-09-30,9.9975,3018.2867,,26.5673
2014-10-01,9.77,2949.6035,,25.9627
2014-10-02,10.1625,3068.1009,,27.0057
2014-10-03,10.6475,3214.5244,,28.2946
2014-10-06,10.3125,3113.3865,,27.4043
2014-10-07,10.0925,3046.9676,,26.8197
2014-10-08,10.4825,3164.7102,,27.8561
2014-10-09,10.1675,3069.6104,,27.019
2014-10-10,10.125,3056.7795,,26.9061
2014-10-13,10.13,3058.289,,26.9194
2014-10-14,10.2475,3093.7627,,27.2316
2014-10-15,10.3725,3131.5007,,27.5638
2014-10-16,10.345,3123.1984,,27.4907
2014-10-17,10.165,3068.8556,,27.0124
2014-10-20,10.5,3169.9935,,27.9026
2014-10-21,11.02,3326.9837,,29.2845
2014-10-22,10.71,3233.3934,,28.4607
2014-10-23,11.02,3326.9837,,29.2845
2014-10-24,10.8275,3268.8671,,28.7729
2014-10-27,10.775,3253.0172,,28.6334
2014-10-28,11.04,3333.0218,,29.3376
2014-10-29,11.125,3358.6836,,29.5635
2014-10-30,11.1925,3379.0621,,29.7429
2014-10-31,11.2375,3392.6478,,29.8624
2014-11-03,10.99,3317.9265,,29.2047
2014-11-04,11.12,3357.1741,,29.5502
2014-11-05,11.0,3320.9456,,29.2313
2014-11-06,11.1575,3416.9561,,29.6498
2014-11-07,12.7325,3899.2959,,33.8352
2014-11-10,13.375,4096.0599,,35.5426
2014-11-11,13.285,4068.4976,,35.3034
2014-11-12,13.5025,4135.1064,,35.8814
2014-11-13,13.4075,4106.0129,,35.629
2014-11-14,13.1825,4037.1072,,35.0311
2014-11-17,12.935,3961.311,,34.3734
2014-11-18,12.8975,3949.8267,,34.2737
2014-11-19,12.62,3864.843,,33.5363
2014-11-20,12.7125,3893.1709,,33.7821
2014-11-21,12.5925,3856.4212,,33.4632
2014-11-24,12.795,3918.4363,,34.0013
2014-11-25,12.6775,3882.4523,,33.6891
2014-11-26,12.8375,3931.4519,,34.1143
2014-11-28,12.865,3939.8737,,34.1873
2014-12-01,12.825,3927.6238,,34.081
2014-12-02,13.3625,4092.2318,,35.5094
2014-12-03,13.625,4172.6217,,36.207
2014-12-04,13.6475,4179.5123,,36.2667
2014-12-05,13.8275,4234.6369,,36.7451
2014-12-08,14.015,4292.0583,,37.2433
2014-12-09,14.575,4463.5568,,38.7315
2014-12-10,13.885,4252.2461,,36.8979
2014-12-11,13.5825,4159.6062,,36.094
2014-12-12,13.415,4108.3098,,35.6489
2014-12-15,13.2125,4046.2947,,35.1108
2014-12-16,13.315,4077.685,,35.3832
2014-12-17,13.935,4267.5585,,37.0307
2014-12-18,14.2125,4352.5421,,37.7682
2014-12-19,14.1375,4329.5736,,37.5689
2014-12-22,14.11,4321.1518,,37.4958
2014-12-23,13.4875,4130.5127,,35.8416
2014-12-24,13.735,4206.309,,36.4993
2014-12-26,13.7875,4222.387,,36.6388
2014-12-29,14.0325,4297.4176,,37.2898
2014-12-30,13.8,4226.215,,36.672
2014-12-31,13.7625,4214.7308,,30.3521
2015-01-02,13.6275,4173.3874,,30.0544
2015-01-05,13.865,4246.1211,,30.5782
2015-01-06,13.5525,4150.4188,,29.889
2015-01-07,13.9,4256.8398,,30.6553
2015-01-08,14.5925,4468.9162,,32.1826
2015-01-09,14.5475,4455.135,,32.0834
2015-01-12,14.7575,4519.447,,32.5465
2015-01-13,14.9975,4592.9464,,33.0758
2015-01-14,14.785,4527.8688,,32.6071
2015-01-15,14.355,4396.1824,,31.6588
2015-01-16,14.7425,4514.8533,,32.5134
2015-01-20,14.375,4402.3073,,31.7029
2015-01-21,14.06,4305.8394,,31.0082
2015-01-22,14.5275,4449.0101,,32.0393
2015-01-23,14.485,4435.9946,,31.9455
2015-01-26,15.695,4806.554,,34.6141
2015-01-27,15.58,4771.3355,,34.3605
2015-01-28,15.1475,4638.8835,,33.4066
2015-01-29,15.25,4670.2739,,33.6327
2015-01-30,14.945,4576.8684,,32.96
2015-02-02,15.3275,4694.0081,,33.8036
2015-02-03,15.305,4687.1175,,33.754
2015-02-04,15.2475,4669.5083,,33.6272
2015-02-05,15.5038,4747.9842,,34.1923
2015-02-06,15.62,4783.5854,,34.4487
2015-02-09,15.3975,4715.4454,,33.958
2015-02-10,15.6725,4799.6634,,34.5645
2015-02-11,15.8475,4853.2567,,34.9504
2015-02-12,15.485,4742.242,,34.1509
2015-02-13,15.67,4798.8978,,34.5589
2015-02-17,15.6025,4778.2261,,34.4101
2015-02-18,15.6525,4793.5385,,34.5203
2015-02-19,15.76,4826.4601,,34.7574
2015-02-20,16.105,4932.1155,,35.5183
2015-02-23,15.8825,4863.9754,,35.0276
2015-02-24,15.4025,4716.9766,,33.969
2015-02-25,15.835,4909.7769,,34.9228
2015-02-26,15.49,4802.8067,,34.162
2015-02-27,15.185,4708.2388,,33.4893
2015-03-02,14.915,4624.523,,32.8939
2015-03-03,14.7625,4577.2391,,32.5575
2015-03-04,14.97,4641.5762,,33.0151
2015-03-05,15.1375,4693.511,,33.3846
2015-03-06,14.8975,4619.097,,32.8553
2015-03-09,14.9025,4620.6473,,32.8663
2015-03-10,14.625,4534.606,,32.2543
2015-03-11,14.9775,4643.9017,,33.0317
2015-03-12,14.93,4629.1739,,32.9269
2015-03-13,15.0075,4653.2034,,33.0979
2015-03-16,15.75,4883.4219,,34.7354
2015-03-17,15.5775,4829.9368,,34.3549
2015-03-18,15.625,4844.6646,,34.4597
2015-03-19,15.86,4917.5283,,34.978
2015-03-20,15.4925,4803.5818,,34.1675
2015-03-23,15.3838,4769.863,,33.9276
2015-03-24,15.3038,4745.0583,,33.7512
2015-03-25,14.9425,4633.0496,,32.9545
2015-03-26,14.5925,4524.5291,,32.1826
2015-03-27,15.04,4663.2803,,33.1695
2015-03-30,15.495,4804.357,,34.173
2015-03-31,15.585,4832.2622,,33.2256
2015-04-01,15.3725,4766.3748,,32.7726
2015-04-02,15.7375,4879.5462,,33.5507
2015-04-06,15.845,4912.8775,,33.7799
2015-04-07,15.8025,4899.7,,33.6893
2015-04-08,16.0525,4977.2146,,34.2223
2015-04-09,16.25,5038.4512,,34.6433
2015-04-10,16.9725,5262.4684,,36.1836
2015-04-13,16.855,5339.0882,,35.9331
2015-04-14,16.975,5377.1001,,36.189
2015-04-15,17.1225,5423.8231,,36.5034
2015-04-16,16.9825,5379.4759,,36.205
2015-04-17,16.85,5337.5044,,35.9225
2015-04-20,17.105,5418.2797,,36.4661
2015-04-21,17.5825,5569.5354,,37.4841
2015-04-22,17.32,5486.3843,,36.9245
2015-04-23,17.64,5587.7494,,37.6067
2015-04-24,17.3575,5498.263,,37.0044
2015-04-27,16.89,5350.175,,36.0078
2015-04-28,17.0075,5387.395,,36.2583
2015-04-29,16.7825,5323.233,,35.7786
2015-04-30,16.8925,5358.1239,,36.0131
2015-05-01,16.78,5322.44,,35.7732
2015-05-04,17.0475,5407.2882,,36.3435
2015-05-05,16.55,5249.4865,,35.2829
2015-05-06,16.58,5259.0021,,35.3469
2015-05-07,16.87,5350.9871,,35.9651
2015-05-08,16.975,5384.292,,36.189
2015-05-11,16.9,5360.5028,,36.0291
2015-05-12,17.02,5398.5655,,36.2849
2015-05-13,16.9425,5373.9833,,36.1197
2015-05-14,17.2325,5465.9683,,36.7379
2015-05-15,17.0975,5423.1477,,36.4501
2015-05-18,17.525,5558.7462,,37.3615
2015-05-19,17.4475,5534.164,,37.1963
2015-05-20,17.2925,5484.9997,,36.8658
2015-05-21,17.0625,5412.0461,,36.3755
2015-05-22,17.17,5446.144,,36.6047
2015-05-26,17.1625,5443.765,,36.5887
2015-05-27,17.91,5680.8642,,38.1823
2015-05-28,17.8175,5651.5242,,37.9851
2015-05-29,17.93,5687.208,,38.2249
2015-06-01,18.0875,5737.1653,,38.5607
2015-06-02,18.1475,5756.1967,,38.6886
2015-06-03,18.12,5747.474,,38.63
2015-06-04,17.965,5698.3096,,38.2995
2015-06-05,18.1525,5757.7827,,38.6993
2015-06-08,17.935,5688.7939,,38.2356
2015-06-09,17.725,5622.1841,,37.7879
2015-06-10,18.0425,5722.8918,,38.4648
2015-06-11,18.3475,5819.6346,,39.115
2015-06-12,18.11,5744.3021,,38.6087
2015-06-15,18.0925,5738.7513,,38.5714
2015-06-16,18.1975,5772.0562,,38.7952
2015-06-17,18.7425,5944.9245,,39.9571
2015-06-18,19.35,6137.6171,,41.2522
2015-06-19,19.405,6155.0625,,41.3695
2015-06-22,19.4525,6170.129,,41.4707
2015-06-23,19.4825,6179.6447,,41.5347
2015-06-24,19.275,6113.8279,,41.0923
2015-06-25,19.44,6166.1642,,41.4441
2015-06-26,19.9,6312.0713,,42.4248
2015-06-29,19.775,6272.4226,,42.1583
2015-06-30,19.995,6342.2043,,37.4833
2015-07-01,19.9425,6325.5519,,37.3849
2015-07-02,19.84,6293.04,,37.1927
2015-07-06,19.9275,6320.794,,37.3568
2015-07-07,20.2675,6428.6385,,37.9941
2015-07-08,19.8775,6304.9346,,37.263
2015-07-09,20.04,6356.4779,,37.5677
2015-07-10,20.3625,6458.7715,,38.1722
2015-07-13,20.5025,6503.178,,38.4347
2015-07-14,20.565,6523.0024,,38.5518
2015-07-15,20.2275,6415.9509,,37.9192
2015-07-16,20.9175,6634.8117,,39.2127
2015-07-17,20.9475,6644.3273,,39.2689
2015-07-20,20.87,6619.7452,,39.1236
2015-07-21,21.1325,6703.0074,,39.6157
2015-07-22,21.3525,6772.7891,,40.0281
2015-07-23,21.2825,6750.5858,,39.8969
2015-07-24,20.7725,6588.8192,,38.9408
2015-07-27,20.425,6478.5958,,38.2894
2015-07-28,20.8525,6614.1943,,39.0908
2015-07-29,20.89,6626.089,,39.1611
2015-07-30,20.98,6654.636,,39.3298
2015-07-31,21.1625,6712.5231,,39.6719
2015-08-03,21.1325,6703.0074,,39.6157
2015-08-04,21.2325,6734.7264,,39.8032
2015-08-05,21.4875,6883.0086,,40.2812
2015-08-06,23.3275,7472.4088,,43.7305
2015-08-07,22.94,7348.2824,,43.0041
2015-08-10,22.5725,7230.5625,,42.3152
2015-08-11,23.9775,7680.6208,,44.949
2015-08-12,23.955,7673.4134,,44.9069
2015-08-13,24.2675,7773.5154,,45.4927
2015-08-14,24.545,7862.4059,,46.0129
2015-08-17,24.5275,7856.8002,,45.9801
2015-08-18,24.165,7740.6819,,45.3005
2015-08-19,23.875,7647.7874,,44.7569
2015-08-20,22.645,7253.7862,,42.4511
2015-08-21,22.5025,7208.1397,,42.1839
2015-08-24,21.3725,6846.1711,,40.0656
2015-08-25,22.3925,7172.9038,,41.9777
2015-08-26,22.8825,7329.8636,,42.8963
2015-08-27,23.435,7506.8438,,43.932
2015-08-28,23.5475,7542.8805,,44.1429
2015-08-31,23.535,7538.8765,,44.1195
2015-09-01,21.955,7032.7611,,41.1576
2015-09-02,22.3425,7156.8875,,41.884
2015-09-03,22.0025,7047.9766,,41.2466
2015-09-04,22.0775,7072.0011,,41.3872
2015-09-08,22.7625,7291.4245,,42.6714
2015-09-09,22.71,7274.6074,,42.5729
2015-09-10,24.1075,7722.2632,,45.1927
2015-09-11,24.3525,7800.7431,,45.652
2015-09-14,23.9325,7666.2061,,44.8647
2015-09-15,24.18,7745.4868,,45.3286
2015-09-16,24.3675,7805.548,,45.6801
2015-09-17,25.4775,8161.11,,47.761
2015-09-18,25.0,8008.1543,,46.8658
2015-09-21,24.9725,7999.3453,,46.8143
2015-09-22,24.3625,7803.9464,,45.6708
2015-09-23,25.1375,8052.1991,,47.1236
2015-09-24,24.26,7771.1129,,45.4786
2015-09-25,23.015,7372.3068,,43.1447
2015-09-28,21.2075,6793.3173,,39.7563
2015-09-29,20.7475,6645.9673,,38.894
2015-09-30,21.465,6875.8013,,36.1118
2015-10-01,21.42,6861.3866,,36.0361
2015-10-02,21.6775,6943.8706,,36.4693
2015-10-05,21.14,6771.6953,,35.5651
2015-10-06,20.03,6416.1332,,33.6977
2015-10-07,19.665,6299.2142,,33.0836
2015-10-08,19.4975,6245.5595,,32.8018
2015-10-09,19.3875,6210.3237,,32.6167
2015-10-12,19.49,6243.1571,,32.7892
2015-10-13,18.86,6041.3516,,31.7293
2015-10-14,17.6625,5657.761,,29.7147
2015-10-15,21.0875,6754.8781,,35.4767
2015-10-16,20.82,6669.1909,,35.0267
2015-10-19,20.8125,6666.7885,,35.0141
2015-10-20,20.145,6452.9707,,33.8911
2015-10-21,19.9025,6375.2916,,33.4832
2015-10-22,19.51,6249.5636,,32.8228
2015-10-23,20.625,6606.7273,,34.6987
2015-10-26,20.63,6608.3289,,34.7071
2015-10-27,20.8975,6694.0162,,35.1571
2015-10-28,21.0175,6732.4553,,35.359
2015-10-29,20.6125,6602.7232,,34.6776
2015-10-30,20.83,6672.3942,,35.0435
2015-11-02,21.7025,6951.8787,,36.5114
2015-11-03,21.8575,7001.5293,,36.7722
2015-11-04,21.7625,7076.7243,,36.6123
2015-11-05,21.2025,6894.6236,,35.6702
2015-11-06,21.18,6887.3071,,35.6324
2015-11-09,21.2575,6912.5085,,35.7627
2015-11-10,21.23,6903.5661,,35.7165
