Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,22.83,7057.2673,148.5351,3.5202
2014-01-03,22.68,7010.8989,147.5592,3.4971
2014-01-06,22.53,6964.5306,146.5833,3.4739
2014-01-07,23.1,7140.7304,150.2918,3.5618
2014-01-08,23.31,7205.6461,151.6581,3.5942
2014-01-09,22.75,7032.5375,148.0147,3.5079
2014-01-10,23.01,7112.9094,149.7062,3.5479
2014-01-13,22.38,6918.1622,145.6074,3.4508
2014-01-14,22.46,6942.892,146.1279,3.4631
2014-01-15,21.93,6779.057,142.6796,3.3814
2014-01-16,21.54,6658.4993,140.1422,3.3213
2014-01-17,24.1,7449.8529,156.7979,3.716
2014-01-21,24.32,7517.8599,158.2293,3.7499
2014-01-22,24.17,7471.4915,157.2534,3.7268
2014-01-23,23.87,7378.7547,155.3015,3.6806
2014-01-24,23.84,7369.4811,155.1063,3.6759
2014-01-27,24.47,7564.2283,159.2052,3.7731
2014-01-28,24.87,7687.8773,161.8077,3.8347
2014-01-29,25.22,7796.0702,164.0848,3.8887
2014-01-30,26.03,8046.4594,169.3548,4.0136
2014-01-31,26.4,8160.8347,171.7621,4.0707
2014-02-03,26.08,8061.9155,169.6801,4.0213
2014-02-04,26.18,8105.0717,170.3307,4.0367
2014-02-05,26.16,8098.8799,170.2006,4.0337
2014-02-06,26.46,8191.757,172.1524,4.0799
2014-02-07,27.2,8420.8537,176.967,4.194
2014-02-10,26.88,8321.7848,174.885,4.1447
2014-02-11,27.41,8485.8677,178.3333,4.2264
2014-02-12,27.86,8625.1832,181.261,4.2958
2014-02-13,27.56,8532.3062,179.3092,4.2495
2014-02-14,27.58,8538.498,179.4393,4.2526
2014-02-18,28.4,8792.362,184.7743,4.379
2014-02-19,27.91,8640.6628,181.5863,4.3035
2014-02-20,27.79,8603.5119,180.8056,4.285
2014-02-21,28.0,8668.5259,182.1719,4.3174
2014-02-24,27.96,8656.1423,181.9116,4.3112
2014-02-25,28.1,8699.4849,182.8225,4.3328
2014-02-26,28.27,8752.1152,183.9285,4.359
2014-02-27,28.54,8835.7046,185.6852,4.4006
2014-02-28,28.59,8851.1841,186.0105,4.4083
2014-03-03,28.09,8696.389,182.7574,4.3312
