Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,22.7022,69830.6107,10.6726,1.2423
2014-01-03,22.416,68950.2842,10.5381,1.2266
2014-01-06,21.7931,67034.2793,10.2453,1.1925
2014-01-07,22.2518,68445.391,10.4609,1.2177
2014-01-08,22.0414,67798.092,10.362,1.2061
2014-01-09,21.9151,67409.7127,10.3026,1.1992
2014-01-10,21.953,67526.2265,10.3204,1.2013
2014-01-13,22.1129,68018.1737,10.3956,1.2101
2014-01-14,22.2897,68561.9048,10.4787,1.2197
2014-01-15,22.639,69636.4211,10.643,1.2388
2014-01-16,22.618,69571.6912,10.6331,1.2377
2014-01-17,22.3907,68872.6083,10.5262,1.2253
2014-01-21,22.7905,70102.4763,10.7142,1.2471
2014-01-22,22.9,70439.0718,10.7656,1.2531
2014-01-23,23.123,71125.2086,10.8705,1.2653
2014-01-24,22.8831,70387.2878,10.7577,1.2522
2014-01-27,22.256,68458.337,10.4629,1.2179
2014-01-28,22.3739,68820.8244,10.5183,1.2243
2014-01-29,21.9656,67565.0644,10.3264,1.202
2014-01-30,22.3823,68846.7163,10.5223,1.2248
2014-01-31,22.3907,68872.6083,10.5262,1.2253
2014-02-03,22.0498,67826.9706,10.3659,1.2066
2014-02-04,22.2687,68500.1911,10.4688,1.2186
2014-02-05,22.5254,69289.9306,10.5895,1.2326
2014-02-06,22.8831,70390.3873,10.7577,1.2522
2014-02-07,22.9736,70668.7381,10.8003,1.2572
2014-02-10,22.6348,69626.5409,10.641,1.2386
2014-02-11,22.8591,70316.592,10.7464,1.2509
2014-02-12,23.0767,70985.9286,10.8487,1.2628
2014-02-13,23.1146,71102.4475,10.8665,1.2649
2014-02-14,23.0515,70908.2493,10.8369,1.2614
2014-02-18,23.2114,71400.2181,10.912,1.2702
2014-02-19,23.0389,70869.4096,10.8309,1.2607
2014-02-20,23.1315,71154.2337,10.8744,1.2658
2014-02-21,22.9757,70675.2114,10.8012,1.2573
2014-02-24,23.6954,72889.0713,11.1396,1.2967
2014-02-25,23.6323,72694.873,11.1099,1.2932
2014-02-26,24.1331,74235.5124,11.3454,1.3206
2014-02-27,24.554,75530.1673,11.5432,1.3436
2014-02-28,24.735,76086.8689,11.6283,1.3535
2014-03-03,24.5414,75491.3276,11.5373,1.3429
2014-03-04,24.8571,76462.3188,11.6857,1.3602
2014-03-05,24.7729,76203.3878,11.6461,1.3556
2014-03-06,24.9581,76773.036,11.7332,1.3657
2014-03-07,24.8571,76462.3188,11.6857,1.3602
2014-03-10,24.5035,75374.8087,11.5195,1.3409
2014-03-11,24.2173,74494.4434,11.3849,1.3252
2014-03-12,24.4025,75064.0915,11.472,1.3353
2014-03-13,23.8638,73406.9332,11.2187,1.3059
2014-03-14,23.8806,73458.7194,11.2266,1.3068
2014-03-17,24.1668,74339.0848,11.3612,1.3224
2014-03-18,24.3436,73406.8254,11.4443,1.3321
2014-03-19,24.1163,72721.492,11.3374,1.3197
2014-03-20,24.0406,72493.0475,11.3018,1.3155
2014-03-21,23.9732,72289.9858,11.2702,1.3119
2014-03-24,23.7964,71756.9487,11.1871,1.3022
2014-03-25,23.7081,71490.4301,11.1455,1.2973
2014-03-26,23.4008,70563.9608,11.0011,1.2805
2014-03-27,23.224,70030.9237,10.918,1.2709
2014-03-28,23.2283,70043.6151,10.92,1.2711
2014-03-31,23.2493,70107.0719,10.9722,1.5022
2014-04-01,23.586,71122.3807,11.1311,1.524
2014-04-02,23.3377,70373.5904,11.0139,1.5079
2014-04-03,22.9715,69269.4421,10.8411,1.4843
2014-04-04,22.7274,68533.3433,10.7259,1.4685
2014-04-07,22.2855,67200.7505,10.5173,1.4399
2014-04-08,23.0641,69548.6521,10.8848,1.4902
2014-04-09,23.5229,70932.0103,11.1013,1.5199
2014-04-10,22.7611,68634.8741,10.7418,1.4707
2014-04-11,22.5001,67848.0098,10.6186,1.4538
2014-04-14,22.719,68507.9605,10.7219,1.4679
