Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,103.79,31271.8497,30.5658,4.2552
2014-01-03,103.92,31311.0186,30.6041,4.2605
2014-01-06,102.28,30816.8878,30.1211,4.1933
2014-01-07,103.33,31133.2521,30.4304,4.2363
2014-01-08,104.14,31377.3045,30.6689,4.2695
2014-01-09,105.0,31636.4218,30.9222,4.3048
2014-01-10,105.39,31753.9285,31.037,4.3208
2014-01-13,103.1,31063.9532,30.3626,4.2269
2014-01-14,104.33,31434.5513,30.7249,4.2773
2014-01-15,103.62,31220.6288,30.5158,4.2482
2014-01-16,104.45,31470.7072,30.7602,4.2822
2014-01-17,104.15,31380.3174,30.6719,4.2699
2014-01-21,103.9,31304.9926,30.5982,4.2597
2014-01-22,103.69,31241.7198,30.5364,4.2511
2014-01-23,101.94,30714.4461,30.021,4.1793
2014-01-24,99.35,29934.081,29.2583,4.0731
2014-01-27,98.76,29756.3145,29.0845,4.0489
2014-01-28,99.85,30084.7306,29.4055,4.0936
2014-01-29,100.23,30199.2244,29.5174,4.1092
2014-01-30,100.83,30380.0039,29.6941,4.1338
2014-01-31,100.54,30292.6271,29.6087,4.1219
2014-02-03,98.03,29536.366,28.8695,4.019
2014-02-04,98.7,29738.2365,29.0668,4.0465
2014-02-05,99.16,29876.8342,29.2023,4.0653
2014-02-06,99.89,30096.7826,29.4173,4.0953
2014-02-07,100.13,30169.0944,29.488,4.1051
2014-02-10,100.62,30316.7311,29.6323,4.1252
2014-02-11,101.41,30554.7575,29.8649,4.1576
2014-02-12,101.14,30473.4067,29.7854,4.1465
2014-02-13,102.3,30822.9138,30.127,4.1941
2014-02-14,103.15,31079.0182,30.3774,4.2289
2014-02-18,103.08,31057.9272,30.3567,4.2261
2014-02-19,101.97,30723.4851,30.0299,4.1805
2014-02-20,101.87,30693.3551,30.0004,4.1764
2014-02-21,102.19,30789.7709,30.0946,4.1896
2014-02-24,102.39,30850.0308,30.1535,4.1978
2014-02-25,104.58,31509.8761,30.7985,4.2875
2014-02-26,105.43,31765.9805,31.0488,4.3224
2014-02-27,106.65,32133.5656,31.4081,4.3724
2014-02-28,107.75,32407.6901,31.732,4.4175
2014-03-03,107.98,32476.8666,31.7998,4.4269
2014-03-04,109.66,32982.1559,32.2945,4.4958
