Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,53.96,15804.2464,14.6823,1.2906
2014-01-03,53.45,15654.8734,14.5435,1.2784
2014-01-06,53.37,15631.4424,14.5218,1.2765
2014-01-07,53.95,15801.3175,14.6796,1.2904
2014-01-08,53.41,15643.1579,14.5326,1.2774
2014-01-09,53.58,15692.9489,14.5789,1.2815
2014-01-10,54.33,15912.615,14.783,1.2994
2014-01-13,53.92,15792.5309,14.6714,1.2896
2014-01-14,53.78,15751.5265,14.6333,1.2863
2014-01-15,53.83,15766.1709,14.6469,1.2875
2014-01-16,53.94,15798.3886,14.6769,1.2901
2014-01-17,53.96,15804.2464,14.6823,1.2906
2014-01-21,54.39,15930.1883,14.7993,1.3009
2014-01-22,54.16,15862.824,14.7367,1.2954
2014-01-23,53.94,15798.3886,14.6769,1.2901
2014-01-24,53.65,15713.451,14.5979,1.2832
2014-01-27,53.41,15643.1579,14.5326,1.2774
2014-01-28,53.13,15561.1492,14.4565,1.2707
2014-01-29,53.25,15596.2958,14.4891,1.2736
2014-01-30,53.9,15786.6731,14.666,1.2892
2014-01-31,54.41,15936.0461,14.8047,1.3014
2014-02-03,53.74,15739.811,14.6224,1.2853
2014-02-04,53.59,15695.8778,14.5816,1.2818
2014-02-05,53.39,15637.3001,14.5272,1.277
2014-02-06,53.8,15757.3843,14.6388,1.2868
2014-02-07,54.02,15821.8197,14.6986,1.292
2014-02-10,53.7,15728.0955,14.6116,1.2844
2014-02-11,54.43,15941.9038,14.8102,1.3018
2014-02-12,54.01,15818.8908,14.6959,1.2918
2014-02-13,54.52,15968.2638,14.8347,1.304
2014-02-14,55.16,16155.7122,15.0088,1.3193
2014-02-18,55.27,16187.9299,15.0387,1.3219
2014-02-19,54.74,16032.6992,14.8945,1.3093
2014-02-20,55.3,16196.7166,15.0469,1.3226
2014-02-21,55.29,16194.579,15.0442,1.3224
2014-02-24,55.75,16329.3142,15.1693,1.3334
2014-02-25,56.11,16434.7591,15.2673,1.342
2014-02-26,55.7,16314.669,15.1557,1.3322
2014-02-27,55.57,16276.5917,15.1204,1.3291
2014-02-28,56.05,16417.1849,15.251,1.3406
2014-03-03,55.46,16244.3724,15.0904,1.3265
2014-03-04,55.66,16302.9529,15.1449,1.3313
2014-03-05,55.28,16191.65,15.0415,1.3222
2014-03-06,55.29,16194.579,15.0442,1.3224
2014-03-07,55.44,16238.5144,15.085,1.326
2014-03-10,55.48,16250.2305,15.0959,1.327
2014-03-11,55.12,16144.7856,14.9979,1.3183
2014-03-12,54.62,15998.3343,14.8619,1.3064
2014-03-13,53.69,15725.935,14.6088,1.2841
2014-03-14,54.66,16010.0504,14.8728,1.3073
2014-03-17,55.05,16124.2824,14.9789,1.3167
2014-03-18,54.41,15936.8248,14.8047,1.3014
2014-03-19,52.68,15430.1035,14.334,1.26
2014-03-20,52.78,15459.3938,14.3612,1.2624
2014-03-21,52.46,15365.665,14.2742,1.2547
2014-03-24,52.67,15427.1745,14.3313,1.2597
2014-03-25,53.04,15535.5484,14.432,1.2686
2014-03-26,53.15,15567.7677,14.4619,1.2712
2014-03-27,53.63,15708.3609,14.5925,1.2827
2014-03-28,53.17,15573.6257,14.4673,1.2717
