Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,68.45,8329.3736,24.2175,3.6267
2014-01-03,68.9,8384.1321,24.3767,3.6506
2014-01-06,68.26,8306.2533,24.1502,3.6167
2014-01-07,68.73,8363.4455,24.3165,3.6416
2014-01-08,68.74,8364.6624,24.3201,3.6421
2014-01-09,68.76,8367.0961,24.3271,3.6432
2014-01-10,68.8,8371.9635,24.3413,3.6453
2014-01-13,67.45,8207.6881,23.8637,3.5738
2014-01-14,68.14,8291.6511,24.1078,3.6103
2014-01-15,69.11,8409.686,24.451,3.6617
2014-01-16,69.12,8410.9029,24.4545,3.6622
2014-01-17,70.73,8606.8166,25.0241,3.7475
2014-01-21,70.27,8550.8412,24.8614,3.7232
2014-01-22,71.45,8694.4301,25.2789,3.7857
2014-01-23,70.28,8552.0581,24.8649,3.7237
2014-01-24,69.77,8489.9985,24.6845,3.6967
2014-01-27,69.01,8397.5175,24.4156,3.6564
2014-01-28,68.87,8380.4815,24.3661,3.649
2014-01-29,68.42,8325.723,24.2068,3.6252
2014-01-30,70.74,8608.0334,25.0277,3.7481
2014-01-31,70.06,8525.2873,24.7871,3.7121
2014-02-03,68.12,8289.2174,24.1007,3.6093
2014-02-04,69.36,8440.1074,24.5394,3.675
2014-02-05,68.12,8289.2174,24.1007,3.6093
2014-02-06,70.24,8547.1907,24.8508,3.7216
2014-02-07,70.95,8633.5874,25.102,3.7592
2014-02-10,71.16,8659.1413,25.1763,3.7703
2014-02-11,71.23,8667.6593,25.201,3.774
2014-02-12,71.38,8685.9122,25.2541,3.782
2014-02-13,71.83,8740.6706,25.4133,3.8058
2014-02-14,69.8,8493.649,24.6951,3.6983
2014-02-18,69.78,8491.2153,24.688,3.6972
2014-02-19,69.96,8528.1241,24.7517,3.7068
2014-02-20,69.74,8501.3061,24.6739,3.6951
2014-02-21,68.89,8397.6911,24.3731,3.6501
2014-02-24,69.83,8512.2771,24.7057,3.6999
2014-02-25,69.52,8474.4881,24.596,3.6834
2014-02-26,69.84,8513.4961,24.7092,3.7004
2014-02-27,70.02,8535.4381,24.7729,3.7099
2014-02-28,70.06,8550.1732,24.7871,3.7121
2014-03-03,69.56,8489.1529,24.6102,3.6856
2014-03-04,70.67,8624.6181,25.0029,3.7444
2014-03-05,69.89,8529.4263,24.7269,3.703
2014-03-06,70.39,8590.4467,24.9038,3.7295
2014-03-07,70.76,8635.6018,25.0347,3.7491
2014-03-10,71.25,8695.4017,25.2081,3.7751
2014-03-11,71.25,8695.4017,25.2081,3.7751
2014-03-12,71.96,8782.0506,25.4593,3.8127
2014-03-13,71.67,8746.6588,25.3567,3.7974
2014-03-14,71.03,8668.5527,25.1303,3.7634
2014-03-17,71.54,8730.7935,25.3107,3.7905
2014-03-18,72.81,8885.7852,25.76,3.8578
2014-03-19,71.56,8720.5271,25.3178,3.7915
2014-03-20,72.0,8774.1469,25.4734,3.8148
2014-03-21,71.22,8679.0937,25.1975,3.7735
2014-03-24,70.57,8599.8826,24.9675,3.7391
2014-03-25,70.06,8537.7324,24.7871,3.7121
2014-03-26,69.18,8430.4928,24.4757,3.6654
2014-03-27,68.67,8368.3426,24.2953,3.6384
2014-03-28,68.19,8309.8483,24.1255,3.613
2014-03-31,68.03,8290.3502,24.0689,3.524
2014-04-01,69.73,8497.5176,24.6703,3.612
2014-04-02,69.4,8457.3027,24.5536,3.5949
2014-04-03,69.13,8424.3997,24.458,3.581
2014-04-04,67.7,8250.1354,23.9521,3.5069
2014-04-07,66.72,8130.7095,23.6054,3.4561
2014-04-08,66.99,8163.6125,23.7009,3.4701
2014-04-09,67.92,8276.9453,24.0299,3.5183
2014-04-10,66.01,8044.1866,23.3542,3.4193
2014-04-11,65.04,7925.9794,23.011,3.3691
2014-04-14,65.42,7972.2874,23.1455,3.3888
2014-04-15,66.14,8060.0288,23.4002,3.4261
2014-04-16,67.5,8225.7627,23.8814,3.4965
2014-04-17,68.61,8361.0308,24.2741,3.554
2014-04-21,68.29,8322.0346,24.1609,3.5374
2014-04-22,68.45,8341.5327,24.2175,3.5457
2014-04-23,70.06,8537.7324,24.7871,3.6291
2014-04-24,69.08,8429.806,24.4404,3.5784
2014-04-25,68.89,8406.6203,24.3731,3.5685
2014-04-28,69.5,8481.0584,24.5889,3.6001
2014-04-29,69.93,8533.5311,24.7411,3.6224
2014-04-30,70.81,8640.9172,25.0524,3.668
2014-05-01,70.61,8616.5113,24.9817,3.6576
2014-05-02,70.91,8653.1202,25.0878,3.6732
2014-05-05,70.83,8643.3578,25.0595,3.669
2014-05-06,70.77,8636.036,25.0383,3.6659
2014-05-07,71.07,8672.6449,25.1444,3.6814
2014-05-08,70.87,8648.239,25.0737,3.6711
2014-05-09,71.23,8692.1696,25.201,3.6897
2014-05-12,71.65,8743.4221,25.3496,3.7115
2014-05-13,71.09,8675.0855,25.1515,3.6825
2014-05-14,71.03,8667.7637,25.1303,3.6794
2014-05-15,70.39,8589.6648,24.9038,3.6462
2014-05-16,70.73,8631.1548,25.0241,3.6638
2014-05-19,70.64,8620.1722,24.9923,3.6592
2014-05-20,69.46,8476.1772,24.5748,3.598
2014-05-21,69.39,8467.6351,24.55,3.5944
2014-05-22,69.45,8474.9569,24.5713,3.5975
