Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,45.43,14801.6036,10.0141,1.4894
2014-01-03,45.44,14804.8618,10.0163,1.4897
2014-01-06,45.41,14795.0874,10.0097,1.4887
2014-01-07,45.48,14817.8942,10.0252,1.491
2014-01-08,45.07,14684.3116,9.9348,1.4776
2014-01-09,45.14,14707.1184,9.9502,1.4799
2014-01-10,45.51,14827.6685,10.0318,1.492
2014-01-13,45.48,14817.8942,10.0252,1.491
2014-01-14,46.27,15075.2851,10.1993,1.5169
2014-01-15,46.37,15107.8662,10.2213,1.5202
2014-01-16,46.93,15290.3205,10.3448,1.5386
2014-01-17,46.9,15280.5461,10.3382,1.5376
2014-01-21,47.7,15541.1951,10.5145,1.5638
2014-01-22,47.8,15573.7762,10.5366,1.5671
2014-01-23,47.65,15524.9046,10.5035,1.5622
2014-01-24,46.92,15287.0624,10.3426,1.5382
2014-01-27,47.19,15375.0314,10.4021,1.5471
2014-01-28,47.4,15443.4517,10.4484,1.554
2014-01-29,47.12,15352.2246,10.3867,1.5448
2014-01-30,47.95,15622.6479,10.5696,1.572
2014-01-31,48.16,15691.0683,10.6159,1.5789
2014-02-03,48.19,15700.8426,10.6225,1.5799
2014-02-04,47.91,15609.6155,10.5608,1.5707
2014-02-05,47.96,15625.906,10.5718,1.5723
2014-02-06,48.67,15857.232,10.7283,1.5956
2014-02-07,48.71,15870.2644,10.7371,1.5969
2014-02-10,48.8,15899.5875,10.757,1.5999
2014-02-11,49.44,16108.1066,10.8981,1.6209
2014-02-12,49.63,16170.0108,10.9399,1.6271
2014-02-13,50.19,16352.465,11.0634,1.6454
2014-02-14,50.54,16466.499,11.1405,1.6569
2014-02-18,50.98,16609.8559,11.2375,1.6713
2014-02-19,50.7,16518.6288,11.1758,1.6622
2014-02-20,51.22,16688.0506,11.2904,1.6792
2014-02-21,51.36,16733.6642,11.3213,1.6838
2014-02-24,51.5,16779.2777,11.3521,1.6884
2014-02-25,51.24,16694.5668,11.2948,1.6799
2014-02-26,52.0,16942.1833,11.4624,1.7048
2014-02-27,52.07,16964.9901,11.4778,1.7071
2014-02-28,52.37,17062.7335,11.5439,1.7169
2014-03-03,51.9,16909.6022,11.4403,1.7015
2014-03-04,52.21,17010.6037,11.5086,1.7117
2014-03-05,51.55,16795.5683,11.3632,1.69
2014-03-06,51.17,16671.76,11.2794,1.6776
2014-03-07,51.42,16753.2128,11.3345,1.6858
2014-03-10,51.18,16675.0182,11.2816,1.6779
2014-03-11,50.76,16538.1774,11.189,1.6641
2014-03-12,51.7,16844.44,11.3962,1.695
2014-03-13,51.77,16867.2468,11.4117,1.6972
2014-03-14,52.06,16961.732,11.4756,1.7068
2014-03-17,52.4,17072.5078,11.5505,1.7179
2014-03-18,52.62,17144.1863,11.599,1.7251
2014-03-19,51.78,16870.5049,11.4139,1.6976
2014-03-20,52.02,16948.6996,11.4668,1.7054
2014-03-21,53.87,17551.4503,11.8746,1.7661
2014-03-24,54.29,17688.291,11.9671,1.7799
2014-03-25,54.36,17711.0978,11.9826,1.7822
2014-03-26,53.81,17531.9017,11.8613,1.7641
2014-03-27,53.89,17557.9666,11.879,1.7668
2014-03-28,55.29,18014.1023,12.1876,1.8126
2014-03-31,56.61,18444.1731,12.2161,1.8483
2014-04-01,56.62,18447.4312,12.2182,1.8486
2014-04-02,55.96,18232.3958,12.0758,1.8271
2014-04-03,56.47,18398.5595,12.1858,1.8437
2014-04-04,55.93,18222.6214,12.0693,1.8261
2014-04-07,55.91,18216.1052,12.065,1.8254
2014-04-08,56.35,18359.4621,12.16,1.8398
2014-04-09,56.64,18453.9474,12.2225,1.8493
2014-04-10,56.56,18427.8825,12.2053,1.8467
2014-04-11,56.32,18349.6878,12.1535,1.8388
2014-04-14,56.61,18444.1731,12.2161,1.8483
2014-04-15,56.95,18554.9489,12.2894,1.8594
2014-04-16,56.89,18535.4002,12.2765,1.8574
2014-04-17,56.38,18369.2365,12.1664,1.8408
2014-04-21,56.35,18359.4621,12.16,1.8398
2014-04-22,56.26,18330.1391,12.1405,1.8369
2014-04-23,56.34,18356.204,12.1578,1.8395
2014-04-24,56.74,18486.5285,12.2441,1.8525
2014-04-25,56.93,18548.4327,12.2851,1.8587
2014-04-28,57.0,18571.2394,12.3002,1.861
2014-04-29,56.69,18470.238,12.2333,1.8509
2014-04-30,56.56,18427.8825,12.2053,1.8467
2014-05-01,56.7,18473.4961,12.2355,1.8512
2014-05-02,55.34,18030.3928,11.942,1.8068
2014-05-05,55.94,18225.8795,12.0715,1.8264
2014-05-06,56.01,18248.6863,12.0866,1.8287
2014-05-07,57.1,18603.8206,12.3218,1.8643
2014-05-08,56.09,18274.7512,12.1038,1.8313
2014-05-09,55.29,18014.1023,11.9312,1.8052
2014-05-12,54.82,17860.971,11.8298,1.7899
2014-05-13,54.95,17903.3264,11.8578,1.7941
2014-05-14,55.1,17952.1981,11.8902,1.799
2014-05-15,55.24,17997.8117,11.9204,1.8036
2014-05-16,55.28,18010.8441,11.9291,1.8049
2014-05-19,54.04,17606.8382,11.6615,1.7644
2014-05-20,54.03,17603.5801,11.6593,1.7641
2014-05-21,53.73,17505.8368,11.5946,1.7543
2014-05-22,54.36,17711.0978,11.7305,1.7748
2014-05-23,54.02,17600.322,11.6572,1.7637
2014-05-27,54.09,17623.1288,11.6723,1.766
2014-05-28,54.36,17711.0978,11.7305,1.7748
2014-05-29,54.59,17786.0344,11.7802,1.7823
2014-05-30,55.14,17965.2306,11.8988,1.8003
2014-06-02,55.67,18137.9105,12.0132,1.8176
2014-06-03,56.21,18313.8486,12.1297,1.8352
2014-06-04,56.02,18251.9444,12.0887,1.829
2014-06-05,56.52,18414.8501,12.1966,1.8454
2014-06-06,56.06,18264.9769,12.0974,1.8303
2014-06-09,55.72,18154.2011,12.024,1.8192
2014-06-10,55.52,18089.0388,11.9808,1.8127
2014-06-11,54.89,17883.7778,11.8449,1.7921
2014-06-12,54.77,17844.6804,11.819,1.7882
2014-06-13,54.89,17883.7778,11.8449,1.7921
2014-06-16,55.61,18118.3618,12.0003,1.8156
2014-06-17,55.61,18118.3618,12.0003,1.8156
2014-06-18,57.11,18607.0787,12.324,1.8646
2014-06-19,57.84,18844.9209,12.4815,1.8885
2014-06-20,57.59,18763.4681,12.4275,1.8803
2014-06-23,57.57,18756.9518,12.4232,1.8796
2014-06-24,57.68,18792.7911,12.447,1.8832
2014-06-25,57.91,18867.7276,12.4966,1.8907
2014-06-26,57.6,18766.7262,12.4297,1.8806
2014-06-27,57.37,18691.7896,12.3801,1.8731
2014-06-30,58.11,18932.8899,13.8165,1.8238
2014-07-01,57.53,18743.9194,13.6786,1.8056
2014-07-02,56.42,18382.2689,13.4147,1.7708
2014-07-03,55.82,18186.7822,13.272,1.7519
2014-07-07,55.89,18209.589,13.2887,1.7541
2014-07-08,56.72,18480.0123,13.486,1.7802
2014-07-09,56.44,18388.7852,13.4194,1.7714
2014-07-10,56.99,18567.9813,13.5502,1.7887
2014-07-11,56.62,18447.4312,13.4622,1.777
2014-07-14,55.96,18232.3958,13.3053,1.7563
2014-07-15,56.55,18424.6244,13.4456,1.7748
2014-07-16,56.8,18506.0772,13.505,1.7827
2014-07-17,56.55,18424.6244,13.4456,1.7748
2014-07-18,57.11,18607.0787,13.5787,1.7924
2014-07-21,57.0,18571.2394,13.5526,1.789
2014-07-22,56.96,18558.207,13.5431,1.7877
2014-07-23,56.65,18457.2055,13.4694,1.778
2014-07-24,56.96,18558.207,13.5431,1.7877
