Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,73.71,28596.0372,26.7064,7.3918
2014-01-03,73.65,28572.76,26.6847,7.3858
2014-01-06,74.08,28739.5799,26.8405,7.4289
2014-01-07,73.89,28665.8688,26.7716,7.4098
2014-01-08,73.08,28351.6266,26.4782,7.3286
2014-01-09,73.44,28491.2898,26.6086,7.3647
2014-01-10,74.05,28727.9413,26.8296,7.4259
2014-01-13,73.84,28646.4711,26.7535,7.4048
2014-01-14,73.74,28607.6758,26.7173,7.3948
2014-01-15,72.87,28270.1564,26.4021,7.3076
2014-01-16,72.19,28006.3482,26.1557,7.2394
2014-01-17,72.57,28153.7704,26.2934,7.2775
2014-01-21,72.18,28002.4686,26.1521,7.2384
2014-01-22,72.13,27983.071,26.134,7.2333
2014-01-23,70.47,27339.0685,25.5325,7.0669
2014-01-24,68.79,26687.307,24.9238,6.8984
2014-01-27,68.56,26598.0777,24.8405,6.8753
2014-01-28,69.85,27098.5375,25.3079,7.0047
2014-01-29,68.54,26590.3187,24.8332,6.8733
2014-01-30,68.95,26749.3795,24.9818,6.9145
2014-01-31,68.74,26667.9093,24.9057,6.8934
2014-02-03,68.28,26489.4508,24.739,6.8473
2014-02-04,69.19,26842.4883,25.0687,6.9385
2014-02-05,65.36,25310.7348,23.6811,6.5544
2014-02-06,66.8,25868.3764,24.2028,6.6988
2014-02-07,66.5,25752.2011,24.0941,6.6688
2014-02-10,66.39,25709.6035,24.0543,6.6577
2014-02-11,66.78,25860.6314,24.1956,6.6968
2014-02-12,66.88,25899.3565,24.2318,6.7069
2014-02-13,67.54,26154.9423,24.4709,6.7731
2014-02-14,67.98,26325.3328,24.6303,6.8172
2014-02-18,68.08,26364.0579,24.6666,6.8272
2014-02-19,67.39,26096.8546,24.4166,6.758
2014-02-20,67.86,26278.8627,24.5869,6.8051
2014-02-21,67.65,26197.5399,24.5108,6.7841
2014-02-24,67.9,26294.3527,24.6014,6.8092
2014-02-25,67.48,26131.7072,24.4492,6.767
2014-02-26,67.98,26325.3328,24.6303,6.8172
2014-02-27,67.6,26178.1774,24.4927,6.7791
2014-02-28,68.84,26658.3688,24.9419,6.9034
2014-03-03,68.56,26549.9385,24.8405,6.8753
2014-03-04,69.73,27003.0223,25.2644,6.9927
2014-03-05,69.27,26824.8868,25.0977,6.9465
2014-03-06,69.04,26735.819,25.0144,6.9235
2014-03-07,70.02,27115.3251,25.3695,7.0218
2014-03-10,70.2,27185.0303,25.4347,7.0398
2014-03-11,70.11,27150.1777,25.4021,7.0308
2014-03-12,70.2,27185.0303,25.4347,7.0398
2014-03-13,69.78,27022.3849,25.2825,6.9977
2014-03-14,69.3,26836.5043,25.1086,6.9496
2014-03-17,69.95,27088.2175,25.3441,7.0147
2014-03-18,70.12,27154.0502,25.4057,7.0318
2014-03-19,69.69,26987.5323,25.2499,6.9887
2014-03-20,69.12,26766.7991,25.0434,6.9315
2014-03-21,68.37,26476.3607,24.7716,6.8563
2014-03-24,67.3,26062.002,24.384,6.749
2014-03-25,67.37,26089.1096,24.4093,6.756
2014-03-26,67.23,26034.8944,24.3586,6.742
2014-03-27,67.23,26034.8944,24.3586,6.742
2014-03-28,66.73,25841.2689,24.1774,6.6918
2014-03-31,66.88,25899.3565,23.9708,6.9834
2014-04-01,68.26,26433.7631,24.4654,7.1275
2014-04-02,68.09,26367.9304,24.4044,7.1098
2014-04-03,68.21,26414.4006,24.4475,7.1223
2014-04-04,66.98,25938.0817,24.0066,6.9939
2014-04-07,67.3,26062.002,24.1213,7.0273
2014-04-08,69.53,26925.5721,24.9206,7.2601
2014-04-09,69.71,26995.2773,24.9851,7.2789
2014-04-10,68.92,26689.3489,24.7019,7.1964
2014-04-11,68.18,26402.783,24.4367,7.1192
2014-04-14,69.18,26790.0342,24.7951,7.2236
2014-04-15,70.8,27417.381,25.3758,7.3927
2014-04-16,72.09,27916.935,25.8381,7.5274
2014-04-17,72.15,27940.1701,25.8596,7.5337
2014-04-21,71.9,27843.3573,25.77,7.5076
2014-04-22,72.1,27920.8075,25.8417,7.5285
2014-04-23,71.67,27754.2895,25.6876,7.4836
2014-04-24,72.09,27916.935,25.8381,7.5274
2014-04-25,72.2,27959.5326,25.8775,7.5389
2014-04-28,71.9,27843.3573,25.77,7.5076
2014-04-29,72.93,28242.226,26.1392,7.6151
2014-04-30,72.57,28102.8155,26.0101,7.5775
2014-05-01,72.19,27955.6601,25.8739,7.5379
2014-05-02,75.62,28947.2243,27.1033,7.896
2014-05-05,74.06,28350.0586,26.5442,7.7331
2014-05-06,73.55,28154.8314,26.3614,7.6799
2014-05-07,73.69,28208.4232,26.4116,7.6945
2014-05-08,73.32,28066.7877,26.279,7.6559
2014-05-09,73.24,28036.1639,26.2503,7.6475
2014-05-12,73.63,28185.4553,26.3901,7.6882
2014-05-13,73.93,28300.2948,26.4976,7.7195
2014-05-14,73.68,28204.5952,26.408,7.6934
2014-05-15,73.07,27971.0881,26.1894,7.6297
2014-05-16,73.16,28005.54,26.2216,7.6391
2014-05-19,74.02,28334.7467,26.5298,7.7289
2014-05-20,73.88,28281.1549,26.4797,7.7143
2014-05-21,74.12,28373.0266,26.5657,7.7394
2014-05-22,74.91,28675.4374,26.8488,7.8219
2014-05-23,74.9,28671.6094,26.8453,7.8208
2014-05-27,75.58,28931.9124,27.089,7.8918
2014-05-28,75.65,28958.7083,27.1141,7.8991
2014-05-29,76.51,29287.915,27.4223,7.9889
2014-05-30,76.62,29330.0229,27.4617,8.0004
2014-06-02,76.75,29379.7867,27.5083,8.014
2014-06-03,76.69,29356.8188,27.4868,8.0077
2014-06-04,76.46,29268.7751,27.4044,7.9837
2014-06-05,76.6,29322.3669,27.4546,7.9983
2014-06-06,76.77,29387.4426,27.5155,8.0161
2014-06-09,76.5,29284.087,27.4187,7.9879
2014-06-10,76.42,29253.4632,27.39,7.9795
2014-06-11,76.56,29307.0549,27.4402,7.9942
2014-06-12,76.7,29360.6467,27.4904,8.0088
2014-06-13,76.49,29280.2591,27.4151,7.9869
2014-06-16,75.91,29058.2359,27.2073,7.9263
2014-06-17,75.25,28805.5889,26.9707,7.8574
2014-06-18,76.13,29142.4516,27.2861,7.9493
2014-06-19,76.52,29291.743,27.4259,7.99
2014-06-20,75.75,28996.9881,27.1499,7.9096
2014-06-23,74.83,28644.8135,26.8202,7.8135
2014-06-24,74.52,28526.146,26.7091,7.7812
2014-06-25,75.0,28709.8893,26.8811,7.8313
2014-06-26,74.6,28556.7698,26.7377,7.7895
2014-06-27,74.71,28598.8777,26.7772,7.801
2014-06-30,74.26,28426.6183,23.4626,7.3758
2014-07-01,74.23,28415.1344,23.4532,7.3728
2014-07-02,73.96,28311.7788,23.3679,7.346
2014-07-03,74.97,28698.4053,23.687,7.4463
2014-07-07,74.81,28637.1575,23.6364,7.4304
2014-07-08,74.06,28350.0586,23.3994,7.3559
2014-07-09,74.67,28583.5657,23.5922,7.4165
2014-07-10,74.69,28591.2217,23.5985,7.4185
2014-07-11,74.5,28518.49,23.5385,7.3996
2014-07-14,75.38,28855.3527,23.8165,7.4871
2014-07-15,75.73,28989.3322,23.9271,7.5218
2014-07-16,75.14,28763.481,23.7407,7.4632
2014-07-17,74.49,28514.662,23.5353,7.3987
2014-07-18,76.08,29123.3117,24.0377,7.5566
2014-07-21,75.42,28870.6646,23.8291,7.491
2014-07-22,76.24,29184.5594,24.0882,7.5725
2014-07-23,75.94,29069.7199,23.9934,7.5427
2014-07-24,75.91,29058.2359,23.984,7.5397
2014-07-25,75.67,28966.3643,23.9081,7.5159
2014-07-28,74.93,28683.0934,23.6743,7.4424
2014-07-29,74.39,28476.3822,23.5037,7.3887
2014-07-30,74.27,28430.4463,23.4658,7.3768
2014-07-31,73.46,28120.3795,23.2099,7.2963
2014-08-01,73.87,28277.3269,23.3394,7.3371
2014-08-04,74.22,28411.3064,23.45,7.3718
2014-08-05,73.95,28307.9508,23.3647,7.345
2014-08-06,74.26,28426.6183,23.4626,7.3758
2014-08-07,73.2,28020.8519,23.1277,7.2705
2014-08-08,74.2,28403.6504,23.4437,7.3698
2014-08-11,75.5,28901.2885,23.8544,7.499
2014-08-12,75.37,28851.5247,23.8133,7.4861
2014-08-13,75.15,28767.309,23.7438,7.4642
2014-08-14,75.9,29054.4079,23.9808,7.5387
2014-08-15,76.16,29153.9355,24.0629,7.5645
2014-08-18,76.79,29395.0986,24.262,7.6271
2014-08-19,76.64,29337.6788,24.2146,7.6122
2014-08-20,76.58,29314.7109,24.1956,7.6062
2014-08-21,76.27,29196.0434,24.0977,7.5754
2014-08-22,76.29,29203.6993,24.104,7.5774
2014-08-25,77.19,29548.218,24.3884,7.6668
2014-08-26,77.24,29567.3579,24.4042,7.6718
2014-08-27,77.01,29479.3143,24.3315,7.6489
2014-08-28,76.66,29345.3348,24.2209,7.6142
2014-08-29,76.83,29410.4106,24.2746,7.6311
2014-09-02,76.84,29414.2385,24.2778,7.6321
2014-09-03,76.23,29180.7314,24.0851,7.5715
2014-09-04,76.65,29341.5068,24.2178,7.6132
2014-09-05,76.78,29391.2706,24.2588,7.6261
2014-09-08,75.59,28935.7404,23.8829,7.5079
2014-09-09,74.41,28484.0381,23.51,7.3907
2014-09-10,74.9,28671.6094,23.6648,7.4394
2014-09-11,74.74,28610.3616,23.6143,7.4235
2014-09-12,74.48,28510.834,23.5321,7.3977
2014-09-15,74.43,28491.6941,23.5163,7.3927
2014-09-16,74.73,28606.5337,23.6111,7.4225
2014-09-17,74.69,28591.2217,23.5985,7.4185
2014-09-18,74.96,28694.5773,23.6838,7.4453
2014-09-19,75.43,28874.4926,23.8323,7.492
2014-09-22,75.25,28805.5889,23.7754,7.4741
2014-09-23,74.43,28491.6941,23.5163,7.3927
2014-09-24,75.12,28636.1633,23.7344,7.4612
2014-09-25,74.0,28209.213,23.3805,7.35
2014-09-26,74.6,28437.9364,23.5701,7.4096
2014-09-29,74.71,28479.869,23.6048,7.4205
2014-09-30,74.72,28483.681,24.9263,7.5354
2014-10-01,74.25,28304.5144,24.7695,7.488
2014-10-02,73.7,28094.8514,24.586,7.4325
2014-10-03,74.11,28251.1456,24.7228,7.4739
2014-10-06,74.05,28228.2733,24.7027,7.4678
2014-10-07,74.14,28262.5818,24.7328,7.4769
2014-10-08,74.74,28491.3052,24.9329,7.5374
2014-10-09,73.61,28060.5429,24.556,7.4235
2014-10-10,72.65,27694.5855,24.2357,7.3267
2014-10-13,71.02,27073.2204,23.6919,7.1623
2014-10-14,71.89,27404.8693,23.9822,7.25
2014-10-15,71.6,27294.3196,23.8854,7.2208
2014-10-16,71.78,27362.9366,23.9455,7.2389
2014-10-17,72.18,27515.4189,24.0789,7.2793
2014-10-20,73.11,27869.9401,24.3892,7.373
2014-10-21,74.66,28460.8087,24.9062,7.5294
2014-10-22,74.44,28376.9435,24.8328,7.5072
2014-10-23,74.23,28296.8903,24.7628,7.486
2014-10-24,74.35,28342.635,24.8028,7.4981
2014-10-27,74.52,28407.4399,24.8595,7.5152
2014-10-28,75.07,28617.103,25.043,7.5707
2014-10-29,74.72,28483.681,24.9263,7.5354
2014-10-30,74.94,28567.5463,24.9996,7.5576
2014-10-31,75.18,28659.0356,25.0797,7.5818
2014-11-03,75.96,28956.376,25.3399,7.6605
2014-11-04,72.0,27332.2101,24.0189,7.2611
2014-11-05,71.2,27028.5188,23.752,7.1804
2014-11-06,71.83,27267.6757,23.9622,7.244
2014-11-07,72.58,27552.3862,24.2124,7.3196
2014-11-10,72.83,27647.2897,24.2958,7.3448
2014-11-11,72.7,27597.9399,24.2524,7.3317
2014-11-12,72.62,27567.5707,24.2257,7.3236
2014-11-13,72.55,27540.9978,24.2023,7.3166
2014-11-14,71.33,27077.8687,23.7954,7.1935
2014-11-17,71.12,26998.1497,23.7253,7.1724
2014-11-18,72.03,27343.5985,24.0289,7.2641
2014-11-19,72.81,27639.6974,24.2891,7.3428
2014-11-20,72.85,27654.882,24.3024,7.3468
2014-11-21,73.04,27727.0086,24.3658,7.366
2014-11-24,72.76,27620.7167,24.2724,7.3377
2014-11-25,73.26,27810.5237,24.4392,7.3882
2014-11-26,73.21,27791.543,24.4225,7.3831
2014-11-28,74.14,28144.5841,24.7328,7.4769
2014-12-01,73.74,27992.7385,24.5993,7.4366
2014-12-02,74.26,28190.1378,24.7728,7.489
2014-12-03,74.61,28323.0027,24.8896,7.5243
2014-12-04,74.36,28228.0992,24.8062,7.4991
2014-12-05,74.66,28341.9834,24.9062,7.5294
2014-12-08,74.23,28178.7493,24.7628,7.486
2014-12-09,74.64,28334.3911,24.8996,7.5273
2014-12-10,73.45,27882.6504,24.5026,7.4073
2014-12-11,74.01,28095.2342,24.6894,7.4638
2014-12-12,73.03,27723.2125,24.3625,7.365
2014-12-15,72.23,27419.5213,24.0956,7.2843
2014-12-16,72.99,27708.0279,24.3491,7.3609
2014-12-17,74.0,28091.4381,24.6861,7.4628
2014-12-18,75.78,28767.1511,25.2799,7.6423
2014-12-19,76.25,28945.5697,25.4367,7.6897
2014-12-22,76.1,28888.6276,25.3866,7.6746
2014-12-23,77.76,29518.7869,25.9404,7.842
