Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,90.63,26773.6558,10.0797,1.0733
2014-01-03,90.63,26773.6558,10.0797,1.0733
2014-01-06,89.28,26374.8427,9.9296,1.0573
2014-01-07,91.08,26906.5935,10.1297,1.0786
2014-01-08,92.22,27243.3691,10.2565,1.0921
2014-01-09,93.0,27473.7945,10.3433,1.1013
2014-01-10,91.99,27175.4231,10.231,1.0894
2014-01-13,90.84,26835.6934,10.1031,1.0757
2014-01-14,91.35,26986.3562,10.1598,1.0818
2014-01-15,88.15,26041.0213,9.8039,1.0439
2014-01-16,85.56,25275.8909,9.5158,1.0132
2014-01-17,85.49,25255.2117,9.508,1.0124
2014-01-21,86.92,25677.6582,9.6671,1.0293
2014-01-22,86.11,25438.3703,9.577,1.0197
2014-01-23,85.79,25343.8369,9.5414,1.0159
2014-01-24,84.25,24888.8944,9.3701,0.9977
2014-01-27,84.89,25077.9614,9.4413,1.0053
2014-01-28,84.3,24903.6653,9.3757,0.9983
2014-01-29,85.37,25219.7616,9.4947,1.011
2014-01-30,87.76,25925.8086,9.7605,1.0393
2014-01-31,86.0,25405.8745,9.5648,1.0184
2014-02-03,85.62,25293.6159,9.5225,1.0139
2014-02-04,85.35,25213.8533,9.4925,1.0107
2014-02-05,85.65,25302.4785,9.5258,1.0143
2014-02-06,86.58,25577.2164,9.6293,1.0253
2014-02-07,84.68,25015.9238,9.418,1.0028
2014-02-10,84.6,24992.2904,9.4091,1.0018
2014-02-11,85.68,25311.341,9.5292,1.0146
2014-02-12,84.25,24888.8944,9.3701,0.9977
2014-02-13,85.31,25202.0366,9.488,1.0103
2014-02-14,87.8,25937.6253,9.765,1.0397
2014-02-18,87.52,25854.9085,9.7338,1.0364
2014-02-19,87.5,25849.0002,9.7316,1.0362
2014-02-20,87.71,24774.4882,9.7549,1.0387
2014-02-21,88.55,25011.7539,9.8484,1.0486
2014-02-24,90.93,25684.0065,10.1131,1.0768
2014-02-25,89.68,25330.9327,9.974,1.062
2014-02-26,89.15,25181.2293,9.9151,1.0557
2014-02-27,89.28,25217.949,9.9296,1.0573
2014-02-28,90.59,25587.9705,10.0753,1.0728
2014-03-03,89.44,25263.1425,9.9474,1.0592
