Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,69.3,48864.5238,18.9891,4.5447
2014-01-03,69.37,48913.8819,19.0082,4.5492
2014-01-06,68.85,48547.2217,18.8658,4.5151
2014-01-07,68.9,48582.4775,18.8795,4.5184
2014-01-08,68.55,48335.687,18.7836,4.4955
2014-01-09,68.27,48138.2546,18.7068,4.4771
2014-01-10,68.55,48335.687,18.7836,4.4955
2014-01-13,68.05,47983.1291,18.6465,4.4627
2014-01-14,69.21,48801.0634,18.9644,4.5387
2014-01-15,69.78,49202.9794,19.1206,4.5761
2014-01-16,69.95,49322.8491,19.1672,4.5873
2014-01-17,69.12,48737.603,18.9397,4.5328
2014-01-21,69.55,49040.8028,19.0576,4.561
2014-01-22,68.96,48624.7844,18.8959,4.5224
2014-01-23,67.35,47489.548,18.4547,4.4168
2014-01-24,65.26,46015.856,17.8821,4.2797
2014-01-27,65.52,46199.1861,17.9533,4.2968
2014-01-28,66.34,46777.3811,18.178,4.3505
2014-01-29,65.67,46304.9535,17.9944,4.3066
2014-01-30,66.58,46946.6089,18.2437,4.3663
2014-01-31,65.94,46495.3348,18.0684,4.3243
2014-02-03,64.25,45303.6891,17.6053,4.2135
2014-02-04,64.06,45169.7171,17.5532,4.201
2014-02-05,63.76,44822.3771,17.471,4.1813
2014-02-06,63.94,44948.9146,17.5204,4.1931
2014-02-07,65.19,45827.6469,17.8629,4.2751
2014-02-10,64.99,45687.0497,17.8081,4.262
2014-02-11,64.95,45658.9303,17.7971,4.2594
2014-02-12,65.11,45771.408,17.841,4.2699
2014-02-13,64.54,45370.7061,17.6848,4.2325
2014-02-14,64.51,45349.6165,17.6765,4.2305
2014-02-18,63.8,44850.4966,17.482,4.184
2014-02-19,63.27,44477.9141,17.3368,4.1492
2014-02-20,63.56,44681.78,17.4162,4.1682
2014-02-21,63.42,44583.362,17.3779,4.159
2014-02-24,64.32,45216.0492,17.6245,4.2181
2014-02-25,64.55,45377.736,17.6875,4.2331
2014-02-26,65.23,45855.7663,17.8738,4.2777
2014-02-27,65.25,45869.826,17.8793,4.2791
2014-02-28,65.26,45876.8559,17.8821,4.2797
2014-03-03,64.35,45237.1388,17.6327,4.22
2014-03-04,65.12,45778.4379,17.8437,4.2705
2014-03-05,65.06,45736.2587,17.8273,4.2666
2014-03-06,65.05,45729.2289,17.8245,4.2659
2014-03-07,65.6,46115.8711,17.9752,4.302
2014-03-10,64.93,45644.8706,17.7916,4.2581
2014-03-11,64.41,45279.3179,17.6491,4.224
2014-03-12,64.0,44991.0938,17.5368,4.1971
2014-03-13,63.02,44302.1676,17.2683,4.1328
2014-03-14,62.56,43978.7941,17.1422,4.1026
