Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,82.51,45046.2851,20.0314,2.9228
2014-01-03,82.28,44920.7168,19.9756,2.9146
2014-01-06,82.01,44773.3104,19.91,2.9051
2014-01-07,83.425,45545.8288,20.2536,2.9552
2014-01-08,83.39,45526.7206,20.2451,2.9539
2014-01-09,83.5,45586.7751,20.2718,2.9578
2014-01-10,83.405,45534.9099,20.2487,2.9545
2014-01-13,81.73,44620.4446,19.8421,2.8951
2014-01-14,84.3,46023.5346,20.466,2.9862
2014-01-15,85.18,46503.9701,20.6796,3.0174
2014-01-16,85.05,46432.9966,20.6481,3.0127
2014-01-17,84.48,46121.8055,20.5097,2.9926
2014-01-21,84.615,46195.5086,20.5425,2.9973
2014-01-22,85.86,46875.2156,20.8447,3.0414
2014-01-23,84.585,46179.1302,20.5352,2.9963
2014-01-24,82.765,45185.5022,20.0933,2.9318
2014-01-27,81.05,44249.199,19.677,2.8711
2014-01-28,83.61,45646.8295,20.2985,2.9617
2014-01-29,82.325,44945.2845,19.9865,2.9162
2014-01-30,83.065,45349.2871,20.1662,2.9424
2014-01-31,82.62,45106.3396,20.0581,2.9267
2014-02-03,80.87,44150.9281,19.6333,2.8647
2014-02-04,84.29,46018.0751,20.4636,2.9858
2014-02-05,83.745,45720.5327,20.3313,2.9665
2014-02-06,86.625,47292.8669,21.0304,3.0685
2014-02-07,88.25,48180.0347,21.425,3.1261
2014-02-10,87.1,47552.1929,21.1458,3.0854
2014-02-11,87.365,47696.8695,21.2101,3.0948
2014-02-12,87.555,47800.5999,21.2562,3.1015
2014-02-13,87.735,47898.8708,21.2999,3.1079
2014-02-14,88.48,48305.6031,21.4808,3.1342
2014-02-18,89.96,49113.6082,21.8401,3.1867
2014-02-19,89.43,48824.255,21.7114,3.1679
2014-02-20,90.015,49143.6354,21.8535,3.1886
2014-02-21,89.0,48589.4968,21.607,3.1527
2014-02-24,90.2,49270.77,21.8984,3.1952
2014-02-25,92.0,50254.0005,22.3354,3.2589
2014-02-26,93.22,50920.4122,22.6316,3.3022
2014-02-27,93.735,51201.7254,22.7566,3.3204
2014-02-28,94.71,51734.3085,22.9933,3.3549
2014-03-03,94.645,51698.803,22.9775,3.3526
2014-03-04,95.78,52318.7844,23.2531,3.3928
2014-03-05,95.245,52026.5465,23.1232,3.3739
2014-03-06,95.53,52182.2246,23.1924,3.384
2014-03-07,94.96,51870.8683,23.054,3.3638
2014-03-10,94.525,51633.2543,22.9484,3.3484
2014-03-11,92.8,50690.9918,22.5296,3.2873
2014-03-12,92.565,50562.6256,22.4725,3.279
