Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,34.78,1617.3663,27.3413,4.3107
2014-01-03,35.0,1627.5969,27.5142,4.338
2014-01-06,34.9,1622.9467,27.4356,4.3256
2014-01-07,35.79,1664.3341,28.1352,4.4359
2014-01-08,36.66,1704.7915,28.8192,4.5437
2014-01-09,36.56,1700.1413,28.7406,4.5313
2014-01-10,36.5,1697.3511,28.6934,4.5239
2014-01-13,36.01,1674.5647,28.3082,4.4632
2014-01-14,36.9,1715.9522,29.0078,4.5735
2014-01-15,37.84,1759.6648,29.7468,4.69
2014-01-16,38.21,1776.8708,30.0377,4.7358
2014-01-17,38.34,1782.9162,30.1399,4.752
2014-01-21,39.74,1848.0201,31.2404,4.9255
2014-01-22,40.46,1881.5021,31.8064,5.0147
2014-01-23,39.91,1855.9255,31.3741,4.9465
2014-01-24,39.87,1854.0654,31.3426,4.9416
2014-01-27,39.36,1830.349,30.9417,4.8784
2014-01-28,41.84,1945.6759,32.8913,5.1858
2014-01-29,41.1,1911.2638,32.3095,5.094
2014-01-30,41.58,1933.5852,32.6869,5.1535
2014-01-31,40.9,1901.9633,32.1523,5.0693
2014-02-03,39.71,1846.625,31.2168,4.9218
2014-02-04,40.44,1880.572,31.7907,5.0122
2014-02-05,40.42,1879.6419,31.775,5.0098
2014-02-06,40.85,1899.6381,32.113,5.0631
2014-02-07,43.41,2018.6852,34.1255,5.3803
2014-02-10,43.03,2001.0142,33.8268,5.3332
2014-02-11,43.35,2015.8951,34.0783,5.3729
2014-02-12,43.24,2010.7798,33.9918,5.3593
2014-02-13,44.26,2058.2126,34.7937,5.4857
2014-02-14,44.35,2062.3978,34.8644,5.4969
2014-02-18,44.62,2074.9536,35.0767,5.5303
2014-02-19,42.77,1988.9235,33.6224,5.301
2014-02-20,41.23,1917.3092,32.4117,5.1102
2014-02-21,41.88,1947.536,32.9227,5.1907
2014-02-24,42.88,1994.0388,33.7088,5.3147
2014-02-25,41.9,1948.466,32.9384,5.1932
2014-02-26,42.11,1958.2316,33.1035,5.2192
2014-02-27,42.24,1964.277,33.2057,5.2353
2014-02-28,41.93,1949.8611,32.962,5.1969
2014-03-03,32.02,1489.0187,25.1716,3.9686
2014-03-04,37.21,1730.3681,29.2515,4.6119
