Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,48.2995,13373.0567,25.0248,1.8062
2014-01-03,47.6735,13199.733,24.7004,1.7828
2014-01-06,47.7878,13231.3834,24.7597,1.7871
2014-01-07,47.8204,13240.4264,24.7766,1.7883
2014-01-08,48.1307,13326.3347,24.9373,1.7999
2014-01-09,46.8134,12961.6012,24.2548,1.7506
2014-01-10,46.8243,12964.6156,24.2605,1.751
2014-01-13,45.9152,12712.9193,23.7895,1.717
2014-01-14,47.0584,13029.4236,24.3817,1.7598
2014-01-15,47.4013,13124.3748,24.5594,1.7726
2014-01-16,48.4845,13424.3002,25.1207,1.8131
2014-01-17,47.6952,13205.7616,24.7117,1.7836
2014-01-21,49.3011,13650.3747,25.5437,1.8437
2014-01-22,50.2101,13902.0709,26.0147,1.8776
2014-01-23,50.0087,13846.3059,25.9103,1.8701
2014-01-24,49.3718,13669.9678,25.5804,1.8463
2014-01-27,48.6478,13469.5151,25.2053,1.8192
2014-01-28,49.5841,13728.7472,25.6904,1.8542
2014-01-29,49.1323,13603.6526,25.4563,1.8373
2014-01-30,48.9908,13564.4664,25.3829,1.832
2014-01-31,50.5204,13987.9792,26.1755,1.8892
2014-02-03,50.1502,13885.4921,25.9837,1.8754
2014-02-04,52.0554,14412.9991,26.9708,1.9467
2014-02-05,51.228,14183.9104,26.5421,1.9157
2014-02-06,51.2825,14198.982,26.5703,1.9177
2014-02-07,51.3042,14205.0106,26.5816,1.9186
2014-02-10,51.4022,14232.1396,26.6323,1.9222
2014-02-11,52.1099,14428.0708,26.999,1.9487
2014-02-12,51.8595,14358.7413,26.8693,1.9393
2014-02-13,52.0609,14414.5063,26.9736,1.9469
2014-02-14,53.1659,14720.4604,27.5461,1.9882
2014-02-18,54.5594,15106.2941,28.2681,2.0403
2014-02-19,54.4396,15073.1365,28.2061,2.0358
2014-02-20,54.4505,15093.8273,28.2117,2.0362
2014-02-21,54.8751,15211.5239,28.4317,2.0521
2014-02-24,55.4086,15359.399,28.7081,2.072
2014-02-25,55.1146,15277.9168,28.5558,2.0611
2014-02-26,54.4777,15101.372,28.2258,2.0372
2014-02-27,55.0656,15264.3364,28.5304,2.0592
2014-02-28,55.6807,15434.8455,28.8491,2.0822
2014-03-03,54.8261,15197.9435,28.4063,2.0503
2014-03-04,55.5066,15386.5598,28.7589,2.0757
2014-03-05,54.6519,15149.6577,28.3161,2.0438
2014-03-06,54.5322,15220.7013,28.254,2.0393
2014-03-07,54.788,15292.1101,28.3866,2.0488
2014-03-10,55.414,15466.8336,28.7109,2.0722
2014-03-11,54.7935,15293.6294,28.3894,2.049
2014-03-12,54.8479,15308.8228,28.4176,2.0511
2014-03-13,54.9568,15339.2095,28.474,2.0552
2014-03-14,55.7134,15550.3971,28.866,2.0834
2014-03-17,56.0727,15650.6732,29.0522,2.0969
2014-03-18,56.7749,15846.6675,29.416,2.1231
2014-03-19,56.1434,15670.4246,29.0889,2.0995
2014-03-20,56.285,15709.9273,29.1622,2.1048
2014-03-21,56.2251,15693.2146,29.1312,2.1026
2014-03-24,55.7842,15570.1484,28.9027,2.0861
2014-03-25,53.9334,15053.5744,27.9438,2.0169
2014-03-26,51.8703,14477.7463,26.8749,1.9397
2014-03-27,52.7141,14713.2433,27.312,1.9713
2014-03-28,53.634,14970.011,27.7887,2.0057
2014-03-31,52.7848,14732.9947,19.1962,1.9171
2014-04-01,53.6993,14988.243,19.5288,1.9503
2014-04-02,55.1364,15389.3475,20.0514,2.0025
2014-04-03,56.1489,15671.9439,20.4196,2.0393
2014-04-04,56.1761,15679.5406,20.4295,2.0403
2014-04-07,55.2017,15407.5796,20.0751,2.0049
2014-04-08,55.9801,15624.8445,20.3582,2.0331
2014-04-09,57.0688,15928.7116,20.7542,2.0727
2014-04-10,55.8005,15574.7064,20.2929,2.0266
2014-04-11,55.5392,15501.7783,20.1979,2.0171
2014-04-14,55.5773,15512.4137,20.2117,2.0185
2014-04-15,55.9965,15629.4025,20.3642,2.0337
2014-04-16,56.3775,15735.756,20.5027,2.0476
2014-04-17,57.0035,15910.4795,20.7304,2.0703
2014-04-21,57.4771,16042.6617,20.9026,2.0875
2014-04-22,57.1668,15956.0596,20.7898,2.0762
2014-04-23,57.4716,16041.1424,20.9006,2.0873
2014-04-24,58.8815,16414.9064,21.4134,2.1385
2014-04-25,57.292,15971.7935,20.8353,2.0808
2014-04-28,58.0813,16191.8325,21.1224,2.1095
2014-04-29,59.0176,16452.8442,21.4629,2.1435
2014-04-30,59.3278,16539.3423,21.5757,2.1547
2014-05-01,59.4694,16578.7975,21.6272,2.1599
2014-05-02,59.7905,16668.3306,21.744,2.1715
2014-05-05,59.3768,16552.9999,21.5935,2.1565
2014-05-06,58.9196,16425.529,21.4272,2.1399
2014-05-07,59.1863,16499.887,21.5242,2.1496
2014-05-08,57.8527,16128.097,21.0392,2.1012
2014-05-09,57.1777,15939.9258,20.7937,2.0766
2014-05-12,57.2267,15953.5834,20.8116,2.0784
2014-05-13,56.8783,15856.4627,20.6849,2.0658
2014-05-14,56.9273,15870.1203,20.7027,2.0675
2014-05-15,56.1271,15647.0463,20.4117,2.0385
2014-05-16,55.8277,15563.5833,20.3028,2.0276
2014-05-19,56.1053,15640.9763,20.4038,2.0377
2014-05-20,56.1325,15648.5639,20.4137,2.0387
2014-05-21,56.715,15810.9374,20.6255,2.0598
2014-05-22,56.0618,15628.8362,20.3879,2.0361
2014-05-23,55.6263,15507.4354,20.2296,2.0203
2014-05-27,56.6279,15786.6573,20.5938,2.0567
2014-05-28,56.7912,15832.1826,20.6532,2.0626
2014-05-29,57.145,15930.8207,20.7819,2.0755
2014-05-30,58.1793,16219.1476,21.158,2.113
2014-06-02,57.2866,15970.276,20.8333,2.0806
2014-06-03,57.8091,16115.957,21.0234,2.0996
2014-06-04,57.9615,16158.4472,21.0788,2.1051
2014-06-05,58.0051,16170.5873,21.0946,2.1067
2014-06-06,57.9125,16144.7896,21.061,2.1033
2014-06-09,57.0089,15892.883,20.7324,2.0705
2014-06-10,55.8713,15575.7234,20.3186,2.0292
2014-06-11,55.9856,15607.5911,20.3602,2.0333
2014-06-12,56.9545,15877.7079,20.7126,2.0685
2014-06-13,57.6186,16062.8441,20.9541,2.0927
2014-06-16,57.9343,16150.8597,21.0689,2.1041
2014-06-17,58.4351,16290.4706,21.251,2.1223
2014-06-18,58.8488,16405.8014,21.4015,2.1373
2014-06-19,59.0393,16458.9142,21.4708,2.1443
2014-06-20,59.6218,16621.2878,21.6826,2.1654
2014-06-23,59.3551,16546.9298,21.5856,2.1557
2014-06-24,58.5984,16335.9959,21.3104,2.1282
2014-06-25,58.1847,16220.6651,21.16,2.1132
2014-06-26,58.7944,16390.6263,21.3817,2.1354
2014-06-27,58.2555,16240.3928,21.1857,2.1158
2014-06-30,58.1902,16222.1827,20.6731,2.0614
2014-07-01,58.114,16200.9375,20.646,2.0587
2014-07-02,58.0323,16178.1749,20.617,2.0558
2014-07-03,57.7656,16103.8169,20.5223,2.0464
2014-07-07,57.0634,15908.0581,20.2728,2.0215
2014-07-08,57.3301,15982.4161,20.3676,2.031
2014-07-09,57.5642,16047.669,20.4507,2.0393
2014-07-10,55.9094,15586.3459,19.8628,1.9806
2014-07-11,55.4684,15463.4276,19.7062,1.965
2014-07-14,56.0618,15628.8362,19.917,1.986
2014-07-15,55.8821,15578.7584,19.8532,1.9797
2014-07-16,56.3176,15700.1592,20.0079,1.9951
2014-07-17,54.0205,15059.7699,19.1918,1.9137
2014-07-18,54.7445,15261.5988,19.449,1.9394
2014-07-21,54.1022,15082.5326,19.2208,1.9166
2014-07-22,53.8518,15012.7271,19.1318,1.9077
2014-07-23,54.3907,15162.9606,19.3233,1.9268
2014-07-24,56.7095,15783.4782,20.1471,2.009
2014-07-25,54.5159,15172.9252,19.3678,1.9313
2014-07-28,53.9661,15019.9082,19.1724,1.9118
2014-07-29,53.5251,14897.1916,19.0158,1.8962
2014-07-30,52.4582,14600.2476,18.6367,1.8584
2014-07-31,51.0702,14213.9175,18.1436,1.8092
2014-08-01,51.6036,14362.3895,18.3331,1.8281
2014-08-04,52.3113,14559.3421,18.5845,1.8532
2014-08-05,51.7397,14400.265,18.3815,1.8329
2014-08-06,51.6472,14374.5097,18.3486,1.8296
2014-08-07,50.9123,14169.982,18.0875,1.8036
2014-08-08,51.7996,14416.9302,18.4028,1.835
2014-08-11,51.179,14244.2179,18.1823,1.8131
2014-08-12,50.6456,14095.746,17.9928,1.7942
2014-08-13,51.1954,14248.763,18.1881,1.8136
2014-08-14,51.1083,14224.5227,18.1571,1.8106
2014-08-15,51.5056,14335.1191,18.2983,1.8246
2014-08-18,51.6744,14382.0848,18.3583,1.8306
2014-08-19,51.6308,14369.9646,18.3428,1.8291
2014-08-20,51.6581,14377.5397,18.3525,1.83
2014-08-21,51.6907,14386.6298,18.3641,1.8312
2014-08-22,51.7343,14398.75,18.3795,1.8327
2014-08-25,52.676,14660.8484,18.7141,1.8661
2014-08-26,53.4163,14866.8912,18.9771,1.8923
2014-08-27,53.1659,14797.2002,18.8882,1.8834
2014-08-28,53.3401,14845.6809,18.95,1.8896
2014-08-29,53.9225,15007.788,19.157,1.9103
2014-09-02,53.1114,14782.05,18.8688,1.8815
2014-09-03,52.5181,14616.9129,18.658,1.8605
2014-09-04,52.2024,14529.0417,18.5459,1.8493
2014-09-05,52.4963,14610.8528,18.6503,1.8597
2014-09-08,51.7887,14413.9002,18.3989,1.8347
2014-09-09,52.2024,14529.0417,18.5459,1.8493
2014-09-10,52.0282,14480.5611,18.484,1.8431
2014-09-11,52.1806,14522.9816,18.5381,1.8485
2014-09-12,51.3913,14303.3037,18.2577,1.8206
2014-09-15,51.8921,14442.6856,18.4356,1.8383
2014-09-16,52.0718,14492.6812,18.4994,1.8447
2014-09-17,52.6651,14657.8184,18.7102,1.8657
2014-09-18,51.6036,14362.3895,18.3331,1.8281
2014-09-19,50.8796,14160.8918,18.0759,1.8025
2014-09-22,49.9869,13912.4286,17.7588,1.7708
2014-09-23,49.8454,13873.038,17.7085,1.7658
2014-09-24,49.7474,13845.7677,17.6737,1.7623
2014-09-25,49.5297,13785.1669,17.5963,1.7546
2014-09-26,50.1393,13954.8491,17.8129,1.7762
2014-09-29,50.5367,14065.4456,17.9541,1.7903
2014-09-30,49.8291,13868.493,18.0049,1.7126
2014-10-01,48.9309,13618.5147,17.6803,1.6818
2014-10-02,49.0507,13651.8451,17.7236,1.6859
2014-10-03,49.1867,13689.7206,17.7728,1.6905
2014-10-06,48.6152,13530.6435,17.5663,1.6709
2014-10-07,47.6735,13268.5451,17.226,1.6385
2014-10-08,48.1688,13406.4119,17.405,1.6556
2014-10-09,45.8935,12773.1335,16.5828,1.5774
2014-10-10,44.6578,12429.224,16.1363,1.5349
2014-10-13,42.3553,11788.3705,15.3043,1.4557
2014-10-14,42.6546,11871.6966,15.4125,1.466
2014-10-15,44.7395,12451.9493,16.1658,1.5377
2014-10-16,46.416,12918.5754,16.7716,1.5953
2014-10-17,45.409,12638.2967,16.4078,1.5607
2014-10-20,45.2348,12589.8161,16.3448,1.5547
2014-10-21,46.4106,12917.0604,16.7697,1.5951
2014-10-22,45.1205,12558.0007,16.3035,1.5508
2014-10-23,47.7116,13279.1502,17.2398,1.6398
2014-10-24,48.392,13468.8831,17.4856,1.6632
2014-10-27,47.1672,13127.9946,17.0431,1.6211
2014-10-28,49.35,13735.5337,17.8318,1.6962
2014-10-29,49.0289,13646.1451,17.7157,1.6851
2014-10-30,48.4954,13497.6692,17.523,1.6668
2014-10-31,51.1899,14247.6239,18.4966,1.7594
2014-11-03,50.0141,13920.371,18.0718,1.719
2014-11-04,50.602,14083.9975,18.2842,1.7392
2014-11-05,52.8229,14702.1419,19.0867,1.8155
2014-11-06,54.2981,15112.7232,19.6197,1.8662
2014-11-07,53.6939,14944.5515,19.4014,1.8455
2014-11-10,52.1425,14512.7594,18.8408,1.7921
2014-11-11,52.4147,14588.5124,18.9392,1.8015
2014-11-12,51.3042,14279.4402,18.5379,1.7633
2014-11-13,49.8508,13874.9192,18.0127,1.7134
2014-11-14,50.6238,14090.0577,18.292,1.7399
2014-11-17,50.6565,14099.1481,18.3038,1.7411
2014-11-18,50.9395,14177.9312,18.4061,1.7508
2014-11-19,52.2242,14535.4853,18.8703,1.7949
2014-11-20,52.3929,14582.4522,18.9313,1.8007
2014-11-21,51.7234,14396.0998,18.6894,1.7777
2014-11-24,51.4621,14323.3769,18.5949,1.7688
2014-11-25,50.8905,14164.2956,18.3884,1.7491
2014-11-26,50.3244,14006.7294,18.1839,1.7297
2014-11-28,49.5242,13784.0156,17.8947,1.7021
2014-12-01,49.7964,13859.7686,17.9931,1.7115
2014-12-02,48.5825,13521.9102,17.5545,1.6698
2014-12-03,49.0234,13644.6301,17.7138,1.6849
2014-12-04,47.4122,13196.1723,17.1316,1.6296
2014-12-05,47.4285,13200.7175,17.1375,1.6301
2014-12-08,43.8304,12199.2629,15.8374,1.5065
2014-12-09,43.4058,12081.0882,15.684,1.4919
2014-12-10,42.1865,11741.7147,15.2434,1.4499
2014-12-11,42.6383,11867.4647,15.4066,1.4655
2014-12-12,43.0248,11975.034,15.5463,1.4788
2014-12-15,42.4369,11811.4075,15.3338,1.4586
2014-12-16,42.2518,11759.8955,15.267,1.4522
2014-12-17,43.5038,12108.3593,15.7194,1.4952
2014-12-18,44.9082,12499.2447,16.2268,1.5435
2014-12-19,43.8685,12209.8683,15.8511,1.5078
2014-12-22,42.2682,11764.4406,15.2729,1.4528
2014-12-23,42.6819,11879.5852,15.4224,1.467
2014-12-24,42.1538,11732.6244,15.2316,1.4488
2014-12-26,41.2938,11493.2449,14.9208,1.4193
2014-12-29,41.7619,11623.5401,15.09,1.4354
2014-12-30,41.0325,11420.522,14.8264,1.4103
2014-12-31,41.2067,11469.004,14.4278,1.3631
2015-01-02,42.1974,11744.7449,14.7747,1.3959
2015-01-05,39.9438,11117.51,13.9857,1.3213
2015-01-06,39.4866,10990.245,13.8256,1.3062
2015-01-07,39.541,11005.3956,13.8446,1.308
2015-01-08,41.125,11446.2781,14.3993,1.3604
2015-01-09,41.4135,11526.5762,14.5003,1.3699
2015-01-12,39.5138,10997.8203,13.8351,1.3071
2015-01-13,39.5356,11003.8805,13.8427,1.3078
2015-01-14,39.8567,11093.2691,13.9552,1.3184
2015-01-15,39.4811,10988.7299,13.8237,1.306
2015-01-16,41.1468,11452.3383,14.4069,1.3611
2015-01-20,40.314,11220.5341,14.1153,1.3336
2015-01-21,41.7782,11628.0852,14.628,1.382
2015-01-22,41.2938,11493.2449,14.4583,1.366
2015-01-23,40.8583,11372.0401,14.3059,1.3516
2015-01-26,41.0706,11431.1275,14.3802,1.3586
2015-01-27,40.8964,11382.6455,14.3192,1.3528
2015-01-28,40.1017,11161.4468,14.0409,1.3265
2015-01-29,40.1289,11169.0221,14.0505,1.3274
2015-01-30,40.5208,11278.1064,14.1877,1.3404
2015-02-02,41.1359,11449.3082,14.4031,1.3607
2015-02-03,41.8381,11644.7509,14.6489,1.384
2015-02-04,40.5535,11287.1968,14.1991,1.3415
2015-02-05,42.1266,11725.0491,14.75,1.3935
2015-02-06,42.9704,11959.8834,15.0454,1.4214
2015-02-09,43.5093,12109.8743,15.2341,1.4393
2015-02-10,44.5816,12408.3411,15.6095,1.4747
2015-02-11,44.5217,12391.6755,15.5886,1.4727
2015-02-12,43.9556,12234.1092,15.3903,1.454
2015-02-13,44.1897,12299.2568,15.4723,1.4618
2015-02-17,44.4129,12361.3743,15.5504,1.4691
2015-02-18,44.1461,12287.1363,15.457,1.4603
2015-02-19,44.4074,12359.8592,15.5485,1.469
2015-02-20,44.1625,12291.6815,15.4628,1.4609
2015-02-23,43.629,12143.2056,15.276,1.4432
2015-02-24,44.5054,12387.1303,15.5828,1.4722
2015-02-25,45.4145,12640.1453,15.9011,1.5023
2015-02-26,43.4167,12084.1183,15.2017,1.4362
2015-02-27,43.4439,12091.6936,15.2112,1.4371
2015-03-02,43.9121,12221.9888,15.3751,1.4526
2015-03-03,44.7612,12458.3381,15.6724,1.4807
2015-03-04,44.0101,12249.2598,15.4094,1.4558
2015-03-05,43.8467,12203.808,15.3522,1.4504
2015-03-06,43.2915,12049.2719,15.1578,1.4321
2015-03-09,41.9252,11668.9919,14.6794,1.3869
2015-03-10,41.4734,11543.2419,14.5212,1.3719
2015-03-11,42.2083,11747.775,14.7785,1.3962
2015-03-12,41.5115,11553.8473,14.5346,1.3732
2015-03-13,41.4952,11549.3021,14.5289,1.3726
2015-03-16,42.1049,11718.9888,14.7423,1.3928
2015-03-17,42.1484,11731.1093,14.7576,1.3942
2015-03-18,43.0139,11972.0039,15.0606,1.4229
2015-03-19,42.6927,11882.6153,14.9482,1.4122
2015-03-20,42.9595,11956.8533,15.0416,1.4211
2015-03-23,42.8506,11926.5521,15.0034,1.4175
2015-03-24,43.3623,12068.9677,15.1826,1.4344
2015-03-25,44.1407,12285.6213,15.4551,1.4601
2015-03-26,43.5093,12109.8743,15.2341,1.4393
2015-03-27,43.5855,12131.0852,15.2607,1.4418
2015-03-30,45.0171,12529.5459,15.762,1.4891
