Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,72.33,3809.2234,23.5382,5.1796
2014-01-03,72.04,3793.9507,23.4438,5.1588
2014-01-06,71.57,3769.1984,23.2909,5.1251
2014-01-07,72.06,3795.004,23.4503,5.1602
2014-01-08,72.21,3802.9037,23.4991,5.171
2014-01-09,72.02,3792.8974,23.4373,5.1574
2014-01-10,71.39,3759.7188,23.2323,5.1123
2014-01-13,71.22,3750.7658,23.177,5.1001
2014-01-14,71.89,3786.051,23.395,5.1481
2014-01-15,72.38,3811.8566,23.5545,5.1832
2014-01-16,72.63,3825.0228,23.6358,5.2011
2014-01-17,72.37,3811.33,23.5512,5.1824
2014-01-21,71.78,3780.2579,23.3592,5.1402
2014-01-22,71.62,3771.8316,23.3071,5.1287
2014-01-23,71.31,3755.5056,23.2062,5.1065
2014-01-24,70.1,3691.7816,22.8125,5.0199
2014-01-27,69.55,3662.8161,22.6335,4.9805
2014-01-28,69.67,3669.1358,22.6725,4.9891
2014-01-29,69.4,3654.9164,22.5847,4.9698
2014-01-30,70.04,3688.6217,22.7929,5.0156
2014-01-31,70.17,3695.4681,22.8353,5.0249
2014-02-03,67.7,3565.3868,22.0314,4.848
2014-02-04,68.16,3589.6124,22.1811,4.881
2014-02-05,68.62,3613.8381,22.3308,4.9139
2014-02-06,68.4,3602.2519,22.2592,4.8981
2014-02-07,68.43,3603.8319,22.269,4.9003
2014-02-10,69.22,3645.4368,22.5261,4.9569
2014-02-11,69.27,3648.07,22.5424,4.9604
2014-02-12,69.39,3654.3898,22.5814,4.969
2014-02-13,69.42,3655.9697,22.5912,4.9712
2014-02-14,70.54,3714.954,22.9557,5.0514
2014-02-18,70.61,3718.6405,22.9784,5.0564
2014-02-19,69.81,3676.5089,22.7181,4.9991
2014-02-20,70.59,3717.5872,22.9719,5.055
2014-02-21,70.29,3701.7878,22.8743,5.0335
2014-02-24,69.8,3675.9822,22.7148,4.9984
2014-02-25,70.12,3692.8349,22.819,5.0213
2014-02-26,70.44,3709.6875,22.9231,5.0442
2014-02-27,71.38,3747.6703,23.229,5.1115
2014-02-28,72.58,3810.674,23.6195,5.1975
