Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,41.72,13145.7253,16.4087,1.3685
2014-01-03,41.52,13082.7064,16.3301,1.3619
2014-01-06,41.55,13092.1593,16.3419,1.3629
2014-01-07,41.92,13208.7441,16.4874,1.375
2014-01-08,41.74,13152.0271,16.4166,1.3691
2014-01-09,41.92,13208.7441,16.4874,1.375
2014-01-10,42.65,13438.7628,16.7745,1.399
2014-01-13,42.33,13337.9326,16.6487,1.3885
2014-01-14,42.29,13325.3289,16.6329,1.3872
2014-01-15,42.04,13246.5554,16.5346,1.379
2014-01-16,42.23,13306.4232,16.6093,1.3852
2014-01-17,42.59,13419.8571,16.7509,1.397
2014-01-21,43.05,13564.8004,16.9318,1.4121
2014-01-22,43.34,13656.1777,17.0459,1.4216
2014-01-23,43.13,13590.0079,16.9633,1.4147
2014-01-24,42.43,13369.4421,16.688,1.3918
2014-01-27,42.81,13489.1778,16.8374,1.4042
2014-01-28,42.96,13536.4419,16.8964,1.4092
2014-01-29,42.81,13489.1778,16.8374,1.4042
2014-01-30,43.49,13703.4418,17.1049,1.4265
2014-01-31,43.8,13801.121,17.2268,1.4367
2014-02-03,43.45,13690.838,17.0892,1.4252
2014-02-04,43.48,13700.2908,17.101,1.4262
2014-02-05,43.11,13583.706,16.9554,1.4141
2014-02-06,42.87,13508.0835,16.861,1.4062
2014-02-07,43.3,13643.5739,17.0302,1.4203
2014-02-10,43.79,13797.97,17.2229,1.4364
2014-02-11,44.26,13946.0642,17.4077,1.4518
2014-02-12,44.39,13987.0265,17.4589,1.4561
2014-02-13,44.69,14081.5547,17.5769,1.4659
2014-02-14,44.97,14169.781,17.687,1.4751
2014-02-18,44.91,14150.8754,17.6634,1.4731
2014-02-19,44.44,14002.7812,17.4785,1.4577
2014-02-20,44.67,14075.2528,17.569,1.4652
2014-02-21,44.65,14068.9509,17.5611,1.4646
2014-02-24,44.41,13993.3283,17.4667,1.4567
2014-02-25,44.42,13996.4793,17.4707,1.457
2014-02-26,44.23,13936.6114,17.3959,1.4508
2014-02-27,44.03,13873.5926,17.3173,1.4443
2014-02-28,44.45,14005.9321,17.4825,1.458
2014-03-03,43.95,13848.3851,17.2858,1.4416
2014-03-04,44.18,13920.8567,17.3763,1.4492
2014-03-05,43.76,13788.5172,17.2111,1.4354
2014-03-06,43.5,13706.5927,17.1088,1.4269
2014-03-07,43.75,13785.3662,17.2072,1.4351
2014-03-10,43.5,13706.5927,17.1088,1.4269
2014-03-11,43.36,13662.4796,17.0538,1.4223
2014-03-12,43.94,13845.2341,17.2819,1.4413
2014-03-13,44.61,14056.3472,17.5454,1.4633
2014-03-14,44.89,14144.5735,17.6555,1.4725
2014-03-17,45.08,14204.4414,17.7303,1.4787
2014-03-18,45.23,14251.7055,17.7892,1.4836
2014-03-19,44.41,13993.3283,17.4667,1.4567
2014-03-20,44.05,13879.8945,17.3251,1.4449
2014-03-21,44.42,13996.4793,17.4707,1.457
2014-03-24,44.75,14124.44,17.6005,1.4679
2014-03-25,44.77,14130.7526,17.6083,1.4685
2014-03-26,44.57,14067.6266,17.5297,1.462
2014-03-27,44.95,14187.566,17.6791,1.4744
2014-03-28,44.95,14187.566,17.6791,1.4744
2014-03-31,45.5,14361.1624,17.6085,1.4778
2014-04-01,45.11,14238.0668,17.4576,1.4651
2014-04-02,44.87,14162.3156,17.3647,1.4573
2014-04-03,44.97,14193.8786,17.4034,1.4606
2014-04-04,45.09,14231.7542,17.4499,1.4645
2014-04-07,45.1,14234.9105,17.4537,1.4648
2014-04-08,45.52,14367.475,17.6163,1.4784
2014-04-09,45.56,14380.1002,17.6318,1.4797
2014-04-10,45.39,14326.4432,17.566,1.4742
2014-04-11,45.44,14342.2246,17.5853,1.4758
2014-04-14,45.67,14414.8195,17.6743,1.4833
2014-04-15,46.32,14619.979,17.9259,1.5044
2014-04-16,46.54,14689.4176,18.011,1.5115
2014-04-17,45.93,14496.8833,17.7749,1.4917
2014-04-21,45.71,14427.4447,17.6898,1.4846
2014-04-22,45.81,14459.0077,17.7285,1.4878
2014-04-23,46.1,14550.5404,17.8407,1.4973
2014-04-24,46.44,14657.8546,17.9723,1.5083
2014-04-25,46.97,14825.1385,18.1774,1.5255
2014-04-28,47.31,14932.4526,18.309,1.5366
2014-04-29,47.11,14869.3267,18.2316,1.5301
2014-04-30,47.26,14916.6711,18.2897,1.5349
2014-05-01,47.16,14885.1082,18.251,1.5317
2014-05-02,45.98,14529.0023,17.7943,1.4934
2014-05-05,46.62,14731.2328,18.042,1.5141
2014-05-06,46.4,14661.7161,17.9568,1.507
2014-05-07,47.0,14851.3072,18.189,1.5265
2014-05-08,46.47,14683.835,17.9839,1.5093
2014-05-09,45.77,14462.6454,17.713,1.4865
2014-05-12,45.15,14266.7345,17.4731,1.4664
2014-05-13,45.34,14326.7717,17.5466,1.4726
2014-05-14,45.64,14421.5673,17.6627,1.4823
2014-05-15,45.47,14367.8498,17.5969,1.4768
2014-05-16,45.98,14529.0023,17.7943,1.4934
2014-05-19,45.26,14301.4929,17.5157,1.47
2014-05-20,45.19,14279.3739,17.4886,1.4677
2014-05-21,45.27,14304.6527,17.5195,1.4703
2014-05-22,45.49,14374.1695,17.6047,1.4774
2014-05-23,45.23,14292.0133,17.504,1.469
2014-05-27,45.22,14288.8535,17.5002,1.4687
2014-05-28,45.13,14260.4148,17.4653,1.4657
2014-05-29,45.03,14228.8163,17.4266,1.4625
2014-05-30,45.4,14345.7308,17.5698,1.4745
2014-06-02,45.34,14326.7717,17.5466,1.4726
2014-06-03,45.33,14323.6118,17.5427,1.4722
2014-06-04,45.27,14304.6527,17.5195,1.4703
2014-06-05,45.6,14408.9279,17.6472,1.481
2014-06-06,45.48,14371.0096,17.6008,1.4771
2014-06-09,45.17,14273.0542,17.4808,1.467
2014-06-10,45.16,14269.8943,17.477,1.4667
2014-06-11,44.66,14111.9017,17.2835,1.4505
2014-06-12,45.07,14241.4557,17.4421,1.4638
2014-06-13,45.36,14333.0914,17.5544,1.4732
2014-06-16,45.76,14459.4855,17.7092,1.4862
2014-06-17,45.58,14402.6082,17.6395,1.4804
2014-06-18,46.8,14788.1102,18.1116,1.52
2014-06-19,46.79,14784.9503,18.1078,1.5197
2014-06-20,46.45,14677.5153,17.9762,1.5086
2014-06-23,46.27,14620.638,17.9065,1.5028
2014-06-24,46.53,14702.7941,18.0071,1.5112
2014-06-25,46.62,14731.2328,18.042,1.5141
2014-06-26,46.77,14778.6306,18.1,1.519
2014-06-27,46.86,14807.0693,18.1349,1.5219
2014-06-30,47.27,14936.6232,18.4897,1.5325
2014-07-01,46.68,14750.1919,18.2589,1.5134
2014-07-02,46.14,14579.5599,18.0477,1.4959
2014-07-03,45.68,14434.2067,17.8677,1.4809
2014-07-07,45.73,14450.0059,17.8873,1.4826
2014-07-08,45.97,14525.8424,17.9812,1.4904
2014-07-09,45.81,14475.2848,17.9186,1.4852
2014-07-10,46.04,14547.9614,18.0086,1.4926
2014-07-11,45.73,14450.0059,17.8873,1.4826
2014-07-14,45.17,14273.0542,17.6683,1.4644
2014-07-15,45.4,14345.7308,17.7582,1.4719
2014-07-16,45.47,14367.8498,17.7856,1.4741
2014-07-17,45.05,14235.136,17.6213,1.4605
2014-07-18,45.54,14389.9687,17.813,1.4764
2014-07-21,45.45,14361.5301,17.7778,1.4735
2014-07-22,45.55,14393.1286,17.8169,1.4767
2014-07-23,45.36,14333.0914,17.7426,1.4706
2014-07-24,45.49,14374.1695,17.7934,1.4748
2014-07-25,45.34,14326.7717,17.7347,1.4699
2014-07-28,46.1,14566.9205,18.032,1.4946
2014-07-29,45.67,14431.0468,17.8638,1.4806
2014-07-30,44.93,14197.2177,17.5744,1.4566
2014-07-31,43.9,13871.7529,17.1715,1.4232
2014-08-01,43.79,13854.5343,17.1285,1.4197
2014-08-04,43.19,13664.7028,16.8938,1.4002
2014-08-05,42.64,13490.6906,16.6786,1.3824
2014-08-06,42.04,13300.8592,16.444,1.3629
2014-08-07,42.46,13433.7412,16.6082,1.3766
2014-08-08,43.48,13756.4547,17.0072,1.4096
2014-08-11,43.28,13693.1776,16.929,1.4031
2014-08-12,43.27,13690.0137,16.9251,1.4028
2014-08-13,43.45,13746.9632,16.9955,1.4087
2014-08-14,44.03,13930.4669,17.2223,1.4275
2014-08-15,44.17,13974.7609,17.2771,1.432
2014-08-18,44.18,13977.9248,17.281,1.4323
2014-08-19,44.74,14155.1008,17.5001,1.4505
2014-08-20,45.09,14265.8359,17.637,1.4618
2014-08-21,45.18,14294.3106,17.6722,1.4647
2014-08-22,45.16,14287.9829,17.6643,1.4641
2014-08-25,45.35,14348.0962,17.7387,1.4703
2014-08-26,44.95,14221.5419,17.5822,1.4573
2014-08-27,45.34,14344.9323,17.7347,1.4699
2014-08-28,45.58,14420.8649,17.8286,1.4777
2014-08-29,45.89,14518.9445,17.9499,1.4878
2014-09-02,45.44,14376.5709,17.7739,1.4732
2014-09-03,45.76,14477.8144,17.899,1.4835
2014-09-04,45.86,14509.4529,17.9381,1.4868
2014-09-05,46.57,14734.0869,18.2159,1.5098
2014-09-08,46.34,14661.3181,18.1259,1.5023
2014-09-09,45.83,14499.9614,17.9264,1.4858
2014-09-10,45.47,14386.0625,17.7856,1.4741
2014-09-11,45.38,14357.5878,17.7504,1.4712
2014-09-12,44.57,14101.3152,17.4336,1.445
2014-09-15,44.62,14117.1345,17.4531,1.4466
2014-09-16,45.56,14414.5372,17.8208,1.4771
2014-09-17,45.62,14433.5203,17.8443,1.479
2014-09-18,45.26,14319.6215,17.7035,1.4673
2014-09-19,45.45,14379.7348,17.7778,1.4735
2014-09-22,44.91,14208.8864,17.5666,1.456
2014-09-23,44.69,14139.2815,17.4805,1.4489
