Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,146.3,5474.7243,44.2979,3.0233
2014-01-03,148.19,5545.4504,44.8701,3.0623
2014-01-06,148.97,5574.639,45.1063,3.0784
2014-01-07,150.29,5624.035,45.506,3.1057
2014-01-08,149.31,5587.3622,45.2093,3.0855
2014-01-09,149.44,5592.2269,45.2486,3.0881
2014-01-10,151.06,5652.8493,45.7391,3.1216
2014-01-13,151.37,5664.4499,45.833,3.128
2014-01-14,152.58,5709.7296,46.1994,3.153
2014-01-15,152.92,5722.4528,46.3023,3.1601
2014-01-16,153.75,5753.5124,46.5536,3.1772
2014-01-17,153.21,5733.3049,46.3901,3.1661
2014-01-21,154.45,5779.7073,46.7656,3.1917
2014-01-22,155.15,5805.9021,46.9775,3.2061
2014-01-23,154.64,5786.8173,46.8231,3.1956
2014-01-24,152.58,5709.7296,46.1994,3.153
2014-01-27,151.48,5668.5662,45.8663,3.1303
2014-01-28,153.12,5729.937,46.3629,3.1642
2014-01-29,152.94,5723.2012,46.3084,3.1605
2014-01-30,156.37,5851.556,47.3469,3.2314
2014-01-31,158.37,5926.3984,47.9525,3.2727
2014-02-03,156.59,5859.7887,47.4136,3.2359
2014-02-04,159.41,5965.3165,48.2674,3.2942
2014-02-05,161.17,6031.1778,48.8003,3.3305
2014-02-06,163.6,6122.1114,49.5361,3.3808
2014-02-07,165.39,6189.0954,50.0781,3.4177
2014-02-10,166.79,6241.4851,50.502,3.4467
2014-02-11,167.33,6261.6926,50.6655,3.4578
2014-02-12,166.68,6237.3688,50.4687,3.4444
2014-02-13,166.58,6233.6266,50.4384,3.4423
2014-02-14,166.19,6219.0324,50.3203,3.4343
2014-02-18,166.54,6232.1298,50.4263,3.4415
2014-02-19,165.67,6199.5733,50.1629,3.4235
2014-02-20,164.22,6145.3126,49.7238,3.3936
2014-02-21,165.71,6201.0702,50.175,3.4244
2014-02-24,166.38,6226.1424,50.3778,3.4382
2014-02-25,166.91,6245.9756,50.5383,3.4492
2014-02-26,166.37,6225.7682,50.3748,3.438
2014-02-27,165.09,6373.5809,49.9873,3.4115
2014-02-28,167.25,6456.9714,50.6413,3.4562
2014-03-03,168.56,6507.5461,51.0379,3.4833
2014-03-04,171.8,6632.6319,52.019,3.5502
2014-03-05,170.55,6584.3735,51.6405,3.5244
2014-03-06,169.31,6536.5012,51.265,3.4988
2014-03-07,168.11,6490.1731,50.9017,3.474
2014-03-10,166.51,6428.4024,50.4172,3.4409
2014-03-11,167.07,6450.0222,50.5868,3.4525
2014-03-12,165.36,6384.0047,50.069,3.4171
2014-03-13,162.91,6289.4183,49.3272,3.3665
2014-03-14,164.92,6367.0177,49.9358,3.408
2014-03-17,165.07,6372.8087,49.9812,3.4111
2014-03-18,165.7,6397.131,50.172,3.4242
2014-03-19,163.15,6298.6839,49.3998,3.3715
2014-03-20,165.06,6372.4227,49.9782,3.4109
2014-03-21,166.18,6415.6622,50.3173,3.4341
2014-03-24,166.2,6416.4343,50.3233,3.4345
2014-03-25,169.44,6541.52,51.3044,3.5014
2014-03-26,165.31,6382.0744,50.0539,3.4161
2014-03-27,167.61,6470.8698,50.7503,3.4636
2014-03-28,167.7,6474.3444,50.7775,3.4655
2014-03-31,170.05,6565.0701,46.2069,3.3476
2014-04-01,174.0,6717.5666,47.2802,3.4253
2014-04-02,172.3,10609.0795,46.8183,3.3919
2014-04-03,168.84,10396.0359,45.8781,3.3238
2014-04-04,170.12,10474.8497,46.2259,3.349
2014-04-07,168.56,10378.7953,45.802,3.3182
2014-04-08,169.61,10443.4473,46.0874,3.3389
2014-04-09,169.02,10407.1191,45.927,3.3273
2014-04-10,167.16,10292.5927,45.4216,3.2907
2014-04-11,164.82,10148.5112,44.7858,3.2446
2014-04-14,166.03,10223.0149,45.1146,3.2684
2014-04-15,167.09,10288.2826,45.4026,3.2893
2014-04-16,168.33,10364.6335,45.7395,3.3137
2014-04-17,167.89,10337.5412,45.62,3.3051
2014-04-21,169.62,10444.063,46.0901,3.3391
2014-04-22,170.39,10491.4745,46.2993,3.3543
2014-04-23,168.79,10498.9158,45.8645,3.3228
2014-04-24,170.67,10615.8538,46.3754,3.3598
2014-04-25,169.92,10569.203,46.1716,3.345
2014-04-28,172.89,10753.9402,46.9786,3.4035
2014-04-29,172.56,10733.4138,46.8889,3.397
2014-04-30,173.26,10776.9546,47.0792,3.4108
2014-05-01,174.69,10865.9021,47.4677,3.4389
2014-05-02,175.85,10938.0553,47.7829,3.4617
2014-05-05,177.31,11028.8688,48.1796,3.4905
2014-05-06,176.48,10977.2419,47.9541,3.4742
2014-05-07,179.61,11171.9312,48.8046,3.5358
2014-05-08,180.02,11197.4337,48.916,3.5438
2014-05-09,180.34,11217.338,49.003,3.5501
2014-05-12,180.64,11292.4573,49.0845,3.556
2014-05-13,179.27,11206.8136,48.7122,3.5291
2014-05-14,179.47,11219.3164,48.7666,3.533
2014-05-15,179.43,11216.8158,48.7557,3.5322
