Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,75.49,35774.7105,18.2331,2.136
2014-01-03,75.71,35878.9685,18.2862,2.1422
2014-01-06,75.38,35722.5815,18.2065,2.1329
2014-01-07,75.54,35798.4055,18.2451,2.1374
2014-01-08,75.28,35675.1915,18.1823,2.13
2014-01-09,75.55,35803.1445,18.2476,2.1377
2014-01-10,76.32,36168.0475,18.4335,2.1595
2014-01-13,74.07,35101.7725,17.8901,2.0958
2014-01-14,75.7,35874.2295,18.2838,2.1419
2014-01-15,76.44,36224.9155,18.4625,2.1629
2014-01-16,76.54,36272.3055,18.4867,2.1657
2014-01-17,76.85,36419.2145,18.5615,2.1745
2014-01-21,77.67,36807.8125,18.7596,2.1977
2014-01-22,77.19,36580.3405,18.6437,2.1841
2014-01-23,75.94,35987.9655,18.3418,2.1487
2014-01-24,73.13,34656.3066,17.6631,2.0692
2014-01-27,72.79,34495.1806,17.5809,2.0596
2014-01-28,73.55,34855.3446,17.7645,2.0811
2014-01-29,73.48,34822.1716,17.7476,2.0791
2014-01-30,73.91,35025.9485,17.8514,2.0913
2014-01-31,73.09,34637.3506,17.6534,2.0681
2014-02-03,70.27,33300.9526,16.9723,1.9883
2014-02-04,68.65,32533.2346,16.581,1.9424
2014-02-05,69.1,32746.4896,16.6897,1.9552
2014-02-06,69.07,32732.2726,16.6824,1.9543
2014-02-07,70.62,33466.8176,17.0568,1.9982
2014-02-10,69.54,32955.0056,16.796,1.9676
2014-02-11,70.01,33177.7386,16.9095,1.9809
2014-02-12,71.1,33694.2896,17.1728,2.0118
2014-02-13,71.55,33907.5446,17.2814,2.0245
2014-02-14,72.72,34462.0076,17.564,2.0576
2014-02-18,72.47,34343.5326,17.5036,2.0505
2014-02-19,72.13,34182.4066,17.4215,2.0409
2014-02-20,72.97,34580.4826,17.6244,2.0647
2014-02-21,73.5,34831.6496,17.7524,2.0797
2014-02-24,74.98,35533.0215,18.1099,2.1216
2014-02-25,75.36,35713.1035,18.2017,2.1323
2014-02-26,75.78,35912.1415,18.3031,2.1442
2014-02-27,75.45,35861.3841,18.2234,2.1349
2014-02-28,74.71,35509.6621,18.0447,2.1139
2014-03-03,73.47,34920.2901,17.7452,2.0788
2014-03-04,73.88,35115.1631,17.8442,2.0904
2014-03-05,74.4,35362.3191,17.9698,2.1051
2014-03-06,75.34,35809.1011,18.1968,2.1317
2014-03-07,76.15,36194.0941,18.3925,2.1547
2014-03-10,74.87,35585.7101,18.0833,2.1184
2014-03-11,74.53,35424.1081,18.0012,2.1088
2014-03-12,73.8,35077.1391,17.8249,2.0882
2014-03-13,72.55,34483.0141,17.523,2.0528
2014-03-14,71.27,33921.8208,17.2138,2.0166
2014-03-17,72.4,34459.658,17.4867,2.0486
2014-03-18,73.33,34902.3028,17.7114,2.0749
2014-03-19,72.06,34297.8309,17.4046,2.0389
2014-03-20,72.77,34635.764,17.5761,2.059
2014-03-21,72.65,34578.6486,17.5471,2.0556
2014-03-24,72.68,34592.9274,17.5544,2.0565
2014-03-25,73.93,35187.8801,17.8563,2.0918
2014-03-26,72.98,34735.7161,17.6268,2.065
2014-03-27,73.3,34888.024,17.7041,2.074
2014-03-28,74.23,35330.6687,17.9287,2.1003
2014-03-31,75.12,35754.275,17.4055,2.1019
2014-04-01,75.77,36063.6504,17.5561,2.1201
2014-04-02,76.67,36492.0163,17.7647,2.1452
2014-04-03,77.02,36658.6031,17.8458,2.155
2014-04-04,75.57,35968.458,17.5098,2.1145
2014-04-07,73.39,34930.8606,17.0047,2.0535
2014-04-08,73.38,34926.1009,17.0024,2.0532
2014-04-09,74.79,35597.2075,17.3291,2.0926
2014-04-10,72.84,34669.0814,16.8772,2.0381
2014-04-11,70.92,33755.2341,16.4324,1.9844
2014-04-14,71.03,33807.5899,16.4579,1.9874
2014-04-15,71.89,34216.9174,16.6571,2.0115
2014-04-16,72.95,34721.4372,16.9027,2.0412
2014-04-17,73.82,35135.5243,17.1043,2.0655
2014-04-21,73.93,35187.8801,17.1298,2.0686
2014-04-22,74.43,35425.8612,17.2457,2.0826
2014-04-23,74.38,35402.0631,17.2341,2.0812
2014-04-24,74.96,35678.1211,17.3685,2.0974
2014-04-25,73.95,35197.3993,17.1344,2.0691
2014-04-28,74.5,35459.1785,17.2619,2.0845
2014-04-29,72.15,34340.6675,16.7174,2.0188
2014-04-30,72.64,34573.889,16.8309,2.0325
2014-05-01,73.14,34811.87,16.9468,2.0465
2014-05-02,72.86,34678.6006,16.8819,2.0386
2014-05-05,72.83,34718.0619,16.8749,2.0378
2014-05-06,72.37,34498.7799,16.7683,2.0249
2014-05-07,72.5,34560.7509,16.7985,2.0286
2014-05-08,71.92,34284.2649,16.6641,2.0123
2014-05-09,71.62,34141.2549,16.5946,2.0039
2014-05-12,73.04,34818.1689,16.9236,2.0437
2014-05-13,73.2,34894.4409,16.9607,2.0482
2014-05-14,72.74,34675.1589,16.8541,2.0353
2014-05-15,72.39,34508.3139,16.773,2.0255
2014-05-16,72.21,34422.5079,16.7313,2.0205
2014-05-19,72.64,34627.4889,16.8309,2.0325
2014-05-20,72.09,34365.3039,16.7035,2.0171
2014-05-21,72.94,34770.4989,16.9004,2.0409
2014-05-22,73.3,34942.1109,16.9838,2.051
2014-05-23,73.72,35142.3249,17.0811,2.0627
2014-05-27,74.26,35399.7429,17.2063,2.0778
2014-05-28,73.98,35266.2669,17.1414,2.07
2014-05-29,74.03,35290.1019,17.153,2.0714
2014-05-30,73.69,35128.0239,17.0742,2.0619
2014-06-02,73.6,35085.1209,17.0533,2.0593
2014-06-03,73.54,35056.5189,17.0394,2.0577
2014-06-04,73.38,34980.2469,17.0024,2.0532
2014-06-05,73.56,35066.0529,17.0441,2.0582
2014-06-06,74.89,35700.0639,17.3522,2.0954
2014-06-09,75.56,36019.4529,17.5075,2.1142
2014-06-10,75.15,35824.0059,17.4125,2.1027
2014-06-11,75.26,35876.4429,17.438,2.1058
2014-06-12,74.93,35719.1319,17.3615,2.0966
