Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,30.92,11027.264,11.9163,1.1451
2014-01-03,30.515,10882.8253,11.7603,1.1301
2014-01-06,30.335,10818.6304,11.6909,1.1235
2014-01-07,30.625,10922.0556,11.8027,1.1342
2014-01-08,30.425,10850.7279,11.7256,1.1268
2014-01-09,30.26,10791.8825,11.662,1.1207
2014-01-10,30.53,10888.1749,11.766,1.1307
2014-01-13,30.31,10809.7144,11.6813,1.1225
2014-01-14,30.57,10902.4405,11.7815,1.1322
2014-01-15,30.58,10906.0069,11.7853,1.1325
2014-01-16,30.69,10945.2371,11.8277,1.1366
2014-01-17,30.805,10986.2505,11.872,1.1409
2014-01-21,30.995,11054.0119,11.9452,1.1479
2014-01-22,30.775,10975.5514,11.8605,1.1398
2014-01-23,30.855,11004.0825,11.8913,1.1427
2014-01-24,30.64,10927.4052,11.8084,1.1348
2014-01-27,30.645,10929.1884,11.8104,1.1349
2014-01-28,30.56,10898.8741,11.7776,1.1318
2014-01-29,30.77,10973.7682,11.8585,1.1396
2014-01-30,31.585,11264.4286,12.1726,1.1698
2014-01-31,31.515,11239.4639,12.1457,1.1672
2014-02-03,31.36,11184.1849,12.0859,1.1614
2014-02-04,31.235,11139.6051,12.0377,1.1568
2014-02-05,31.29,11159.2202,12.0589,1.1588
2014-02-06,31.875,11367.8538,12.2844,1.1805
2014-02-07,31.78,11333.9731,12.2478,1.177
2014-02-10,31.8,11341.1059,12.2555,1.1777
2014-02-11,31.29,11159.2202,12.0589,1.1588
2014-02-12,31.78,11333.9731,12.2478,1.177
2014-02-13,32.215,11489.1109,12.4154,1.1931
2014-02-14,32.245,11499.81,12.427,1.1942
2014-02-18,32.455,11574.7041,12.5079,1.202
2014-02-19,32.23,11494.4605,12.4212,1.1936
2014-02-20,32.525,11599.6688,12.5349,1.2046
2014-02-21,32.225,11492.6773,12.4193,1.1935
2014-02-24,32.06,11433.8319,12.3557,1.1874
2014-02-25,32.055,11435.3552,12.3538,1.1872
2014-02-26,32.035,11428.2203,12.3461,1.1864
2014-02-27,31.88,11385.2306,12.2863,1.1807
2014-02-28,31.91,11395.9444,12.2979,1.1818
2014-03-03,31.64,11299.52,12.1938,1.1718
2014-03-04,31.72,11328.0902,12.2247,1.1748
2014-03-05,31.515,11254.879,12.1457,1.1672
2014-03-06,31.19,11138.8125,12.0204,1.1551
2014-03-07,31.28,11170.954,12.0551,1.1585
2014-03-10,31.125,11115.5992,11.9953,1.1527
2014-03-11,31.155,11126.313,12.0069,1.1538
2014-03-12,31.5,11249.5221,12.1399,1.1666
2014-03-13,32.21,11503.0828,12.4135,1.1929
2014-03-14,32.29,11531.653,12.4443,1.1959
2014-03-17,32.6,11642.3625,12.5638,1.2074
2014-03-18,32.505,11673.9037,12.5272,1.2038
2014-03-19,32.285,11594.8925,12.4424,1.1957
2014-03-20,32.375,11627.2153,12.4771,1.199
2014-03-21,33.015,11857.066,12.7237,1.2227
2014-03-24,33.035,11864.2489,12.7314,1.2235
2014-03-25,33.045,11867.8403,12.7353,1.2238
2014-03-26,32.885,11810.3776,12.6736,1.2179
2014-03-27,33.3,11959.4214,12.8336,1.2333
2014-03-28,33.325,11968.4,12.8432,1.2342
2014-03-31,33.425,12004.3142,10.1807,1.2038
2014-04-01,33.53,12042.024,10.2126,1.2076
2014-04-02,33.555,12051.0026,10.2203,1.2085
2014-04-03,34.05,12228.7778,10.371,1.2263
2014-04-04,34.535,12402.9615,10.5187,1.2438
2014-04-07,34.57,12415.5315,10.5294,1.245
2014-04-08,35.095,12604.0809,10.6893,1.2639
2014-04-09,35.14,12620.2423,10.703,1.2656
2014-04-10,35.05,12587.9196,10.6756,1.2623
2014-04-11,35.175,12632.8123,10.7137,1.2668
2014-04-14,35.475,12740.5548,10.8051,1.2776
2014-04-15,35.985,12923.7171,10.9604,1.296
2014-04-16,36.005,12930.9,10.9665,1.2967
2014-04-17,35.63,12796.2218,10.8523,1.2832
2014-04-21,35.54,12763.899,10.8249,1.28
2014-04-22,35.51,12753.1248,10.8157,1.2789
2014-04-23,35.51,12753.1248,10.8157,1.2789
2014-04-24,35.71,12824.9531,10.8766,1.2861
2014-04-25,35.92,12900.3729,10.9406,1.2936
2014-04-28,36.41,13076.3524,11.0898,1.3113
2014-04-29,36.445,13088.9223,11.1005,1.3126
2014-04-30,36.25,13018.8897,11.0411,1.3055
2014-05-01,36.48,13101.4923,11.1112,1.3138
2014-05-02,36.12,12972.2013,11.0015,1.3008
2014-05-05,36.565,13132.0194,11.137,1.3169
2014-05-06,36.565,13132.0194,11.137,1.3169
2014-05-07,37.58,13496.5483,11.4462,1.3534
2014-05-08,37.395,13415.9595,11.3899,1.3468
2014-05-09,37.305,13383.6708,11.3624,1.3435
2014-05-12,37.19,13342.413,11.3274,1.3394
2014-05-13,36.705,13168.4127,11.1797,1.3219
2014-05-14,37.135,13322.681,11.3107,1.3374
2014-05-15,37.145,13326.2687,11.3137,1.3378
2014-05-16,37.26,13367.5265,11.3487,1.3419
2014-05-19,36.575,13121.7735,11.1401,1.3172
2014-05-20,36.745,13182.7633,11.1919,1.3234
2014-05-21,36.825,13211.4644,11.2162,1.3262
2014-05-22,37.02,13281.4232,11.2756,1.3333
2014-05-23,37.03,13285.0109,11.2787,1.3336
2014-05-27,37.055,13293.9799,11.2863,1.3345
2014-05-28,37.31,13385.4646,11.364,1.3437
2014-05-29,37.765,13548.702,11.5025,1.3601
2014-05-30,37.71,13528.97,11.4858,1.3581
2014-06-02,37.885,13591.7536,11.5391,1.3644
2014-06-03,38.11,13672.4754,11.6076,1.3725
2014-06-04,38.305,13742.4343,11.667,1.3795
2014-06-05,39.305,14101.1977,11.9716,1.4156
2014-06-06,39.205,14065.3214,11.9411,1.412
2014-06-09,39.345,14115.5483,11.9838,1.417
2014-06-10,39.14,14042.0018,11.9213,1.4096
2014-06-11,38.71,13887.7335,11.7904,1.3941
2014-06-12,38.925,13964.8676,11.8559,1.4019
2014-06-13,39.1,14027.6512,11.9092,1.4082
2014-06-16,39.505,14172.9504,12.0325,1.4228
2014-06-17,39.26,14085.0534,11.9579,1.4139
2014-06-18,40.085,14381.0332,12.2092,1.4436
2014-06-19,40.395,14492.2499,12.3036,1.4548
2014-06-20,40.415,14499.4252,12.3097,1.4555
2014-06-23,40.27,14447.4045,12.2655,1.4503
