Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,31.77,4039.6879,,
2014-01-03,31.9,4056.2179,,
2014-01-06,32.16,4089.278,,
2014-01-07,32.67,4154.1266,,
2014-01-08,32.67,4154.1266,,
2014-01-09,32.96,4191.0014,,
2014-01-10,33.31,4235.5053,,
2014-01-13,33.02,4198.6306,,
2014-01-14,32.74,4163.0274,,
2014-01-15,32.52,4135.0535,,
2014-01-16,32.47,4128.6958,,
2014-01-17,32.56,4140.1397,,
2014-01-21,33.08,4206.2599,,
2014-01-22,33.2,4221.5184,,
2014-01-23,32.97,4192.2729,,
2014-01-24,32.5,4132.5104,,
2014-01-27,32.45,4126.1527,,
2014-01-28,32.52,4135.0535,,
2014-01-29,32.45,4126.1527,,
2014-01-30,32.89,4182.1006,,
2014-01-31,33.17,4217.7037,,
2014-02-03,32.5,4132.5104,,
2014-02-04,32.64,4150.312,,
2014-02-05,32.38,4117.2519,,
2014-02-06,32.74,4163.0274,,
2014-02-07,33.08,4206.2599,,
2014-02-10,33.35,4240.5915,,
2014-02-11,33.58,4269.8369,,
2014-02-12,33.68,4282.5524,,
2014-02-13,34.13,4339.7717,,
2014-02-14,34.47,4383.0041,,
2014-02-18,34.66,4407.1634,,
2014-02-19,34.34,4366.4741,,
2014-02-20,34.68,4409.7065,,
2014-02-21,35.03,4454.2105,,
2014-02-24,34.73,4416.0642,,
2014-02-25,34.62,4402.0773,,
2014-02-26,34.53,4390.6334,,
2014-02-27,34.32,4420.1087,,
2014-02-28,34.22,4407.2296,,
2014-03-03,34.1,4391.7747,,
2014-03-04,34.49,4442.0032,,
2014-03-05,34.52,4445.8669,,
2014-03-06,33.88,4363.4406,,
2014-03-07,33.76,4347.9857,,
2014-03-10,33.63,4331.2429,,
2014-03-11,33.46,4309.3484,,
2014-03-12,34.0,4378.8956,,
2014-03-13,34.42,4432.9878,,
2014-03-14,34.45,4436.8515,,
2014-03-17,35.07,4516.702,,
2014-03-18,34.92,4497.3833,,
2014-03-19,34.32,4420.1087,,
2014-03-20,34.08,4389.1989,,
2014-03-21,34.68,4466.4735,,
2014-03-24,34.87,4490.9438,,
2014-03-25,34.93,4498.6712,,
2014-03-26,34.56,4451.0186,,
2014-03-27,34.73,4472.913,,
2014-03-28,34.8,4481.9284,,
2014-03-31,35.16,4528.2932,,
2014-04-01,34.8,4482.7116,,
2014-04-02,34.65,4463.3896,,
2014-04-03,34.69,4468.5421,,
2014-04-04,35.08,4518.7794,,
2014-04-07,34.97,4504.6099,,
2014-04-08,35.35,4553.5591,,
2014-04-09,35.14,4526.5082,,
2014-04-10,34.83,4486.576,,
2014-04-11,34.79,4481.4235,,
2014-04-14,35.05,4514.915,,
2014-04-15,35.65,4592.2032,,
2014-04-16,35.89,4623.1184,,
2014-04-17,35.62,4588.3388,,
2014-04-21,35.47,4569.0167,,
2014-04-22,35.52,4575.4574,,
2014-04-23,35.42,4562.576,,
2014-04-24,35.7,4598.6438,,
2014-04-25,36.08,4647.593,,
2014-04-28,36.04,4642.4404,,
2014-04-29,35.79,4610.2371,,
2014-04-30,35.88,4621.8303,,
2014-05-01,35.85,4617.9659,,
