Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,10.987,7212.0781,21.7402,4.6653
2014-01-03,11.21,7358.6828,22.1822,4.7601
2014-01-06,11.06,7260.217,21.8853,4.6964
2014-01-07,11.208,7357.5888,22.1789,4.7594
2014-01-08,11.123,7301.7915,22.0107,4.7233
2014-01-09,11.402,7484.5004,22.5614,4.8415
2014-01-10,11.413,7492.1588,22.5845,4.8465
2014-01-13,11.457,7520.6045,22.6703,4.8649
2014-01-14,11.767,7724.1006,23.2837,4.9965
2014-01-15,11.982,7865.2351,23.7091,5.0878
2014-01-16,12.112,7950.5721,23.9664,5.143
2014-01-17,11.423,7498.7232,22.6043,4.8507
2014-01-21,11.62,7627.8229,22.9935,4.9342
2014-01-22,11.372,7464.8072,22.5021,4.8288
2014-01-23,11.382,7471.3716,22.5219,4.833
2014-01-24,11.468,7528.263,22.6933,4.8698
2014-01-27,11.063,7262.4051,21.8919,4.6978
2014-01-28,11.047,7251.4645,21.859,4.6908
2014-01-29,10.858,7127.8351,21.4863,4.6108
2014-01-30,10.913,7163.9392,21.5951,4.6341
2014-01-31,10.853,7124.5529,21.4764,4.6087
2014-02-03,10.695,7020.6167,21.1631,4.5414
2014-02-04,10.957,7192.3849,21.6809,4.6525
2014-02-05,11.088,7278.8161,21.9414,4.7084
2014-02-06,11.1,7286.4745,21.9645,4.7134
2014-02-07,11.157,7323.6728,22.0766,4.7375
2014-02-10,11.168,7331.3312,22.0997,4.7424
2014-02-11,11.158,7324.7668,22.0799,4.7382
2014-02-12,11.118,7298.5093,22.0008,4.7212
2014-02-13,11.198,7351.0244,22.1591,4.7552
2014-02-14,11.255,7388.2226,22.2712,4.7792
2014-02-18,11.265,7394.787,22.291,4.7835
2014-02-19,11.17,7332.4253,22.103,4.7431
2014-02-20,11.35,7450.5843,22.4592,4.8196
2014-02-21,11.373,7465.9012,22.5054,4.8295
2014-02-24,11.483,7538.1095,22.723,4.8762
2014-02-25,11.31,7424.3268,22.38,4.8026
2014-02-26,11.308,7423.2327,22.3767,4.8019
2014-02-27,11.372,7464.8072,22.5021,4.8288
2014-02-28,11.627,7481.1006,23.0067,4.937
2014-03-03,11.503,7401.7426,22.7626,4.8847
2014-03-04,11.725,7544.3725,23.2012,4.9788
2014-03-05,12.085,7776.0121,23.9136,5.1317
2014-03-06,12.05,7753.4916,23.8443,5.1168
2014-03-07,12.012,7728.8262,23.7685,5.1005
2014-03-10,12.177,7834.9944,24.095,5.1706
2014-03-11,12.198,7848.9356,24.1379,5.1798
2014-03-12,12.31,7920.7868,24.3588,5.2272
2014-03-13,12.0,7721.3194,23.7454,5.0956
2014-03-14,12.023,7736.3331,23.7916,5.1055
2014-03-17,12.062,7760.9984,23.8674,5.1218
2014-03-18,12.155,7821.0531,24.0521,5.1614
2014-03-19,12.322,7928.2937,24.3819,5.2322
2014-03-20,12.172,7831.7772,24.0851,5.1685
