Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,19.374,23282.0815,9.2603,0.7304
2014-01-03,18.9818,22810.7843,9.0729,0.7156
2014-01-06,19.1031,22956.4579,9.1308,0.7202
2014-01-07,19.2029,23076.4245,9.1785,0.724
2014-01-08,19.1601,23025.0103,9.1581,0.7223
2014-01-09,19.2742,23162.1149,9.2126,0.7266
2014-01-10,19.374,23282.0815,9.2603,0.7304
2014-01-13,19.2385,23119.2697,9.1956,0.7253
2014-01-14,19.1744,23042.1483,9.1649,0.7229
2014-01-15,19.0888,22939.3199,9.124,0.7197
2014-01-16,19.5452,23487.7384,9.3421,0.7369
2014-01-17,19.3954,23307.7886,9.2706,0.7312
2014-01-21,19.8019,23796.2238,9.4648,0.7465
2014-01-22,20.0586,24104.7093,9.5875,0.7562
2014-01-23,20.1941,24267.521,9.6523,0.7613
2014-01-24,20.1584,24224.6758,9.6353,0.76
2014-01-27,20.1085,24164.6926,9.6114,0.7581
2014-01-28,20.0372,24079.0022,9.5773,0.7554
2014-01-29,20.1014,24156.1235,9.608,0.7578
2014-01-30,20.6718,24841.6467,9.8807,0.7793
2014-01-31,20.6789,24850.2158,9.8841,0.7796
2014-02-03,20.6576,24824.5086,9.8738,0.7788
2014-02-04,20.6148,24773.0944,9.8534,0.7772
2014-02-05,20.5791,24730.2492,9.8363,0.7758
2014-02-06,21.0283,25270.0987,10.0511,0.7928
2014-02-07,20.9927,25227.2535,10.034,0.7914
2014-02-10,20.9642,25192.9774,10.0204,0.7904
2014-02-11,21.0141,25252.9606,10.0442,0.7922
2014-02-12,20.6362,24798.8015,9.8636,0.778
2014-02-13,20.9642,25192.9774,10.0204,0.7904
2014-02-14,21.2066,25499.6648,10.1363,0.7995
2014-02-18,21.4277,25765.465,10.2419,0.8078
2014-02-19,21.3635,25688.2972,10.2113,0.8054
2014-02-20,21.556,25919.8005,10.3033,0.8127
2014-02-21,21.6915,26082.7103,10.368,0.8178
2014-02-24,21.6701,26056.9877,10.3578,0.817
2014-02-25,21.6487,26031.2651,10.3476,0.8162
2014-02-26,21.6915,26082.7103,10.368,0.8178
2014-02-27,21.5132,25868.3554,10.2828,0.8111
2014-02-28,21.6844,26074.1361,10.3646,0.8175
2014-03-03,21.4134,25748.3166,10.2351,0.8073
2014-03-04,21.6772,26065.5619,10.3612,0.8172
2014-03-05,21.5917,25962.6715,10.3203,0.814
2014-03-06,21.2565,25559.6842,10.1601,0.8014
2014-03-07,21.2637,25568.2584,10.1635,0.8016
2014-03-10,21.3064,25619.7036,10.184,0.8033
2014-03-11,21.2779,25585.4068,10.1704,0.8022
2014-03-12,21.5204,25876.9296,10.2862,0.8113
2014-03-13,21.7557,26159.8781,10.3987,0.8202
2014-03-14,21.8484,26271.3427,10.443,0.8237
2014-03-17,22.1193,26597.1622,10.5725,0.8339
2014-03-18,22.212,26708.6268,10.6168,0.8374
2014-03-19,22.1479,26631.459,10.5862,0.835
2014-03-20,22.3689,26897.2591,10.6918,0.8433
2014-03-21,23.2103,27909.0145,11.094,0.875
2014-03-24,23.4813,28234.834,11.2235,0.8852
2014-03-25,23.4813,28234.834,11.2235,0.8852
2014-03-26,23.1319,27814.6983,11.0565,0.8721
2014-03-27,23.4029,28140.5178,11.186,0.8823
2014-03-28,23.738,28543.5051,11.3462,0.8949
2014-03-31,23.9305,28775.0085,11.4065,0.9103
2014-04-01,23.8806,28714.9891,11.3827,0.9084
2014-04-02,23.8949,28765.9972,11.3895,0.9089
2014-04-03,24.0874,28997.7734,11.4813,0.9163
2014-04-04,24.5794,29590.0903,11.7158,0.935
2014-04-07,24.7363,29778.9449,11.7906,0.9409
2014-04-08,25.3424,30508.6106,12.0795,0.964
2014-04-09,25.1641,30294.0031,11.9945,0.9572
2014-04-10,25.0215,30122.317,11.9266,0.9518
2014-04-11,25.0714,30182.4071,11.9504,0.9537
2014-04-14,25.1641,30294.0031,11.9945,0.9572
2014-04-15,25.6704,30903.4885,12.2359,0.9765
2014-04-16,25.8415,31109.5118,12.3174,0.983
2014-04-17,25.7132,30954.9943,12.2563,0.9781
2014-04-21,25.6276,30851.9827,12.2155,0.9749
2014-04-22,25.592,30809.0612,12.1985,0.9735
2014-04-23,25.5991,30817.6455,12.2019,0.9738
2014-04-24,25.6775,30912.0728,12.2393,0.9768
2014-04-25,25.8558,31126.6804,12.3242,0.9835
2014-04-28,26.0341,31341.2879,12.4092,0.9903
2014-04-29,25.7988,31058.006,12.297,0.9814
2014-04-30,24.9787,30081.014,11.9062,0.9502
2014-05-01,25.6633,30905.3867,12.2325,0.9762
2014-05-02,25.5563,30776.5784,12.1815,0.9721
2014-05-05,25.8415,31120.067,12.3174,0.983
2014-05-06,25.6989,30948.3227,12.2495,0.9776
2014-05-07,26.2123,31566.6022,12.4942,0.9971
2014-05-08,26.0127,31326.1602,12.399,0.9895
2014-05-09,25.813,31085.7182,12.3038,0.9819
2014-05-12,25.2426,30398.741,12.0319,0.9602
2014-05-13,25.4066,30596.2469,12.1101,0.9664
2014-05-14,24.8147,29883.5081,11.828,0.9439
2014-05-15,24.6365,29668.8277,11.743,0.9371
2014-05-16,24.5081,29514.2578,11.6818,0.9323
2014-05-19,24.2229,29170.7692,11.5459,0.9214
2014-05-20,24.1658,29102.0715,11.5187,0.9192
2014-05-21,24.173,29110.6587,11.5221,0.9195
2014-05-22,24.3869,29368.2752,11.6241,0.9277
2014-05-23,24.3512,29325.3391,11.6071,0.9263
2014-05-27,25.2283,30381.5665,12.0251,0.9597
2014-05-28,25.6633,30905.3867,12.2325,0.9762
2014-05-29,25.7132,30965.4972,12.2563,0.9781
2014-05-30,26.2623,31626.7127,12.518,0.999
2014-06-02,26.0983,31429.2068,12.4398,0.9928
2014-06-03,26.519,31935.8525,12.6403,1.0088
2014-06-04,26.576,32004.5502,12.6675,1.0109
2014-06-05,26.7115,32167.7073,12.7321,1.0161
2014-06-06,26.6758,32124.7712,12.7151,1.0147
2014-06-09,26.4405,31841.3931,12.6029,1.0058
2014-06-10,26.4976,31910.0908,12.6301,1.0079
2014-06-11,25.4921,30704.8423,12.1509,0.9697
2014-06-12,25.0073,30120.8062,11.9198,0.9513
2014-06-13,25.4708,30946.976,12.1407,0.9689
2014-06-16,25.7488,31284.863,12.2732,0.9795
2014-06-17,25.8772,31440.8108,12.3344,0.9843
2014-06-18,26.2765,33768.4817,12.5248,0.9995
2014-06-19,26.5047,34061.7223,12.6335,1.0082
2014-06-20,26.2123,33686.0078,12.4942,0.9971
2014-06-23,25.8701,33246.147,12.331,0.9841
2014-06-24,25.8202,33182.0006,12.3072,0.9822
2014-06-25,25.8273,33191.1644,12.3106,0.9824
2014-06-26,25.7488,33090.363,12.2732,0.9795
2014-06-27,25.8772,33255.3108,12.3344,0.9843
2014-06-30,26.0127,33429.4223,11.9646,1.0176
2014-07-01,25.4565,32714.6485,11.7088,0.9958
2014-07-02,24.665,31697.4704,11.3447,0.9649
2014-07-03,24.2229,31129.3168,11.1414,0.9476
2014-07-07,24.501,31486.7037,11.2693,0.9585
2014-07-08,24.4725,31450.0487,11.2562,0.9574
2014-07-09,24.4297,31395.066,11.2365,0.9557
2014-07-10,24.501,31486.7037,11.2693,0.9585
2014-07-11,24.0874,30955.2052,11.0791,0.9423
2014-07-14,23.4528,30139.63,10.7872,0.9175
2014-07-15,23.4243,30102.9749,10.7741,0.9163
2014-07-16,23.4884,30185.4488,10.8036,0.9189
2014-07-17,22.7825,29278.2359,10.4789,0.8912
2014-07-18,22.8823,29406.5286,10.5248,0.8951
2014-07-21,22.9821,29534.8213,10.5707,0.8991
2014-07-22,22.6613,29122.4518,10.4231,0.8865
2014-07-23,22.647,29104.1243,10.4166,0.8859
2014-07-24,22.6827,29149.9431,10.433,0.8873
2014-07-25,22.426,28820.0475,10.3149,0.8773
2014-07-28,22.7825,29278.2359,10.4789,0.8912
2014-07-29,22.4402,28838.375,10.3214,0.8779
2014-07-30,22.1122,28416.8417,10.1706,0.865
2014-07-31,22.1621,26703.8567,10.1935,0.867
2014-08-01,22.4901,27099.0875,10.3444,0.8798
2014-08-04,22.3618,26944.432,10.2854,0.8748
2014-08-05,22.1978,26746.8166,10.2099,0.8684
2014-08-06,22.2334,26789.7765,10.2263,0.8698
2014-08-07,22.5044,27116.2715,10.351,0.8804
2014-08-08,22.9037,27597.4221,10.5346,0.896
2014-08-11,22.8966,27588.8301,10.5314,0.8957
2014-08-12,22.7254,27382.6227,10.4526,0.889
2014-08-13,22.426,27021.7598,10.3149,0.8773
2014-08-14,22.6969,27348.2548,10.4395,0.8879
2014-08-15,22.6755,27322.4789,10.4297,0.8871
2014-08-18,22.6898,27339.6628,10.4362,0.8876
2014-08-19,22.7896,27459.9505,10.4822,0.8915
2014-08-20,22.811,27485.7264,10.492,0.8924
2014-08-21,22.9964,27709.1177,10.5773,0.8996
2014-08-22,23.0962,27829.4054,10.6232,0.9035
2014-08-25,23.41,28207.4522,10.7675,0.9158
2014-08-26,23.0392,27760.6696,10.5969,0.9013
2014-08-27,23.3672,28155.9004,10.7478,0.9141
2014-08-28,23.5312,28353.5158,10.8233,0.9205
2014-08-29,23.8307,28714.3787,10.961,0.9322
2014-09-02,23.41,28207.4522,10.7675,0.9158
2014-09-03,23.7166,28576.9071,10.9085,0.9278
2014-09-04,23.9234,28826.0744,11.0036,0.9359
2014-09-05,24.1088,29049.4657,11.0889,0.9431
2014-09-08,23.845,28731.5627,10.9676,0.9328
2014-09-09,23.6168,28456.6195,10.8626,0.9239
2014-09-10,23.5597,28387.8837,10.8364,0.9216
2014-09-11,23.7095,28568.3152,10.9052,0.9275
2014-09-12,23.4314,28233.2282,10.7773,0.9166
2014-09-15,23.6952,28551.1312,10.8987,0.9269
2014-09-16,24.1159,29058.0577,11.0922,0.9434
2014-09-17,24.0161,28937.7701,11.0463,0.9395
2014-09-18,24.0874,29023.6898,11.0791,0.9423
2014-09-19,24.5366,29564.9842,11.2857,0.9599
2014-09-22,24.4511,29461.8805,11.2463,0.9565
2014-09-23,24.3298,29315.817,11.1906,0.9518
2014-09-24,24.1801,29135.3855,11.1217,0.9459
2014-09-25,23.9591,28869.0343,11.02,0.9373
2014-09-26,24.0304,28954.954,11.0528,0.9401
2014-09-29,24.3227,29307.225,11.1873,0.9515
2014-09-30,24.3085,29290.041,10.8386,0.885
2014-10-01,24.6507,29702.4558,10.9912,0.8974
2014-10-02,24.7648,29839.9274,11.0421,0.9016
2014-10-03,24.8718,29968.807,11.0897,0.9055
2014-10-06,24.8076,29891.4792,11.0611,0.9031
2014-10-07,24.7862,29865.7033,11.0516,0.9024
