Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,43.49,8940.6889,25.5824,4.2254
2014-01-03,43.25,8891.3496,25.4412,4.2021
2014-01-06,42.82,8802.9501,25.1882,4.1603
2014-01-07,43.28,8897.517,25.4588,4.205
2014-01-08,42.99,8837.8987,25.2882,4.1768
2014-01-09,43.01,8842.0103,25.3,4.1788
2014-01-10,43.61,8965.3585,25.6529,4.2371
2014-01-13,44.22,9090.7625,26.0118,4.2963
2014-01-14,43.79,9002.363,25.7588,4.2545
2014-01-15,43.94,9033.2,25.8471,4.2691
2014-01-16,44.0,9045.5349,25.8824,4.2749
2014-01-17,43.77,8998.2514,25.7471,4.2526
2014-01-21,44.0,9045.5349,25.8824,4.2749
2014-01-22,44.15,9076.3719,25.9706,4.2895
2014-01-23,43.59,8961.2469,25.6412,4.2351
2014-01-24,42.0,8634.3742,24.7059,4.0806
2014-01-27,41.49,8529.5282,24.4059,4.0311
2014-01-28,41.52,8535.6956,24.4235,4.034
2014-01-29,41.0,8428.7938,24.1176,3.9835
2014-01-30,41.22,8474.0215,24.2471,4.0049
2014-01-31,40.86,8400.0126,24.0353,3.9699
2014-02-03,40.29,8282.8318,23.7,3.9145
2014-02-04,40.54,8334.2269,23.8471,3.9388
2014-02-05,40.4,8305.4456,23.7647,3.9252
2014-02-06,40.12,8247.8831,23.6,3.898
2014-02-07,40.66,8358.8965,23.9176,3.9504
2014-02-10,40.92,8412.3474,24.0706,3.9757
2014-02-11,41.6,8552.142,24.4706,4.0418
2014-02-12,41.61,8554.1978,24.4765,4.0427
2014-02-13,41.77,8587.0907,24.5706,4.0583
2014-02-14,41.86,8605.5929,24.6235,4.067
2014-02-18,41.87,8607.6487,24.6294,4.068
2014-02-19,41.15,8459.6309,24.2059,3.998
2014-02-20,41.7,8572.7001,24.5294,4.0515
2014-02-21,41.58,8548.0304,24.4588,4.0398
2014-02-24,42.01,8636.43,24.7118,4.0816
2014-02-25,39.06,7911.7289,22.9765,3.795
2014-02-26,39.02,7903.6267,22.9529,3.7911
2014-02-27,39.18,7939.7879,23.0471,3.8066
2014-02-28,39.51,8006.6621,23.2412,3.8387
2014-03-03,39.43,7990.4502,23.1941,3.8309
2014-03-04,39.5,8004.6356,23.2353,3.8377
2014-03-05,39.59,8022.874,23.2882,3.8465
2014-03-06,39.54,8012.7415,23.2588,3.8416
2014-03-07,39.82,8069.4833,23.4235,3.8688
2014-03-10,39.7,8045.1654,23.3529,3.8572
2014-03-11,39.68,8041.1124,23.3412,3.8552
2014-03-12,40.26,8158.6488,23.6824,3.9116
2014-03-13,39.78,8061.3773,23.4,3.8649
2014-03-14,38.98,7899.2581,22.9294,3.7872
2014-03-17,38.89,7881.0197,22.8765,3.7785
2014-03-18,38.8,7862.7813,22.8235,3.7697
2014-03-19,38.74,7850.6223,22.7882,3.7639
2014-03-20,38.78,7858.7283,22.8118,3.7678
2014-03-21,38.95,7893.1786,22.9118,3.7843
2014-03-24,39.1,7861.6458,23.0,3.7989
2014-03-25,39.23,7887.7842,23.0765,3.8115
2014-03-26,38.68,7777.1984,22.7529,3.7581
2014-03-27,38.64,7769.1558,22.7294,3.7542
2014-03-28,39.21,7883.7629,23.0647,3.8096
2014-03-31,39.63,7968.2103,22.9075,3.9904
2014-04-01,39.73,7988.3168,22.9653,4.0005
2014-04-02,39.92,8026.5192,23.0751,4.0196
2014-04-03,40.25,8092.8706,23.2659,4.0528
2014-04-04,39.44,7930.0079,22.7977,3.9713
2014-04-07,39.425,7926.9919,22.789,3.9698
2014-04-08,39.76,7994.3487,22.9827,4.0035
2014-04-09,39.99,8040.5937,23.1156,4.0266
2014-04-10,38.87,7815.4008,22.4682,3.9139
2014-04-11,38.9,7821.4327,22.4855,3.9169
2014-04-14,38.71,7783.2304,22.3757,3.8978
2014-04-15,39.34,7909.9014,22.7399,3.9612
2014-04-16,39.41,7923.976,22.7803,3.9682
2014-04-17,40.01,8044.615,23.1272,4.0287
2014-04-21,40.58,8159.2221,23.4566,4.0861
2014-04-22,40.23,8088.8493,23.2543,4.0508
2014-04-23,40.41,8125.0411,23.3584,4.0689
2014-04-24,40.61,8165.2541,23.474,4.0891
2014-04-25,40.05,8052.6576,23.1503,4.0327
2014-04-28,40.59,8161.2328,23.4624,4.0871
2014-04-29,40.63,8169.2754,23.4855,4.0911
2014-04-30,41.24,8291.9251,23.8382,4.1525
