Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,69.21,9021.7238,32.9795,4.1835
2014-01-03,69.2,9020.4203,32.9747,4.1829
2014-01-06,68.96,8989.1356,32.8604,4.1684
2014-01-07,71.45,9313.7143,34.0469,4.3189
2014-01-08,70.31,9165.112,33.5037,4.25
2014-01-09,69.55,9066.0438,33.1415,4.2041
2014-01-10,69.6,9072.5614,33.1653,4.2071
2014-01-13,67.87,8847.0509,32.341,4.1025
2014-01-14,69.33,9037.3661,33.0367,4.1908
2014-01-15,69.42,9049.0979,33.0796,4.1962
2014-01-16,68.48,8926.5662,32.6317,4.1394
2014-01-17,70.69,9214.6461,33.6847,4.273
2014-01-21,67.67,8820.9803,32.2457,4.0904
2014-01-22,67.06,8741.4651,31.955,4.0535
2014-01-23,66.5,8668.4674,31.6882,4.0197
2014-01-24,66.3,8642.3969,31.5929,4.0076
2014-01-27,65.46,8532.9004,31.1926,3.9568
2014-01-28,66.95,8727.1262,31.9026,4.0469
2014-01-29,65.47,8534.204,31.1973,3.9574
2014-01-30,65.52,8540.7216,31.2212,3.9605
2014-01-31,64.98,8470.331,30.9639,3.9278
2014-02-03,63.27,8247.4276,30.149,3.8245
2014-02-04,63.97,8338.6746,30.4826,3.8668
2014-02-05,63.93,8333.4605,30.4635,3.8644
2014-02-06,65.14,8491.1875,31.0401,3.9375
2014-02-07,74.45,9638.183,35.4764,4.5002
2014-02-10,74.32,9621.3534,35.4145,4.4924
2014-02-11,74.79,9682.1989,35.6385,4.5208
2014-02-12,75.86,9820.7195,36.1483,4.5855
2014-02-13,76.69,9928.17,36.5438,4.6356
2014-02-14,77.13,9985.1317,36.7535,4.6622
2014-02-18,78.02,10100.3498,37.1776,4.716
2014-02-19,79.62,10307.4833,37.94,4.8128
2014-02-20,79.71,10319.1346,37.9829,4.8182
2014-02-21,79.99,10355.383,38.1163,4.8351
2014-02-24,79.26,10260.8783,37.7685,4.791
2014-02-25,79.44,10284.1808,37.8542,4.8019
2014-02-26,78.52,10165.079,37.4158,4.7463
2014-02-27,78.62,10178.0249,37.4635,4.7523
2014-02-28,78.53,10166.3736,37.4206,4.7469
2014-03-03,76.7,9929.4646,36.5486,4.6363
2014-03-04,77.04,9973.4805,36.7106,4.6568
2014-03-05,75.73,9803.8899,36.0864,4.5776
2014-03-06,74.71,9671.8422,35.6003,4.516
2014-03-07,75.19,9733.9823,35.8291,4.545
2014-03-10,75.23,9739.1607,35.8481,4.5474
2014-03-11,74.74,9675.726,35.6146,4.5178
2014-03-12,76.51,9904.8675,36.4581,4.6248
2014-03-13,75.47,9770.2307,35.9625,4.5619
2014-03-14,75.77,9809.0682,36.1054,4.58
2014-03-17,76.76,9937.2321,36.5772,4.6399
2014-03-18,76.93,9959.2401,36.6582,4.6502
