Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,51.16,2407.9536,43.8564,2.8502
2014-01-03,49.18,2314.7608,42.159,2.7399
2014-01-06,48.57,2286.0498,41.6361,2.7059
2014-01-07,48.39,2277.5777,41.4818,2.6959
2014-01-08,47.61,2240.8654,40.8132,2.6524
2014-01-09,45.52,2142.4951,39.0215,2.536
2014-01-10,46.97,2210.7424,40.2645,2.6168
2014-01-13,44.43,2091.192,38.0872,2.4753
2014-01-14,47.01,2212.6251,40.2988,2.619
2014-01-15,48.02,2260.1629,41.1646,2.6753
2014-01-16,48.61,2287.9325,41.6704,2.7081
2014-01-17,48.51,2283.2258,41.5847,2.7026
2014-01-21,49.08,2310.054,42.0733,2.7343
2014-01-22,51.22,2410.7777,43.9078,2.8535
2014-01-23,50.44,2374.0653,43.2392,2.8101
2014-01-24,48.87,2300.1699,41.8933,2.7226
2014-01-27,47.54,2237.5707,40.7532,2.6485
2014-01-28,49.8,2343.9424,42.6905,2.7744
2014-01-29,48.59,2286.9912,41.6533,2.707
2014-01-30,51.37,2417.8377,44.0364,2.8619
2014-01-31,51.98,2446.5487,44.5593,2.8959
2014-02-03,50.08,2357.1212,42.9306,2.79
2014-02-04,51.64,2430.5459,44.2679,2.8769
2014-02-05,52.96,2492.6745,45.3994,2.9505
2014-02-06,53.77,2530.7988,46.0938,2.9956
2014-02-07,56.72,2669.6468,48.6226,3.1599
2014-02-10,57.52,2707.3005,49.3084,3.2045
2014-02-11,58.91,2772.7238,50.5,3.282
2014-02-12,57.97,2728.4807,49.6942,3.2296
2014-02-13,58.89,2771.7824,50.4828,3.2808
2014-02-14,59.65,2807.5535,51.1343,3.3232
2014-02-18,61.02,2872.0354,52.3088,3.3995
2014-02-19,61.04,2875.3635,52.3259,3.4006
2014-02-20,62.67,2952.1466,53.7232,3.4914
2014-02-21,63.99,3235.0923,54.8548,3.565
2014-02-24,64.8,3276.0429,55.5491,3.6101
2014-02-25,63.74,3222.4533,54.6405,3.551
2014-02-26,64.54,3262.8983,55.3262,3.5956
2014-02-27,63.89,3230.0367,54.769,3.5594
2014-02-28,64.33,3252.2815,55.1462,3.5839
2014-03-03,64.41,3256.3259,55.2148,3.5884
2014-03-04,65.48,3310.4211,56.132,3.648
2014-03-05,64.04,3237.6201,54.8976,3.5678
2014-03-06,62.76,3172.9082,53.8004,3.4964
2014-03-07,63.88,3229.5312,54.7605,3.5588
2014-03-10,63.03,3186.5584,54.0318,3.5115
2014-03-11,62.01,3134.991,53.1574,3.4547
2014-03-12,63.16,3193.1307,54.1433,3.5187
2014-03-13,63.36,3203.2419,54.3147,3.5299
2014-03-14,63.58,3214.3643,54.5033,3.5421
2014-03-17,63.93,3232.059,54.8033,3.5616
2014-03-18,65.68,3320.5323,56.3035,3.6591
2014-03-19,64.4,3255.8204,55.2062,3.5878
2014-03-20,65.19,3295.7598,55.8834,3.6318
2014-03-21,64.22,3246.7203,55.0519,3.5778
2014-03-24,64.14,3242.6758,54.9833,3.5733
2014-03-25,64.29,3250.2592,55.1119,3.5817
2014-03-26,64.89,3280.5929,55.6263,3.6151
2014-03-27,68.04,3439.845,58.3266,3.7906
2014-03-28,69.7,3523.7683,59.7496,3.8831
2014-03-31,67.31,3402.939,44.7866,3.1513
2014-04-01,66.41,3357.4384,44.1877,3.1092
2014-04-02,68.97,3486.8623,45.8911,3.2291
2014-04-03,67.91,3433.2727,45.1858,3.1794
2014-04-04,67.25,3399.9056,44.7466,3.1485
2014-04-07,65.17,3294.7487,43.3627,3.0512
2014-04-08,66.6,3367.0441,44.3141,3.1181
2014-04-09,68.06,3440.8561,45.2856,3.1865
2014-04-10,65.63,3318.0045,43.6687,3.0727
2014-04-11,67.6,3417.6003,44.9795,3.1649
2014-04-14,70.12,3545.0019,46.6563,3.2829
2014-04-15,69.08,3492.4235,45.9643,3.2342
2014-04-16,70.49,3563.7077,46.9025,3.3002
2014-04-17,73.34,3707.793,48.7988,3.4337
2014-04-21,74.52,3767.4493,49.5839,3.4889
2014-04-22,74.26,3754.3047,49.4109,3.4767
2014-04-23,73.89,3735.5989,49.1648,3.4594
2014-04-24,75.42,3812.9499,50.1828,3.531
2014-04-25,71.44,3611.7362,47.5346,3.3447
2014-04-28,70.96,3587.4692,47.2152,3.3222
2014-04-29,72.22,3651.17,48.0536,3.3812
2014-04-30,71.94,3647.3652,47.8673,3.3681
2014-05-01,71.27,3613.3961,47.4215,3.3367
2014-05-02,73.77,3740.1464,49.0849,3.4538
2014-05-05,73.63,3733.0484,48.9918,3.4472
2014-05-06,73.245,3713.5288,48.7356,3.4292
2014-05-07,75.72,3839.0116,50.3824,3.5451
2014-05-08,71.7599,3638.2328,47.7474,3.3597
2014-05-09,71.24,3618.2359,47.4015,3.3353
2014-05-12,72.72,3693.4042,48.3863,3.4046
2014-05-13,73.73,3744.7015,49.0583,3.4519
2014-05-14,72.02,3657.8516,47.9205,3.3719
2014-05-15,69.43,3526.3071,46.1972,3.2506
2014-05-16,70.67,3589.286,47.0222,3.3087
2014-05-19,71.15,3613.6649,47.3416,3.3311
2014-05-20,70.16,3563.3834,46.6829,3.2848
2014-05-21,72.71,3692.8963,48.3796,3.4042
2014-05-22,73.03,3709.1489,48.5925,3.4191
2014-05-23,72.78,3696.4516,48.4262,3.4074
2014-05-27,71.47,3629.9175,47.5545,3.3461
2014-05-28,71.39,3625.8543,47.5013,3.3424
2014-05-29,75.02,3810.2198,49.9166,3.5123
2014-05-30,75.48,3833.5829,50.2227,3.5339
2014-06-02,76.11,3865.5802,50.6419,3.5634
2014-06-03,78.3,3976.809,52.0991,3.6659
2014-06-04,78.54,3988.9984,52.2588,3.6771
2014-06-05,79.24,4024.551,52.7245,3.7099
2014-06-06,81.09,4118.5114,53.9555,3.7965
2014-06-09,82.0,4164.7297,54.561,3.8391
2014-06-10,82.33,4181.4902,54.7805,3.8546
2014-06-11,83.84,4258.1822,55.7853,3.9253
2014-06-12,84.69,4301.3532,56.3508,3.9651
2014-06-13,87.95,4466.9266,58.52,4.1177
2014-06-16,89.9,4565.9659,59.8174,4.209
2014-06-17,90.26,4584.25,60.057,4.2258
2014-06-18,90.34,4588.3132,60.1102,4.2296
2014-06-19,89.05,4522.7949,59.2519,4.1692
2014-06-20,89.79,4560.379,59.7443,4.2038
2014-06-23,91.41,4642.6578,60.8222,4.2797
2014-06-24,87.69,4453.7213,58.347,4.1055
2014-06-25,90.56,4599.4869,60.2566,4.2399
2014-06-26,89.29,4535.1226,59.4116,4.1804
2014-06-27,88.69,4504.6481,59.0123,4.1523
2014-06-30,88.8,4510.2351,46.6222,4.0467
2014-07-01,89.77,4559.5023,47.1315,4.0909
2014-07-02,88.29,4484.3317,46.3545,4.0235
2014-07-03,88.81,4510.743,46.6275,4.0472
2014-07-07,87.31,4434.5566,45.84,3.9788
2014-07-08,85.97,4366.4967,45.1364,3.9178
2014-07-09,87.29,4433.5408,45.8295,3.9779
2014-07-10,85.72,4353.799,45.0052,3.9064
2014-07-11,84.21,4277.1047,44.2124,3.8376
2014-07-14,86.59,4397.9871,45.4619,3.946
2014-07-15,83.36,4233.9324,43.7661,3.7988
2014-07-16,85.49,4342.1171,44.8844,3.8959
2014-07-17,84.71,4302.5001,44.4749,3.8604
2014-07-18,86.66,4401.5425,45.4987,3.9492
2014-07-21,87.99,4469.0944,46.197,4.0098
2014-07-22,86.56,4829.2634,45.4462,3.9447
2014-07-23,87.85,4901.2337,46.1235,4.0035
2014-07-24,88.01,4910.1602,46.2075,4.0107
2014-07-25,85.7,4781.2832,44.9947,3.9055
2014-07-28,84.8,4731.0713,44.5221,3.8645
2014-07-29,85.59,4775.1462,44.9369,3.9005
2014-07-30,84.75,4728.2818,44.4959,3.8622
2014-07-31,82.23,4587.6886,43.1728,3.7473
2014-08-01,80.02,4464.3907,42.0125,3.6466
2014-08-04,81.61,4553.0982,42.8473,3.7191
2014-08-05,78.93,4403.5785,41.4402,3.597
2014-08-06,78.52,4380.7043,41.225,3.5783
2014-08-07,76.58,4336.9271,40.2064,3.4899
2014-08-08,77.45,4386.1974,40.6632,3.5295
2014-08-11,77.49,4388.4627,40.6842,3.5313
2014-08-12,76.04,4306.3454,39.9229,3.4653
2014-08-13,77.18,4370.9066,40.5215,3.5172
2014-08-14,75.86,4296.1516,39.8284,3.457
2014-08-15,78.45,4442.8301,41.1882,3.5751
2014-08-18,79.78,4518.1515,41.8865,3.6357
2014-08-19,80.0,4530.6107,42.002,3.6457
2014-08-20,80.24,4544.2025,42.128,3.6567
2014-08-21,80.74,4572.5188,42.3905,3.6794
2014-08-22,79.98,4529.478,41.9915,3.6448
2014-08-25,81.4,4609.8963,42.7371,3.7095
2014-08-26,83.88,4750.3453,44.0391,3.8225
2014-08-27,82.6,4677.8555,43.3671,3.7642
2014-08-28,83.2,4711.8351,43.6821,3.7915
2014-08-29,86.35,4890.2279,45.3359,3.9351
2014-09-02,83.23,4713.5341,43.6979,3.7929
2014-09-03,83.84,4748.08,44.0181,3.8207
2014-09-04,79.5,4502.2943,41.7395,3.6229
2014-09-05,79.25,4488.1362,41.6083,3.6115
2014-09-08,77.42,4384.4985,40.6475,3.5281
2014-09-09,76.46,4330.1311,40.1434,3.4844
2014-09-10,76.8,4349.3862,40.3219,3.4999
2014-09-11,77.87,4409.9831,40.8837,3.5486
2014-09-12,76.56,4335.7944,40.1959,3.4889
2014-09-15,76.24,4317.672,40.0279,3.4744
2014-09-16,78.22,4429.8046,41.0675,3.5646
2014-09-17,77.7,4400.3556,40.7945,3.5409
