Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,108.48,4676.056,24.1122,8.5313
2014-01-03,108.47,4675.625,24.11,8.5305
2014-01-06,106.36,4584.6729,23.641,8.3645
2014-01-07,107.11,4617.0018,23.8077,8.4235
2014-01-08,106.98,4611.3982,23.7788,8.4133
2014-01-09,106.26,4580.3624,23.6187,8.3567
2014-01-10,106.81,4569.5704,23.741,8.3999
2014-01-13,106.58,4559.7305,23.6899,8.3818
2014-01-14,107.16,4584.5442,23.8188,8.4275
2014-01-15,107.65,4605.5075,23.9277,8.466
2014-01-16,108.13,4626.043,24.0344,8.5037
2014-01-17,106.89,4572.993,23.7588,8.4062
2014-01-21,108.58,4645.295,24.1344,8.5391
2014-01-22,109.0,4663.2635,24.2278,8.5722
2014-01-23,108.99,4662.8357,24.2255,8.5714
2014-01-24,106.1,4539.195,23.5832,8.3441
2014-01-27,105.76,4524.6491,23.5076,8.3174
2014-01-28,104.84,4485.2894,23.3031,8.245
2014-01-29,103.62,4433.0951,23.0319,8.1491
2014-01-30,105.66,4520.3709,23.4854,8.3095
2014-01-31,105.77,4525.0769,23.5098,8.3181
2014-02-03,102.01,4364.2157,22.6741,8.0224
2014-02-04,102.48,4384.3234,22.7785,8.0594
2014-02-05,101.99,4363.3601,22.6696,8.0209
2014-02-06,102.13,4369.3496,22.7007,8.0319
2014-02-07,103.23,4416.41,22.9452,8.1184
2014-02-10,102.16,4370.633,22.7074,8.0342
2014-02-11,103.4,4423.683,22.983,8.1318
2014-02-12,103.87,4443.7907,23.0875,8.1687
2014-02-13,103.6,4432.2395,23.0275,8.1475
2014-02-14,103.25,4417.2657,22.9497,8.12
2014-02-18,102.96,4404.8588,22.8852,8.0972
2014-02-19,103.32,4420.2604,22.9652,8.1255
2014-02-20,105.58,4516.9483,23.4676,8.3032
2014-02-21,104.77,4482.2947,23.2875,8.2395
2014-02-24,104.96,4490.4233,23.3298,8.2544
2014-02-25,104.17,4456.6253,23.1542,8.1923
2014-02-26,103.97,4448.0689,23.1097,8.1766
2014-02-27,104.55,4472.8826,23.2386,8.2222
2014-02-28,105.29,4504.5414,22.3121,8.6163
2014-03-03,104.18,4457.0532,22.0768,8.5255
2014-03-04,105.91,4531.0664,22.4434,8.667
2014-03-05,105.68,4521.2265,22.3947,8.6482
2014-03-06,106.17,4542.1898,22.4985,8.6883
2014-03-07,104.92,4488.712,22.2337,8.586
2014-03-10,105.11,4496.8406,22.2739,8.6016
2014-03-11,105.74,4523.7934,22.4074,8.6531
2014-03-12,105.52,4514.3814,22.3608,8.6351
2014-03-13,103.63,4433.5229,21.9603,8.4805
2014-03-14,103.66,4434.8064,21.9666,8.4829
2014-03-17,104.54,4472.4548,22.1531,8.5549
2014-03-18,114.65,4861.1602,24.2955,9.3823
2014-03-19,109.73,4652.5522,23.2529,8.9797
2014-03-20,108.0,4579.2002,22.8863,8.8381
2014-03-21,106.91,4532.9842,22.6554,8.7489
2014-03-24,108.1,4583.4402,22.9075,8.8463
2014-03-25,109.15,4627.9602,23.13,8.9322
2014-03-26,106.36,4509.6642,22.5388,8.7039
2014-03-27,105.08,4455.3922,22.2676,8.5991
2014-03-28,106.18,4502.0322,22.5007,8.6891
2014-03-31,107.81,4571.1442,22.8461,8.8225
2014-04-01,108.21,4588.1042,22.9308,8.8553
2014-04-02,107.78,4569.8722,22.8397,8.8201
2014-04-03,107.38,4552.9122,22.755,8.7873
2014-04-04,105.81,4486.3442,22.4223,8.6589
2014-04-07,105.06,4454.5442,22.2633,8.5975
2014-04-08,105.31,4465.1442,22.3163,8.6179
2014-04-09,106.71,4518.0717,22.613,8.7325
2014-04-10,104.86,4439.7432,22.2209,8.5811
2014-04-11,102.49,4339.3981,21.7187,8.3872
2014-04-14,103.9,4399.0971,22.0175,8.5026
2014-04-15,104.57,4427.4647,22.1595,8.5574
2014-04-16,105.58,4470.2278,22.3735,8.64
2014-04-17,105.77,4478.2724,22.4138,8.6556
2014-04-21,105.62,4471.9214,22.382,8.6433
