Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,139.77,43640.1327,21.0593,2.489
2014-01-03,140.05,43727.5566,21.1014,2.494
2014-01-06,138.72,43312.2931,20.901,2.4703
2014-01-07,140.64,43911.7712,21.1903,2.5045
2014-01-08,140.37,43827.4696,21.1497,2.4997
2014-01-09,141.51,44183.4097,21.3214,2.52
2014-01-10,142.63,44533.1053,21.4902,2.54
2014-01-13,140.49,43864.937,21.1677,2.5019
2014-01-14,142.7,44554.9613,21.5007,2.5412
2014-01-15,142.55,44508.127,21.4781,2.5385
2014-01-16,141.81,44277.0782,21.3666,2.5254
2014-01-17,140.51,43871.1816,21.1707,2.5022
2014-01-21,142.15,44383.2358,21.4178,2.5314
2014-01-22,142.3,44430.07,21.4404,2.5341
2014-01-23,140.24,43786.88,21.1301,2.4974
2014-01-24,134.58,42019.6685,20.2773,2.3966
2014-01-27,131.95,41198.5083,19.881,2.3498
2014-01-28,134.34,41944.7337,20.2411,2.3923
2014-01-29,131.85,41167.2855,19.8659,2.348
2014-01-30,133.77,41766.7636,20.1552,2.3822
2014-01-31,133.32,41626.2609,20.0874,2.3742
2014-02-03,129.44,40414.8156,19.5028,2.3051
2014-02-04,130.42,40720.7992,19.6505,2.3225
2014-02-05,129.97,40580.2965,19.5827,2.3145
2014-02-06,130.84,40851.9351,19.7138,2.33
2014-02-07,131.76,41139.185,19.8524,2.3464
2014-02-10,129.88,40552.196,19.5691,2.3129
2014-02-11,133.15,41573.1822,20.0618,2.3711
2014-02-12,133.0,41526.3479,20.0392,2.3685
2014-02-13,133.07,41548.2039,20.0498,2.3697
2014-02-14,133.92,41813.5979,20.1778,2.3849
2014-02-18,132.79,41460.78,20.0076,2.3647
2014-02-19,131.35,41011.1714,19.7906,2.3391
2014-02-20,132.99,41523.2256,20.0377,2.3683
2014-02-21,134.9,42119.5815,20.3255,2.4023
2014-02-24,134.87,42110.2146,20.321,2.4018
2014-02-25,132.84,41476.3914,20.0151,2.3656
2014-02-26,132.37,41329.6442,19.9443,2.3572
2014-02-27,133.55,41698.0734,20.1221,2.3783
2014-02-28,133.33,41629.3832,20.0727,2.5976
2014-03-03,133.38,41644.9946,20.0802,2.5986
2014-03-04,137.09,42803.3612,20.6388,2.6709
2014-03-05,136.91,42747.1601,20.6117,2.6674
2014-03-06,137.29,42865.8068,20.6689,2.6748
2014-03-07,137.43,42909.5188,20.69,2.6775
2014-03-10,137.86,43043.7769,20.7547,2.6859
2014-03-11,137.29,42865.8068,20.6689,2.6748
2014-03-12,137.79,43021.9209,20.7442,2.6845
2014-03-13,136.68,42675.3476,20.5771,2.6629
2014-03-14,136.76,42700.3259,20.5891,2.6645
2014-03-17,137.58,42956.353,20.7125,2.6805
2014-03-18,138.57,43265.4589,20.8616,2.6997
2014-03-19,138.38,41052.563,20.833,2.696
2014-03-20,136.5,40494.832,20.55,2.6594
2014-03-21,136.79,40423.6825,20.5936,2.6651
2014-03-24,134.95,39879.9324,20.3166,2.6292
2014-03-25,134.16,39646.4745,20.1977,2.6138
2014-03-26,132.12,39043.6211,19.8905,2.5741
2014-03-27,132.11,39040.666,19.889,2.5739
2014-03-28,132.01,39011.1143,19.874,2.5719
2014-03-31,132.56,39173.6483,19.9568,2.5826
2014-04-01,134.11,39631.6987,20.1901,2.6128
2014-04-02,134.76,39823.7843,20.288,2.6255
2014-04-03,135.3,39983.3632,20.3693,2.636
2014-04-04,134.35,39702.6226,20.2263,2.6175
2014-04-07,132.98,39297.7652,20.02,2.5908
2014-04-08,132.91,39277.0791,20.0095,2.5895
2014-04-09,134.0,39599.1919,20.1736,2.6107
2014-04-10,132.06,39025.8902,19.8815,2.5729
2014-04-11,131.23,38780.6116,19.7566,2.5567
2014-04-14,132.0,39008.1592,19.8725,2.5717
2014-04-15,132.17,39058.397,19.8981,2.575
2014-04-16,133.75,39525.3128,20.1359,2.6058
2014-04-17,135.55,40057.2422,20.4069,2.6409
2014-04-21,136.27,40270.014,20.5153,2.6549
2014-04-22,137.03,40494.6065,20.6297,2.6697
2014-04-23,136.33,40287.745,20.5244,2.6561
2014-04-24,136.08,40213.8659,20.4867,2.6512
2014-04-25,134.21,39661.2503,20.2052,2.6148
2014-04-28,134.53,39755.8156,20.2534,2.621
2014-04-29,135.47,40033.6009,20.3949,2.6393
2014-04-30,136.25,40264.1037,20.5123,2.6545
2014-05-01,136.24,40261.1485,20.5108,2.6543
2014-05-02,136.95,40470.9651,20.6177,2.6682
2014-05-05,135.85,40145.8972,20.4521,2.6467
2014-05-06,135.49,40039.5113,20.3979,2.6397
2014-05-07,138.54,40940.8362,20.8571,2.6992
2014-05-08,136.7,40397.0861,20.5801,2.6633
2014-05-09,137.52,40639.4095,20.7035,2.6793
2014-05-12,140.15,41416.6175,21.0995,2.7305
2014-05-13,140.14,41413.6623,21.098,2.7303
2014-05-14,139.33,41174.2941,20.976,2.7145
2014-05-15,138.68,40982.2084,20.8781,2.7019
2014-05-16,138.23,40849.2261,20.8104,2.6931
2014-05-19,139.0,41076.7737,20.9263,2.7081
2014-05-20,137.46,40621.6785,20.6945,2.6781
2014-05-21,139.05,41091.5495,20.9339,2.7091
2014-05-22,139.33,41174.2941,20.976,2.7145
2014-05-23,141.5,41815.5646,21.3027,2.7568
2014-05-27,142.24,42034.2467,21.4141,2.7712
2014-05-28,143.47,42397.7318,21.5993,2.7952
2014-05-29,144.53,42710.9791,21.7589,2.8159
2014-05-30,144.16,42601.6381,20.5874,2.7117
2014-06-02,144.25,42628.2346,20.6002,2.7134
2014-06-03,142.95,42244.0633,20.4146,2.6889
2014-06-04,143.0,42258.8391,20.4217,2.6899
2014-06-05,142.65,42155.4084,20.3717,2.6833
2014-06-06,142.7,42170.1842,20.3789,2.6842
2014-06-09,143.65,42450.9247,20.5145,2.7021
2014-06-10,143.79,42492.297,20.5345,2.7047
2014-06-11,142.75,42184.96,20.386,2.6852
2014-06-12,139.21,41138.8321,19.8805,2.6186
2014-06-13,140.27,41452.0795,20.0318,2.6385
2014-06-16,139.45,41209.756,19.9147,2.6231
2014-06-17,140.31,41463.9001,20.0376,2.6393
2014-06-18,148.95,44017.1614,21.2714,2.8018
2014-06-19,147.6,42414.7753,21.0786,2.7764
2014-06-20,148.12,42564.204,21.1529,2.7862
2014-06-23,148.88,42782.5999,21.2614,2.8005
2014-06-24,149.68,43012.4903,21.3757,2.8155
2014-06-25,151.42,43512.5018,21.6242,2.8482
2014-06-26,151.5,43535.4909,21.6356,2.8497
2014-06-27,151.41,43509.6282,21.6227,2.848
2014-06-30,151.38,43501.0073,21.6185,2.8475
2014-07-01,152.38,43788.3703,21.7613,2.8663
2014-07-02,152.27,43756.7604,21.7456,2.8642
2014-07-03,153.61,44141.8268,21.9369,2.8894
2014-07-07,151.68,43587.2162,21.6613,2.8531
2014-07-08,151.17,43440.6611,21.5885,2.8435
2014-07-09,151.32,43483.7655,21.6099,2.8464
2014-07-10,150.26,43179.1608,21.4585,2.8264
2014-07-11,150.64,43288.3587,21.5128,2.8336
2014-07-14,151.07,43118.8763,21.5742,2.8417
2014-07-15,151.9,43355.7775,21.6927,2.8573
2014-07-16,154.38,44063.6269,22.0469,2.9039
2014-07-17,151.9,43355.7775,21.6927,2.8573
2014-07-18,152.87,43632.638,21.8312,2.8755
2014-07-21,152.35,43484.2179,21.757,2.8657
2014-07-22,153.29,43752.5157,21.8912,2.8834
2014-07-23,152.68,43578.4076,21.8041,2.8719
2014-07-24,152.5,43527.0314,21.7784,2.8686
2014-07-25,150.86,43058.9374,21.5442,2.8377
2014-07-28,149.53,42679.3246,21.3543,2.8127
2014-07-29,147.14,41997.1633,21.0129,2.7677
2014-07-30,149.36,42630.8027,21.33,2.8095
2014-07-31,146.88,41922.9533,20.9758,2.7628
2014-08-01,146.75,41885.8483,20.9572,2.7604
2014-08-04,148.83,42479.5284,21.2543,2.7995
2014-08-05,146.84,41911.5363,20.9701,2.7621
2014-08-06,145.47,41520.5066,20.7745,2.7363
2014-08-07,146.02,41677.4893,20.853,2.7467
2014-08-08,147.85,42199.8137,21.1143,2.7811
2014-08-11,148.28,42322.5457,21.1757,2.7892
