Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,32.38,13542.2729,9.5074,1.0743
2014-01-03,32.01,13387.528,9.3988,1.062
2014-01-06,31.84,13316.429,9.3488,1.0564
2014-01-07,31.89,13337.3405,9.3635,1.0581
2014-01-08,31.86,13324.7936,9.3547,1.0571
2014-01-09,31.8,13299.6998,9.3371,1.0551
2014-01-10,32.4,13550.6375,9.5133,1.075
2014-01-13,31.96,13366.6165,9.3841,1.0604
2014-01-14,31.86,13324.7936,9.3547,1.0571
2014-01-15,31.67,13245.33,9.2989,1.0508
2014-01-16,32.49,13588.2782,9.5397,1.078
2014-01-17,32.61,13638.4657,9.5749,1.082
2014-01-21,32.15,13446.0801,9.4399,1.0667
2014-01-22,31.13,13019.486,9.1404,1.0328
2014-01-23,30.97,12952.5693,9.0934,1.0275
2014-01-24,31.07,12994.3922,9.1228,1.0309
2014-01-27,30.88,12914.9286,9.067,1.0246
2014-01-28,30.55,12776.9129,8.9701,1.0136
2014-01-29,30.58,12789.4597,8.9789,1.0146
2014-01-30,31.16,13032.0329,9.1492,1.0338
2014-01-31,31.49,13170.0486,9.2461,1.0448
2014-02-03,31.25,13069.6735,9.1756,1.0368
2014-02-04,30.94,12940.0224,9.0846,1.0265
2014-02-05,30.22,12638.8971,8.8732,1.0027
2014-02-06,30.46,12739.2722,8.9437,1.0106
2014-02-07,30.76,12864.7411,9.0317,1.0206
2014-02-10,30.96,12948.387,9.0905,1.0272
2014-02-11,31.32,13098.9496,9.1962,1.0392
2014-02-12,31.07,12994.3922,9.1228,1.0309
2014-02-13,31.6,13216.0539,9.2784,1.0484
2014-02-14,31.75,13278.7883,9.3224,1.0534
2014-02-18,31.62,13224.4185,9.2843,1.0491
2014-02-19,31.73,13270.4237,9.3166,1.0528
2014-02-20,32.26,13492.0854,9.4722,1.0703
2014-02-21,31.7,13257.8768,9.3077,1.0518
2014-02-24,31.7,13257.8768,9.3077,1.0518
2014-02-25,30.8,12881.4702,9.0435,1.0219
2014-02-26,31.05,12986.0276,9.1169,1.0302
2014-02-27,30.79,12892.8229,9.0405,1.0216
2014-02-28,30.78,12888.6356,9.0376,1.0212
2014-03-03,30.52,12779.7647,8.9613,1.0126
2014-03-04,30.62,12821.6382,8.9906,1.0159
2014-03-05,31.06,13005.8812,9.1198,1.0305
2014-03-06,30.84,12913.7597,9.0552,1.0232
2014-03-07,30.67,12842.5749,9.0053,1.0176
2014-03-10,30.94,12955.6331,9.0846,1.0265
2014-03-11,30.78,12888.6356,9.0376,1.0212
2014-03-12,31.0,12980.7571,9.1022,1.0285
2014-03-13,31.42,13156.6254,9.2255,1.0425
2014-03-14,31.4,13148.2508,9.2197,1.0418
2014-03-17,31.89,13353.4305,9.3635,1.0581
2014-03-18,31.93,13370.1798,9.3753,1.0594
2014-03-19,31.72,13282.2457,9.3136,1.0524
2014-03-20,31.84,13332.4938,9.3488,1.0564
2014-03-21,32.85,13755.4152,9.6454,1.0899
2014-03-24,33.4,13985.719,9.8069,1.1082
2014-03-25,33.13,13872.6607,9.7276,1.0992
2014-03-26,33.16,13885.2228,9.7364,1.1002
2014-03-27,33.55,14048.5291,9.8509,1.1131
2014-03-28,34.08,14270.4581,10.0066,1.1307
2014-03-31,34.03,14249.5214,12.1587,1.1337
2014-04-01,33.52,14072.0669,11.9765,1.1167
2014-04-02,33.43,14034.2839,11.9443,1.1137
2014-04-03,33.83,14202.2084,12.0872,1.1271
2014-04-04,34.03,14286.1706,12.1587,1.1337
2014-04-07,33.63,14118.2461,12.0158,1.1204
2014-04-08,34.21,14361.7366,12.223,1.1397
2014-04-09,33.75,14168.6235,12.0587,1.1244
2014-04-10,33.49,14059.4726,11.9658,1.1157
2014-04-11,33.15,13916.7368,11.8443,1.1044
2014-04-14,33.31,13983.9066,11.9015,1.1097
2014-04-15,34.03,14286.1706,12.1587,1.1337
2014-04-16,34.15,14336.5479,12.2016,1.1377
2014-04-17,33.61,14109.8499,12.0086,1.1197
2014-04-21,33.48,14055.2745,11.9622,1.1154
2014-04-22,33.44,14038.482,11.9479,1.1141
2014-04-23,33.29,13975.5104,11.8943,1.1091
2014-04-24,34.18,14349.1422,12.2123,1.1387
2014-04-25,34.65,14546.4534,12.3802,1.1544
2014-04-28,34.33,14412.1139,12.2659,1.1437
2014-04-29,34.26,14382.7271,12.2409,1.1414
2014-04-30,33.75,14168.6235,12.0587,1.1244
2014-05-01,33.88,14223.1989,12.1051,1.1287
2014-05-02,33.34,13996.5009,11.9122,1.1107
2014-05-05,33.42,14030.0858,11.9408,1.1134
2014-05-06,32.65,13710.0188,11.6656,1.0877
2014-05-07,33.89,14230.7056,12.1087,1.129
2014-05-08,33.63,14121.5293,12.0158,1.1204
2014-05-09,33.51,14071.1402,11.9729,1.1164
2014-05-12,32.93,13827.5932,11.7657,1.0971
2014-05-13,32.49,13642.8334,11.6085,1.0824
2014-05-14,32.35,13584.0462,11.5585,1.0777
2014-05-15,32.26,13546.2544,11.5263,1.0747
2014-05-16,32.24,13537.8562,11.5191,1.0741
2014-05-19,31.35,13164.1375,11.2012,1.0444
2014-05-20,31.24,13117.9475,11.1619,1.0408
2014-05-21,31.54,13243.9201,11.269,1.0508
2014-05-22,31.55,13248.1192,11.2726,1.0511
2014-05-23,31.48,13218.7256,11.2476,1.0488
2014-05-27,33.23,13953.5658,11.8729,1.1071
2014-05-28,33.64,14125.7284,12.0194,1.1207
2014-05-29,33.48,14058.543,11.9622,1.1154
2014-05-30,33.82,14201.3119,12.0837,1.1267
2014-06-02,33.55,14087.9366,11.9872,1.1177
2014-06-03,34.51,14491.0489,12.3302,1.1497
