Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,88.89,6898.6322,25.216,4.6485
2014-01-03,88.03,6831.8888,24.972,4.6035
2014-01-06,87.78,6812.4866,24.9011,4.5904
2014-01-07,89.64,6956.8387,25.4288,4.6877
2014-01-08,89.37,6935.8844,25.3522,4.6736
2014-01-09,88.06,6834.2171,24.9805,4.6051
2014-01-10,88.52,6869.917,25.111,4.6291
2014-01-13,92.01,7140.7712,26.1011,4.8116
2014-01-14,94.52,7335.5689,26.8131,4.9429
2014-01-15,97.5,7566.8427,27.6585,5.0987
2014-01-16,97.75,7586.2448,27.7294,5.1118
2014-01-17,96.92,7521.8296,27.4939,5.0684
2014-01-21,98.2,7621.1687,27.857,5.1353
2014-01-22,97.48,7412.3994,27.6528,5.0977
2014-01-23,102.49,7793.3608,29.074,5.3597
2014-01-24,104.91,7977.3781,29.7605,5.4862
2014-01-27,106.5,8098.282,30.2115,5.5694
2014-01-28,109.74,8344.6523,31.1307,5.7388
2014-01-29,107.48,8172.8014,30.4895,5.6206
2014-01-30,109.95,8360.6207,31.1902,5.7498
2014-01-31,107.02,8137.8229,30.3591,5.5966
2014-02-03,104.93,7978.8989,29.7662,5.4873
2014-02-04,106.47,8096.0008,30.203,5.5678
2014-02-05,103.95,7904.3795,29.4882,5.436
2014-02-06,106.07,8002.2828,30.0896,5.5469
2014-02-07,107.28,8093.5693,30.4328,5.6102
2014-02-10,109.5,8261.0537,31.0626,5.7263
2014-02-11,112.26,8469.2775,31.8455,5.8706
2014-02-12,111.55,8415.7127,31.6441,5.8335
2014-02-13,111.74,8430.0469,31.698,5.8434
2014-02-14,111.91,8442.8723,31.7462,5.8523
2014-02-18,112.12,8458.7154,31.8058,5.8633
2014-02-19,109.65,8272.3702,31.1051,5.7341
2014-02-20,110.52,8338.006,31.3519,5.7796
2014-02-21,110.28,8319.8996,31.2838,5.767
2014-02-24,111.91,8442.8723,31.7462,5.8523
2014-02-25,110.22,8315.373,31.2668,5.7639
2014-02-26,113.89,8592.2503,32.3079,5.9558
2014-02-27,114.51,8639.0252,32.4838,5.9883
2014-02-28,112.34,8475.313,31.8682,5.8748
2014-03-03,111.18,8387.7986,31.5391,5.8141
2014-03-04,113.12,8534.1589,32.0895,5.9156
2014-03-05,114.66,8650.3417,32.5263,5.9961
2014-03-06,114.77,8658.6405,32.5575,6.0019
2014-03-07,114.78,8659.3949,32.5604,6.0024
2014-03-10,111.97,8447.3989,31.7633,5.8554
2014-03-11,111.93,8444.3812,31.7519,5.8533
2014-03-12,111.62,8420.9937,31.664,5.8371
2014-03-13,107.5,8110.1669,30.4952,5.6217
2014-03-14,107.47,8107.9036,30.4867,5.6201
2014-03-17,110.37,8326.6895,31.3094,5.7718
2014-03-18,110.78,8357.6213,31.4257,5.7932
2014-03-19,113.46,8559.8096,32.1859,5.9333
2014-03-20,114.09,8607.339,32.3646,5.9663
2014-03-21,112.83,8512.2338,32.0072,5.9004
2014-03-24,107.87,8138.0365,30.6002,5.641
2014-03-25,108.83,8210.4618,30.8725,5.6912
2014-03-26,104.65,7895.11,29.6867,5.4726
2014-03-27,106.31,8020.3454,30.1576,5.5594
2014-03-28,105.14,7932.0771,29.8257,5.4983
2014-03-31,106.63,8044.4872,29.3212,5.6671
2014-04-01,109.66,8273.0795,30.1544,5.8281
2014-04-02,109.23,8240.639,30.0361,5.8053
2014-04-03,106.97,8070.1378,29.4147,5.6852
2014-04-04,104.44,7879.267,28.719,5.5507
2014-04-07,105.35,7947.9201,28.9692,5.5991
