Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,61.57,2128.303,25.8541,3.9845
2014-01-03,61.59,2128.9943,25.8625,3.9858
2014-01-06,61.16,2114.1304,25.682,3.958
2014-01-07,61.15,2131.7858,25.6778,3.9573
2014-01-08,60.93,2124.1163,25.5854,3.9431
2014-01-09,60.99,2126.208,25.6106,3.947
2014-01-10,60.87,2122.0246,25.5602,3.9392
2014-01-13,59.52,2074.9615,24.9933,3.8519
2014-01-14,60.0,2091.695,25.1949,3.8829
2014-01-15,60.2,2098.6673,25.2789,3.8959
2014-01-16,60.0,2091.695,25.1949,3.8829
2014-01-17,60.0,2091.695,25.1949,3.8829
2014-01-21,59.95,2089.9519,25.1739,3.8797
2014-01-22,60.0,2091.695,25.1949,3.8829
2014-01-23,57.71,2011.862,24.2333,3.7347
2014-01-24,56.7,1976.6518,23.8092,3.6694
2014-01-27,55.46,1933.4234,23.2885,3.5891
2014-01-28,55.24,1928.6081,23.1961,3.5749
2014-01-29,53.92,1882.5226,22.6418,3.4895
2014-01-30,54.53,1903.8197,22.8979,3.5289
2014-01-31,54.36,1897.8845,22.8266,3.5179
2014-02-03,52.14,1820.3771,21.8943,3.3743
2014-02-04,52.2,1822.4718,21.9195,3.3781
2014-02-05,51.54,1799.4291,21.6424,3.3354
2014-02-06,51.44,1795.9378,21.6004,3.329
2014-02-07,51.0,1780.5759,21.4156,3.3005
2014-02-10,51.71,1805.3644,21.7138,3.3464
2014-02-11,52.59,1836.088,22.0833,3.4034
2014-02-12,52.77,1842.3724,22.1589,3.415
2014-02-13,53.48,1867.1608,22.457,3.461
2014-02-14,53.41,1864.7169,22.4276,3.4565
2014-02-18,52.97,1849.3551,22.2429,3.428
2014-02-19,52.77,1842.3724,22.1589,3.415
2014-02-20,53.13,1854.9412,22.3101,3.4383
2014-02-21,52.96,1849.0059,22.2387,3.4273
2014-02-24,53.43,1865.4151,22.436,3.4577
2014-02-25,53.1,1853.8938,22.2975,3.4364
2014-02-26,52.82,1844.1181,22.1799,3.4183
2014-02-27,53.15,1855.6394,22.3185,3.4396
2014-02-28,53.73,1875.8891,22.562,3.4772
2014-03-03,53.07,1852.8464,22.2849,3.4344
2014-03-04,53.96,1883.9192,22.6586,3.492
2014-03-05,53.63,1872.3978,22.52,3.4707
2014-03-06,53.41,1864.7169,22.4276,3.4565
2014-03-07,53.65,1873.0961,22.5284,3.472
2014-03-10,53.12,1854.592,22.3059,3.4377
2014-03-11,53.88,1881.1261,22.625,3.4869
2014-03-12,53.72,1875.54,22.5578,3.4765
2014-03-13,52.66,1838.5319,22.1127,3.4079
2014-03-14,52.72,1840.6267,22.1379,3.4118
2014-03-17,53.29,1860.5273,22.3772,3.4487
2014-03-18,55.0,1920.229,23.0953,3.5593
2014-03-19,54.54,1904.1689,22.9021,3.5296
2014-03-20,54.79,1912.8972,23.0071,3.5458
2014-03-21,54.75,1911.5006,22.9903,3.5432
2014-03-24,54.77,1912.1989,22.9987,3.5445
2014-03-25,54.8,1913.2463,23.0113,3.5464
2014-03-26,54.31,1896.1388,22.8056,3.5147
2014-03-27,54.31,1896.1388,22.8056,3.5147
2014-03-28,54.31,1896.1388,22.8056,3.5147
2014-03-31,55.32,1931.4012,22.4747,3.5517
2014-04-01,56.28,1964.9179,22.8647,3.6133
2014-04-02,55.99,1954.7931,22.7469,3.5947
2014-04-03,55.07,1922.6729,22.3731,3.5356
2014-04-04,53.8,1878.3331,21.8572,3.4541
2014-04-07,53.48,1867.1608,21.7271,3.4335
2014-04-08,53.6,1871.3504,21.7759,3.4412
2014-04-09,54.01,1885.6648,21.9425,3.4676
2014-04-10,53.53,1868.9065,21.7475,3.4367
2014-04-11,51.42,1795.2395,20.8902,3.3013
2014-04-14,51.65,1803.2696,20.9837,3.316
2014-04-15,51.56,1800.1274,20.9471,3.3103
2014-04-16,52.22,1823.1701,21.2152,3.3526
2014-04-17,53.39,1864.0186,21.6906,3.4277
2014-04-21,53.45,1866.1134,21.715,3.4316
2014-04-22,54.18,1891.6001,22.0115,3.4785
2014-04-23,54.35,1897.5353,22.0806,3.4894
2014-04-24,54.25,1894.044,22.04,3.483
2014-04-25,57.41,2004.3699,23.3238,3.6858
2014-04-28,58.26,1996.6942,23.6691,3.7404
2014-04-29,57.34,1965.1639,23.2953,3.6813
2014-04-30,57.2,1960.3658,23.2385,3.6724
2014-05-01,56.56,1938.4316,22.9784,3.6313
2014-05-02,56.9,1950.0841,23.1166,3.6531
2014-05-05,56.43,1933.9762,22.9256,3.6229
2014-05-06,55.59,1905.1877,22.5844,3.569
2014-05-07,56.36,1931.5772,22.8972,3.6184
2014-05-08,55.98,1918.5538,22.7428,3.594
2014-05-09,56.8,1946.6569,23.076,3.6467
2014-05-12,58.27,1997.037,23.6732,3.7411
2014-05-13,56.44,1934.319,22.9297,3.6236
2014-05-14,54.95,1883.2535,22.3244,3.5279
2014-05-15,54.27,1859.9484,22.0481,3.4842
2014-05-16,55.59,1905.1877,22.5844,3.569
2014-05-19,57.13,1957.9667,23.21,3.6679
2014-05-20,56.15,1924.38,22.8119,3.6049
2014-05-21,56.58,1939.1171,22.9866,3.6326
2014-05-22,56.58,1939.1171,22.9866,3.6326
2014-05-23,57.16,1958.9949,23.2222,3.6698
2014-05-27,57.82,1981.6145,23.4903,3.7122
2014-05-28,59.01,2022.3983,23.9738,3.7886
2014-05-29,59.5,2039.1917,24.1729,3.82
2014-05-30,58.9,2018.6284,23.9291,3.7815
2014-06-02,58.48,2004.2341,23.7585,3.7545
2014-06-03,58.03,1988.8116,23.5757,3.7256
2014-06-04,57.54,1972.0183,23.3766,3.6942
2014-06-05,58.12,1991.8961,23.6122,3.7314
2014-06-06,58.6,2008.3468,23.8072,3.7622
2014-06-09,59.49,2038.849,24.1688,3.8194
2014-06-10,59.6,2042.6189,24.2135,3.8264
2014-06-11,59.64,2043.9898,24.2297,3.829
2014-06-12,59.3,2032.3373,24.0916,3.8072
2014-06-13,59.54,2040.5626,24.1891,3.8226
2014-06-16,59.8,2049.4733,24.2948,3.8393
2014-06-17,59.87,2051.8724,24.3232,3.8438
2014-06-18,60.3,2066.6094,24.4979,3.8714
2014-06-19,60.54,2074.8347,24.5954,3.8868
2014-06-20,61.43,2105.3369,24.957,3.9439
2014-06-23,61.17,2096.4261,24.8513,3.9272
2014-06-24,61.64,2112.534,25.0423,3.9574
2014-06-25,62.05,2126.5856,25.2089,3.9837
2014-06-26,62.11,2128.6419,25.2332,3.9876
2014-06-27,62.92,2156.4024,25.5623,4.0396
2014-06-30,63.76,2185.1909,25.411,4.3718
2014-07-01,64.88,2223.5757,25.8573,4.4486
2014-07-02,64.86,2222.8903,25.8494,4.4472
2014-07-03,64.87,2223.233,25.8534,4.4479
2014-07-07,63.93,2191.0172,25.4787,4.3834
2014-07-08,62.99,2158.8014,25.1041,4.319
2014-07-09,63.42,2173.5384,25.2755,4.3484
2014-07-10,63.23,2167.0267,25.1997,4.3354
2014-07-11,63.29,2169.083,25.2237,4.3395
2014-07-14,63.41,2173.1957,25.2715,4.3478
2014-07-15,63.18,2165.3131,25.1798,4.332
2014-07-16,62.94,2157.0878,25.0842,4.3155
2014-07-17,62.02,2125.5574,24.7175,4.2525
2014-07-18,62.49,2141.6653,24.9048,4.2847
2014-07-21,62.32,2135.8391,24.8371,4.273
2014-07-22,63.03,2160.1723,25.12,4.3217
2014-07-23,63.04,2160.515,25.124,4.3224
2014-07-24,62.8,2152.2897,25.0284,4.3059
2014-07-25,58.51,2005.2623,23.3186,4.0118
2014-07-28,58.15,1869.4461,23.1752,3.9871
2014-07-29,58.56,1882.627,23.3386,4.0152
2014-07-30,58.85,1891.9501,23.4541,4.0351
2014-07-31,57.15,1837.2974,22.7766,3.9185
2014-08-01,55.78,1793.2537,22.2306,3.8246
2014-08-04,56.13,1804.5057,22.3701,3.8486
2014-08-05,54.93,1765.9273,21.8919,3.7663
2014-08-06,55.55,1785.8595,22.139,3.8088
2014-08-07,54.89,1764.6413,21.8759,3.7636
2014-08-08,54.9,1764.9628,21.8799,3.7643
2014-08-11,56.05,1801.9338,22.3382,3.8431
2014-08-12,55.46,1782.9661,22.1031,3.8027
2014-08-13,55.92,1797.7545,22.2864,3.8342
2014-08-14,55.66,1789.3958,22.1828,3.8164
2014-08-15,55.43,1782.0016,22.0911,3.8006
2014-08-18,56.22,1807.3991,22.406,3.8548
2014-08-19,56.06,1802.2553,22.3422,3.8438
2014-08-20,55.66,1789.3958,22.1828,3.8164
2014-08-21,58.45,1879.0907,23.2947,4.0077
2014-08-22,57.1,1835.6899,22.7567,3.9151
