Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,53.0,15481.6885,23.1464,2.3405
2014-01-03,53.15,15525.5046,23.2119,2.3471
2014-01-06,52.85,15437.8724,23.0809,2.3339
2014-01-07,52.95,15467.0831,23.1246,2.3383
2014-01-08,53.0,15481.6885,23.1464,2.3405
2014-01-09,53.02,15487.5307,23.1551,2.3414
2014-01-10,53.0,15481.6885,23.1464,2.3405
2014-01-13,52.04,15201.2655,22.7271,2.2981
2014-01-14,52.44,15318.1084,22.9018,2.3158
2014-01-15,52.4,15306.4241,22.8844,2.314
2014-01-16,52.54,15347.3191,22.9455,2.3202
2014-01-17,52.74,15405.7406,23.0328,2.329
2014-01-21,53.25,15554.7153,23.2556,2.3516
2014-01-22,53.5,15627.7422,23.3648,2.3626
2014-01-23,53.25,15554.7153,23.2556,2.3516
2014-01-24,50.84,14850.7367,22.2031,2.2451
2014-01-27,50.38,14716.3673,22.0022,2.2248
2014-01-28,50.96,14885.7896,22.2555,2.2504
2014-01-29,51.01,14900.3949,22.2773,2.2526
2014-01-30,51.72,15107.7911,22.5874,2.284
2014-01-31,50.7,14809.8416,22.1419,2.239
2014-02-03,48.87,14275.2852,21.3427,2.1581
2014-02-04,50.95,14882.8685,22.2511,2.25
2014-02-05,51.38,15008.4746,22.4389,2.269
2014-02-06,52.48,15329.7927,22.9193,2.3176
2014-02-07,53.71,15689.0847,23.4565,2.3719
2014-02-10,53.03,15490.4517,23.1595,2.3418
2014-02-11,53.12,15516.7414,23.1988,2.3458
2014-02-12,53.55,15642.3475,23.3866,2.3648
2014-02-13,54.07,15794.2434,23.6137,2.3878
2014-02-14,53.86,15732.9008,23.522,2.3785
2014-02-18,54.31,15864.3491,23.7185,2.3984
2014-02-19,53.92,15750.4273,23.5482,2.3811
2014-02-20,54.27,15852.6648,23.701,2.3966
2014-02-21,54.34,15873.1123,23.7316,2.3997
2014-02-24,54.9,16036.6924,23.9762,2.4244
2014-02-25,54.95,16051.2978,23.998,2.4266
2014-02-26,55.16,16112.6403,24.0897,2.4359
2014-02-27,56.02,16363.8526,24.4653,2.4739
2014-02-28,55.61,16164.0916,24.2862,2.4558
2014-03-03,55.23,16053.6374,24.1203,2.439
2014-03-04,56.55,16437.3202,24.6968,2.4973
2014-03-05,55.53,16140.8381,24.2513,2.4522
2014-03-06,55.65,16175.7183,24.3037,2.4575
2014-03-07,55.47,16123.3979,24.2251,2.4496
2014-03-10,55.15,16030.3839,24.0853,2.4355
2014-03-11,54.96,15975.1568,24.0024,2.4271
2014-03-12,54.75,15914.1164,23.9107,2.4178
2014-03-13,53.33,15501.3667,23.2905,2.3551
2014-03-14,52.75,15332.7788,23.0372,2.3295
2014-03-17,53.45,15536.247,23.3429,2.3604
2014-03-18,54.18,15748.4352,23.6617,2.3926
2014-03-19,53.88,15661.2346,23.5307,2.3794
2014-03-20,54.29,15780.4088,23.7098,2.3975
2014-03-21,54.17,15745.5285,23.6574,2.3922
2014-03-24,53.15,15449.0463,23.2119,2.3471
2014-03-25,53.07,15425.7928,23.177,2.3436
2014-03-26,52.51,15263.0183,22.9324,2.3189
2014-03-27,52.33,15210.6979,22.8538,2.3109
2014-03-28,52.89,15373.4724,23.0983,2.3357
2014-03-31,53.45,15536.247,22.5474,2.3543
2014-04-01,53.92,15672.8613,22.7456,2.375
2014-04-02,54.16,15742.6218,22.8469,2.3855
2014-04-03,54.16,15742.6218,22.8469,2.3855
2014-04-04,53.17,15454.8597,22.4292,2.3419
2014-04-07,52.91,15379.2858,22.3196,2.3305
2014-04-08,52.68,15312.432,22.2225,2.3203
2014-04-09,53.01,15408.3527,22.3617,2.3349
2014-04-10,51.81,15059.5502,21.8555,2.282
2014-04-11,51.28,14905.4957,21.632,2.2587
2014-04-14,51.68,15021.7632,21.8007,2.2763
2014-04-15,52.15,15158.3775,21.999,2.297
2014-04-16,52.5,15260.1116,22.1466,2.3124
2014-04-17,52.68,15312.432,22.2225,2.3203
2014-04-21,52.51,15105.6085,22.1508,2.3128
2014-04-22,52.51,15105.6085,22.1508,2.3128
2014-04-23,53.3,15332.8686,22.4841,2.3476
2014-04-24,52.55,15117.1153,22.1677,2.3146
2014-04-25,51.8,14901.362,21.8513,2.2816
2014-04-28,51.9,14930.1291,21.8935,2.286
2014-04-29,52.8,15189.0331,22.2732,2.3256
2014-04-30,53.43,15370.2659,22.5389,2.3534
2014-05-01,53.61,15422.0467,22.6149,2.3613
2014-05-02,54.36,15637.8,22.9312,2.3943
2014-05-05,54.49,15675.1972,22.9861,2.4001
2014-05-06,53.71,15450.8138,22.657,2.3657
2014-05-07,53.72,15460.4694,22.6613,2.3661
2014-05-08,53.48,15391.3981,22.56,2.3556
2014-05-09,53.75,15469.1034,22.6739,2.3675
2014-05-12,54.91,15802.9482,23.1632,2.4186
2014-05-13,54.67,15733.8768,23.062,2.408
2014-05-14,54.29,15624.5139,22.9017,2.3912
2014-05-15,53.8,15483.4932,22.695,2.3697
2014-05-16,53.4,15368.3743,22.5263,2.352
2014-05-19,53.78,15477.7373,22.6866,2.3688
2014-05-20,53.24,15322.3267,22.4588,2.345
2014-05-21,53.23,15319.4488,22.4546,2.3446
2014-05-22,53.13,15290.669,22.4124,2.3402
2014-05-23,53.38,15362.6184,22.5178,2.3512
2014-05-27,53.64,15437.4457,22.6275,2.3626
2014-05-28,53.94,15523.7848,22.7541,2.3758
2014-05-29,54.06,15558.3205,22.8047,2.3811
2014-05-30,54.15,15584.2223,22.8426,2.3851
2014-06-02,54.15,15584.2223,22.8426,2.3851
2014-06-03,54.0,15541.0527,22.7794,2.3785
2014-06-04,54.19,15595.7342,22.8595,2.3868
2014-06-05,54.55,15699.3412,23.0114,2.4027
2014-06-06,55.07,15848.9958,23.2307,2.4256
2014-06-09,55.15,15872.0195,23.2645,2.4291
2014-06-10,55.12,15863.3856,23.2518,2.4278
2014-06-11,54.43,15664.8055,22.9608,2.3974
2014-06-12,53.66,15443.2016,22.6359,2.3635
2014-06-13,53.85,15497.8831,22.7161,2.3719
2014-06-16,53.66,15443.2016,22.6359,2.3635
2014-06-17,54.08,15564.0765,22.8131,2.382
2014-06-18,53.96,15529.5408,22.7625,2.3767
2014-06-19,54.2,15598.6121,22.8637,2.3873
2014-06-20,54.44,15667.6835,22.965,2.3979
2014-06-23,54.6,15713.731,23.0325,2.4049
2014-06-24,54.56,15702.2191,23.0156,2.4031
2014-06-25,55.29,15912.3112,23.3235,2.4353
2014-06-26,54.67,15733.8768,23.062,2.408
2014-06-27,54.81,15774.1685,23.1211,2.4142
2014-06-30,54.74,15754.0227,22.6521,2.3945
2014-07-01,54.92,15805.8262,22.7266,2.4024
2014-07-02,54.93,15808.7041,22.7308,2.4028
2014-07-03,55.44,15955.4807,22.9418,2.4251
2014-07-07,55.22,15892.1653,22.8508,2.4155
2014-07-08,55.1,15857.6297,22.8011,2.4103
2014-07-09,55.21,15889.2874,22.8466,2.4151
2014-07-10,55.1,15857.6297,22.8011,2.4103
2014-07-11,55.59,15998.6503,23.0039,2.4317
2014-07-14,56.15,16159.8168,23.2356,2.4562
2014-07-15,56.52,16266.3018,23.3887,2.4724
2014-07-16,56.77,16338.2511,23.4922,2.4833
2014-07-17,56.22,16179.9626,23.2646,2.4593
2014-07-18,56.91,16378.5427,23.5501,2.4894
2014-07-21,56.53,16269.1798,23.3929,2.4728
2014-07-22,56.9,16375.6648,23.546,2.489
2014-07-23,56.58,16283.5696,23.4135,2.475
2014-07-24,56.58,16283.5696,23.4135,2.475
2014-07-25,56.59,16286.4476,23.4177,2.4754
2014-07-28,56.56,16277.8137,23.4053,2.4741
2014-07-29,56.35,16217.3763,23.3184,2.465
2014-07-30,57.02,16410.2004,23.5956,2.4943
2014-07-31,56.4,16231.7661,23.3391,2.4671
2014-08-01,56.1,16145.4269,23.2149,2.454
2014-08-04,55.94,16099.3794,23.1487,2.447
2014-08-05,55.42,15949.7248,22.9335,2.4243
2014-08-06,55.02,15834.6059,22.768,2.4068
2014-08-07,54.86,15658.0515,22.7018,2.3998
