Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,20.87,18424.7784,9.6683,1.3169
2014-01-03,20.92,18468.9202,9.6915,1.32
2014-01-06,20.95,18495.4052,9.7054,1.3219
2014-01-07,21.025,18561.6179,9.7401,1.3267
2014-01-08,21.13,18654.3156,9.7888,1.3333
2014-01-09,21.32,18822.0544,9.8768,1.3453
2014-01-10,21.53,19007.4498,9.9741,1.3585
2014-01-13,21.25,18760.2559,9.8444,1.3409
2014-01-14,21.36,18857.3678,9.8953,1.3478
2014-01-15,21.57,19042.7633,9.9926,1.361
2014-01-16,21.37,18866.1962,9.8999,1.3484
2014-01-17,21.55,19025.1066,9.9833,1.3598
2014-01-21,21.82,19263.4722,10.1084,1.3768
2014-01-22,21.92,19351.7557,10.1547,1.3831
2014-01-23,21.52,18998.6215,9.9694,1.3579
2014-01-24,21.32,18235.1246,9.8768,1.3453
2014-01-27,21.13,18072.6164,9.7888,1.3333
2014-01-28,21.3,18218.0184,9.8675,1.344
2014-01-29,20.95,17918.6613,9.7054,1.3219
2014-01-30,21.24,18166.7001,9.8397,1.3402
2014-01-31,21.02,17978.5328,9.7378,1.3263
2014-02-03,20.5,17533.7736,9.4969,1.2935
2014-02-04,20.59,17610.7512,9.5386,1.2992
2014-02-05,20.65,17662.0695,9.5664,1.303
2014-02-06,21.08,18029.8511,9.7656,1.3301
2014-02-07,21.1,18046.9572,9.7749,1.3314
2014-02-10,21.27,18192.3593,9.8536,1.3421
2014-02-11,21.37,18277.8899,9.8999,1.3484
2014-02-12,21.36,18269.3368,9.8953,1.3478
2014-02-13,21.54,18423.2919,9.9787,1.3592
2014-02-14,21.63,18500.2694,10.0204,1.3648
2014-02-18,21.66,18525.9286,10.0343,1.3667
2014-02-19,21.31,18226.5715,9.8722,1.3446
2014-02-20,21.34,18252.2307,9.8861,1.3465
2014-02-21,21.44,18337.7613,9.9324,1.3528
2014-02-24,21.61,18483.1633,10.0111,1.3636
2014-02-25,21.61,18483.1633,10.0111,1.3636
2014-02-26,21.66,18525.9286,10.0343,1.3667
2014-02-27,21.72,18577.247,10.0621,1.3705
2014-02-28,21.695,18555.8643,10.0505,1.3689
2014-03-03,21.52,18406.1858,9.9694,1.3579
2014-03-04,21.96,18782.5204,10.1733,1.3857
2014-03-05,22.2,18987.7939,10.2845,1.4008
2014-03-06,22.3,18989.445,10.3308,1.4071
2014-03-07,22.63,19270.4547,10.4837,1.4279
2014-03-10,22.7,19330.0628,10.5161,1.4323
2014-03-11,22.51,19168.2693,10.4281,1.4204
2014-03-12,22.53,19185.3002,10.4373,1.4216
2014-03-13,22.43,19100.1458,10.391,1.4153
2014-03-14,22.34,19023.5067,10.3493,1.4096
2014-03-17,22.6,19244.9083,10.4698,1.426
2014-03-18,22.78,19398.1864,10.5532,1.4374
2014-03-19,22.83,19440.7636,10.5763,1.4405
2014-03-20,23.36,19892.0822,10.8218,1.474
2014-03-21,23.39,19917.6286,10.8357,1.4759
2014-03-24,23.38,19909.1131,10.8311,1.4753
2014-03-25,23.34,19875.0514,10.8126,1.4727
2014-03-26,23.26,19806.9278,10.7755,1.4677
2014-03-27,22.55,19202.3311,10.4466,1.4229
2014-03-28,22.72,19347.0937,10.5254,1.4336
2014-03-31,22.955,19547.2067,10.9973,1.4107
2014-04-01,23.08,19653.6498,11.0572,1.4184
2014-04-02,23.06,19636.6189,11.0476,1.4171
2014-04-03,23.19,19747.3197,11.1099,1.4251
2014-04-04,22.92,19517.4026,10.9806,1.4085
2014-04-07,22.51,19168.2693,10.7841,1.3833
2014-04-08,22.45,19117.1766,10.7554,1.3796
2014-04-09,22.61,19253.4238,10.832,1.3895
2014-04-10,21.8,18563.6726,10.444,1.3397
2014-04-11,21.56,18359.3019,10.329,1.3249
2014-04-14,21.6,18393.3637,10.3482,1.3274
2014-04-15,21.63,18418.9101,10.3625,1.3292
2014-04-16,21.85,18606.2499,10.4679,1.3428
2014-04-17,20.95,17839.8597,10.0368,1.2875
2014-04-21,20.72,17644.0045,9.9266,1.2733
2014-04-22,21.0,17882.437,10.0607,1.2905
2014-04-23,21.15,18010.1686,10.1326,1.2997
2014-04-24,21.03,17907.9833,10.0751,1.2924
2014-04-25,20.75,17669.5508,9.9409,1.2752
2014-04-28,20.51,17383.6396,9.826,1.2604
2014-04-29,20.48,17358.2125,9.8116,1.2586
2014-04-30,20.61,17468.3965,9.8739,1.2666
