Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,57.44,5711.8394,11.5625,1.2693
2014-01-03,56.74,5642.2314,11.4216,1.2538
2014-01-06,51.26,5097.2996,10.3185,1.1327
2014-01-07,52.49,5219.6109,10.5661,1.1599
2014-01-08,51.68,5139.0645,10.403,1.142
2014-01-09,52.11,5181.8237,10.4896,1.1515
2014-01-10,51.97,5167.9021,10.4614,1.1484
2014-01-13,49.86,4958.0835,10.0367,1.1018
2014-01-14,51.05,5076.4172,10.2762,1.1281
2014-01-15,51.99,5169.8909,10.4654,1.1488
2014-01-16,52.2,5190.7733,10.5077,1.1535
2014-01-17,51.88,5158.9525,10.4433,1.1464
2014-01-21,51.81,5151.9917,10.4292,1.1449
2014-01-22,52.04,5174.8629,10.4755,1.1499
2014-01-23,50.44,5015.7587,10.1534,1.1146
2014-01-24,48.67,4839.7497,9.7971,1.0755
2014-01-27,48.84,4856.6546,9.8314,1.0792
2014-01-28,50.36,5007.8035,10.1373,1.1128
2014-01-29,49.7,4942.1731,10.0045,1.0982
2014-01-30,51.47,5118.182,10.3608,1.1374
2014-01-31,50.58,5029.6803,10.1816,1.1177
2014-02-03,48.35,4807.9289,9.7327,1.0684
2014-02-04,49.11,4883.5034,9.8857,1.0852
2014-02-05,47.73,4746.2761,9.6079,1.0547
2014-02-06,48.2,4793.0129,9.7025,1.0651
2014-02-07,49.83,4955.1003,10.0306,1.1011
2014-02-10,51.1,5081.3892,10.2863,1.1292
2014-02-11,51.46,5117.1876,10.3588,1.1371
2014-02-12,51.579,5129.021,10.3827,1.1398
2014-02-13,52.85,5255.4094,10.6386,1.1678
2014-02-14,53.17,5287.2302,10.703,1.1749
2014-02-18,56.86,5654.1642,11.4458,1.2565
2014-02-19,55.97,5565.6625,11.2666,1.2368
2014-02-20,56.88,5656.153,11.4498,1.2569
2014-02-21,55.93,5561.6849,11.2586,1.2359
2014-02-24,57.75,5742.6659,11.6249,1.2761
2014-02-25,58.03,5770.5091,11.6813,1.2823
2014-02-26,52.74,5248.3048,10.6164,1.1654
2014-02-27,57.19,5691.1367,11.5122,1.2637
2014-02-28,57.07,5679.1952,11.488,1.2611
2014-03-03,55.96,5568.736,11.2646,1.2366
2014-03-04,57.71,5742.8834,11.6169,1.2752
2014-03-05,58.15,5786.669,11.7054,1.285
2014-03-06,58.24,5795.6252,11.7236,1.2869
2014-03-07,56.11,5583.6629,11.2948,1.2399
2014-03-10,54.84,5457.2817,11.0391,1.2118
2014-03-11,53.48,5321.9442,10.7654,1.1818
2014-03-12,53.7,5343.8371,10.8097,1.1866
2014-03-13,53.03,5277.1635,10.6748,1.1718
2014-03-14,54.03,5376.6763,10.8761,1.1939
2014-03-17,56.52,5624.4631,11.3773,1.2489
2014-03-18,57.56,5727.9565,11.5867,1.2719
2014-03-19,69.4,6906.1879,13.97,1.5336
2014-03-20,70.48,7013.6618,14.1874,1.5574
2014-03-21,73.37,7301.2537,14.7692,1.6213
2014-03-24,73.87,7351.0101,14.8698,1.6323
2014-03-25,72.08,7172.8822,14.5095,1.5928
2014-03-26,68.49,6815.6313,13.7869,1.5134
2014-03-27,69.75,6941.0174,14.0405,1.5413
2014-03-28,68.64,6830.5582,13.817,1.5168
2014-03-31,69.79,6944.9979,13.1844,1.5077
2014-04-01,70.89,7054.462,13.3922,1.5314
2014-04-02,71.93,7157.9553,13.5887,1.5539
2014-04-03,68.46,6812.6459,12.9331,1.4789
2014-04-04,69.72,6938.032,13.1712,1.5062
2014-04-07,68.0,6766.87,12.8462,1.469
2014-04-08,72.77,7241.5461,13.7474,1.572
2014-04-09,73.34,7340.9825,13.855,1.5844
2014-04-10,69.63,6969.6293,13.1542,1.5042
2014-04-11,67.59,6765.4351,12.7688,1.4601
2014-04-14,68.3,6836.5027,12.9029,1.4755
2014-04-15,66.39,6645.3208,12.5421,1.4342
2014-04-16,67.59,6765.4351,12.7688,1.4601
2014-04-17,67.32,6738.4093,12.7178,1.4543
2014-04-21,69.21,6927.5893,13.0748,1.4951
2014-04-22,71.12,7118.7711,13.4356,1.5364
2014-04-23,70.04,7010.6683,13.2316,1.5131
2014-04-24,70.62,7068.7235,13.3412,1.5256
2014-04-25,68.63,6869.5341,12.9652,1.4826
2014-04-28,65.92,6598.2761,12.4533,1.4241
2014-04-29,66.28,6634.3103,12.5213,1.4318
2014-04-30,67.49,6755.4255,12.7499,1.458
2014-05-01,67.27,6733.4046,12.7083,1.4532
2014-05-02,68.03,6809.4769,12.8519,1.4696
2014-05-05,68.42,6848.5141,12.9256,1.4781
2014-05-06,67.45,6751.4217,12.7423,1.4571
2014-05-07,63.57,6364.9273,12.0093,1.3733
2014-05-08,63.43,6350.9099,11.9829,1.3703
2014-05-09,63.21,6328.8824,11.9413,1.3655
2014-05-12,63.83,6390.9598,12.0585,1.3789
2014-05-13,63.05,6312.8625,11.9111,1.3621
2014-05-14,61.89,6196.7178,11.692,1.337
2014-05-15,60.1,6017.4946,11.3538,1.2983
2014-05-16,59.64,5971.4373,11.2669,1.2884
2014-05-19,59.83,5990.4609,11.3028,1.2925
2014-05-20,58.63,5870.3113,11.0761,1.2666
2014-05-21,60.39,6046.5308,11.4086,1.3046
2014-05-22,60.631,6070.6608,11.4541,1.3098
2014-05-23,60.67,6074.5657,11.4615,1.3107
2014-05-27,61.26,6133.6393,11.5729,1.3234
2014-05-28,61.87,6194.7153,11.6882,1.3366
2014-05-29,63.41,6348.9074,11.9791,1.3698
2014-05-30,61.78,6185.7041,11.6712,1.3346
2014-06-02,62.7,6277.8188,11.845,1.3545
2014-06-03,62.93,6300.8475,11.8884,1.3595
2014-06-04,65.39,6547.1543,12.3532,1.4126
2014-06-05,64.02,6409.9835,12.0943,1.383
2014-06-06,62.88,6295.8413,11.879,1.3584
2014-06-09,62.57,6264.8026,11.8204,1.3517
2014-06-10,62.32,6239.7715,11.7732,1.3463
2014-06-11,63.54,6361.9236,12.0037,1.3727
2014-06-12,63.9,6397.9685,12.0717,1.3804
2014-06-13,64.47,6455.0396,12.1794,1.3927
2014-06-16,66.85,6693.3364,12.629,1.4442
2014-06-17,69.13,6921.6207,13.0597,1.4934
2014-06-18,69.75,6983.698,13.1768,1.5068
2014-06-19,68.27,6835.5134,12.8972,1.4748
2014-06-20,68.9,6898.592,13.0163,1.4884
2014-06-23,70.15,7023.7479,13.2524,1.5154
2014-06-24,68.71,6879.5683,12.9804,1.4843
2014-06-25,70.18,7026.7516,13.2581,1.5161
2014-06-26,71.47,7155.9125,13.5018,1.544
2014-06-27,71.4,7148.9038,13.4885,1.5425
2014-06-30,71.06,7114.8614,14.6451,1.525
2014-07-01,70.69,7077.8152,14.5689,1.5171
2014-07-02,69.845,6993.2098,14.3947,1.4989
2014-07-03,69.5,6958.6668,14.3236,1.4915
2014-07-07,67.72,6780.4449,13.9568,1.4533
2014-07-08,64.39,6447.0296,13.2705,1.3819
2014-07-09,64.42,6450.0333,13.2766,1.3825
2014-07-10,63.67,6374.9398,13.1221,1.3664
2014-07-11,63.43,6350.9099,13.0726,1.3613
2014-07-14,63.27,6334.8899,13.0396,1.3578
2014-07-15,62.95,6302.85,12.9737,1.3509
2014-07-16,63.46,6353.9136,13.0788,1.3619
2014-07-17,61.45,6152.663,12.6645,1.3188
2014-07-18,62.36,6243.7764,12.8521,1.3383
2014-07-21,62.9,6297.8438,12.9634,1.3499
2014-07-22,63.47,6354.9149,13.0809,1.3621
2014-07-23,62.81,6288.8326,12.9448,1.3479
2014-07-24,63.3,6337.8937,13.0458,1.3585
2014-07-25,64.05,6412.9872,13.2004,1.3746
2014-07-28,65.53,6561.1718,13.5054,1.4063
2014-07-29,65.39,6547.1543,13.4766,1.4033
2014-07-30,65.58,6566.178,13.5157,1.4074
2014-07-31,63.11,6318.87,13.0067,1.3544
2014-08-01,62.03,6210.7353,12.7841,1.3312
2014-08-04,63.14,6321.8737,13.0128,1.355
2014-08-05,63.66,6373.9386,13.12,1.3662
2014-08-06,65.604,6573.0746,13.5207,1.4079
2014-08-07,68.17,6830.1704,14.0495,1.463
2014-08-08,67.83,6796.1047,13.9794,1.4557
2014-08-11,69.17,6930.3636,14.2556,1.4844
2014-08-12,69.07,6920.3443,14.235,1.4823
2014-08-13,69.5,6963.4273,14.3236,1.4915
2014-08-14,69.21,6934.3713,14.2638,1.4853
2014-08-15,69.12,6925.3539,14.2453,1.4834
2014-08-18,70.28,7041.578,14.4844,1.5083
2014-08-19,70.16,7029.5549,14.4596,1.5057
