Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,3.804,3109.0125,73.1662,5.2451
2014-01-03,3.854,3149.8776,74.1279,5.3141
2014-01-06,3.848,3144.9738,74.0125,5.3058
2014-01-07,3.966,3241.4153,76.2821,5.4685
2014-01-08,3.968,3243.0499,76.3206,5.4713
2014-01-09,3.894,3182.5696,74.8973,5.3692
2014-01-10,3.912,3197.281,75.2435,5.3941
2014-01-13,3.928,3210.3578,75.5512,5.4161
2014-01-14,4.18,3416.3176,80.3982,5.7636
2014-01-15,4.294,3509.4899,82.5909,5.9208
2014-01-16,4.304,3517.663,82.7832,5.9346
2014-01-17,4.296,3511.1245,82.6294,5.9235
2014-01-21,4.274,3493.1439,82.2062,5.8932
2014-01-22,4.27,3489.8747,82.1293,5.8877
2014-01-23,4.272,3491.5093,82.1678,5.8904
2014-01-24,4.336,3543.8166,83.3987,5.9787
2014-01-27,4.31,3522.5668,82.8986,5.9428
2014-01-28,4.4,3596.1238,84.6297,6.0669
2014-01-29,4.282,3499.6823,82.3601,5.9042
2014-01-30,4.428,3619.0083,85.1683,6.1055
2014-01-31,4.24,3465.3557,81.5523,5.8463
2014-02-03,4.064,3321.5107,78.1671,5.6036
2014-02-04,4.156,3396.7024,79.9366,5.7305
2014-02-05,4.044,3305.1647,77.7824,5.5761
2014-02-06,4.196,3429.3945,80.706,5.7857
2014-02-07,4.302,3516.0284,82.7448,5.9318
2014-02-10,4.298,3512.7592,82.6678,5.9263
2014-02-11,4.324,3534.009,83.1679,5.9621
2014-02-12,4.292,3507.8553,82.5524,5.918
2014-02-13,4.438,3627.1813,85.3606,6.1193
2014-02-14,4.412,3605.9315,84.8605,6.0835
2014-02-18,4.56,3726.892,87.7072,6.2876
2014-02-19,4.424,3615.7391,85.0913,6.1
2014-02-20,4.534,3705.6422,87.2071,6.2517
2014-02-21,4.522,3695.8345,86.9763,6.2352
2014-02-24,4.526,3699.1038,87.0532,6.2407
2014-02-25,4.612,3769.3916,88.7073,6.3593
2014-02-26,4.676,3821.6989,89.9383,6.4475
2014-02-27,4.772,3900.1598,91.7848,6.5799
2014-02-28,4.63,3784.103,89.0535,6.3841
2014-03-03,4.554,3708.17,87.5917,6.2793
2014-03-04,4.7,3827.053,90.3999,6.4806
2014-03-05,4.672,3804.2535,89.8614,6.442
2014-03-06,4.69,3818.9103,90.2076,6.4668
2014-03-07,4.678,3809.1391,89.9768,6.4503
2014-03-10,4.626,3766.7972,88.9766,6.3786
2014-03-11,4.568,3719.5698,87.861,6.2986
2014-03-12,4.624,3765.1687,88.9381,6.3758
2014-03-13,4.52,3680.485,86.9378,6.2324
2014-03-14,4.57,3721.1983,87.8995,6.3013
2014-03-17,4.634,3773.3114,89.1305,6.3896
2014-03-18,4.756,3872.6519,91.477,6.5578
2014-03-19,4.738,3857.9951,91.1308,6.533
2014-03-20,4.704,3830.31,90.4768,6.4861
2014-03-21,4.604,3748.8834,88.5534,6.3482
2014-03-24,4.46,3631.629,85.7837,6.1497
2014-03-25,4.432,3608.8295,85.2452,6.1111
2014-03-26,4.332,3527.4029,83.3218,5.9732
2014-03-27,4.374,3561.602,84.1296,6.0311
2014-03-28,4.362,3551.8308,83.8988,6.0145
2014-03-31,4.406,3587.6586,91.8085,5.8851
2014-04-01,4.54,3696.7703,94.6007,6.0641
2014-04-02,4.556,3709.7986,94.9341,6.0855
2014-04-03,4.498,3662.5711,93.7255,6.008
2014-04-04,4.402,3584.4015,91.7251,5.8798
2014-04-07,4.458,3630.0004,92.892,5.9546
2014-04-08,4.564,3716.3127,95.1008,6.0962
2014-04-09,4.66,3794.4823,97.1011,6.2244
2014-04-10,4.334,3529.0314,90.3082,5.7889
2014-04-11,4.094,3333.6074,85.3073,5.4684
2014-04-14,4.102,3340.1215,85.474,5.4791
2014-04-15,4.152,3380.8349,86.5159,5.5458
2014-04-16,4.308,3507.8605,89.7665,5.7542
2014-04-17,4.328,3524.1458,90.1832,5.7809
2014-04-21,4.36,3550.2023,90.85,5.8237
2014-04-22,4.406,3587.6586,91.8085,5.8851
2014-04-23,4.408,3589.2871,91.8502,5.8878
2014-04-24,4.5858,3734.0637,95.555,6.1253
2014-04-25,4.41,3590.9156,91.8918,5.8905
2014-04-28,4.292,3494.8322,89.4331,5.7328
2014-04-29,4.32,3522.3319,90.0165,5.7702
2014-04-30,4.396,3584.2989,91.6001,5.8718
2014-05-01,4.388,3577.776,91.4334,5.8611
2014-05-02,4.392,3581.0375,91.5168,5.8664
2014-05-05,4.39,3579.4068,91.4751,5.8637
2014-05-06,4.27,3481.5642,88.9746,5.7035
2014-05-07,4.152,3385.3238,86.5159,5.5458
2014-05-08,4.136,3372.2783,86.1825,5.5245
2014-05-09,4.072,3320.096,84.8489,5.439
2014-05-12,4.198,3422.8298,87.4744,5.6073
2014-05-13,4.116,3355.9713,85.7657,5.4978
2014-05-14,4.166,3396.7387,86.8076,5.5645
2014-05-15,4.212,3434.2447,87.7661,5.626
2014-05-16,4.244,3460.3358,88.4329,5.6687
2014-05-19,4.3,3505.9953,89.5998,5.7435
2014-05-20,4.252,3466.8586,88.5996,5.6794
2014-05-21,4.284,3492.9498,89.2664,5.7222
2014-05-22,4.352,3548.3934,90.6833,5.813
2014-05-23,4.386,3576.1152,91.3918,5.8584
2014-05-27,4.432,3613.6212,92.3503,5.9198
2014-05-28,4.458,3634.8203,92.892,5.9546
2014-05-29,4.534,3696.7867,94.4757,6.0561
2014-05-30,4.494,3664.1728,93.6422,6.0027
2014-06-02,4.426,3608.7291,92.2252,5.9118
2014-06-03,4.44,3620.144,92.517,5.9305
2014-06-04,4.51,3677.2183,93.9756,6.024
2014-06-05,4.558,3716.355,94.9757,6.0881
2014-06-06,4.606,3755.4917,95.9759,6.1523
2014-06-09,4.636,3779.9522,96.601,6.1923
2014-06-10,4.658,3797.8898,97.0595,6.2217
2014-06-11,4.756,3877.7939,99.1015,6.3526
2014-06-12,4.686,3820.7195,97.6429,6.2591
2014-06-13,4.724,3851.7028,98.4347,6.3099
2014-06-16,4.834,3941.391,100.7268,6.4568
2014-06-17,4.868,3969.1128,101.4353,6.5022
2014-06-18,4.882,3980.5277,101.727,6.5209
2014-06-19,4.928,4018.0337,102.6855,6.5823
2014-06-20,4.866,3967.4821,101.3936,6.4995
2014-06-23,4.836,3943.0217,100.7685,6.4595
2014-06-24,4.784,3900.6236,99.6849,6.39
2014-06-25,4.902,3996.8347,102.1437,6.5476
2014-06-26,4.88,3978.897,101.6853,6.5182
2014-06-27,4.946,4032.71,103.0606,6.6064
2014-06-30,5.026,4097.9378,105.2998,6.5744
2014-07-01,5.03,4101.1992,105.3836,6.5797
2014-07-02,5.016,4089.7843,105.0903,6.5614
2014-07-03,5.056,4122.3982,105.9283,6.6137
2014-07-07,4.982,4062.0625,104.3779,6.5169
2014-07-08,4.762,3882.686,99.7687,6.2291
2014-07-09,4.847,3951.9905,101.5495,6.3403
2014-07-10,4.818,3928.3454,100.942,6.3024
2014-07-11,4.85,3954.4366,101.6124,6.3442
2014-07-14,4.848,3952.8059,101.5705,6.3416
2014-07-15,4.81,3921.8227,100.7743,6.2919
2014-07-16,4.846,3951.1752,101.5286,6.339
2014-07-17,4.738,3863.1176,99.2659,6.1977
2014-07-18,4.796,3910.4078,100.481,6.2736
2014-07-21,4.792,3907.1464,100.3972,6.2683
2014-07-22,4.862,3964.2207,101.8638,6.3599
2014-07-23,4.806,3918.5613,100.6905,6.2867
2014-07-24,5.19,4231.6548,108.7357,6.789
2014-07-25,5.104,4161.5349,106.9339,6.6765
2014-07-28,5.056,4122.3982,105.9283,6.6137
2014-07-29,5.024,4096.3071,105.2579,6.5718
2014-07-30,5.106,4163.1656,106.9758,6.6791
2014-07-31,4.91,4003.3574,102.8695,6.4227
2014-08-01,4.836,3943.0217,101.3191,6.3259
2014-08-04,4.882,3980.5277,102.2828,6.3861
