Date,Price,Market Cap,PE Ratio,PB Ratio
2016-06-13,27.0869,,10.7991,1.7855
2016-06-14,29.5751,,11.7911,1.9496
2016-06-15,29.6066,,11.8036,1.9516
2016-06-17,31.4964,,12.5571,2.0762
2016-06-22,30.2365,,12.0548,1.9932
2016-06-23,30.5515,,12.1804,2.0139
2016-06-24,28.9767,,11.5525,1.9101
2016-06-27,29.0837,,11.5952,1.9172
2016-06-28,30.2365,,12.0548,1.9932
2016-06-29,30.4948,,12.1577,2.0102
2016-06-30,31.0302,,12.3712,2.0455
2016-07-01,31.2066,,12.5607,4.5467
2016-07-05,30.6145,16735.2991,12.3223,4.4604
2016-07-06,30.079,16442.6035,12.1068,4.3824
2016-07-07,30.0727,16481.6406,12.1043,4.3815
2016-07-08,31.6224,17330.925,12.728,4.6073
2016-07-11,32.2019,17648.5435,12.9613,4.6917
2016-07-12,31.8554,17458.6628,12.8218,4.6412
2016-07-13,31.8869,17475.9247,12.8345,4.6458
2016-07-14,32.4854,17803.9004,13.0754,4.733
2016-07-15,32.2712,17686.5196,12.9892,4.7018
2016-07-18,32.309,17707.2339,13.0044,4.7073
2016-07-19,32.4728,17796.9956,13.0703,4.7312
2016-07-20,31.7105,17379.2582,12.7635,4.6201
2016-07-21,31.6475,17344.7345,12.7381,4.611
2016-07-22,31.1184,17054.7349,12.5252,4.5339
2016-07-25,30.8538,16909.7351,12.4187,4.4953
2016-07-26,31.0428,17013.3064,12.4947,4.5228
2016-07-27,30.816,16889.0209,12.4035,4.4898
2016-07-28,30.646,16795.8068,12.335,4.465
2016-07-29,30.3688,16643.9022,12.2235,4.4246
2016-08-01,30.1105,16502.3548,12.1195,4.387
2016-08-02,29.9215,16414.9117,12.0434,4.3595
2016-08-03,31.0428,17030.0389,12.4947,4.5228
2016-08-04,31.5153,17289.2217,12.6849,4.5917
2016-08-05,31.8617,17479.2891,12.8244,4.6422
2016-08-08,31.5279,17296.1332,12.69,4.5935
2016-08-09,31.7861,17437.8198,12.7939,4.6311
2016-08-10,31.7798,17434.3641,12.7914,4.6302
2016-08-11,33.1027,18160.0759,13.3238,4.823
2016-08-12,33.2035,18215.3683,13.3644,4.8376
2016-08-15,33.8019,18543.6665,13.6053,4.9248
2016-08-16,33.7326,18505.653,13.5774,4.9147
2016-08-17,33.6444,18457.2722,13.5419,4.9019
2016-08-18,33.4869,18370.878,13.4785,4.8789
2016-08-19,32.7058,17942.3624,13.1641,4.7651
2016-08-22,32.2901,17714.2815,12.9968,4.7046
2016-08-23,32.6932,17935.4508,13.159,4.7633
2016-08-24,32.3594,17752.295,13.0247,4.7147
2016-08-25,32.5168,17838.6893,13.088,4.7376
2016-08-26,32.6743,17925.0835,13.1514,4.7606
2016-08-29,33.0145,18111.6952,13.2883,4.8101
2016-08-30,33.1405,18180.8106,13.3391,4.8285
2016-08-31,33.1783,18201.5452,13.3543,4.834
2016-09-01,33.1531,18187.7221,13.3441,4.8303
2016-09-02,33.6255,18446.9049,13.5343,4.8991
2016-09-06,33.2161,18222.2798,13.3695,4.8395
2016-09-07,33.3484,18294.851,13.4227,4.8588
2016-09-08,32.9641,18084.049,13.2681,4.8028
2016-09-09,31.8428,17468.9218,12.8167,4.6394
2016-09-12,32.2586,17697.0026,12.9841,4.7
2016-09-13,31.5216,17292.6775,12.6874,4.5926
2016-09-14,31.509,17285.7659,12.6824,4.5908
2016-09-15,31.805,17448.1871,12.8015,4.6339
2016-09-16,31.6601,17368.7044,12.7432,4.6128
