Date,Price,Market Cap,PE Ratio,PB Ratio
2015-03-31,20.0,3024.4353,,8.2601
2015-04-01,26.15,3981.3688,,10.8001
2015-04-02,26.5,4034.6567,,10.9446
2015-04-06,25.8,3928.0809,,10.6555
2015-04-07,25.24,3842.8202,,10.4243
2015-04-08,25.15,3829.1176,,10.3871
2015-04-09,26.32,4007.2515,,10.8703
2015-04-10,25.29,3850.4328,,10.4449
2015-04-13,25.37,3862.6129,,10.4779
2015-04-14,25.8,3928.0809,,10.6555
2015-04-15,25.12,3824.5501,,10.3747
2015-04-16,24.78,3772.7847,,10.2343
2015-04-17,25.16,3830.6401,,10.3912
2015-04-20,25.14,3827.5951,,10.383
2015-04-21,24.78,3772.7847,,10.2343
2015-04-22,24.77,3771.2622,,10.2301
2015-04-23,25.05,3813.8925,,10.3458
2015-04-24,25.63,3902.1982,,10.5853
2015-04-27,26.16,3982.8913,,10.8042
2015-04-28,25.15,3829.1176,,10.3871
2015-04-29,24.88,3788.0098,,10.2756
2015-04-30,25.07,3816.9375,,10.354
2015-05-01,25.96,3952.4411,,10.7216
2015-05-04,25.98,3955.4861,,10.7299
2015-05-05,25.42,3870.2254,,10.4986
2015-05-06,24.54,3736.2444,,10.1352
2015-05-07,24.81,3777.3522,,10.2467
2015-05-08,24.88,3788.0098,,10.2756
2015-05-11,25.68,3909.8108,,10.606
2015-05-12,26.77,4075.7646,,11.0562
2015-05-13,26.5,4034.6567,,10.9446
2015-05-14,26.23,4074.3418,,10.8331
2015-05-15,26.51,4117.8346,,10.9488
2015-05-18,26.23,4074.3418,,10.8331
2015-05-19,25.94,4029.2957,,10.7134
2015-05-20,26.38,4097.6415,,10.8951
2015-05-21,25.6,3976.483,,10.5729
2015-05-22,26.1,4054.1487,,10.7794
2015-05-26,26.42,4103.8547,,10.9116
2015-05-27,26.98,4190.8403,,11.1429
2015-05-28,26.66,4141.1343,,11.0107
2015-05-29,26.93,4183.0737,,11.1222
2015-06-01,27.09,4207.9267,,11.1883
2015-06-02,27.63,4291.8057,,11.4113
2015-06-03,28.91,4490.6298,,11.94
2015-06-04,28.92,4492.1831,,11.9441
2015-06-05,28.69,4456.4569,,11.8491
2015-06-08,29.1,4520.1428,,12.0185
2015-06-09,29.5,4582.2753,,12.1837
2015-06-10,30.16,4684.794,,12.4562
2015-06-11,29.69,4611.7883,,12.2621
2015-06-12,29.28,4548.1024,,12.0928
2015-06-15,29.41,4568.2955,,12.1465
2015-06-16,30.46,4731.3935,,12.5801
2015-06-17,30.54,4743.82,,12.6132
2015-06-18,31.35,4869.6384,,12.9477
2015-06-19,31.8,4939.5375,,13.1336
2015-06-22,31.36,4871.1917,,12.9519
2015-06-23,31.82,4942.6441,,13.1418
2015-06-24,31.46,4886.7248,,12.9932
2015-06-25,31.01,4816.8257,,12.8073
2015-06-26,29.54,4588.4886,,12.2002
2015-06-29,28.18,4377.2379,,11.6385
2015-06-30,28.19,4378.7912,,12.3714
2015-07-01,28.29,4394.3244,,12.4153
2015-07-02,27.14,4215.6933,,11.9106
2015-07-06,27.27,4235.8864,,11.9677
2015-07-07,26.83,4167.5406,,11.7746
2015-07-08,26.08,4051.0421,,11.4454
2015-07-09,26.61,4133.3677,,11.678
2015-07-10,26.98,4190.8403,,11.8404
2015-07-13,26.65,4139.5809,,11.6956
