Date,Price,Market Cap,PE Ratio,PB Ratio
2022-12-15,60.0,,14.2542,1.6183
2022-12-16,56.74,,13.4798,1.5304
2022-12-19,56.5,,13.4227,1.5239
2022-12-20,57.21,,13.5914,1.543
2022-12-21,56.96,,13.532,1.5363
2022-12-22,57.6,,13.6841,1.5535
2022-12-23,57.5,,13.6603,1.5509
2022-12-27,57.45,,13.6484,1.5495
2022-12-28,57.5,,13.6603,1.5509
2022-12-29,58.0,,13.7791,1.5643
2022-12-30,58.38,,13.8014,2.837
2023-01-03,56.0,,13.2387,2.7214
2023-01-04,60.49,27505.4081,14.3002,2.9396
2023-01-05,59.0,26827.8902,13.9479,2.8671
2023-01-06,58.95,26758.9459,13.9361,2.8647
2023-01-09,58.1,26373.1087,13.7352,2.8234
2023-01-10,60.0,27235.5683,14.1844,2.9157
2023-01-11,64.99,29500.6598,15.364,3.1582
2023-01-12,65.65,29800.251,15.52,3.1903
2023-01-13,65.44,29704.9265,15.4704,3.1801
2023-01-17,63.33,28747.1424,14.9716,3.0776
2023-01-18,62.08,28179.7347,14.6761,3.0168
2023-01-19,63.94,29024.0373,15.1158,3.1072
2023-01-20,66.77,30308.6483,15.7848,3.2447
2023-01-23,69.52,31556.9452,16.4349,3.3784
2023-01-24,69.6,31593.2593,16.4539,3.3823
2023-01-25,68.71,31189.265,16.2434,3.339
2023-01-26,69.22,31420.7673,16.364,3.3638
2023-01-27,70.08,31811.1438,16.5673,3.4056
2023-01-30,71.5,32455.7189,16.903,3.4746
2023-01-31,69.52,31556.9452,16.4349,3.3784
2023-02-01,70.01,31779.369,16.5508,3.4022
2023-02-02,70.65,32069.8817,16.7021,3.4333
2023-02-03,70.55,32024.4891,16.6784,3.4284
2023-02-06,71.86,32619.1323,16.9881,3.4921
2023-02-07,71.63,32514.7293,16.9338,3.4809
2023-02-08,70.17,31851.9972,16.5886,3.41
2023-02-09,68.41,31053.0872,16.1725,3.3244
2023-02-10,69.24,31429.8459,16.3687,3.3648
2023-02-13,69.43,31516.0918,16.4137,3.374
2023-02-14,72.61,32959.577,17.1654,3.5285
2023-02-15,72.32,32827.9384,17.0969,3.5144
2023-02-16,70.91,32187.9025,16.7635,3.4459
2023-02-17,73.17,33213.7756,17.2978,3.5557
2023-02-21,72.47,32896.0273,17.1323,3.5217
2023-02-22,71.94,32655.4464,17.007,3.496
2023-02-23,75.9,34452.994,17.9432,3.6884
2023-02-24,75.01,34048.9997,17.7328,3.6452
2023-02-27,76.04,34516.5436,17.9763,3.6952
2023-02-28,76.0,34498.3866,17.9668,3.6933
2023-03-01,75.3,34180.6383,17.8014,3.6593
2023-03-02,75.04,34062.6175,17.7399,3.6466
2023-03-03,76.37,34666.3392,18.0543,3.7113
2023-03-06,76.68,34807.0563,18.1276,3.7263
2023-03-07,76.25,34611.8681,18.0259,3.7054
2023-03-08,76.63,34784.36,18.1158,3.7239
2023-03-09,76.38,34670.8785,18.0567,3.7117
2023-03-10,74.97,34030.8426,17.7233,3.6432
2023-03-13,76.24,34607.3288,18.0236,3.7049
2023-03-14,77.14,35015.8624,18.2364,3.7487
2023-03-15,76.76,34843.3704,18.1465,3.7302
2023-03-16,76.62,34779.8208,18.1134,3.7234
2023-03-17,75.84,34425.7584,17.929,3.6855
