Date,Price,Market Cap,PE Ratio,PB Ratio
2024-03-27,131.25,,,
2024-03-28,136.75,,279.6804,4.1766
2024-04-01,142.02,,290.4586,4.3376
2024-04-02,140.0,38091.7006,286.3273,4.2759
2024-04-03,137.34,37367.9583,280.887,4.1947
2024-04-04,126.06,34298.8556,257.8172,3.8501
2024-04-05,122.7,33384.6548,250.9454,3.7475
2024-04-08,129.96,35359.9815,265.7935,3.9693
2024-04-09,132.17,35961.2862,270.3134,4.0368
2024-04-10,138.37,37648.2044,282.9936,4.2261
2024-04-11,136.57,37158.454,279.3122,4.1711
2024-04-12,134.0,36459.1992,274.0561,4.0927
2024-04-15,131.75,35847.0111,269.4544,4.0239
2024-04-16,130.07,35389.9107,266.0185,3.9726
2024-04-17,134.75,36663.2619,275.59,4.1156
2024-04-18,137.22,37335.3083,280.6416,4.191
2024-04-19,135.1,36758.4911,276.3058,4.1262
2024-04-22,136.69,37191.104,279.5577,4.1748
2024-04-23,147.83,40222.115,302.3411,4.5151
2024-04-24,146.18,39773.1771,298.9666,4.4647
2024-04-25,148.31,40352.7152,303.3228,4.5297
2024-04-26,153.07,41647.833,313.058,4.6751
2024-04-29,159.01,43264.0094,325.2064,4.8565
2024-04-30,153.71,42129.6857,314.3669,4.6946
2024-05-01,151.67,41570.5513,310.1947,4.6323
2024-05-02,153.83,42162.576,314.6123,4.6983
2024-05-03,166.26,45569.4591,340.0341,5.0779
2024-05-06,169.14,46358.8254,345.9242,5.1659
2024-05-07,167.36,45870.9531,342.2838,5.1115
2024-05-08,164.0,44950.0258,335.4119,5.0089
2024-05-09,166.4,45607.831,340.3204,5.0822
2024-05-10,167.27,45846.2854,342.0997,5.1088
2024-05-13,161.53,44273.0345,330.3603,4.9335
2024-05-14,165.63,45396.7852,338.7456,5.0587
2024-05-15,167.87,46010.7367,343.3268,5.1271
2024-05-16,166.4,45607.831,340.3204,5.0822
2024-05-17,162.62,44571.7878,332.5896,4.9668
2024-05-20,160.95,44114.0649,329.1741,4.9158
2024-05-21,163.93,44930.8398,335.2688,5.0068
2024-05-22,163.85,44908.9129,335.1052,5.0043
2024-05-23,161.67,44311.4065,330.6466,4.9378
2024-05-24,177.43,48630.9943,362.8789,5.4191
2024-05-28,178.09,48811.8908,364.2287,5.4393
2024-05-29,177.32,48600.8449,362.6539,5.4157
2024-05-30,175.08,47986.8934,358.0727,5.3473
2024-05-31,175.9,48211.6435,359.7497,5.3724
2024-06-03,170.37,46695.9506,348.4398,5.2035
2024-06-04,163.04,44686.9037,333.4485,4.9796
2024-06-05,163.49,44810.2422,334.3689,4.9933
2024-06-06,160.31,43938.6502,327.8652,4.8962
2024-06-07,162.08,44423.7816,331.4852,4.9503
2024-06-10,166.64,45673.6116,340.8112,5.0895
2024-06-11,168.23,46109.4075,344.0631,5.1381
2024-06-12,177.52,48655.662,363.063,5.4218
2024-06-13,176.17,48285.6466,360.302,5.3806
2024-06-14,170.17,46641.1334,348.0308,5.1974
2024-06-17,168.76,46254.6729,345.1471,5.1543
2024-06-18,179.57,49217.5374,367.2556,5.4845
2024-06-20,177.18,48562.473,362.3676,5.4115
2024-06-21,175.73,48165.049,359.4021,5.3672
2024-06-24,178.14,48825.5951,364.331,5.4408
2024-06-25,181.45,49732.8181,371.1006,5.5419
2024-06-26,180.0,49335.3941,368.135,5.4976
2024-06-27,176.28,48315.796,360.5269,5.384
2024-06-28,171.51,47008.408,37.2743,5.1981
2024-07-01,167.52,45914.8068,36.4071,5.0772
2024-07-02,169.81,46542.4627,36.9048,5.1466
2024-07-03,172.68,47329.0881,37.5286,5.2336
2024-07-05,176.23,48302.0917,38.3001,5.3412
2024-07-08,174.37,47792.2926,37.8959,5.2848
2024-07-09,172.98,47411.3138,37.5938,5.2427
2024-07-10,179.73,49261.391,39.0607,5.4472
2024-07-11,176.7,48430.9119,38.4022,5.3554
2024-07-12,180.45,49458.7326,39.2172,5.4691
2024-07-15,177.44,48633.7352,38.5631,5.3778
2024-07-16,182.74,50086.3885,39.7149,5.5385
2024-07-17,165.83,45451.6023,36.0399,5.026
2024-07-18,161.49,44262.0711,35.0966,4.8944
2024-07-19,163.34,44769.1293,35.4987,4.9505
2024-07-22,166.76,45706.5018,36.242,5.0542
2024-07-23,170.49,46728.8408,37.0526,5.1672
2024-07-24,162.9,44765.2513,35.4031,4.9372
2024-07-25,160.0,43968.3254,34.7728,4.8493
2024-07-26,173.11,47570.9801,37.622,5.2466
2024-07-29,172.05,47279.6899,37.3916,5.2145
2024-07-30,162.7,44710.2909,35.3596,4.9311
2024-07-31,178.24,48980.7145,38.7369,5.4021
2024-08-01,174.03,47823.798,37.822,5.2745
2024-08-02,164.73,45268.1391,35.8008,4.9926
2024-08-05,162.24,44583.882,35.2596,4.9172
2024-08-06,164.35,45163.7143,35.7182,4.9811
2024-08-07,166.07,45636.3738,36.092,5.0332
2024-08-08,177.21,48697.6684,38.5131,5.3709
2024-08-09,179.11,49219.7923,38.926,5.4285
2024-08-12,176.44,48486.0709,38.3457,5.3475
2024-08-13,179.65,49368.1854,39.0434,5.4448
2024-08-14,184.16,50607.5426,40.0235,5.5815
2024-08-15,188.82,51888.1201,41.0363,5.7227
2024-08-16,184.06,50580.0624,40.0018,5.5785
2024-08-19,185.4,50948.2971,40.293,5.6191
2024-08-20,184.0,50563.568,39.9887,5.5767
2024-08-21,184.26,50635.0165,40.0452,5.5845
2024-08-22,186.0,51113.172,40.4234,5.6373
2024-08-23,183.29,50368.4648,39.8344,5.5551
2024-08-26,182.13,50049.6945,39.5823,5.52
2024-08-27,185.55,50989.5174,40.3256,5.6236
2024-08-28,184.0,50563.5743,39.9887,5.5767
2024-08-29,191.36,52586.1172,41.5883,5.7997
2024-08-30,201.0,55235.2088,43.6834,6.0919
2024-09-03,192.55,52913.1316,41.8469,5.8358
2024-09-04,199.63,54858.73,43.3856,6.0504
2024-09-05,198.44,54531.7156,43.127,6.0143
