Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,49.4,30852.094,18.165,4.6649
2014-01-03,49.26,30764.6589,18.1136,4.6517
2014-01-06,49.34,30814.6218,18.143,4.6592
2014-01-07,49.85,31133.1353,18.3305,4.7074
2014-01-08,48.57,30333.7289,17.8598,4.5865
2014-01-09,49.0,30602.2795,18.018,4.6271
2014-01-10,49.29,30783.395,18.1246,4.6545
2014-01-13,48.81,30483.6176,17.9481,4.6092
2014-01-14,48.8,30477.3722,17.9444,4.6082
2014-01-15,48.4,30227.5577,17.7973,4.5705
2014-01-16,48.52,30302.502,17.8415,4.5818
2014-01-17,48.28,30152.6133,17.7532,4.5591
2014-01-21,48.54,30314.9928,17.8488,4.5837
2014-01-22,48.77,30458.6361,17.9334,4.6054
2014-01-23,48.71,30421.1639,17.9113,4.5997
2014-01-24,48.28,30152.6133,17.7532,4.5591
2014-01-27,48.53,30308.7474,17.8451,4.5827
2014-01-28,48.96,30577.298,18.0032,4.6234
2014-01-29,47.94,29940.271,17.6282,4.527
2014-01-30,48.57,30333.7289,17.8598,4.5865
2014-01-31,48.02,29990.2339,17.6576,4.5346
2014-02-03,46.86,29265.7718,17.2311,4.425
2014-02-04,47.09,29409.4151,17.3156,4.4468
2014-02-05,47.36,29578.0399,17.4149,4.4723
2014-02-06,47.66,29765.4008,17.5252,4.5006
2014-02-07,48.05,30008.97,17.6686,4.5374
2014-02-10,48.31,30171.3494,17.7642,4.562
2014-02-11,48.93,30558.5619,17.9922,4.6205
2014-02-12,48.53,30308.7474,17.8451,4.5827
2014-02-13,49.19,30720.9414,18.0878,4.6451
2014-02-14,49.89,31158.1168,18.3452,4.7112
2014-02-18,49.68,31026.9642,18.268,4.6913
2014-02-19,49.27,30770.9043,18.1172,4.6526
2014-02-20,49.78,31089.4178,18.3048,4.7008
2014-02-21,49.51,30920.793,18.3154,4.8366
2014-02-24,49.85,31133.1353,18.4412,4.8699
2014-02-25,50.05,31258.0426,18.5152,4.8894
2014-02-26,49.66,31014.4734,18.3709,4.8513
2014-02-27,49.78,31089.4178,18.4153,4.863
2014-02-28,50.03,31245.5519,18.5078,4.8874
2014-03-03,49.86,31139.3807,18.4449,4.8708
2014-03-04,50.74,31688.9727,18.7704,4.9568
2014-03-05,50.64,31626.519,18.7334,4.947
2014-03-06,50.67,31645.2551,18.7445,4.95
2014-03-07,50.8,31726.4448,18.7926,4.9627
2014-03-10,50.45,31507.8571,18.6632,4.9285
2014-03-11,50.74,31688.9727,18.7704,4.9568
2014-03-12,51.35,32069.9398,18.9961,5.0164
2014-03-13,51.01,31857.5975,18.8703,4.9832
2014-03-14,49.77,31083.1724,18.4116,4.862
2014-03-17,50.43,31495.3664,18.6558,4.9265
2014-03-18,50.71,31670.2366,18.7593,4.9539
2014-03-19,50.74,31179.3336,18.7704,4.9568
2014-03-20,51.05,31369.8262,18.8851,4.9871
2014-03-21,51.03,31357.5363,18.8777,4.9851
2014-03-24,50.72,31167.0438,18.763,4.9548
2014-03-25,51.08,31388.2609,18.8962,4.99
2014-03-26,51.1,31400.5508,18.9036,4.992
2014-03-27,51.08,31388.2609,18.8962,4.99
2014-03-28,51.3,31523.4492,18.9776,5.0115
2014-03-31,51.82,31842.9852,19.17,5.0623
2014-04-01,51.78,31818.4055,19.1552,5.0584
2014-04-02,51.62,31720.0867,19.096,5.0428
2014-04-03,52.23,32094.927,19.3216,5.1024
2014-04-04,51.25,31492.7246,18.9591,5.0066
2014-04-07,51.85,31861.4199,19.1811,5.0652
2014-04-08,51.28,31511.1594,18.9702,5.0095
2014-04-09,51.27,31505.0145,18.9665,5.0086
2014-04-10,51.0,31339.1016,18.8666,4.9822
2014-04-11,51.15,31431.2754,18.9221,4.9968
2014-04-14,51.3,31523.4492,18.9776,5.0115
2014-04-15,51.25,31492.7246,18.9591,5.0066
2014-04-16,52.26,32113.3617,19.3327,5.1053
2014-04-17,52.09,32008.898,19.2698,5.0887
2014-04-21,52.3,32137.9414,19.3475,5.1092
2014-04-22,52.19,32070.3473,19.3068,5.0984
2014-04-23,52.37,32180.9559,19.3734,5.116
2014-04-24,52.43,32217.8254,19.3956,5.1219
2014-04-25,52.29,32131.7965,19.3438,5.1082
2014-04-28,53.17,32672.5496,19.6694,5.1942
2014-04-29,52.81,32451.3324,19.5362,5.159
2014-04-30,53.02,32580.3758,19.6139,5.1795
2014-05-01,52.68,32371.4484,19.4881,5.1463
2014-05-02,52.75,32414.4629,19.514,5.1532
2014-05-05,53.01,32574.2309,19.6102,5.1786
2014-05-06,52.86,32482.057,19.5547,5.1639
2014-05-07,53.54,32899.9117,19.8063,5.2303
2014-05-08,53.67,32979.7957,19.8543,5.243
2014-05-09,54.4,33428.375,20.1244,5.3143
2014-05-12,54.26,33342.3461,20.0726,5.3007
2014-05-13,54.37,33409.9402,20.1133,5.3114
2014-05-14,54.1,33244.0273,20.0134,5.285
2014-05-15,53.41,32820.0277,19.7582,5.2176
2014-05-16,53.81,33065.8246,19.9061,5.2567
2014-05-19,53.72,33010.5203,19.8728,5.2479
2014-05-20,53.48,32863.0422,19.7841,5.2245
2014-05-21,53.48,32863.0422,19.7841,5.2245
2014-05-22,53.74,33022.8102,19.8802,5.2499
2014-05-23,53.81,33065.8246,19.7074,5.0419
2014-05-27,54.24,33330.0563,19.8649,5.0822
2014-05-28,54.24,33330.0563,19.8649,5.0822
2014-05-29,54.7,33612.7227,20.0334,5.1253
2014-05-30,54.93,33754.0559,20.1176,5.1469
2014-06-02,54.91,33741.766,20.1103,5.145
2014-06-03,55.05,33827.7949,20.1615,5.1581
2014-06-04,55.56,34141.1859,20.3483,5.2059
2014-06-05,55.34,34005.9977,20.2678,5.1853
2014-06-06,55.41,34049.0121,20.2934,5.1918
2014-06-09,55.17,33901.534,20.2055,5.1693
2014-06-10,55.16,33895.3891,20.2018,5.1684
2014-06-11,54.75,33643.4473,20.0517,5.13
2014-06-12,54.2,33305.4766,19.8502,5.0785
2014-06-13,54.31,33373.0707,19.8905,5.0888
2014-06-16,54.21,33311.6215,19.8539,5.0794
2014-06-17,54.29,33360.7809,19.8832,5.0869
2014-06-18,54.68,33600.4328,20.026,5.1234
2014-06-19,54.84,33698.7516,20.0846,5.1384
2014-06-20,54.64,33575.8531,20.0114,5.1197
2014-06-23,54.27,33348.491,19.8759,5.085
2014-06-24,53.7,32998.2305,19.6671,5.0316
2014-06-25,51.76,31806.1156,18.9566,4.8498
2014-06-26,52.03,31972.0285,19.0555,4.8751
2014-06-27,52.31,32144.0863,19.158,4.9014
