Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,51.62,7001.1903,13.3452,1.8351
2014-01-03,51.72,7014.7533,13.3711,1.8387
2014-01-06,51.5333,6989.4358,13.3228,1.8321
2014-01-07,51.96,7047.3043,13.4331,1.8472
2014-01-08,52.3533,7100.6519,13.5348,1.8612
2014-01-09,52.46,7115.119,13.5624,1.865
2014-01-10,52.18,7077.1428,13.49,1.855
2014-01-13,51.4467,6977.6812,13.3004,1.829
2014-01-14,52.2133,7081.6638,13.4986,1.8562
2014-01-15,52.2733,7089.8015,13.5141,1.8584
2014-01-16,51.98,7050.0169,13.4383,1.8479
2014-01-17,51.8067,7026.5078,13.3935,1.8418
2014-01-21,51.56,6993.0526,13.3297,1.833
2014-01-22,51.6333,7002.9987,13.3487,1.8356
2014-01-23,50.9733,6913.4833,13.1781,1.8121
2014-01-24,49.7067,6741.6861,12.8506,1.7671
2014-01-27,49.4467,6706.4224,12.7834,1.7579
2014-01-28,49.76,6748.9196,12.8644,1.769
2014-01-29,49.38,6697.3804,12.7661,1.7555
2014-01-30,50.4667,6844.7644,13.0471,1.7941
2014-01-31,50.1,6795.0336,12.9523,1.7811
2014-02-03,48.3667,6559.9426,12.5042,1.7195
2014-02-04,48.64,6597.0147,12.5748,1.7292
2014-02-05,48.74,6610.5776,12.6007,1.7328
2014-02-06,49.3333,6691.0511,12.7541,1.7538
2014-02-07,50.0533,6788.7042,12.9402,1.7794
2014-02-10,50.14,6800.4588,12.9626,1.7825
2014-02-11,50.3467,6828.4889,13.016,1.7899
2014-02-12,50.1867,6806.7882,12.9747,1.7842
2014-02-13,50.5667,6858.3273,13.0729,1.7977
2014-02-14,50.5733,6859.2315,13.0746,1.7979
2014-02-18,51.1333,6935.184,13.2194,1.8178
2014-02-19,50.48,6846.5728,13.0505,1.7946
2014-02-20,50.7267,6880.0281,13.1143,1.8034
2014-02-21,50.72,6879.1239,13.1126,1.8031
2014-02-24,50.6933,6875.5071,13.1057,1.8022
2014-02-25,50.6867,6874.6029,13.1039,1.802
2014-02-26,50.72,6879.1239,13.1126,1.8031
2014-02-27,51.0667,6926.1421,13.2022,1.8155
2014-02-28,51.6733,7008.4239,13.359,1.837
2014-03-03,51.3467,6820.5631,13.2746,1.8254
2014-03-04,52.4,6960.4812,13.5469,1.8629
2014-03-05,52.4533,6967.5657,13.5607,1.8648
2014-03-06,52.9333,7031.3258,13.6848,1.8818
2014-03-07,53.5133,7108.3693,13.8347,1.9024
2014-03-10,53.22,7069.4048,13.7589,1.892
2014-03-11,52.64,6992.3613,13.6089,1.8714
2014-03-12,52.62,6989.7046,13.6038,1.8707
2014-03-13,52.0933,6919.7456,13.4676,1.852
2014-03-14,51.9933,6906.4622,13.4418,1.8484
2014-03-17,52.2533,6932.8148,13.509,1.8577
2014-03-18,52.5867,6977.0405,13.5951,1.8695
2014-03-19,52.4067,6953.1586,13.5486,1.8631
2014-03-20,52.54,6970.8489,13.5831,1.8678
2014-03-21,52.8067,7006.2294,13.652,1.8773
