Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,17.77,25716.7778,14.7161,1.1748
2014-01-03,17.89,25890.4421,14.8155,1.1827
2014-01-06,17.73,25658.8898,14.683,1.1721
2014-01-07,17.84,25818.082,14.7741,1.1794
2014-01-08,17.98,26020.6902,14.89,1.1886
2014-01-09,18.0,26049.6343,14.9066,1.19
2014-01-10,18.29,26469.3228,15.1468,1.2091
2014-01-13,18.02,26078.5783,14.9232,1.1913
2014-01-14,18.49,26758.7632,15.3124,1.2224
2014-01-15,18.41,26642.9871,15.2461,1.2171
2014-01-16,18.51,26787.7072,15.329,1.2237
2014-01-17,18.77,27163.9797,15.5443,1.2409
2014-01-21,18.76,27149.5077,15.536,1.2402
2014-01-22,19.0,27496.8362,15.7348,1.2561
2014-01-23,18.98,27467.8921,15.7182,1.2548
2014-01-24,18.21,26353.5467,15.0805,1.2038
2014-01-27,18.22,26368.0187,15.0888,1.2045
2014-01-28,17.1,24747.1526,14.1613,1.1305
2014-01-29,17.16,24833.9847,14.211,1.1344
2014-01-30,17.38,24314.62,14.3932,1.149
2014-01-31,17.21,24076.79,14.2524,1.1377
2014-02-03,17.05,23852.95,14.1199,1.1272
2014-02-04,17.19,24048.81,14.2358,1.1364
2014-02-05,17.55,24552.45,14.5339,1.1602
2014-02-06,18.08,25293.92,14.9729,1.1953
2014-02-07,18.36,25685.64,15.2047,1.2138
2014-02-10,18.43,25656.8593,15.2627,1.2184
2014-02-11,18.8,26171.9454,15.5691,1.2429
2014-02-12,19.01,26464.2916,15.743,1.2567
2014-02-13,19.09,26575.6616,15.8093,1.262
2014-02-14,19.11,26603.5041,15.8259,1.2633
2014-02-18,19.08,26561.7403,15.801,1.2614
2014-02-19,18.92,26339.0004,15.6685,1.2508
2014-02-20,19.0,26450.3704,15.7348,1.2561
2014-02-21,19.07,26547.8191,15.7927,1.2607
2014-02-24,19.31,26881.929,15.9915,1.2766
2014-02-25,19.28,26840.1653,15.9666,1.2746
2014-02-26,19.27,26826.244,15.9584,1.2739
2014-02-27,19.34,26923.6928,16.0163,1.2785
2014-02-28,19.27,26826.244,15.9584,1.2739
2014-03-03,19.04,26506.0554,15.7679,1.2587
2014-03-04,19.5,27146.4327,16.1488,1.2891
2014-03-05,19.66,27369.1727,16.2813,1.2997
2014-03-06,19.54,27202.1177,16.182,1.2918
2014-03-07,19.64,27341.3302,16.2648,1.2984
2014-03-10,19.39,26993.299,16.0577,1.2819
2014-03-11,19.26,26812.3228,15.9501,1.2733
2014-03-12,19.3,26868.0078,15.9832,1.2759
2014-03-13,19.17,26662.5847,15.8755,1.2673
2014-03-14,18.87,26245.3298,15.6271,1.2475
2014-03-17,19.13,26606.9507,15.8424,1.2647
2014-03-18,19.31,26857.3036,15.9915,1.2766
2014-03-19,19.04,26481.7742,15.7679,1.2587
2014-03-20,19.42,27010.297,16.0826,1.2838
2014-03-21,19.52,27149.382,16.1654,1.2904
2014-03-24,19.61,27274.5584,16.2399,1.2964
2014-03-25,20.06,27900.4407,16.6126,1.3261
2014-03-26,20.43,28415.055,16.919,1.3506
2014-03-27,20.46,28456.7805,16.9438,1.3526
2014-03-28,20.61,28665.4079,17.0681,1.3625
2014-03-31,20.82,28957.4863,17.5313,1.4052
2014-04-01,20.97,29166.1137,17.6576,1.4153
2014-04-02,21.36,29708.545,17.986,1.4417
2014-04-03,21.59,30028.4404,18.1796,1.4572
2014-04-04,21.35,29694.6366,17.9775,1.441
2014-04-07,21.1,29346.9242,17.767,1.4241
2014-04-08,21.01,29221.7477,17.6912,1.418
2014-04-09,21.16,29430.3752,17.8176,1.4282
2014-04-10,20.77,28887.9439,17.4892,1.4018
2014-04-11,20.38,28345.5126,17.1608,1.3755
2014-04-14,20.53,28554.14,17.2871,1.3856
2014-04-15,20.55,28581.957,17.3039,1.387
2014-04-16,20.73,28832.3099,17.4555,1.3991
2014-04-17,21.04,29263.4732,17.7165,1.4201
2014-04-21,21.02,29235.6562,17.6997,1.4187
2014-04-22,21.23,29527.7346,17.8765,1.4329
2014-04-23,21.15,29416.4667,17.8091,1.4275
2014-04-24,21.19,29472.1006,17.8428,1.4302
2014-04-25,20.74,28846.2184,17.4639,1.3998
2014-04-28,20.97,27438.7433,17.6576,1.4153
2014-04-29,20.86,27294.8109,17.5649,1.4079
