Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,56.29,3859.0116,21.2734,12.1793
2014-01-03,56.75,3890.5474,21.4472,12.2789
2014-01-06,55.76,3822.677,21.0731,12.0647
2014-01-07,56.0,3839.1304,21.1638,12.1166
2014-01-08,54.99,3769.889,20.7821,11.8981
2014-01-09,54.79,3756.1778,20.7065,11.8548
2014-01-10,54.85,3760.2911,20.7292,11.8678
2014-01-13,54.18,3714.3587,20.476,11.7228
2014-01-14,55.15,3780.8579,20.8425,11.9327
2014-01-15,55.24,3787.0279,20.8766,11.9521
2014-01-16,50.89,3488.8098,19.2326,11.011
2014-01-17,49.86,3418.1972,18.8433,10.7881
2014-01-21,51.58,3536.1134,19.4934,11.1602
2014-01-22,51.06,3500.4643,19.2968,11.0477
2014-01-23,50.18,3440.1351,18.9643,10.8573
2014-01-24,47.5,3256.4053,17.9514,10.2775
2014-01-27,45.72,3134.3758,17.2787,9.8923
2014-01-28,46.59,3194.0194,17.6075,10.0806
2014-01-29,46.25,3170.7104,17.479,10.007
2014-01-30,46.56,3191.9627,17.5962,10.0741
2014-01-31,48.13,3299.5955,18.1895,10.4138
2014-02-03,46.42,3182.3649,17.5433,10.0438
2014-02-04,47.1,3228.9829,17.8003,10.1909
2014-02-05,47.94,3286.5699,18.1177,10.3727
2014-02-06,49.51,3394.2026,18.7111,10.7124
2014-02-07,50.17,3439.4495,18.9605,10.8552
2014-02-10,48.33,3313.3067,18.2651,10.457
2014-02-11,48.0,3290.6832,18.1404,10.3856
2014-02-12,49.89,3420.2539,18.8547,10.7946
2014-02-13,56.64,3883.0062,21.4057,12.2551
2014-02-14,56.6,3880.264,21.3905,12.2464
2014-02-18,56.29,3859.0116,21.2734,12.1793
2014-02-19,55.26,3788.3991,20.8841,11.9565
2014-02-20,55.23,3786.3424,20.8728,11.95
2014-02-21,55.48,3803.4814,20.9673,12.0041
2014-02-24,55.36,3795.2547,20.9219,11.9781
2014-02-25,56.0,3839.1304,21.1638,12.1166
2014-02-26,57.63,3950.8766,21.7798,12.4693
2014-02-27,57.8,3962.5311,21.844,12.5061
2014-02-28,56.97,3905.6297,21.5304,12.3265
2014-03-03,57.49,3954.1591,21.7269,12.439
2014-03-04,58.98,4056.6412,22.29,12.7614
2014-03-05,58.6,4030.5048,22.1464,12.6791
2014-03-06,59.0,4058.0168,22.2976,12.7657
2014-03-07,59.24,4074.524,22.3883,12.8176
2014-03-10,58.77,4042.1974,22.2106,12.7159
2014-03-11,57.67,3966.5394,21.7949,12.4779
2014-03-12,58.2,4002.9928,21.9952,12.5926
2014-03-13,56.75,3903.2619,21.4472,12.2789
2014-03-14,60.47,4159.1233,22.8531,13.0838
2014-03-17,61.17,4207.2693,23.1177,13.2352
2014-03-18,60.67,4172.8793,22.9287,13.127
2014-03-19,60.57,4166.0013,22.8909,13.1054
2014-03-20,60.71,4175.6305,22.9438,13.1357
2014-03-21,60.58,4166.6891,22.8947,13.1076
2014-03-24,59.45,4088.9678,22.4676,12.8631
2014-03-25,59.53,4094.4701,22.4979,12.8804
2014-03-26,57.9,3982.3588,21.8818,12.5277
2014-03-27,57.19,3933.5251,21.6135,12.3741
2014-03-28,58.11,3996.8026,21.9612,12.5731
2014-03-31,58.97,4055.9534,24.5949,11.5322
2014-04-01,59.26,4075.8996,24.7158,11.5889
2014-04-02,60.36,4151.5575,25.1746,11.804
2014-04-03,59.45,4088.9678,24.7951,11.6261
2014-04-04,57.58,3960.3493,24.0152,11.2604
2014-04-07,56.38,3877.8133,23.5147,11.0257
2014-04-08,58.01,3989.9246,24.1945,11.3445
2014-04-09,58.87,4049.0754,24.5532,11.5126
2014-04-10,57.49,3954.1591,23.9776,11.2428
2014-04-11,56.0,3851.6769,23.3562,10.9514
2014-04-14,56.32,3873.6865,23.4896,11.014
2014-04-15,56.89,3912.8911,23.7274,11.1254
2014-04-16,57.33,3943.1543,23.9109,11.2115
2014-04-17,57.72,3969.9784,24.0735,11.2877
2014-04-21,58.13,3998.1782,24.2445,11.3679
2014-04-22,58.75,4040.8218,24.5031,11.4892
2014-04-23,58.75,4040.8218,24.5031,11.4892
2014-04-24,59.03,4060.0802,24.6199,11.5439
2014-04-25,58.05,3992.6758,24.2112,11.3523
2014-04-28,58.76,4041.5096,24.5073,11.4911
2014-04-29,58.56,4032.5658,24.4239,11.452
2014-04-30,58.88,4054.6017,24.5573,11.5146
2014-05-01,54.53,3755.0515,22.7431,10.6639
2014-05-02,55.0,3787.4167,22.9391,10.7558
2014-05-05,54.29,3738.5246,22.643,10.617
2014-05-06,52.7,3629.0338,21.9798,10.306
2014-05-07,53.53,3686.1894,22.326,10.4683
2014-05-08,51.25,3527.608,21.3751,10.0225
2014-05-09,51.62,3553.0756,21.5294,10.0948
2014-05-12,53.76,3700.3747,22.4219,10.5133
2014-05-13,52.74,3630.1667,21.9965,10.3139
2014-05-14,51.32,3532.4262,21.4043,10.0362
2014-05-15,51.5,3544.8158,21.4793,10.0714
2014-05-16,52.05,3582.6731,21.7087,10.1789
2014-05-19,52.24,3595.751,21.788,10.2161
2014-05-20,51.1,3517.2833,21.3125,9.9931
2014-05-21,50.95,3506.9586,21.2499,9.9638
2014-05-22,49.82,3429.1791,20.7787,9.7428
2014-05-23,50.69,3489.0624,21.1415,9.913
2014-05-27,51.15,3520.7248,21.3334,10.0029
2014-05-28,50.55,3479.426,21.0831,9.8856
2014-05-29,48.2,3317.6723,20.103,9.426
2014-05-30,48.68,3350.7113,20.3032,9.5199
2014-06-02,48.69,3351.3997,20.3074,9.5218
2014-06-03,48.71,3352.7763,20.3157,9.5257
2014-06-04,48.26,3321.8022,20.128,9.4377
2014-06-05,48.67,3350.023,20.299,9.5179
2014-06-06,48.21,3318.3606,20.1072,9.428
2014-06-09,46.65,3210.9836,19.4565,9.1229
2014-06-10,47.03,3237.1396,19.615,9.1972
2014-06-11,47.85,3293.5813,19.957,9.3576
2014-06-12,46.92,3229.5681,19.5691,9.1757
2014-06-13,46.72,3215.8018,19.4857,9.1366
2014-06-16,46.73,3216.4902,19.4899,9.1385
2014-06-17,46.88,3226.8149,19.5525,9.1679
2014-06-18,46.3,3186.8927,19.3106,9.0544
2014-06-19,46.27,3184.8277,19.298,9.0486
2014-06-20,46.95,3231.6331,19.5816,9.1816
2014-06-23,48.94,3368.6075,20.4116,9.5707
2014-06-24,49.04,3375.4906,20.4533,9.5903
2014-06-25,49.66,3418.1661,20.7119,9.7115
2014-06-26,49.07,3377.5556,20.4658,9.5961
2014-06-27,49.52,3408.5297,20.6535,9.6841
2014-06-30,48.74,3354.8412,20.3669,8.2137
