Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,27.855,371879.3863,28.1793,4.2858
2014-01-03,27.652,369166.5965,27.9737,4.2545
2014-01-06,27.96,373282.5326,28.2856,4.3019
2014-01-07,28.499,380477.9821,28.8309,4.3849
2014-01-08,28.558,381270.5836,28.8909,4.394
2014-01-09,28.283,377598.9629,28.6127,4.3517
2014-01-10,28.282,377578.9385,28.6112,4.3514
2014-01-13,28.102,375173.4882,28.4289,4.3237
2014-01-14,28.763,384000.0778,29.0978,4.4254
2014-01-15,28.743,383739.4896,29.078,4.4224
2014-01-16,28.934,386278.554,29.2704,4.4517
2014-01-17,28.791,384377.5966,29.1264,4.4298
2014-01-21,29.121,388777.507,29.4598,4.4805
2014-01-22,29.154,389218.5233,29.4932,4.4856
2014-01-23,29.031,387574.8132,29.3686,4.4666
2014-01-24,28.123,375457.4416,28.4504,4.327
2014-01-27,27.557,367907.0869,27.8783,4.24
2014-01-28,28.102,375183.5108,28.4297,4.3238
2014-01-29,27.7,369808.0652,28.0224,4.2619
2014-01-30,28.412,379320.8703,28.7432,4.3715
2014-01-31,29.553,394547.2176,29.897,4.547
2014-02-03,28.363,378664.7226,28.6935,4.364
2014-02-04,28.482,380244.9561,28.8132,4.3822
2014-02-05,28.608,381928.7149,28.9408,4.4016
2014-02-06,29.027,389551.6799,29.3651,4.4661
2014-02-07,29.465,395422.0234,29.8076,4.5334
2014-02-10,29.352,393907.463,29.6934,4.516
2014-02-11,29.783,399700.5652,30.1301,4.5825
2014-02-12,29.696,398788.1349,30.0418,4.569
2014-02-13,30.027,403227.3873,30.3762,4.6199
2014-02-14,30.099,404201.9558,30.4496,4.631
2014-02-18,30.301,406917.2254,30.6542,4.6622
2014-02-19,30.088,404047.3304,30.438,4.6293
2014-02-20,30.132,404642.1613,30.4828,4.6361
2014-02-21,30.124,404534.6461,30.4747,4.6349
2014-02-24,30.342,407464.9883,30.6954,4.6684
2014-02-25,30.53,409982.009,30.885,4.6973
2014-02-26,30.534,410039.1586,30.8894,4.6979
2014-02-27,30.51,409716.5078,30.865,4.6942
2014-02-28,30.421,408520.1879,30.7749,4.6805
2014-03-03,30.096,404164.9482,30.4468,4.6306
2014-03-04,30.402,408271.5313,30.7562,4.6777
2014-03-05,30.486,409397.2805,30.841,4.6906
