Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,81.92,12644.9413,19.493,3.7614
2014-01-03,82.32,12706.6841,19.5882,3.7797
2014-01-06,82.04,12663.4641,19.5216,3.7669
2014-01-07,83.13,12831.7135,19.781,3.8169
2014-01-08,82.91,12797.7549,19.7286,3.8068
2014-01-09,82.83,12785.4063,19.7096,3.8031
2014-01-10,83.45,12881.1078,19.8571,3.8316
2014-01-13,81.63,12600.1777,19.424,3.7481
2014-01-14,82.74,12771.5141,19.6882,3.799
2014-01-15,83.57,12899.6306,19.8857,3.8371
2014-01-16,84.6,13058.6185,20.1307,3.8844
2014-01-17,84.14,12987.6142,20.0213,3.8633
2014-01-21,84.24,13003.0499,20.0451,3.8679
2014-01-22,84.75,13081.7721,20.1664,3.8913
2014-01-23,84.05,12973.7221,19.9999,3.8592
2014-01-24,82.34,12709.7713,19.593,3.7807
2014-01-27,82.91,12797.7549,19.7286,3.8068
2014-01-28,83.21,12844.062,19.8,3.8206
2014-01-29,81.32,12552.3269,19.3503,3.7338
2014-01-30,82.08,12669.6384,19.5311,3.7687
2014-01-31,82.25,12695.8791,19.5716,3.7765
2014-02-03,77.75,12001.2718,18.5008,3.5699
2014-02-04,78.0,12039.8611,18.5603,3.5814
2014-02-05,78.07,12050.6661,18.5769,3.5846
2014-02-06,80.6,12441.1898,19.1789,3.7008
2014-02-07,81.59,12594.0034,19.4145,3.7462
2014-02-10,81.88,12638.767,19.4835,3.7595
2014-02-11,82.85,12788.4934,19.7143,3.8041
2014-02-12,83.82,12938.2199,19.9451,3.8486
2014-02-13,84.64,13064.7928,20.1403,3.8863
2014-02-14,85.95,13267.0007,20.452,3.9464
2014-02-18,87.41,13492.3622,20.7994,4.0134
2014-02-19,86.46,13345.7229,20.5733,3.9698
2014-02-20,87.05,13436.7937,20.7137,3.9969
2014-02-21,87.25,13467.6651,20.7613,4.0061
2014-02-24,87.12,13447.5987,20.7304,4.0001
2014-02-25,86.71,13384.3122,20.6328,3.9813
2014-02-26,87.15,13452.2294,20.7375,4.0015
2014-02-27,86.79,13341.9853,20.6519,3.985
2014-02-28,88.09,13541.8307,20.9612,4.0447
2014-03-03,86.98,13371.1935,20.6971,3.9937
2014-03-04,87.93,13517.2343,20.9231,4.0373
2014-03-05,87.6,13466.5044,20.8446,4.0222
2014-03-06,87.09,13388.1035,20.7232,3.9987
2014-03-07,87.48,13448.0571,20.816,4.0167
2014-03-10,86.55,13305.0908,20.5948,3.974
2014-03-11,86.44,13288.1808,20.5686,3.9689
2014-03-12,86.78,13340.448,20.6495,3.9845
2014-03-13,85.54,13149.8263,20.3544,3.9276
2014-03-14,85.43,13132.9163,20.3282,3.9225
2014-03-17,85.77,13185.1835,20.4091,3.9381
2014-03-18,85.85,13197.4817,20.4282,3.9418
2014-03-19,84.9,13051.4409,20.2021,3.8982
2014-03-20,85.08,13079.1118,20.245,3.9065
2014-03-21,84.69,13019.1581,20.1522,3.8886
2014-03-24,84.2,12943.8318,20.0356,3.8661
