Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,32.725,4770.5791,18.6644,4.3293
2014-01-03,33.31,4855.8591,18.998,4.4067
2014-01-06,32.645,4758.9168,18.6187,4.3187
2014-01-07,32.445,4729.7613,18.5047,4.2923
2014-01-08,32.205,4632.4442,18.3678,4.2605
2014-01-09,33.52,4821.597,19.1178,4.4345
2014-01-10,34.27,4929.4788,19.5455,4.5337
2014-01-13,34.555,4970.4739,19.7081,4.5714
2014-01-14,34.915,5022.2571,19.9134,4.619
2014-01-15,34.875,5016.5034,19.8906,4.6137
2014-01-16,34.72,4994.2078,19.8022,4.5932
2014-01-17,34.605,4977.666,19.7366,4.578
2014-01-21,34.42,4951.0551,19.6311,4.5535
2014-01-22,34.925,5023.6955,19.9191,4.6203
2014-01-23,34.4,4948.1783,19.6197,4.5509
2014-01-24,33.455,4812.2472,19.0807,4.4259
2014-01-27,33.26,4784.198,18.9695,4.4001
2014-01-28,33.73,4851.8039,19.2376,4.4622
2014-01-29,33.375,4800.7398,19.0351,4.4153
2014-01-30,33.835,4866.9073,19.2974,4.4761
2014-01-31,33.045,4753.2718,18.8469,4.3716
2014-02-03,31.805,4574.9073,18.1397,4.2076
2014-02-04,32.05,4610.1487,18.2794,4.24
2014-02-05,32.06,4611.5871,18.2851,4.2413
2014-02-06,32.49,4673.4393,18.5303,4.2982
2014-02-07,32.98,4743.9221,18.8098,4.363
2014-02-10,33.245,4782.0403,18.9609,4.3981
2014-02-11,33.56,4827.3507,19.1406,4.4398
2014-02-12,33.435,4809.3704,19.0693,4.4232
2014-02-13,33.6,4833.1044,19.1634,4.4451
2014-02-14,33.505,4819.4393,19.1092,4.4325
2014-02-18,33.425,4807.932,19.0636,4.4219
2014-02-19,33.605,4833.8236,19.1663,4.4457
2014-02-20,33.74,4853.2423,19.2433,4.4636
2014-02-21,34.36,4942.4246,19.5969,4.5456
2014-02-24,34.42,4951.0551,19.6311,4.5535
2014-02-25,34.155,4912.9369,19.48,4.5185
2014-02-26,34.24,4925.1635,19.5284,4.5297
