Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,44.95,8775.2193,16.3605,2.3969
2014-01-03,46.58,9093.4308,16.9538,2.4838
2014-01-06,46.41,9060.2431,16.8919,2.4748
2014-01-07,45.68,8917.7312,16.6262,2.4358
2014-01-08,45.4,8863.0691,16.5243,2.4209
2014-01-09,44.87,8759.6016,16.3314,2.3926
2014-01-10,45.05,8794.7415,16.3969,2.4022
2014-01-13,45.41,8865.0213,16.528,2.4214
2014-01-14,46.31,9040.7209,16.8556,2.4694
2014-01-15,47.07,9189.0895,17.1322,2.51
2014-01-16,46.95,9165.6629,17.0885,2.5036
2014-01-17,46.66,9109.0486,16.9829,2.4881
2014-01-21,46.57,9091.4786,16.9502,2.4833
2014-01-22,46.65,9107.0963,16.9793,2.4876
2014-01-23,46.2,9019.2465,16.8155,2.4636
2014-01-24,45.21,8825.977,16.4552,2.4108
2014-01-27,45.27,8837.6903,16.477,2.414
2014-01-28,45.65,8911.8746,16.6153,2.4342
2014-01-29,44.8,8745.936,16.306,2.3889
2014-01-30,45.8,8941.1578,16.6699,2.4422
2014-01-31,45.05,8794.7415,16.3969,2.4022
2014-02-03,43.63,8517.5265,15.8801,2.3265
2014-02-04,44.1,8609.2808,16.0512,2.3516
2014-02-05,44.04,8597.5675,16.0293,2.3484
2014-02-06,45.13,8810.3592,16.4261,2.4065
2014-02-07,45.53,8888.4479,16.5717,2.4278
2014-02-10,44.52,8691.2739,16.204,2.374
2014-02-11,45.26,8835.7381,16.4734,2.4134
2014-02-12,46.02,8984.1066,16.75,2.454
2014-02-13,46.26,9030.9598,16.8374,2.4668
2014-02-14,46.08,8995.8199,16.7718,2.4572
2014-02-18,47.17,9208.6117,17.1686,2.5153
2014-02-19,51.68,10085.3572,18.8101,2.7558
2014-02-20,51.56,10061.9392,18.7664,2.7494
2014-02-21,51.97,10141.9507,18.9156,2.7712
2014-02-24,51.7,10089.2602,18.8174,2.7568
2014-02-25,51.99,10145.8537,18.9229,2.7723
2014-02-26,52.15,10177.0778,18.9811,2.7808
2014-02-27,53.55,10450.2879,19.4907,2.8555
2014-02-28,53.66,10471.7544,19.5307,2.8614
2014-03-03,53.6,10460.0454,19.5089,2.8582
2014-03-04,54.975,10728.3768,20.0094,2.9315
2014-03-05,54.5,10635.6805,19.8365,2.9062
2014-03-06,53.93,10524.4449,19.629,2.8758
2014-03-07,53.61,10461.9969,19.5125,2.8587
2014-03-10,53.12,10366.3733,19.3342,2.8326
2014-03-11,53.41,10422.9669,19.4398,2.848
2014-03-12,54.07,10551.7659,19.68,2.8832
2014-03-13,52.49,10243.4288,19.1049,2.799
2014-03-14,52.19,10184.8838,18.9957,2.783
2014-03-17,53.37,10415.1609,19.4252,2.8459
2014-03-18,54.34,10604.4565,19.7782,2.8976
2014-03-19,54.46,10627.8745,19.8219,2.904
2014-03-20,54.64,10663.0015,19.8874,2.9136
2014-03-21,55.1,10752.7705,20.0549,2.9381
2014-03-24,54.95,10723.498,20.0003,2.9302
2014-03-25,54.46,10627.8745,19.8219,2.904
2014-03-26,55.36,10803.5096,20.1495,2.952
2014-03-27,56.02,10932.3086,20.3897,2.9872
2014-03-28,55.57,10844.4911,18.7297,2.89
2014-03-31,55.26,10783.9946,18.6252,2.8739
