Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,176.89,83179.3925,10.3294,1.1601
2014-01-03,178.15,83771.8852,10.4029,1.1684
2014-01-06,179.37,84345.5686,10.4742,1.1764
2014-01-07,178.29,83837.7178,10.4111,1.1693
2014-01-08,178.44,83908.2526,10.4199,1.1703
2014-01-09,177.4,83419.211,10.3591,1.1635
2014-01-10,178.39,83884.741,10.4169,1.17
2014-01-13,175.88,82704.4579,10.2704,1.1535
2014-01-14,176.6,83043.0252,10.3124,1.1582
2014-01-15,178.75,84054.0246,10.438,1.1723
2014-01-16,175.17,82370.593,10.2289,1.1488
2014-01-17,176.28,82892.5508,10.2937,1.1561
2014-01-21,173.2,81444.2353,10.1139,1.1359
2014-01-22,173.68,81669.9468,10.1419,1.1391
2014-01-23,170.75,80292.1662,9.9708,1.1199
2014-01-24,167.64,78829.7437,9.7892,1.0995
2014-01-27,164.69,77442.5584,9.6169,1.0801
2014-01-28,166.25,78176.1208,9.708,1.0903
2014-01-29,163.9,77071.0749,9.5708,1.0749
2014-01-30,165.84,77983.3255,9.6841,1.0877
2014-01-31,164.12,77174.526,9.5837,1.0764
2014-02-03,159.82,75152.5271,9.3326,1.0482
2014-02-04,161.76,76064.7777,9.4458,1.0609
2014-02-05,160.42,75434.6665,9.3676,1.0521
2014-02-06,161.75,76060.0754,9.4453,1.0608
2014-02-07,161.93,76144.7172,9.4558,1.062
2014-02-10,161.0,75707.4012,9.4015,1.0559
2014-02-11,164.39,77301.4887,9.5994,1.0781
2014-02-12,163.5,76882.982,9.5475,1.0723
2014-02-13,164.06,77146.312,9.5802,1.076
2014-02-14,163.72,76986.4331,9.5603,1.0737
2014-02-18,164.65,77423.7491,9.6146,1.0798
2014-02-19,163.26,76770.1262,9.5334,1.0707
2014-02-20,164.5,77353.2143,9.6058,1.0789
2014-02-21,164.5,77353.2143,9.6058,1.0789
2014-02-24,166.54,78312.4882,9.725,1.0922
2014-02-25,163.48,76873.5773,9.5463,1.0722
2014-02-26,162.8,76553.8193,9.5066,1.0677
2014-02-27,165.38,77767.0187,9.6572,1.0846
2014-02-28,166.45,77798.7303,9.7197,1.0917
2014-03-03,164.74,76999.4763,9.6199,1.0804
2014-03-04,168.73,78864.4023,9.8529,1.1066
2014-03-05,171.9,80346.0603,10.038,1.1274
2014-03-06,172.6,80673.2403,10.0788,1.132
2014-03-07,174.26,81449.1243,10.1758,1.1429
2014-03-10,173.51,81098.5743,10.132,1.138
2014-03-11,169.89,79406.5863,9.9206,1.1142
2014-03-12,169.72,79327.1283,9.9107,1.1131
2014-03-13,166.7,77915.5803,9.7343,1.0933
2014-03-14,165.35,77284.5903,9.6555,1.0844
2014-03-17,166.84,77981.0163,9.7425,1.0942
2014-03-18,168.09,78565.2663,9.8155,1.1024
2014-03-19,168.18,78607.3323,9.8207,1.103
2014-03-20,169.22,79093.4283,9.8815,1.1098
2014-03-21,166.95,78032.4303,9.7489,1.0949
2014-03-24,165.72,77457.5283,9.6771,1.0869
2014-03-25,163.25,76303.0502,9.5329,1.0707
2014-03-26,161.73,75592.6022,9.4441,1.0607
2014-03-27,162.29,75854.3462,9.4768,1.0644
2014-03-28,162.3,75859.0202,9.4774,1.0644
2014-03-31,163.85,76583.4903,9.6656,1.021
2014-04-01,165.92,77551.0083,9.7877,1.0339
2014-04-02,167.27,78181.9983,9.8673,1.0423
2014-04-03,166.09,77630.4663,9.7977,1.035
2014-04-04,163.24,75762.8944,9.6296,1.0172
2014-04-07,158.56,73590.8144,9.3535,0.9881
2014-04-08,156.56,72662.5751,9.2355,0.9756
2014-04-09,158.16,73405.1665,9.3299,0.9856
2014-04-10,155.98,72393.3857,9.2013,0.972
2014-04-11,152.72,70880.3556,9.009,0.9517
2014-04-14,154.74,71817.8773,9.1282,0.9642
2014-04-15,154.92,71901.4188,9.1388,0.9654
2014-04-16,157.22,72968.8941,9.2745,0.9797
2014-04-17,157.44,73071.0004,9.2875,0.9811
2014-04-21,157.8,73238.0835,9.3087,0.9833
2014-04-22,160.46,74472.6418,9.4656,0.9999
2014-04-23,160.45,74468.0006,9.465,0.9998
2014-04-24,160.85,74653.6484,9.4886,1.0023
2014-04-25,158.24,73442.2961,9.3347,0.9861
2014-04-28,156.54,72653.2927,9.2344,0.9755
2014-04-29,158.24,73442.2961,9.3347,0.9861
2014-04-30,159.82,74175.6052,9.4279,0.9959
2014-05-01,160.37,74430.871,9.4603,0.9993
2014-05-02,158.88,73739.3327,9.3724,0.99
2014-05-05,156.35,72565.1099,9.2232,0.9743
2014-05-06,154.54,71725.0533,9.1164,0.963
2014-05-07,155.52,72179.8906,9.1742,0.9691
2014-05-08,157.4,73052.4356,9.2851,0.9808
2014-05-09,157.2,72598.7252,9.2733,0.9796
2014-05-12,159.55,73684.0115,9.4119,0.9942
2014-05-13,160.28,74021.143,9.455,0.9988
2014-05-14,159.45,73637.8291,9.406,0.9936
2014-05-15,156.64,72340.1038,9.2403,0.9761
2014-05-16,156.43,72243.1208,9.2279,0.9748
2014-05-19,157.67,72815.7825,9.301,0.9825
2014-05-20,156.35,72206.1749,9.2232,0.9743
2014-05-21,159.35,73591.6467,9.4001,0.993
2014-05-22,159.85,73822.5587,9.4296,0.9961
2014-05-23,160.16,73965.7241,9.4479,0.998
2014-05-27,161.77,74709.2607,9.5429,1.0081
2014-05-28,161.19,74441.4028,9.5087,1.0044
2014-05-29,160.74,74233.582,9.4821,1.0016
2014-05-30,159.81,73804.0857,9.4273,0.9958
2014-06-02,160.03,73905.687,9.4402,0.9972
2014-06-03,161.8,74723.1154,9.5447,1.0082
2014-06-04,162.39,74995.5915,9.5795,1.0119
2014-06-05,162.58,75083.3381,9.5907,1.0131
2014-06-06,166.19,76750.5225,9.8036,1.0356
2014-06-09,166.0,76662.776,9.7924,1.0344
2014-06-10,166.36,76829.0326,9.8137,1.0367
2014-06-11,165.43,76399.5363,9.7588,1.0309
2014-06-12,165.96,76644.303,9.7901,1.0342
