Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,54.58,7082.0057,20.6423,4.2518
2014-01-03,54.11,7021.021,20.4646,4.2152
2014-01-06,53.73,6971.7143,20.3209,4.1856
2014-01-07,53.78,6978.202,20.3398,4.1895
2014-01-08,53.72,6970.4167,20.3171,4.1848
2014-01-09,52.98,6874.3983,20.0372,4.1271
2014-01-10,53.04,6882.1836,20.0599,4.1318
2014-01-13,52.25,6779.6775,19.7611,4.0703
2014-01-14,52.31,6787.4628,19.7838,4.0749
2014-01-15,52.27,6782.2726,19.7687,4.0718
2014-01-16,52.35,6792.6529,19.7989,4.0781
2014-01-17,52.0,6747.2388,19.6666,4.0508
2014-01-21,51.81,6722.5855,19.5947,4.036
2014-01-22,52.37,6795.248,19.8065,4.0796
2014-01-23,51.86,6729.0732,19.6136,4.0399
2014-01-24,51.27,6652.518,19.3905,3.9939
2014-01-27,51.1,6630.4597,19.3262,3.9807
2014-01-28,51.97,6743.3462,19.6552,4.0485
2014-01-29,50.82,6594.1284,19.2203,3.9589
2014-01-30,51.239,6648.4956,19.3788,3.9915
2014-01-31,49.12,6373.5456,18.5773,3.8264
2014-02-03,48.08,6238.6008,18.184,3.7454
2014-02-04,48.68,6316.4536,18.4109,3.7922
2014-02-05,48.76,6326.8339,18.4412,3.7984
2014-02-06,49.66,6443.6131,18.7816,3.8685
2014-02-07,50.09,6499.4076,18.9442,3.902
2014-02-10,52.36,6793.9505,19.8027,4.0788
2014-02-11,52.37,6795.248,19.8065,4.0796
2014-02-12,51.95,6740.7511,19.6477,4.0469
2014-02-13,52.92,6866.6131,20.0145,4.1225
2014-02-14,52.82,6853.6376,19.9767,4.1147
2014-02-18,52.96,6871.8032,20.0296,4.1256
2014-02-19,53.87,6989.8799,20.3738,4.1965
2014-02-20,54.27,7041.7818,20.5251,4.2276
2014-02-21,54.3,7045.6744,20.5364,4.23
2014-02-24,54.48,7069.0302,20.6045,4.244
2014-02-25,54.68,7094.9811,20.6802,4.2596
2014-02-26,55.04,7207.183,20.8163,4.2876
2014-02-27,55.03,7205.8735,20.8125,4.2868
2014-02-28,55.16,7222.8963,20.8617,4.297
2014-03-03,54.65,7156.1146,20.6688,4.2572
2014-03-04,54.96,7196.7074,20.7861,4.2814
2014-03-05,54.83,7179.6846,20.7369,4.2713
2014-03-06,55.08,7212.4207,20.8314,4.2907
2014-03-07,54.77,7171.828,20.7142,4.2666
2014-03-10,54.84,7180.9941,20.7407,4.272
2014-03-11,54.5,7136.473,20.6121,4.2455
2014-03-12,54.58,7146.9485,20.6423,4.2518
2014-03-13,54.64,7154.8052,20.665,4.2565
2014-03-14,54.66,7157.4241,20.6726,4.258
2014-03-17,54.96,7196.7074,20.7861,4.2814
2014-03-18,55.06,7209.8019,20.8239,4.2892
2014-03-19,54.74,7167.8996,20.7028,4.2642
2014-03-20,54.93,7192.7791,20.7747,4.279
2014-03-21,55.2,7228.1341,20.8768,4.3001
2014-03-24,54.95,7195.398,20.7823,4.2806
2014-03-25,54.59,7148.258,20.6461,4.2526
2014-03-26,54.47,7132.5446,20.6007,4.2432
2014-03-27,54.51,7137.7824,20.6159,4.2463
2014-03-28,55.18,7225.5152,20.245,4.507
2014-03-31,55.62,7283.1308,20.4064,4.5429
2014-04-01,56.39,7383.958,20.689,4.6058
2014-04-02,56.29,7370.8635,20.6523,4.5976
2014-04-03,55.77,7302.7724,20.4615,4.5552
2014-04-04,54.99,7200.6357,20.1753,4.4915
2014-04-07,54.52,7139.0919,20.0029,4.4531
2014-04-08,54.56,7117.8397,20.0175,4.4563
2014-04-09,55.09,7186.9829,20.212,4.4996
2014-04-10,54.3,7083.9204,19.9222,4.4351
