Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,81.12,27384.0974,9.3659,1.0675
2014-01-03,80.28,27100.5342,9.2689,1.0565
2014-01-06,79.92,26979.0072,9.2273,1.0517
2014-01-07,80.86,27296.3278,9.3359,1.0641
2014-01-08,81.69,27576.5152,9.4317,1.075
2014-01-09,81.34,27458.3639,9.3913,1.0704
2014-01-10,80.9,27309.8308,9.3405,1.0646
2014-01-13,78.87,26624.5532,9.1061,1.0379
2014-01-14,79.53,26847.3529,9.1823,1.0466
2014-01-15,77.67,26219.463,8.9676,1.0221
2014-01-16,77.72,26236.3418,8.9733,1.0228
2014-01-17,77.13,26037.1725,8.9052,1.015
2014-01-21,77.92,26303.8568,8.9964,1.0254
2014-01-22,78.12,26371.3719,9.0195,1.0281
2014-01-23,77.4,26128.3178,8.9364,1.0186
2014-01-24,76.25,25740.1063,8.8036,1.0034
2014-01-27,75.58,25513.931,8.7263,0.9946
2014-01-28,76.8,25925.7727,8.8671,1.0107
2014-01-29,77.06,26013.5422,8.8971,1.0141
2014-01-30,76.53,25834.6274,8.8359,1.0071
2014-01-31,75.49,25483.5492,8.7159,0.9934
2014-02-03,73.92,24953.5562,8.5346,0.9728
2014-02-04,74.76,25237.1193,8.6316,0.9838
2014-02-05,74.66,25203.3618,8.62,0.9825
2014-02-06,76.31,25760.3608,8.8105,1.0042
2014-02-07,77.18,26054.0512,8.911,1.0157
2014-02-10,76.99,25989.9119,8.8891,1.0132
2014-02-11,78.25,26415.2566,9.0345,1.0298
2014-02-12,78.03,26340.9901,9.0091,1.0269
2014-02-13,78.67,26557.0382,9.083,1.0353
2014-02-14,79.5,26837.2256,9.1789,1.0462
2014-02-18,80.46,27161.2978,9.2897,1.0589
2014-02-19,80.71,27245.6916,9.3186,1.0621
2014-02-20,81.61,27549.5092,9.4225,1.074
2014-02-21,81.17,27400.9761,9.3717,1.0682
2014-02-24,81.45,27495.4972,9.404,1.0719
2014-02-25,80.3,27107.2857,9.2712,1.0567
2014-02-26,79.32,26776.4621,9.1581,1.0438
2014-02-27,79.5,26837.2256,9.1789,1.0462
2014-02-28,80.03,26034.8937,9.24,1.0532
2014-03-03,79.48,25855.9709,9.1765,1.046
2014-03-04,80.35,26138.9942,9.277,1.0574
2014-03-05,80.74,26265.8668,9.322,1.0625
2014-03-06,81.44,26493.5867,9.4028,1.0717
2014-03-07,81.87,26633.4718,9.4525,1.0774
2014-03-10,82.24,26753.838,9.4952,1.0823
2014-03-11,81.21,26418.7644,9.3763,1.0687
2014-03-12,80.81,26288.6388,9.3301,1.0635
2014-03-13,79.85,25976.3372,9.2193,1.0508
2014-03-14,80.28,26116.2222,9.2689,1.0565
2014-03-17,80.41,26158.5131,9.2839,1.0582
2014-03-18,81.06,26369.9673,9.359,1.0667
2014-03-19,80.62,26226.8291,9.3082,1.061
2014-03-20,81.18,26409.005,9.3728,1.0683
2014-03-21,81.96,26662.7501,9.4629,1.0786
2014-03-24,81.58,26539.1307,9.419,1.0736
2014-03-25,82.04,26688.7752,9.4721,1.0796
2014-03-26,81.37,26470.8147,9.3948,1.0708
2014-03-27,82.0,25838.8737,9.4675,1.0791
2014-03-28,83.22,26223.3057,9.6084,1.0952
2014-03-31,82.88,26116.1689,10.0128,1.0786
2014-04-01,83.96,26456.4858,10.1433,1.0926
2014-04-02,84.96,26771.594,10.2641,1.1057
2014-04-03,85.63,26982.7165,10.3451,1.1144
2014-04-04,85.34,26891.3351,10.31,1.1106
2014-04-07,83.72,26380.8598,10.1143,1.0895
2014-04-08,84.0,26469.0901,10.1481,1.0932
2014-04-09,85.21,26850.371,10.2943,1.1089
2014-04-10,84.02,26475.3923,10.1506,1.0934
2014-04-11,83.58,26336.7446,10.0974,1.0877
2014-04-14,84.92,26758.9896,10.2593,1.1051
