Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,35.4,15826.746,9.508,0.8488
2014-01-03,35.53,15884.8669,9.5429,0.8519
2014-01-06,35.58,15907.221,9.5564,0.8531
2014-01-07,35.46,15853.571,9.5241,0.8502
2014-01-08,35.51,15875.9252,9.5376,0.8514
2014-01-09,35.78,15996.6377,9.6101,0.8579
2014-01-10,35.94,16068.171,9.6531,0.8617
2014-01-13,34.77,15545.0836,9.3388,0.8337
2014-01-14,35.36,15808.8627,9.4973,0.8478
2014-01-15,36.02,16103.9376,9.6745,0.8637
2014-01-16,35.55,15893.8085,9.5483,0.8524
2014-01-17,35.26,15764.1544,9.4704,0.8454
2014-01-21,35.03,15661.3252,9.4086,0.8399
2014-01-22,34.88,15594.2628,9.3684,0.8363
2014-01-23,33.83,15124.8254,9.0863,0.8112
2014-01-24,32.77,14650.9172,8.8016,0.7857
2014-01-27,32.74,14637.5047,8.7936,0.785
2014-01-28,33.51,14981.7588,9.0004,0.8035
2014-01-29,32.87,14695.6255,8.8285,0.7881
2014-01-30,33.75,15089.0587,9.0649,0.8092
2014-01-31,33.25,14865.5171,8.9306,0.7972
2014-02-03,32.18,14387.1381,8.6432,0.7716
2014-02-04,32.82,14877.3056,8.8151,0.7869
2014-02-05,33.54,15203.6816,9.0084,0.8042
2014-02-06,33.96,15394.0676,9.1213,0.8143
2014-02-07,34.41,15598.0526,9.2421,0.8251
2014-02-10,34.23,15516.4586,9.1938,0.8207
2014-02-11,34.64,15702.3116,9.3039,0.8306
2014-02-12,34.7,15729.5096,9.32,0.832
2014-02-13,34.55,15661.5146,9.2797,0.8284
2014-02-14,34.67,15715.9106,9.312,0.8313
2014-02-18,34.83,15788.4386,9.3549,0.8351
2014-02-19,34.36,15575.3876,9.2287,0.8239
2014-02-20,34.34,15566.3216,9.2233,0.8234
2014-02-21,34.31,15552.7226,9.2153,0.8227
2014-02-24,34.64,15702.3116,9.3039,0.8306
2014-02-25,34.38,15584.4536,9.2341,0.8243
2014-02-26,34.49,15634.3166,9.2636,0.827
2014-02-27,34.68,15720.4436,9.3146,0.8315
2014-02-28,35.19,15706.785,9.4516,0.8438
2014-03-03,34.76,15514.8578,9.3361,0.8334
2014-03-04,35.83,15992.4441,9.6235,0.8591
2014-03-05,36.07,16099.5662,9.688,0.8649
2014-03-06,36.14,16130.8102,9.7068,0.8665
2014-03-07,35.97,16054.932,9.6611,0.8625
2014-03-10,35.86,16005.8343,9.6316,0.8598
2014-03-11,35.67,15921.0293,9.5805,0.8553
2014-03-12,35.54,15863.0048,9.5456,0.8522
2014-03-13,34.94,15595.1994,9.3845,0.8378
2014-03-14,35.25,15733.5656,9.4677,0.8452
2014-03-17,35.21,15715.7119,9.457,0.8442
2014-03-18,35.09,15662.1508,9.4248,0.8414
2014-03-19,34.84,15550.5652,9.3576,0.8354
2014-03-20,35.46,15827.2974,9.5241,0.8502
2014-03-21,35.42,15809.4437,9.5134,0.8493
2014-03-24,35.38,15791.59,9.5026,0.8483
2014-03-25,35.34,15773.7364,9.4919,0.8474
2014-03-26,34.9,15577.3458,9.3737,0.8368
2014-03-27,34.47,15385.4186,9.2582,0.8265
2014-03-28,34.88,15568.4189,9.3684,0.8363
2014-03-31,35.27,15742.4924,11.2578,0.8071
2014-04-01,35.69,15929.9562,11.3918,0.8167
2014-04-02,35.95,16046.0052,11.4748,0.8226
2014-04-03,36.03,16081.7125,11.5003,0.8245
2014-04-04,35.37,15787.1266,11.2897,0.8094
2014-04-07,34.83,15546.1018,11.1173,0.797
2014-04-08,34.87,15563.9555,11.1301,0.7979
2014-04-09,35.0,15621.98,11.1716,0.8009
2014-04-10,34.02,15423.83,10.8588,0.7785
2014-04-11,33.3,15097.3997,10.629,0.762
2014-04-14,33.72,15287.8173,10.763,0.7716
2014-04-15,33.96,15396.6274,10.8396,0.7771
2014-04-16,34.5,15641.4501,11.012,0.7895
2014-04-17,34.67,15718.5239,11.0662,0.7933
2014-04-21,34.52,15650.5176,11.0184,0.7899
